NoteID,CanonicalWord,InReviewedPronunciation,ChangedFields,OldBritish,British,OldAmerican,American,OldMeaningPrimary,MeaningPrimary,OldExampleSentence,ExampleSentence,OldExampleTranslation,ExampleTranslation,OldPromptHint,PromptHint,ReviewNote
KV000096,socks,no,ExampleSentence|ExampleTranslation,[sɒk],[sɒk],[sɑːk],[sɑːk],短袜,短袜,This sock is blue.,I can't find my blue socks this morning.,这只短袜是蓝色的。,今天早上我找不到我的蓝色袜子。,,,release-visible content changed after previous review; explicit re-review required
KV000339,dining room,yes,British|American,,[dˈaɪnɪŋ ɹˈuːm],,[dˈaɪnɪŋ ɹˈuːm],餐厅；饭厅,餐厅；饭厅,We eat dinner in the dining room.,We eat dinner in the dining room.,我们在餐厅吃晚饭。,我们在餐厅吃晚饭。,,,release-visible content changed after previous review; explicit re-review required
KV000342,for rent,yes,British|American,,[fɔː ɹˈɛnt],,[fɔːɹ ɹˈɛnt],出租,出租,This room is for rent.,This room is for rent.,这个房间出租。,这个房间出租。,,,release-visible content changed after previous review; explicit re-review required
KV000346,roller skating,yes,British|American,,[ɹˈəʊlə skˈeɪtɪŋ],,[ɹˈoʊlɚ skˈeɪɾɪŋ],轮滑；滑旱冰,轮滑；滑旱冰,We go roller skating on the weekend.,We go roller skating on the weekend.,我们周末去轮滑。,我们周末去轮滑。,,,release-visible content changed after previous review; explicit re-review required
KV000352,be good at,yes,British|American,,[biː ɡˈʊd at],,[biː ɡˈʊd æt],擅长,擅长,He is good at swimming.,He is good at swimming.,他擅长游泳。,他擅长游泳。,,,release-visible content changed after previous review; explicit re-review required
KV000354,visit one's grandparents,yes,British|American,,[vˈɪzɪt wˈɒnz ɡɹˈandpeəɹənts],,[vˈɪzɪt wˈʌnz ɡɹˈændpɛɹənts],看望祖父母或外祖父母,看望祖父母或外祖父母,I visit my grandparents on Sunday.,I visit my grandparents on Sunday.,我星期日去看望祖父母。,我星期日去看望祖父母。,,,release-visible content changed after previous review; explicit re-review required
KV000355,go to a drawing club,yes,British|American,,[ɡˌəʊ tʊ ɐ dɹˈɔːɪŋ klˈʌb],,[ɡˌoʊ tʊ ɐ dɹˈɔːɪŋ klˈʌb],参加绘画俱乐部,参加绘画俱乐部,I go to a drawing club.,I go to a drawing club.,我参加绘画俱乐部。,我参加绘画俱乐部。,,,release-visible content changed after previous review; explicit re-review required
KV000356,climb a hill,yes,British|American,,[klˈaɪm ɐ hˈɪl],,[klˈaɪm ɐ hˈɪl],爬山；爬小山,爬山；爬小山,We climb a hill on Sunday.,We climb a hill on Sunday.,我们星期日爬山。,我们星期日爬山。,,,release-visible content changed after previous review; explicit re-review required
KV000357,pick fruit,yes,British|American,,[pˈɪk fɹˈuːt],,[pˈɪk fɹˈuːt],摘水果,摘水果,We pick fruit in autumn.,We pick fruit in autumn.,我们秋天摘水果。,我们秋天摘水果。,,,release-visible content changed after previous review; explicit re-review required
KV000358,play computer games,yes,British|American,,[plˈeɪ kəmpjˈuːtə ɡˈeɪmz],,[plˈeɪ kəmpjˈuːɾɚ ɡˈeɪmz],玩电脑游戏,玩电脑游戏,I play computer games on Saturday.,I play computer games on Saturday.,我星期六玩电脑游戏。,我星期六玩电脑游戏。,,,release-visible content changed after previous review; explicit re-review required
KV000360,go to the cinema,yes,British|American,,[ɡˌəʊ tə ðə sˈɪnəmə],,[ɡˌoʊ tə ðə sˈɪnəmə],去电影院；看电影,去电影院；看电影,We go to the cinema on the weekend.,We go to the cinema on the weekend.,我们周末去电影院看电影。,我们周末去电影院看电影。,,,release-visible content changed after previous review; explicit re-review required
KV000361,on the weekend,yes,British|American,,[ɒnðə wiːkˈɛnd],,[ɔnðə wˈiːkɛnd],在周末,在周末,I play sports on the weekend.,I play sports on the weekend.,我周末做运动。,我周末做运动。,,,release-visible content changed after previous review; explicit re-review required
KV000375,by bus,yes,British|American,,[baɪ bˈʌs],,[baɪ bˈʌs],乘公交车,乘公交车,I go to school by bus.,I go to school by bus.,我乘公交车上学。,我乘公交车上学。,,,release-visible content changed after previous review; explicit re-review required
KV000376,by boat,yes,British|American,,[baɪ bˈəʊt],,[baɪ bˈoʊt],乘小船；乘船,乘小船；乘船,We go there by boat.,We go there by boat.,我们乘小船去那里。,我们乘小船去那里。,,,release-visible content changed after previous review; explicit re-review required
KV000377,by ship,yes,British|American,,[baɪ ʃˈɪp],,[baɪ ʃˈɪp],乘轮船；乘船,乘轮船；乘船,We travel by ship in summer.,We travel by ship in summer.,我们夏天乘船旅行。,我们夏天乘船旅行。,,,release-visible content changed after previous review; explicit re-review required
KV000378,by car,yes,British|American,,[baɪ kˈɑː],,[baɪ kˈɑːɹ],乘汽车,乘汽车,My family goes to the park by car.,My family goes to the park by car.,我们一家坐汽车去公园。,我们一家坐汽车去公园。,,,release-visible content changed after previous review; explicit re-review required
KV000379,by taxi,yes,British|American,,[baɪ tˈaksi],,[baɪ tˈæksi],乘出租车,乘出租车,We go to the station by taxi.,We go to the station by taxi.,我们坐出租车去车站。,我们坐出租车去车站。,,,release-visible content changed after previous review; explicit re-review required
KV000380,by bike,yes,British|American,,[baɪ bˈaɪk],,[baɪ bˈaɪk],骑自行车,骑自行车,I go to school by bike.,I go to school by bike.,我骑自行车上学。,我骑自行车上学。,,,release-visible content changed after previous review; explicit re-review required
KV000381,on foot,yes,British|American,,[ˌɒn fˈʊt],,[ˌɔn fˈʊt],步行,步行,I go to school on foot.,I go to school on foot.,我步行上学。,我步行上学。,,,release-visible content changed after previous review; explicit re-review required
KV000382,by school bus,yes,British|American,,[baɪ skˈuːl bˈʌs],,[baɪ skˈuːl bˈʌs],乘校车,乘校车,She goes to school by school bus.,She goes to school by school bus.,她乘校车上学。,她乘校车上学。,,,release-visible content changed after previous review; explicit re-review required
KV000383,by subway,yes,British|American,,[baɪ sˈʌbweɪ],,[baɪ sˈʌbweɪ],乘地铁,乘地铁,We go to the museum by subway.,We go to the museum by subway.,我们坐地铁去博物馆。,我们坐地铁去博物馆。,,,release-visible content changed after previous review; explicit re-review required
KV000384,by plane,yes,British|American,,[baɪ plˈeɪn],,[baɪ plˈeɪn],乘飞机,乘飞机,We travel by plane in summer.,We travel by plane in summer.,我们夏天乘飞机旅行。,我们夏天乘飞机旅行。,,,release-visible content changed after previous review; explicit re-review required
KV000385,by train,yes,British|American,,[baɪ tɹˈeɪn],,[baɪ tɹˈeɪn],乘火车,乘火车,We go to the city by train.,We go to the city by train.,我们乘火车去这座城市。,我们乘火车去这座城市。,,,release-visible content changed after previous review; explicit re-review required
KV000401,glue stick,yes,British|American,,[ɡlˈuː stˈɪk],,[ɡlˈuː stˈɪk],胶棒,胶棒,I need a glue stick.,I need a glue stick.,我需要一支胶棒。,我需要一支胶棒。,,,release-visible content changed after previous review; explicit re-review required
KV000406,Information Centre,yes,British|American,,[ˌɪnfəmˈeɪʃən sˈɛntə],,[ˌɪnfɚmˈeɪʃən sˈɛntɚ],信息中心,信息中心,Let's ask at the Information Centre.,Let's ask at the Information Centre.,我们去信息中心问问。,我们去信息中心问问。,,,release-visible content changed after previous review; explicit re-review required
KV000414,play with fire,yes,British|American,,[plˈeɪ wɪð fˈaɪə],,[plˈeɪ wɪð fˈaɪɚ],玩火,玩火,Don't play with fire.,Don't play with fire.,不要玩火。,不要玩火。,,,release-visible content changed after previous review; explicit re-review required
KV000416,run down the stairs,yes,British|American,,[ɹˈʌn dˌaʊn ðə stˈeəz],,[ɹˈʌn dˌaʊn ðə stˈɛɹz],跑下楼梯,跑下楼梯,Don't run down the stairs.,Don't run down the stairs.,不要跑下楼梯。,不要跑下楼梯。,,,release-visible content changed after previous review; explicit re-review required
KV000418,wait for,yes,British|American,,[wˈeɪt fɔː],,[wˈeɪt fɔːɹ],等待,等待,Wait for the green light.,Wait for the green light.,等绿灯。,等绿灯。,,,release-visible content changed after previous review; explicit re-review required
KV000422,safety rule,yes,British|American,,[sˈeɪfti ɹˈuːl],,[sˈeɪfti ɹˈuːl],安全规则,安全规则,Follow the safety rules.,Follow the safety rules.,遵守安全规则。,遵守安全规则。,,,release-visible content changed after previous review; explicit re-review required
KV000426,bus driver,yes,British|American,,[bˈʌs dɹˈaɪvə],,[bˈʌs dɹˈaɪvɚ],公交车司机,公交车司机,The bus driver stops at the red light.,The bus driver stops at the red light.,公交车司机在红灯前停车。,公交车司机在红灯前停车。,,,release-visible content changed after previous review; explicit re-review required
KV000428,taxi driver,yes,British|American,,[tˈaksi dɹˈaɪvə],,[tˈæksi dɹˈaɪvɚ],出租车司机,出租车司机,My father is a taxi driver.,My father is a taxi driver.,我爸爸是出租车司机。,我爸爸是出租车司机。,,,release-visible content changed after previous review; explicit re-review required
KV000431,in the future,yes,British|American,,[ɪnðə fjˈuːtʃə],,[ɪnðə fjˈuːtʃɚ],将来；未来,将来；未来,I want to be a doctor in the future.,I want to be a doctor in the future.,我将来想当医生。,我将来想当医生。,,,release-visible content changed after previous review; explicit re-review required
KV000440,across from,yes,British|American,,[əkɹˈɒs fɹɒm],,[əkɹˈɑːs fɹʌm],在……对面,在……对面,The bank is across from the hotel.,The bank is across from the hotel.,银行在酒店对面。,银行在酒店对面。,,,release-visible content changed after previous review; explicit re-review required
KV000441,next to,yes,British|American,,[nˈɛkst tuː],,[nˈɛkst tuː],紧挨着；在……旁边,紧挨着；在……旁边,The post office is next to the bank.,The post office is next to the bank.,邮局在银行旁边。,邮局在银行旁边。,,,release-visible content changed after previous review; explicit re-review required
KV000448,turn right,yes,British|American,,[tˈɜːn ɹˈaɪt],,[tˈɜːn ɹˈaɪt],向右转,向右转,Turn right at the bank.,Turn right at the bank.,在银行那里向右转。,在银行那里向右转。,,,release-visible content changed after previous review; explicit re-review required
KV000449,go straight,yes,British|American,,[ɡˌəʊ stɹˈeɪt],,[ɡˌoʊ stɹˈeɪt],直走,直走,Go straight and turn left.,Go straight and turn left.,直走然后左转。,直走然后左转。,,,release-visible content changed after previous review; explicit re-review required
KV000455,get to,yes,British|American,,[ɡˈɛt tuː],,[ɡˈɛt tuː],到达,到达,How can I get to the bank?,How can I get to the bank?,我怎样到银行？,我怎样到银行？,,,release-visible content changed after previous review; explicit re-review required
KV000460,sports centre,yes,British|American,,[spˈɔːts sˈɛntə],,[spˈoːɹts sˈɛntɚ],体育中心,体育中心,We play basketball at the sports centre.,We play basketball at the sports centre.,我们在体育中心打篮球。,我们在体育中心打篮球。,,,release-visible content changed after previous review; explicit re-review required
KV000463,buy toys,yes,British|American,,[bˈaɪ tˈɔɪz],,[bˈaɪ tˈɔɪz],买玩具,买玩具,We buy toys at the shop.,We buy toys at the shop.,我们在商店买玩具。,我们在商店买玩具。,,,release-visible content changed after previous review; explicit re-review required
KV000464,see a film,yes,British|American,,[sˈiː ɐ fˈɪlm],,[sˈiː ɐ fˈɪlm],看电影,看电影,We see a film at the cinema.,We see a film at the cinema.,我们在电影院看电影。,我们在电影院看电影。,,,release-visible content changed after previous review; explicit re-review required
KV000465,go boating,yes,British|American,,[ɡˌəʊ bˈəʊtɪŋ],,[ɡˌoʊ bˈoʊɾɪŋ],去划船,去划船,We go boating on the lake.,We go boating on the lake.,我们在湖上划船。,我们在湖上划船。,,,release-visible content changed after previous review; explicit re-review required
KV000474,take photos,yes,British|American,,[tˈeɪk fˈəʊtəʊz],,[tˈeɪk fˈoʊɾoʊz],拍照,拍照,We take photos at the Great Wall.,We take photos at the Great Wall.,我们在长城拍照。,我们在长城拍照。,,,release-visible content changed after previous review; explicit re-review required
KV000479,eat seafood,yes,British|American,,[ˈiːt sˈiːfuːd],,[ˈiːt sˈiːfuːd],吃海鲜,吃海鲜,We eat seafood by the sea.,We eat seafood by the sea.,我们在海边吃海鲜。,我们在海边吃海鲜。,,,release-visible content changed after previous review; explicit re-review required
KV000480,visit the Mogao Caves,yes,British|American,,[vˈɪzɪt ðə mˈɒɡaʊ kˈeɪvz],,[vˈɪzɪt ðə mˈɑːɡaʊ kˈeɪvz],参观莫高窟,参观莫高窟,We visit the Mogao Caves.,We visit the Mogao Caves.,我们参观莫高窟。,我们参观莫高窟。,,,release-visible content changed after previous review; explicit re-review required
KV000481,West Lake,yes,British|American,,[wˈɛst lˈeɪk],,[wˈɛst lˈeɪk],西湖,西湖,West Lake is beautiful.,West Lake is beautiful.,西湖很美。,西湖很美。,,,release-visible content changed after previous review; explicit re-review required
KV000482,row a boat,yes,British|American,,[ɹˈəʊ ɐ bˈəʊt],,[ɹˈoʊ ɐ bˈoʊt],划船,划船,We row a boat on West Lake.,We row a boat on West Lake.,我们在西湖划船。,我们在西湖划船。,,,release-visible content changed after previous review; explicit re-review required
KV000484,summer vacation,yes,British|American,,[sˈʌmə veɪkˈeɪʃən],,[sˈʌmɚ veɪkˈeɪʃən],暑假,暑假,We often travel during the summer vacation.,We often travel during the summer vacation.,我们暑假经常去旅行。,我们暑假经常去旅行。,,,release-visible content changed after previous review; explicit re-review required
KV000497,go for a picnic,yes,British|American,,[ɡˌəʊ fəɹə pˈɪknɪk],,[ɡˌoʊ fɚɹə pˈɪknɪk],去野餐,去野餐,We go for a picnic on Sunday.,We go for a picnic on Sunday.,我们星期日去野餐。,我们星期日去野餐。,,,release-visible content changed after previous review; explicit re-review required
KV000498,play the violin,yes,British|American,,[plˈeɪ ðə vaɪəlˈɪn],,[plˈeɪ ðə vaɪəlˈɪn],拉小提琴,拉小提琴,She can play the violin.,She can play the violin.,她会拉小提琴。,她会拉小提琴。,,,release-visible content changed after previous review; explicit re-review required
KV000499,go skating,yes,British|American,,[ɡˌəʊ skˈeɪtɪŋ],,[ɡˌoʊ skˈeɪɾɪŋ],去滑冰,去滑冰,We go skating in winter.,We go skating in winter.,我们冬天去滑冰。,我们冬天去滑冰。,,,release-visible content changed after previous review; explicit re-review required
KV000501,do the housework,yes,British|American,,[dˈuː ðə hˈaʊswɜːk],,[dˈuː ðə hˈaʊswɜːk],做家务,做家务,I help do the housework.,I help do the housework.,我帮忙做家务。,我帮忙做家务。,,,release-visible content changed after previous review; explicit re-review required
KV000504,once a week,yes,British|American,,[wˈʌns ɐ wˈiːk],,[wˈʌns ɐ wˈiːk],每周一次,每周一次,I go swimming once a week.,I go swimming once a week.,我每周游泳一次。,我每周游泳一次。,,,release-visible content changed after previous review; explicit re-review required
KV000505,twice a week,yes,British|American,,[twˈaɪs ɐ wˈiːk],,[twˈaɪs ɐ wˈiːk],每周两次,每周两次,I play basketball twice a week.,I play basketball twice a week.,我每周打两次篮球。,我每周打两次篮球。,,,release-visible content changed after previous review; explicit re-review required
KV000506,three times a week,yes,British|American,,[θɹˈiː tˈaɪmz ɐ wˈiːk],,[θɹˈiː tˈaɪmz ɐ wˈiːk],每周三次,每周三次,I read books three times a week.,I read books three times a week.,我每周读三次书。,我每周读三次书。,,,release-visible content changed after previous review; explicit re-review required
KV000509,the UK,yes,British|American,,[ðə jˌuːkˈeɪ],,[ðə jˌuːkˈeɪ],英国,英国,Big Ben is in the UK.,Big Ben is in the UK.,大本钟在英国。,大本钟在英国。,,,release-visible content changed after previous review; explicit re-review required
KV000510,the USA,yes,British|American,,[ðə jˌuːˌɛsˈeɪ],,[ðə jˌuːˌɛsˈeɪ],美国,美国,Disneyland is in the USA.,Disneyland is in the USA.,迪士尼乐园在美国。,迪士尼乐园在美国。,,,release-visible content changed after previous review; explicit re-review required
KV000513,maple leaves,yes,British|American,,[mˈeɪpəl lˈiːvz],,[mˈeɪpəl lˈiːvz],枫叶,枫叶,Maple leaves turn red in autumn.,Maple leaves turn red in autumn.,枫叶在秋天变红。,枫叶在秋天变红。,,,release-visible content changed after previous review; explicit re-review required
KV000514,Big Ben,yes,British|American,,[bˈɪɡ bˈɛn],,[bˈɪɡ bˈɛn],大本钟,大本钟,Big Ben is in the UK.,Big Ben is in the UK.,大本钟在英国。,大本钟在英国。,,,release-visible content changed after previous review; explicit re-review required
