NoteID,ReviewLane,RiskReasons,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PresentationStatus,PresentationSource
KV000497,released-invalidated,,go for a picnic,去野餐,,We go for a picnic on Sunday.,我们星期日去野餐。,migrated-curated,rj_start1:curation
KV000498,released-invalidated,,play the violin,拉小提琴,,She can play the violin.,她会拉小提琴。,migrated-curated,rj_start1:curation
KV000499,released-invalidated,,go skating,去滑冰,,We go skating in winter.,我们冬天去滑冰。,migrated-curated,rj_start1:curation
KV000501,released-invalidated,,do the housework,做家务,,I help do the housework.,我帮忙做家务。,migrated-curated,rj_start1:curation
KV000504,released-invalidated,,once a week,每周一次,,I go swimming once a week.,我每周游泳一次。,migrated-curated,rj_start1:curation
KV000505,released-invalidated,,twice a week,每周两次,,I play basketball twice a week.,我每周打两次篮球。,migrated-curated,rj_start1:curation
KV000506,released-invalidated,,three times a week,每周三次,,I read books three times a week.,我每周读三次书。,migrated-curated,rj_start1:curation
KV000509,released-invalidated,,the UK,英国,,Big Ben is in the UK.,大本钟在英国。,migrated-curated,rj_start1:curation
KV000510,released-invalidated,,the USA,美国,,Disneyland is in the USA.,迪士尼乐园在美国。,migrated-curated,rj_start1:curation
KV000513,released-invalidated,,maple leaves,枫叶,,Maple leaves turn red in autumn.,枫叶在秋天变红。,grade4-reviewed,klose:grade4_full_review_c
KV000514,released-invalidated,,Big Ben,大本钟,,Big Ben is in the UK.,大本钟在英国。,migrated-curated,rj_start1:curation
KV000520,reuse-guardrail,,careless,粗心的,,Don't be careless with your homework.,做作业不要粗心。,migrated-curated,rj_start1:curation
KV000521,reuse-guardrail,,polite,有礼貌的,,The boy is polite to everyone.,这个男孩对每个人都很有礼貌。,migrated-curated,rj_start1:curation
KV000523,reuse-guardrail,,friendly,友好的,,Our new teacher is friendly.,我们的新老师很友好。,migrated-curated,rj_start1:curation
KV000526,reuse-guardrail,,popular,受欢迎的,,He is popular at school.,他在学校很受欢迎。,migrated-curated,rj_start1:curation
KV000527,reuse-guardrail,,talk,交谈；说话,,We often talk after school.,我们经常放学后聊天。,migrated-curated,rj_start1:curation
KV000529,reuse-guardrail,,but,但是,,He is young but tall.,他很年轻但是个子高。,migrated-curated,rj_start1:curation
KV000531,reuse-guardrail,,bark,狗叫；吠,,The dog barks at night.,狗在晚上叫。,migrated-curated,rj_start1:curation
KV000532,reuse-guardrail,,forget,忘记,,Don't forget your schoolbag.,别忘了你的书包。,migrated-curated,rj_start1:curation
KV000534,reuse-guardrail,,wear glasses,戴眼镜,,My teacher wears glasses.,我的老师戴眼镜。,migrated-curated,rj_start1:curation
KV000535,reuse-guardrail,,slim,苗条的,,My sister is tall and slim.,我姐姐高而苗条。,migrated-curated,rj_start1:curation
KV000536,reuse-guardrail,,curly,卷曲的,,She has curly hair.,她有卷发。,migrated-curated,rj_start1:curation
KV000537,reuse-guardrail,,straight,直的,,She has long straight hair.,她有长直发。,migrated-curated,rj_start1:curation
KV000538,reuse-guardrail,,nice,友好的；好的,,Our new classmate is very nice.,我们的新同学很好。,migrated-curated,rj_start1:curation
KV000540,reuse-guardrail,,guess,猜；猜测,,Can you guess his name?,你能猜出他的名字吗？,migrated-curated,rj_start1:curation
KV000541,reuse-guardrail,sense-note-parenthetical,has,有（have的第三人称单数）,,The panda has black ears.,熊猫有黑色的耳朵。,migrated-curated,rj_start1:curation
KV000542,reuse-guardrail,,animal,动物,,My favourite animal is the panda.,我最喜欢的动物是熊猫。,migrated-curated,rj_start1:curation
KV000543,reuse-guardrail,,elephant,大象,,The elephant is big.,大象很大。,migrated-curated,rj_start1:curation
KV000544,reuse-guardrail,,panda,熊猫,,The panda is black.,熊猫是黑色的。,migrated-curated,rj_start1:curation
KV000550,reuse-guardrail,,farm,农场,,There are many animals on the farm.,农场里有许多动物。,migrated-curated,rj_start1:curation
KV000551,reuse-guardrail,,fast,快的；快速地,,The horse can run fast.,马能跑得很快。,migrated-curated,rj_start1:curation
KV000554,reuse-guardrail,,butterfly,蝴蝶,,The butterfly is beautiful.,蝴蝶很漂亮。,migrated-curated,rj_start1:curation
KV000555,reuse-guardrail,,exercise book,练习本,,I need a new exercise book.,我需要一本新练习本。,migrated-curated,rj_start1:curation
KV000556,reuse-guardrail,,pencil sharpener,卷笔刀,,I need a pencil sharpener.,我需要一个卷笔刀。,migrated-curated,rj_start1:curation
KV000557,reuse-guardrail,,a pair of scissors,一把剪刀,,I need a pair of scissors.,我需要一把剪刀。,migrated-curated,rj_start1:curation
KV000558,reuse-guardrail,,pencil box,铅笔盒,,My pencils are in the pencil box.,我的铅笔在铅笔盒里。,migrated-curated,rj_start1:curation
KV000559,reuse-guardrail,,a box of crayons,一盒蜡笔,,I want a box of crayons.,我想要一盒蜡笔。,migrated-curated,rj_start1:curation
KV000562,reuse-guardrail,,saleswoman,女售货员,,The saleswoman is very helpful.,女售货员很热心。,migrated-curated,rj_start1:curation
KV000563,reuse-guardrail,,love,喜爱；爱,,I love this new pencil box.,我很喜欢这个新铅笔盒。,migrated-curated,rj_start1:curation
KV000565,reuse-guardrail,,a lot,很多；非常,,Thanks a lot for your help.,非常感谢你的帮助。,migrated-curated,rj_start1:curation
KV000567,reuse-guardrail,,fantastic,极好的；非常棒的,,The nature show is fantastic.,这个自然节目非常棒。,migrated-curated,rj_start1:curation
KV000569,reuse-guardrail,,news shows,新闻节目,,My father watches news shows.,我爸爸看新闻节目。,migrated-curated,rj_start1:curation
KV000570,reuse-guardrail,,nature shows,自然节目,,I like nature shows about animals.,我喜欢关于动物的自然节目。,migrated-curated,rj_start1:curation
KV000574,reuse-guardrail,,take out the rubbish,倒垃圾；把垃圾拿出去,,I take out the rubbish after dinner.,我晚饭后倒垃圾。,migrated-curated,rj_start1:curation
KV000575,reuse-guardrail,,wash clothes,洗衣服,,I help Mum wash clothes.,我帮妈妈洗衣服。,migrated-curated,rj_start1:curation
KV000576,reuse-guardrail,,tidy the desk,整理书桌,,I tidy the desk after homework.,我做完作业后整理书桌。,migrated-curated,rj_start1:curation
KV000577,reuse-guardrail,,sweep the floor,扫地,,I sweep the floor on Sunday.,我星期日扫地。,migrated-curated,rj_start1:curation
KV000579,reuse-guardrail,,too much,太多,,Don't eat too much candy.,不要吃太多糖果。,migrated-curated,rj_start1:curation
KV000580,reuse-guardrail,,candy,糖果,,Too much candy is bad for teeth.,太多糖果对牙齿不好。,migrated-curated,rj_start1:curation
KV000581,reuse-guardrail,,early,早；早地,,I go to bed early.,我很早上床睡觉。,migrated-curated,rj_start1:curation
KV000585,reuse-guardrail,,stomachache,胃痛；肚子痛,,I have a stomachache.,我肚子痛。,migrated-curated,rj_start1:curation
KV000586,reuse-guardrail,,headache,头痛,,I have a headache.,我头痛。,migrated-curated,rj_start1:curation
KV000587,reuse-guardrail,,toothache,牙痛,,I have a toothache.,我牙痛。,migrated-curated,rj_start1:curation
KV000589,reuse-guardrail,,sleepy,困倦的；想睡的,,I feel sleepy in class.,我上课时觉得困。,migrated-curated,rj_start1:curation
KV000591,reuse-guardrail,,mark,分数；成绩,,I got a good mark in English.,我的英语取得了好成绩。,migrated-curated,rj_start1:curation
KV000592,reuse-guardrail,,advice,建议,,Thank you for your advice.,谢谢你的建议。,migrated-curated,rj_start1:curation
KV000593,reuse-guardrail,,more,更多的；更多,,You should drink more water.,你应该多喝水。,migrated-curated,rj_start1:curation
KV000594,reuse-guardrail,,New Year's Day,元旦,,New Year's Day is on January first.,元旦是一月一日。,migrated-curated,rj_start1:curation
KV000595,reuse-guardrail,,Tree Planting Day,植树节,,We plant trees on Tree Planting Day.,我们在植树节植树。,migrated-curated,rj_start1:curation
KV000596,reuse-guardrail,,Mother's Day,母亲节,,I make a card for Mother's Day.,我为母亲节做一张卡片。,migrated-curated,rj_start1:curation
KV000597,reuse-guardrail,,Children's Day,儿童节,,Children's Day is on June first.,儿童节是六月一日。,migrated-curated,rj_start1:curation
KV000598,reuse-guardrail,,Father's Day,父亲节,,I call Dad on Father's Day.,我在父亲节给爸爸打电话。,migrated-curated,rj_start1:curation
KV000599,reuse-guardrail,,Teachers' Day,教师节,,We thank teachers on Teachers' Day.,我们在教师节感谢老师。,migrated-curated,rj_start1:curation
KV000601,reuse-guardrail,,Christmas Day,圣诞节,,Christmas Day is in December.,圣诞节在十二月。,migrated-curated,rj_start1:curation
KV000604,reuse-guardrail,,tenth,第十,,October is the tenth month.,十月是第十个月。,migrated-curated,rj_start1:curation
KV000608,reuse-guardrail,,twenty-fifth,第二十五,,Christmas is on December twenty-fifth.,圣诞节是十二月二十五日。,migrated-curated,rj_start1:curation
KV000611,reuse-guardrail,,make a poster,制作海报,,We make a poster for the school.,我们为学校制作海报。,migrated-curated,rj_start1:curation
KV000612,reuse-guardrail,,celebrate,庆祝,,We celebrate Children's Day at school.,我们在学校庆祝儿童节。,migrated-curated,rj_start1:curation
KV000613,reuse-guardrail,,have a picnic,去野餐；举行野餐,,We have a picnic in the park.,我们在公园野餐。,migrated-curated,rj_start1:curation
KV000614,reuse-guardrail,,office,办公室,,My teacher is in the office.,我的老师在办公室。,migrated-curated,rj_start1:curation
KV000617,reuse-guardrail,,send an email,发送电子邮件,,I send an email to my friend.,我给朋友发电子邮件。,migrated-curated,rj_start1:curation
KV000618,reuse-guardrail,,write a letter,写信,,I write a letter to Grandma.,我给奶奶写信。,migrated-curated,rj_start1:curation
KV000619,reuse-guardrail,,make a phone call,打电话,,I make a phone call to Dad.,我给爸爸打电话。,migrated-curated,rj_start1:curation
KV000620,reuse-guardrail,,send a short message,发送短信,,I send a short message to Mum.,我给妈妈发短信。,migrated-curated,rj_start1:curation
KV000621,reuse-guardrail,,mail a present,邮寄礼物,,I mail a present to my cousin.,我给表兄弟姐妹邮寄礼物。,migrated-curated,rj_start1:curation
KV000622,reuse-guardrail,,make a video call,视频通话,,We make a video call to Grandma.,我们和奶奶视频通话。,migrated-curated,rj_start1:curation
KV000624,reuse-guardrail,,make a card,制作卡片,,I make a card for Mum.,我给妈妈做一张卡片。,migrated-curated,rj_start1:curation
KV000625,reuse-guardrail,,everywhere,到处；各处,,There are flowers everywhere in spring.,春天到处都是花。,migrated-curated,rj_start1:curation
KV000626,reuse-guardrail,,flower show,花展,,We visit the flower show.,我们参观花展。,migrated-curated,rj_start1:curation
KV000640,reuse-guardrail,,boring,无聊的；乏味的,,The film was boring.,这部电影很无聊。,migrated-curated,rj_start1:curation
KV000647,reuse-guardrail,,the Stone Forest,石林,,We visited the Stone Forest.,我们参观了石林。,migrated-curated,rj_start1:curation
KV000655,reuse-guardrail,,French fries,炸薯条,,I ate French fries for lunch.,我午饭吃了炸薯条。,migrated-curated,rj_start1:curation
KV000664,reuse-guardrail,,fifteenth,第十五,,Today is the fifteenth day.,今天是第十五天。,migrated-curated,rj_start1:curation
KV000669,reuse-guardrail,,all over,到处；遍及,,There was water all over the floor.,地板上到处都是水。,migrated-curated,rj_start1:curation
KV000670,reuse-guardrail,,out of,从……出来,,The cat jumped out of the box.,猫从盒子里跳了出来。,migrated-curated,rj_start1:curation
KV000674,reuse-guardrail,,morning tea,早茶,,We had morning tea at the hotel.,我们在酒店吃了早茶。,migrated-curated,rj_start1:curation
KV000675,reuse-guardrail,,soup,汤,,This soup tastes delicious.,这汤尝起来很好喝。,migrated-curated,rj_start1:curation
KV000676,reuse-guardrail,,the Potala Palace,布达拉宫,,The Potala Palace is in Lhasa.,布达拉宫在拉萨。,migrated-curated,rj_start1:curation
KV000677,reuse-guardrail,,the Summer Palace,颐和园,,The Summer Palace is in Beijing.,颐和园在北京。,migrated-curated,rj_start1:curation
KV000678,reuse-guardrail,,the Terracotta Army,兵马俑,,The Terracotta Army is in Xi'an.,兵马俑在西安。,migrated-curated,rj_start1:curation
KV000681,reuse-guardrail,,map,地图,,Find Beijing on the map.,在地图上找到北京。,migrated-curated,rj_start1:curation
KV000682,reuse-guardrail,,north,北；北方,,Beijing is in the north of China.,北京在中国北方。,migrated-curated,rj_start1:curation
KV000683,reuse-guardrail,,south,南；南方,,Guangzhou is in the south of China.,广州在中国南方。,migrated-curated,rj_start1:curation
KV000684,reuse-guardrail,,east,东；东方,,Shanghai is in the east of China.,上海在中国东部。,migrated-curated,rj_start1:curation
KV000685,reuse-guardrail,,west,西；西方,,Tibet is in the west of China.,西藏在中国西部。,migrated-curated,rj_start1:curation
KV000687,reuse-guardrail,,temple,寺庙；庙宇,,We visited an old temple.,我们参观了一座古老的寺庙。,migrated-curated,rj_start1:curation
KV000689,reuse-guardrail,,the Yangtze River,长江,,The Yangtze River is very long.,长江很长。,migrated-curated,rj_start1:curation
KV000690,reuse-guardrail,,foggy,有雾的,,It was foggy this morning.,今天早上有雾。,migrated-curated,rj_start1:curation
KV000691,reuse-guardrail,,spicy,辣的；辛辣的,,Sichuan food can be spicy.,四川菜可能很辣。,migrated-curated,rj_start1:curation
KV000694,reuse-guardrail,,stone,石头；石料,,The bridge is made of stone.,这座桥是石头建的。,migrated-curated,rj_start1:curation
KV000695,reuse-guardrail,,London,伦敦,,London is in the UK.,伦敦在英国。,migrated-curated,rj_start1:curation
KV000696,reuse-guardrail,,Toronto,多伦多,,Toronto is a city in Canada.,多伦多是加拿大的一座城市。,migrated-curated,rj_start1:curation
KV000698,reuse-guardrail,,Washington D.C.,华盛顿特区,,Washington D.C. is in the USA.,华盛顿特区在美国。,migrated-curated,rj_start1:curation
KV000699,reuse-guardrail,,the British Museum,大英博物馆,,The British Museum is in London.,大英博物馆在伦敦。,migrated-curated,rj_start1:curation
KV000700,reuse-guardrail,,the CN Tower,加拿大国家电视塔；CN塔,,The CN Tower is in Toronto.,加拿大国家电视塔在多伦多。,migrated-curated,rj_start1:curation
KV000701,reuse-guardrail,,kangaroo,袋鼠,,Kangaroos live in Australia.,袋鼠生活在澳大利亚。,migrated-curated,rj_start1:curation
KV000703,reuse-guardrail,,the White House,白宫,,The White House is in Washington D.C.,白宫在华盛顿特区。,migrated-curated,rj_start1:curation
KV000705,reuse-guardrail,duplicate-surface-multi-sense sense-note-parenthetical,speak,说；讲（某种语言）,,Can you speak English?,你会说英语吗？,migrated-curated,rj_start1:curation
KV000707,reuse-guardrail,,Tower Bridge,伦敦塔桥,,Tower Bridge is in London.,伦敦塔桥在伦敦。,migrated-curated,rj_start1:curation
KV000708,reuse-guardrail,,the London Eye,伦敦眼,,The London Eye is in London.,伦敦眼在伦敦。,migrated-curated,rj_start1:curation
KV000709,reuse-guardrail,,hiking,徒步旅行,,We went hiking in the hills.,我们去山里徒步了。,migrated-curated,rj_start1:curation
KV000712,reuse-guardrail,,reptile,爬行动物,,A snake is a reptile.,蛇是爬行动物。,migrated-curated,rj_start1:curation
KV000713,reuse-guardrail,,mammal,哺乳动物,,A whale is a mammal.,鲸是哺乳动物。,migrated-curated,rj_start1:curation
KV000714,reuse-guardrail,,insect,昆虫,,A bee is an insect.,蜜蜂是昆虫。,migrated-curated,rj_start1:curation
KV000715,reuse-guardrail,,penguin,企鹅,,Penguins can swim well.,企鹅很会游泳。,migrated-curated,rj_start1:curation
KV000716,reuse-guardrail,,shark,鲨鱼,,A shark lives in the sea.,鲨鱼生活在海里。,migrated-curated,rj_start1:curation
KV000717,reuse-guardrail,,whale,鲸,,A whale is a large mammal.,鲸是一种大型哺乳动物。,migrated-curated,rj_start1:curation
KV000720,reuse-guardrail,,spend,花费；度过,,We spent two days in Beijing.,我们在北京度过了两天。,migrated-curated,rj_start1:curation
KV000722,reuse-guardrail,,peanut,花生,,Elephants can eat peanuts.,大象可以吃花生。,migrated-curated,rj_start1:curation
KV000723,reuse-guardrail,duplicate-surface-multi-sense,fan,扇子,,Its ears are like big fans.,它的耳朵像大扇子。,migrated-curated,rj_start1:curation
KV000724,reuse-guardrail,,tusk,象牙；长牙,,An elephant has two tusks.,大象有两根象牙。,migrated-curated,rj_start1:curation
KV000725,reuse-guardrail,,Africa,非洲,,Many elephants live in Africa.,许多大象生活在非洲。,migrated-curated,rj_start1:curation
KV000726,reuse-guardrail,,Asia,亚洲,,China is in Asia.,中国在亚洲。,migrated-curated,rj_start1:curation
KV000727,reuse-guardrail,,smart,聪明的；机灵的,,Elephants are very smart.,大象很聪明。,migrated-curated,rj_start1:curation
KV000728,reuse-guardrail,,scared,害怕的,,I was scared of the big dog.,我害怕那只大狗。,migrated-curated,rj_start1:curation
KV000731,reuse-guardrail,,proud,自豪的,,My parents are proud of me.,我的父母为我自豪。,migrated-curated,rj_start1:curation
KV000738,reuse-guardrail,,test,考试；测试,,I have an English test tomorrow.,我明天有英语考试。,migrated-curated,rj_start1:curation
KV000739,reuse-guardrail,,competition,比赛；竞赛,,She won the writing competition.,她赢得了写作比赛。,migrated-curated,rj_start1:curation
KV000740,reuse-guardrail,,inventor,发明家,,The inventor made a new machine.,这位发明家制造了一台新机器。,migrated-curated,rj_start1:curation
KV000741,reuse-guardrail,,artist,艺术家,,The artist paints beautiful pictures.,这位艺术家画漂亮的画。,migrated-curated,rj_start1:curation
KV000742,reuse-guardrail,,scientist,科学家,,The scientist studies animals.,这位科学家研究动物。,migrated-curated,rj_start1:curation
KV000743,reuse-guardrail,,poet,诗人,,The poet wrote many poems.,这位诗人写了很多诗。,migrated-curated,rj_start1:curation
KV000747,reuse-guardrail,,poem,诗,,We read a poem in class.,我们在课堂上读了一首诗。,migrated-curated,rj_start1:curation
KV000748,reuse-guardrail,,invention,发明；发明物,,This invention changed people's lives.,这项发明改变了人们的生活。,migrated-curated,rj_start1:curation
KV000749,reuse-guardrail,,invent,发明,,Who invented this machine?,谁发明了这台机器？,migrated-curated,rj_start1:curation
KV000751,reuse-guardrail,,university,大学,,She studied at a famous university.,她在一所著名大学学习。,migrated-curated,rj_start1:curation
KV000752,reuse-guardrail,,deaf,聋的；失聪的,,The girl became deaf when she was young.,这个女孩小时候失聪了。,migrated-curated,rj_start1:curation
KV000753,reuse-guardrail,,blind,盲的；失明的,,He is blind but very independent.,他虽然失明但很独立。,migrated-curated,rj_start1:curation
KV000756,reuse-guardrail,,ice lantern,冰灯,,We saw beautiful ice lanterns.,我们看到了漂亮的冰灯。,migrated-curated,rj_start1:curation
KV000759,reuse-guardrail,,hear,听见；听到,,I can hear the birds.,我能听见鸟叫。,migrated-curated,rj_start1:curation
KV000760,reuse-guardrail,,pen pal,笔友,,My pen pal lives in Canada.,我的笔友住在加拿大。,migrated-curated,rj_start1:curation
KV000762,reuse-guardrail,,pity,遗憾；可惜,,What a pity!,真遗憾！,migrated-curated,rj_start1:curation
KV000763,reuse-guardrail,,prize,奖品；奖项,,She won first prize.,她获得了一等奖。,migrated-curated,rj_start1:curation
KV000765,reuse-guardrail,,quite,很；相当,,The city is quite beautiful.,这座城市相当漂亮。,migrated-curated,rj_start1:curation
