NoteID,Word,British,American,MeaningPrimary,FactStatus,FactSource
KV000830,closed,[kləʊzd],[kloʊzd],关闭的,model-curated,klose-actual-grade4
KV000831,fly,[flaɪ],[flaɪ],操纵（飞行器等）；飞,model-curated,klose-actual-grade4
KV000832,kite,[kaɪt],[kaɪt],风筝,model-curated,klose-actual-grade4
KV000833,snowman,[ˈsnəʊmæn],[ˈsnoʊmæn],雪人,model-curated,klose-actual-grade4
KV000834,whose,[huːz],[huːz],谁的,model-curated,klose-actual-grade4
KV000835,mine,[maɪn],[maɪn],我的,model-curated,klose-actual-grade4
KV000836,which,[wɪtʃ],[wɪtʃ],哪一个；哪一些,model-curated,klose-actual-grade4
KV000837,get together,[ɡet təˈɡeðə(r)],[ɡet təˈɡeðər],聚会,model-curated,klose-actual-grade4
KV000838,leaf,[liːf],[liːf],叶（复数 leaves）,model-curated,klose-actual-grade4
KV000839,then,[ðen],[ðen],然后；那时,model-curated,klose-actual-grade4
KV000840,hurry up,[ˌhʌri ˈʌp],[ˌhɜːri ˈʌp],快点；赶快,model-curated,klose-actual-grade4
KV000841,ready,[ˈredi],[ˈredi],准备好,model-curated,klose-actual-grade4
KV000842,rule,[ruːl],[ruːl],规则；规章,model-curated,klose-actual-grade4
KV000843,turn off,[ˌtɜːn ˈɒf],[ˌtɜːrn ˈɔːf],关掉,model-curated,klose-actual-grade4
KV000844,tidy,[ˈtaɪdi],[ˈtaɪdi],整洁的；整齐的；使整洁；整理,model-curated,klose-actual-grade4
KV000845,window,[ˈwɪndəʊ],[ˈwɪndoʊ],窗,model-curated,klose-actual-grade4
KV000846,understand,[ˌʌndəˈstænd],[ˌʌndərˈstænd],懂；理解,model-curated,klose-actual-grade4
KV000847,wall,[wɔːl],[wɔːl],墙；壁,model-curated,klose-actual-grade4
KV000848,newspaper,[ˈnjuːzpeɪpə(r)],[ˈnuːzpeɪpər],报纸,model-curated,klose-actual-grade4
KV000849,hand out,[ˌhænd ˈaʊt],[ˌhænd ˈaʊt],分发,model-curated,klose-actual-grade4
KV000850,workbook,[ˈwɜːkbʊk],[ˈwɜːrkbʊk],练习册；作业本,model-curated,klose-actual-grade4
KV000851,watch,[wɒtʃ],[wɑːtʃ],看,model-curated,klose-actual-grade4
KV000852,TV,[ˌtiː ˈviː],[ˌtiː ˈviː],电视,model-curated,klose-actual-grade4
KV000853,homework,[ˈhəʊmwɜːk],[ˈhoʊmwɜːrk],家庭作业,model-curated,klose-actual-grade4
KV000854,word,[wɜːd],[wɜːrd],言语；单词；字,model-curated,klose-actual-grade4
KV000855,wash,[wɒʃ],[wɑːʃ],洗,model-curated,klose-actual-grade4
KV000856,loud,[laʊd],[laʊd],说话太大声的；吵闹的,model-curated,klose-actual-grade4
KV000857,sleep,[sliːp],[sliːp],睡觉,model-curated,klose-actual-grade4
KV000858,think,[θɪŋk],[θɪŋk],想；思考,model-curated,klose-actual-grade4
KV000859,work,[wɜːk],[wɜːrk],做（某事）；工作,model-curated,klose-actual-grade4
KV000860,hard,[hɑːd],[hɑːrd],努力地；费力地,model-curated,klose-actual-grade4
KV000861,follow,[ˈfɒləʊ],[ˈfɑːloʊ],听从；遵循,model-curated,klose-actual-grade4
KV000862,feel,[fiːl],[fiːl],觉得；感到,model-curated,klose-actual-grade4
KV000863,over,[ˈəʊvə(r)],[ˈoʊvər],结束（的）,model-curated,klose-actual-grade4
KV000864,kid,[kɪd],[kɪd],小孩,model-curated,klose-actual-grade4
KV000865,dinner,[ˈdɪnə(r)],[ˈdɪnər],正餐,model-curated,klose-actual-grade4
KV000866,lunch,[lʌntʃ],[lʌntʃ],午餐,model-curated,klose-actual-grade4
KV000867,minute,[ˈmɪnɪt],[ˈmɪnɪt],分钟,model-curated,klose-actual-grade4
KV000868,pair,[peə(r)],[per],一条，一副,model-curated,klose-actual-grade4
KV000869,clothes,[kləʊðz],[kloʊðz],衣服；服装,model-curated,klose-actual-grade4
KV000870,those,[ðəʊz],[ðoʊz],那些,model-curated,klose-actual-grade4
KV000871,expensive,[ɪkˈspensɪv],[ɪkˈspensɪv],昂贵的；价格高的,model-curated,klose-actual-grade4
KV000872,take,[teɪk],[teɪk],买下,model-curated,klose-actual-grade4
KV000873,cheap,[tʃiːp],[tʃiːp],便宜的,model-curated,klose-actual-grade4
KV000874,hat,[hæt],[hæt],帽子,model-curated,klose-actual-grade4
KV000875,sunglasses,[ˈsʌnɡlɑːsɪz],[ˈsʌnɡlæsɪz],太阳镜；墨镜,model-curated,klose-actual-grade4
KV000876,free,[friː],[friː],免费的,model-curated,klose-actual-grade4
KV000877,large,[lɑːdʒ],[lɑːrdʒ],大型号的,model-curated,klose-actual-grade4
KV000878,size,[saɪz],[saɪz],尺码；号,model-curated,klose-actual-grade4
KV000879,list,[lɪst],[lɪst],清单；目录,model-curated,klose-actual-grade4
KV000880,try on,[ˌtraɪ ˈɒn],[ˌtraɪ ˈɑːn],试穿,model-curated,klose-actual-grade4
KV000881,any,[ˈeni],[ˈeni],任何的；任一的,model-curated,klose-actual-grade4
KV000882,mouse,[maʊs],[maʊs],老鼠,model-curated,klose-actual-grade4
KV000883,carrot,[ˈkærət],[ˈkærət],胡萝卜,model-curated,klose-actual-grade4
KV000884,green bean,[ˌɡriːn ˈbiːn],[ˌɡriːn ˈbiːn],青刀豆；四季豆,model-curated,klose-actual-grade4
KV000885,can,[kæn],[kæn],金属罐,model-curated,klose-actual-grade4
KV000886,a box of,[ə ˈbɒks əv],[ə ˈbɑːks əv],一盒，一箱（东西）,model-curated,klose-actual-grade4
KV000887,feed,[fiːd],[fiːd],给食物；饲养,model-curated,klose-actual-grade4
KV000888,pass,[pɑːs],[pæs],给；递,model-curated,klose-actual-grade4
KV000889,pick,[pɪk],[pɪk],采；摘,model-curated,klose-actual-grade4
KV000890,milk,[mɪlk],[mɪlk],挤奶,model-curated,klose-actual-grade4
KV000891,fork,[fɔːk],[fɔːrk],餐叉,model-curated,klose-actual-grade4
KV000892,waste,[weɪst],[weɪst],浪费；废品,model-curated,klose-actual-grade4
KV000893,food,[fuːd],[fuːd],菜肴；食物,model-curated,klose-actual-grade4
KV000894,clear the table,[ˌklɪə ðə ˈteɪbəl],[ˌklɪr ðə ˈteɪbəl],收拾餐桌,model-curated,klose-actual-grade4
KV000895,set the table,[ˌset ðə ˈteɪbəl],[ˌset ðə ˈteɪbəl],摆放餐具,model-curated,klose-actual-grade4
KV000896,bowl,[bəʊl],[boʊl],碗,model-curated,klose-actual-grade4
KV000897,spoon,[spuːn],[spuːn],勺；匙；调羹,model-curated,klose-actual-grade4
KV000898,herself,[hɜːˈself],[hɜːrˈself],她自己,model-curated,klose-actual-grade4
KV000899,salad,[ˈsæləd],[ˈsæləd],蔬菜沙拉,model-curated,klose-actual-grade4
KV000900,fan,[fæn],[fæn],风扇,model-curated,klose-actual-grade4
KV000901,speak,[spiːk],[spiːk],说话；发言,model-curated,klose-actual-grade4
