NoteID,CanonicalWord,MatchKey,SenseLabel,PrimaryOriginKey,CreatedSource,CreatedSourceBook,Status
KV000001,book,book,书；书本,rj_start1|book,rj_start1,1年级上,active
KV000030,six,six,六；六个,rj_start1|six,rj_start1,1年级上,active
KV000031,seven,seven,七；七个,rj_start1|seven,rj_start1,1年级上,active
KV000032,eight,eight,八；八个,rj_start1|eight,rj_start1,1年级上,active
KV000033,nine,nine,九；九个,rj_start1|nine,rj_start1,1年级上,active
KV000034,ten,ten,十；十个,rj_start1|ten,rj_start1,1年级上,active
KV000035,how,how,怎样；多少,rj_start1|how,rj_start1,1年级上,active
KV000036,many,many,许多；多少（how many）,rj_start1|many,rj_start1,1年级上,active
KV000037,are,are,是,rj_start1|are,rj_start1,1年级上,active
KV000038,there,there,那里；有（there be）,rj_start1|there,rj_start1,1年级上,active
KV000039,black,black,黑色；黑色的,rj_start1|black,rj_start1,1年级上,active
KV000040,yellow,yellow,黄色；黄色的,rj_start1|yellow,rj_start1,1年级上,active
KV000041,blue,blue,蓝色；蓝色的,rj_start1|blue,rj_start1,1年级上,active
KV000042,red,red,红色；红色的,rj_start1|red,rj_start1,1年级上,active
KV000043,green,green,绿色；绿色的,rj_start1|green,rj_start1,1年级上,active
KV000044,colour,colour,颜色,rj_start1|colour,rj_start1,1年级上,active
KV000045,apple,apple,苹果,rj_start1|apple,rj_start1,1年级上,active
KV000046,pear,pear,梨,rj_start1|pear,rj_start1,1年级上,active
KV000047,banana,banana,香蕉,rj_start1|banana,rj_start1,1年级上,active
KV000048,orange,orange,橙子；橙色,rj_start1|orange,rj_start1,1年级上,active
KV000049,do,do,助动词（用于疑问句）,rj_start1|do,rj_start1,1年级上,active
KV000050,you,you,你；你们,rj_start1|you,rj_start1,1年级上,active
KV000051,like,like,喜欢,rj_start1|like,rj_start1,1年级上,active
KV000052,yes,yes,是的；对,rj_start1|yes,rj_start1,1年级上,active
KV000053,no,no,不；不是,rj_start1|no,rj_start1,1年级上,active
KV000054,chair,chair,椅子,rj_start1|chair,rj_start1,1年级下,active
KV000055,desk,desk,课桌；书桌,rj_start1|desk,rj_start1,1年级下,active
KV000056,blackboard,blackboard,黑板,rj_start1|blackboard,rj_start1,1年级下,active
KV000057,on,on,在……上面,rj_start1|on,rj_start1,1年级下,active
KV000058,under,under,在……下面,rj_start1|under,rj_start1,1年级下,active
KV000059,in,in,在……里面,rj_start1|in,rj_start1,1年级下,active
KV000060,where,where,哪里,rj_start1|where,rj_start1,1年级下,active
KV000061,the,the,这；那（定冠词）,rj_start1|the,rj_start1,1年级下,active
KV000062,light,light,灯,rj_start1|light,rj_start1,1年级下,active
KV000063,bed,bed,床,rj_start1|bed,rj_start1,1年级下,active
KV000064,door,door,门,rj_start1|door,rj_start1,1年级下,active
KV000065,box,box,盒子；箱子,rj_start1|box,rj_start1,1年级下,active
KV000066,near,near,在……附近,rj_start1|near,rj_start1,1年级下,active
KV000067,behind,behind,在……后面,rj_start1|behind,rj_start1,1年级下,active
KV000068,plane,plane,飞机,rj_start1|plane,rj_start1,1年级下,active
KV000069,ball,ball,球,rj_start1|ball,rj_start1,1年级下,active
KV000070,doll,doll,玩具娃娃,rj_start1|doll,rj_start1,1年级下,active
KV000071,train,train,火车,rj_start1|train,rj_start1,1年级下,active
KV000072,car,car,小汽车；汽车,rj_start1|car,rj_start1,1年级下,active
KV000073,bear,bear,熊,rj_start1|bear,rj_start1,1年级下,active
KV000074,can,can,能；会；可以,rj_start1|can,rj_start1,1年级下,active
KV000075,sure,sure,当然；可以,rj_start1|sure,rj_start1,1年级下,active
KV000076,sorry,sorry,对不起；抱歉,rj_start1|sorry,rj_start1,1年级下,active
KV000077,rice,rice,米饭,rj_start1|rice,rj_start1,1年级下,active
KV000078,noodles,noodles,面条,rj_start1|noodles,rj_start1,1年级下,active
KV000079,vegetable,vegetable,蔬菜,rj_start1|vegetable,rj_start1,1年级下,active
KV000080,fish,fish,鱼；鱼肉,rj_start1|fish,rj_start1,1年级下,active
KV000081,chicken,chicken,鸡肉,rj_start1|chicken,rj_start1,1年级下,active
KV000082,egg,egg,鸡蛋；蛋,rj_start1|egg,rj_start1,1年级下,active
KV000083,hungry,hungry,饿的；饥饿的,rj_start1|hungry,rj_start1,1年级下,active
KV000084,want,want,想要,rj_start1|want,rj_start1,1年级下,active
KV000085,and,and,和；并且,rj_start1|and,rj_start1,1年级下,active
KV000086,juice,juice,果汁,rj_start1|juice,rj_start1,1年级下,active
KV000087,tea,tea,茶,rj_start1|tea,rj_start1,1年级下,active
KV000088,milk,milk,牛奶,rj_start1|milk,rj_start1,1年级下,active
KV000089,water,water,水,rj_start1|water,rj_start1,1年级下,active
KV000090,thirsty,thirsty,口渴的,rj_start1|thirsty,rj_start1,1年级下,active
KV000091,thanks,thanks,谢谢,rj_start1|thanks,rj_start1,1年级下,active
KV000092,shirt,shirt,衬衫,rj_start1|shirt,rj_start1,1年级下,active
KV000093,T-shirt,t-shirt,T恤衫,rj_start1|t-shirt,rj_start1,1年级下,active
KV000094,skirt,skirt,短裙；裙子,rj_start1|skirt,rj_start1,1年级下,active
KV000095,dress,dress,连衣裙,rj_start1|dress,rj_start1,1年级下,active
KV000096,socks,socks,袜子,rj_start1|socks,rj_start1,1年级下,active
KV000097,shorts,shorts,短裤,rj_start1|shorts,rj_start1,1年级下,active
KV000098,your,your,你的；你们的,rj_start1|your,rj_start1,1年级下,active
KV000099,father,father,爸爸；父亲,rj_start1|father,rj_start1,2年级上,active
KV000100,mother,mother,妈妈；母亲,rj_start1|mother,rj_start1,2年级上,active
KV000101,brother,brother,兄弟；哥哥；弟弟,rj_start1|brother,rj_start1,2年级上,active
KV000102,sister,sister,姐妹；姐姐；妹妹,rj_start1|sister,rj_start1,2年级上,active
KV000103,grandmother,grandmother,奶奶；外婆,rj_start1|grandmother,rj_start1,2年级上,active
KV000104,grandfather,grandfather,爷爷；外公,rj_start1|grandfather,rj_start1,2年级上,active
KV000105,who,who,谁,rj_start1|who,rj_start1,2年级上,active
KV000106,he,he,他,rj_start1|he,rj_start1,2年级上,active
KV000107,she,she,她,rj_start1|she,rj_start1,2年级上,active
KV000108,classmate,classmate,同班同学,rj_start1|classmate,rj_start1,2年级上,active
KV000109,friend,friend,朋友,rj_start1|friend,rj_start1,2年级上,active
KV000110,woman,woman,女人；妇女,rj_start1|woman,rj_start1,2年级上,active
KV000111,girl,girl,女孩,rj_start1|girl,rj_start1,2年级上,active
KV000112,man,man,男人,rj_start1|man,rj_start1,2年级上,active
KV000113,boy,boy,男孩,rj_start1|boy,rj_start1,2年级上,active
KV000114,look,look,看,rj_start1|look,rj_start1,2年级上,active
KV000115,his,his,他的,rj_start1|his,rj_start1,2年级上,active
KV000116,name,name,名字,rj_start1|name,rj_start1,2年级上,active
KV000117,her,her,她的,rj_start1|her,rj_start1,2年级上,active
KV000118,or,or,或者,rj_start1|or,rj_start1,2年级上,active
KV000119,big,big,大的,rj_start1|big,rj_start1,2年级上,active
KV000120,tall,tall,高的,rj_start1|tall,rj_start1,2年级上,active
KV000121,pretty,pretty,漂亮的,rj_start1|pretty,rj_start1,2年级上,active
KV000122,thin,thin,瘦的,rj_start1|thin,rj_start1,2年级上,active
KV000123,short,short,矮的；短的,rj_start1|short,rj_start1,2年级上,active
KV000124,handsome,handsome,英俊的,rj_start1|handsome,rj_start1,2年级上,active
KV000125,new,new,新的,rj_start1|new,rj_start1,2年级上,active
KV000126,does,does,助动词（do的第三人称单数）,rj_start1|does,rj_start1,2年级上,active
KV000127,bookshop,bookshop,书店,rj_start1|bookshop,rj_start1,2年级上,active
KV000128,zoo,zoo,动物园,rj_start1|zoo,rj_start1,2年级上,active
KV000129,school,school,学校,rj_start1|school,rj_start1,2年级上,active
KV000130,supermarket,supermarket,超市,rj_start1|supermarket,rj_start1,2年级上,active
KV000131,park,park,公园,rj_start1|park,rj_start1,2年级上,active
KV000132,hospital,hospital,医院,rj_start1|hospital,rj_start1,2年级上,active
KV000133,go,go,去,rj_start1|go,rj_start1,2年级上,active
KV000134,to,to,到；向；去,rj_start1|to,rj_start1,2年级上,active
KV000135,grass,grass,草,rj_start1|grass,rj_start1,2年级上,active
KV000136,tree,tree,树,rj_start1|tree,rj_start1,2年级上,active
KV000137,flower,flower,花,rj_start1|flower,rj_start1,2年级上,active
KV000138,boat,boat,小船,rj_start1|boat,rj_start1,2年级上,active
KV000139,lake,lake,湖,rj_start1|lake,rj_start1,2年级上,active
KV000140,hill,hill,小山,rj_start1|hill,rj_start1,2年级上,active
KV000141,Christmas,christmas,圣诞节,rj_start1|christmas,rj_start1,2年级上,active
KV000142,Father Christmas,father christmas,圣诞老人,rj_start1|father christmas,rj_start1,2年级上,active
KV000143,Christmas tree,christmas tree,圣诞树,rj_start1|christmas tree,rj_start1,2年级上,active
KV000144,card,card,卡片；贺卡,rj_start1|card,rj_start1,2年级上,active
KV000145,present,present,礼物,rj_start1|present,rj_start1,2年级上,active
KV000146,New Year,new year,新年,rj_start1|new year,rj_start1,2年级上,active
KV000147,merry,merry,快乐的；愉快的,rj_start1|merry,rj_start1,2年级上,active
KV000148,too,too,也,rj_start1|too,rj_start1,2年级上,active
KV000149,here,here,这里,rj_start1|here,rj_start1,2年级上,active
KV000150,for,for,给；为了,rj_start1|for,rj_start1,2年级上,active
KV000151,thank,thank,感谢；谢谢,rj_start1|thank,rj_start1,2年级上,active
KV000152,happy,happy,快乐的；高兴的,rj_start1|happy,rj_start1,2年级上,active
KV000153,play football,play football,踢足球,rj_start1|play football,rj_start1,2年级下,active
KV000154,fly a kite,fly a kite,放风筝,rj_start1|fly a kite,rj_start1,2年级下,active
KV000155,ride a bike,ride a bike,骑自行车,rj_start1|ride a bike,rj_start1,2年级下,active
KV000156,make a model plane,make a model plane,做飞机模型,rj_start1|make a model plane,rj_start1,2年级下,active
KV000157,swim,swim,游泳,rj_start1|swim,rj_start1,2年级下,active
KV000158,make a snowman,make a snowman,堆雪人,rj_start1|make a snowman,rj_start1,2年级下,active
KV000159,can't,can't,不能；不会,rj_start1|can't,rj_start1,2年级下,active
KV000160,rainy,rainy,下雨的；多雨的,rj_start1|rainy,rj_start1,2年级下,active
KV000161,cloudy,cloudy,多云的,rj_start1|cloudy,rj_start1,2年级下,active
KV000162,snowy,snowy,下雪的；多雪的,rj_start1|snowy,rj_start1,2年级下,active
KV000163,windy,windy,有风的；多风的,rj_start1|windy,rj_start1,2年级下,active
KV000164,sunny,sunny,晴朗的；阳光充足的,rj_start1|sunny,rj_start1,2年级下,active
KV000165,umbrella,umbrella,雨伞,rj_start1|umbrella,rj_start1,2年级下,active
KV000166,weather,weather,天气,rj_start1|weather,rj_start1,2年级下,active
KV000167,wow,wow,哇；呀,rj_start1|wow,rj_start1,2年级下,active
KV000168,let's,let's,让我们,rj_start1|let's,rj_start1,2年级下,active
KV000169,spring,spring,春天,rj_start1|spring,rj_start1,2年级下,active
KV000170,summer,summer,夏天,rj_start1|summer,rj_start1,2年级下,active
KV000171,autumn,autumn,秋天,rj_start1|autumn,rj_start1,2年级下,active
KV000172,winter,winter,冬天,rj_start1|winter,rj_start1,2年级下,active
KV000173,hot,hot,热的,rj_start1|hot,rj_start1,2年级下,active
KV000174,warm,warm,暖和的,rj_start1|warm,rj_start1,2年级下,active
KV000175,cool,cool,凉爽的,rj_start1|cool,rj_start1,2年级下,active
KV000176,cold,cold,寒冷的,rj_start1|cold,rj_start1,2年级下,active
KV000177,favourite,favourite,最喜欢的,rj_start1|favourite,rj_start1,2年级下,active
KV000178,season,season,季节,rj_start1|season,rj_start1,2年级下,active
KV000179,eleven,eleven,十一；十一个,rj_start1|eleven,rj_start1,2年级下,active
KV000180,twelve,twelve,十二；十二个,rj_start1|twelve,rj_start1,2年级下,active
KV000181,twenty,twenty,二十,rj_start1|twenty,rj_start1,2年级下,active
KV000182,thirty,thirty,三十,rj_start1|thirty,rj_start1,2年级下,active
KV000183,forty,forty,四十,rj_start1|forty,rj_start1,2年级下,active
KV000184,fifty,fifty,五十,rj_start1|fifty,rj_start1,2年级下,active
KV000185,thirteen,thirteen,十三；十三个,rj_start1|thirteen,rj_start1,2年级下,active
KV000186,fourteen,fourteen,十四；十四个,rj_start1|fourteen,rj_start1,2年级下,active
KV000187,fifteen,fifteen,十五；十五个,rj_start1|fifteen,rj_start1,2年级下,active
KV000188,time,time,时间；时刻,rj_start1|time,rj_start1,2年级下,active
KV000189,playtime,playtime,游戏时间；课间活动时间,rj_start1|playtime,rj_start1,2年级下,active
KV000190,get up,get up,起床,rj_start1|get up,rj_start1,2年级下,active
KV000191,eat breakfast,eat breakfast,吃早饭,rj_start1|eat breakfast,rj_start1,2年级下,active
KV000192,go to school,go to school,去上学,rj_start1|go to school,rj_start1,2年级下,active
KV000193,eat lunch,eat lunch,吃午饭,rj_start1|eat lunch,rj_start1,2年级下,active
KV000194,go home,go home,回家,rj_start1|go home,rj_start1,2年级下,active
KV000195,eat dinner,eat dinner,吃晚饭,rj_start1|eat dinner,rj_start1,2年级下,active
KV000196,go to bed,go to bed,上床睡觉,rj_start1|go to bed,rj_start1,2年级下,active
KV000197,when,when,什么时候,rj_start1|when,rj_start1,2年级下,active
KV000198,every day,every day,每天,rj_start1|every day,rj_start1,2年级下,active
KV000199,at,at,在……时刻,rj_start1|at,rj_start1,2年级下,active
KV000200,Sunday,sunday,星期日,rj_start1|sunday,rj_start1,2年级下,active
KV000201,Monday,monday,星期一,rj_start1|monday,rj_start1,2年级下,active
KV000202,Tuesday,tuesday,星期二,rj_start1|tuesday,rj_start1,2年级下,active
KV000203,Wednesday,wednesday,星期三,rj_start1|wednesday,rj_start1,2年级下,active
KV000204,Thursday,thursday,星期四,rj_start1|thursday,rj_start1,2年级下,active
KV000205,Friday,friday,星期五,rj_start1|friday,rj_start1,2年级下,active
KV000206,Saturday,saturday,星期六,rj_start1|saturday,rj_start1,2年级下,active
KV000207,today,today,今天,rj_start1|today,rj_start1,2年级下,active
KV000208,year,year,年；岁,rj_start1|year,rj_start1,3年级上,active
KV000209,old,old,……岁的；年老的,rj_start1|old,rj_start1,3年级上,active
KV000210,how old,how old,几岁；多大,rj_start1|how old,rj_start1,3年级上,active
KV000211,class,class,班；班级,rj_start1|class,rj_start1,3年级上,active
KV000212,grade,grade,年级,rj_start1|grade,rj_start1,3年级上,active
KV000213,age,age,年龄,rj_start1|age,rj_start1,3年级上,active
KV000214,dear,dear,亲爱的,rj_start1|dear,rj_start1,3年级上,active
KV000215,body,body,身体,rj_start1|body,rj_start1,3年级上,active
KV000216,head,head,头；头部,rj_start1|head,rj_start1,3年级上,active
KV000217,hair,hair,头发,rj_start1|hair,rj_start1,3年级上,active
KV000218,arm,arm,手臂,rj_start1|arm,rj_start1,3年级上,active
KV000219,hand,hand,手,rj_start1|hand,rj_start1,3年级上,active
KV000220,leg,leg,腿,rj_start1|leg,rj_start1,3年级上,active
KV000221,foot,foot,脚,rj_start1|foot,rj_start1,3年级上,active
KV000222,feet,feet,脚（foot的复数）,rj_start1|feet,rj_start1,3年级上,active
KV000223,the matter,the matter,问题；怎么了,rj_start1|the matter,rj_start1,3年级上,active
KV000224,hurt,hurt,疼；受伤,rj_start1|hurt,rj_start1,3年级上,active
KV000225,help,help,帮助；帮忙,rj_start1|help,rj_start1,3年级上,active
KV000226,bad,bad,坏的；糟糕的,rj_start1|bad,rj_start1,3年级上,active
KV000227,bite,bite,咬,rj_start1|bite,rj_start1,3年级上,active
KV000228,tongue,tongue,舌头,rj_start1|tongue,rj_start1,3年级上,active
KV000229,kick,kick,踢,rj_start1|kick,rj_start1,3年级上,active
KV000230,morning,morning,早晨；上午,rj_start1|morning,rj_start1,3年级上,active
KV000231,afternoon,afternoon,下午,rj_start1|afternoon,rj_start1,3年级上,active
KV000232,summary,summary,总结；概要,rj_start1|summary,rj_start1,3年级上,active
KV000233,bread,bread,面包,rj_start1|bread,rj_start1,3年级上,active
KV000234,cake,cake,蛋糕,rj_start1|cake,rj_start1,3年级上,active
KV000235,fruit,fruit,水果,rj_start1|fruit,rj_start1,3年级上,active
KV000236,ice-cream,ice-cream,冰淇淋,rj_start1|ice-cream,rj_start1,3年级上,active
KV000237,potato,potato,土豆；马铃薯,rj_start1|potato,rj_start1,3年级上,active
KV000238,tomato,tomato,西红柿；番茄,rj_start1|tomato,rj_start1,3年级上,active
KV000239,meat,meat,肉；肉类,rj_start1|meat,rj_start1,3年级上,active
KV000240,shopping list,shopping list,购物清单,rj_start1|shopping list,rj_start1,3年级上,active
KV000241,cola,cola,可乐,rj_start1|cola,rj_start1,3年级上,active
KV000242,buy,buy,买；购买,rj_start1|buy,rj_start1,3年级上,active
KV000243,vegetables,vegetables,蔬菜,rj_start1|vegetables,rj_start1,3年级上,active
KV000244,duck,duck,鸭子,rj_start1|duck,rj_start1,3年级上,active
KV000245,rabbit,rabbit,兔子,rj_start1|rabbit,rj_start1,3年级上,active
KV000246,pet,pet,宠物,rj_start1|pet,rj_start1,3年级上,active
KV000247,snake,snake,蛇,rj_start1|snake,rj_start1,3年级上,active
KV000248,turtle,turtle,乌龟,rj_start1|turtle,rj_start1,3年级上,active
KV000249,small,small,小的,rj_start1|small,rj_start1,3年级上,active
KV000250,long,long,长的,rj_start1|long,rj_start1,3年级上,active
KV000251,look for,look for,寻找,rj_start1|look for,rj_start1,3年级上,active
KV000252,tail,tail,尾巴,rj_start1|tail,rj_start1,3年级上,active
KV000253,dance,dance,跳舞,rj_start1|dance,rj_start1,3年级上,active
KV000254,cap,cap,帽子；便帽,rj_start1|cap,rj_start1,3年级上,active
KV000255,coat,coat,外套,rj_start1|coat,rj_start1,3年级上,active
KV000256,shoes,shoes,鞋,rj_start1|shoes,rj_start1,3年级上,active
KV000257,sweater,sweater,毛衣,rj_start1|sweater,rj_start1,3年级上,active
KV000258,jacket,jacket,夹克衫,rj_start1|jacket,rj_start1,3年级上,active
KV000259,gloves,gloves,手套,rj_start1|gloves,rj_start1,3年级上,active
KV000260,trousers,trousers,裤子；长裤,rj_start1|trousers,rj_start1,3年级上,active
KV000261,should,should,应该,rj_start1|should,rj_start1,3年级上,active
KV000262,wear,wear,穿；戴,rj_start1|wear,rj_start1,3年级上,active
KV000263,week,week,星期；周,rj_start1|week,rj_start1,3年级上,active
KV000264,soon,soon,很快；不久,rj_start1|soon,rj_start1,3年级上,active
KV000265,look forward to,look forward to,期待；盼望,rj_start1|look forward to,rj_start1,3年级上,active
KV000266,January,january,一月,rj_start1|january,rj_start1,3年级上,active
KV000267,February,february,二月,rj_start1|february,rj_start1,3年级上,active
KV000268,March,march,三月,rj_start1|march,rj_start1,3年级上,active
KV000269,April,april,四月,rj_start1|april,rj_start1,3年级上,active
KV000270,May,may,五月,rj_start1|may,rj_start1,3年级上,active
KV000271,June,june,六月,rj_start1|june,rj_start1,3年级上,active
KV000272,July,july,七月,rj_start1|july,rj_start1,3年级上,active
KV000273,August,august,八月,rj_start1|august,rj_start1,3年级上,active
KV000274,September,september,九月,rj_start1|september,rj_start1,3年级上,active
KV000275,October,october,十月,rj_start1|october,rj_start1,3年级上,active
KV000276,November,november,十一月,rj_start1|november,rj_start1,3年级上,active
KV000277,December,december,十二月,rj_start1|december,rj_start1,3年级上,active
KV000278,birthday,birthday,生日,rj_start1|birthday,rj_start1,3年级上,active
KV000279,first,first,第一；首先,rj_start1|first,rj_start1,3年级上,active
KV000280,party,party,聚会；派对,rj_start1|party,rj_start1,3年级上,active
KV000281,delicious,delicious,美味的；好吃的,rj_start1|delicious,rj_start1,3年级上,active
KV000282,Chinese,chinese,汉语；中文,rj_start1|chinese,rj_start1,3年级下,active
KV000283,English,english,英语,rj_start1|english,rj_start1,3年级下,active
KV000284,science,science,科学；科学课,rj_start1|science,rj_start1,3年级下,active
KV000285,PE,pe,体育；体育课,rj_start1|pe,rj_start1,3年级下,active
KV000286,music,music,音乐；音乐课,rj_start1|music,rj_start1,3年级下,active
KV000287,maths,maths,数学；数学课,rj_start1|maths,rj_start1,3年级下,active
KV000288,art,art,美术；美术课,rj_start1|art,rj_start1,3年级下,active
KV000289,computer class,computer class,计算机课,rj_start1|computer class,rj_start1,3年级下,active
KV000290,we,we,我们,rj_start1|we,rj_start1,3年级下,active
KV000291,that,that,那；那个,rj_start1|that,rj_start1,3年级下,active
KV000292,classroom,classroom,教室,rj_start1|classroom,rj_start1,3年级下,active
KV000293,library,library,图书馆,rj_start1|library,rj_start1,3年级下,active
KV000294,toilet,toilet,厕所；卫生间,rj_start1|toilet,rj_start1,3年级下,active
KV000295,playground,playground,操场,rj_start1|playground,rj_start1,3年级下,active
KV000296,second,second,第二,rj_start1|second,rj_start1,3年级下,active
KV000297,third,third,第三,rj_start1|third,rj_start1,3年级下,active
KV000298,floor,floor,楼层；地板,rj_start1|floor,rj_start1,3年级下,active
KV000299,room,room,房间,rj_start1|room,rj_start1,3年级下,active
KV000300,our,our,我们的,rj_start1|our,rj_start1,3年级下,active
KV000301,they,they,他们；她们；它们,rj_start1|they,rj_start1,3年级下,active
KV000302,after school,after school,放学后,rj_start1|after school,rj_start1,3年级下,active
KV000303,play sports,play sports,做运动；参加体育活动,rj_start1|play sports,rj_start1,3年级下,active
KV000304,draw pictures,draw pictures,画画,rj_start1|draw pictures,rj_start1,3年级下,active
KV000305,play chess,play chess,下棋,rj_start1|play chess,rj_start1,3年级下,active
KV000306,sing songs,sing songs,唱歌,rj_start1|sing songs,rj_start1,3年级下,active
KV000307,read books,read books,读书；看书,rj_start1|read books,rj_start1,3年级下,active
KV000308,really,really,真的；确实,rj_start1|really,rj_start1,3年级下,active
KV000309,tomorrow,tomorrow,明天,rj_start1|tomorrow,rj_start1,3年级下,active
KV000310,wake up,wake up,醒来；叫醒,rj_start1|wake up,rj_start1,3年级下,active
KV000311,be back,be back,回来,rj_start1|be back,rj_start1,3年级下,active
KV000312,family,family,家庭；家人,rj_start1|family,rj_start1,3年级下,active
KV000313,uncle,uncle,叔叔；舅舅等,rj_start1|uncle,rj_start1,3年级下,active
KV000314,aunt,aunt,阿姨；姑姑；姨妈等,rj_start1|aunt,rj_start1,3年级下,active
KV000315,cousin,cousin,堂兄弟姐妹；表兄弟姐妹,rj_start1|cousin,rj_start1,3年级下,active
KV000316,beautiful,beautiful,美丽的；漂亮的,rj_start1|beautiful,rj_start1,3年级下,active
KV000317,lost,lost,丢失的；迷路的,rj_start1|lost,rj_start1,3年级下,active
KV000318,water bottle,water bottle,水瓶；水壶,rj_start1|water bottle,rj_start1,3年级下,active
KV000319,know,know,知道；认识,rj_start1|know,rj_start1,3年级下,active
KV000320,ok,ok,好的；可以,rj_start1|ok,rj_start1,3年级下,active
KV000321,much,much,很；非常,rj_start1|much,rj_start1,3年级下,active
KV000322,welcome,welcome,欢迎；不客气,rj_start1|welcome,rj_start1,3年级下,active
KV000323,cooking dinner,cooking dinner,正在做晚饭,rj_start1|cooking dinner,rj_start1,3年级下,active
KV000324,walking the dog,walking the dog,正在遛狗,rj_start1|walking the dog,rj_start1,3年级下,active
KV000325,watering the plants,watering the plants,正在给植物浇水,rj_start1|watering the plants,rj_start1,3年级下,active
KV000326,cleaning the room,cleaning the room,正在打扫房间,rj_start1|cleaning the room,rj_start1,3年级下,active
KV000327,listening to music,listening to music,正在听音乐,rj_start1|listening to music,rj_start1,3年级下,active
KV000328,watching TV,watching tv,正在看电视,rj_start1|watching tv,rj_start1,3年级下,active
KV000329,feeding the fish,feeding the fish,正在喂鱼,rj_start1|feeding the fish,rj_start1,3年级下,active
KV000330,play with,play with,和……一起玩,rj_start1|play with,rj_start1,3年级下,active
KV000331,in one hour,in one hour,一小时后,rj_start1|in one hour,rj_start1,3年级下,active
KV000332,everyone,everyone,每个人；大家,rj_start1|everyone,rj_start1,3年级下,active
KV000333,children,children,孩子们,rj_start1|children,rj_start1,3年级下,active
KV000334,run,run,跑；奔跑,rj_start1|run,rj_start1,3年级下,active
KV000335,home,home,家；在家,rj_start1|home,rj_start1,3年级下,active
KV000336,bedroom,bedroom,卧室,rj_start1|bedroom,rj_start1,3年级下,active
KV000337,living room,living room,客厅,rj_start1|living room,rj_start1,3年级下,active
KV000338,bathroom,bathroom,浴室；卫生间,rj_start1|bathroom,rj_start1,3年级下,active
KV000339,dining room,dining room,餐厅；饭厅,rj_start1|dining room,rj_start1,3年级下,active
KV000340,study,study,书房；学习,rj_start1|study,rj_start1,3年级下,active
KV000341,kitchen,kitchen,厨房,rj_start1|kitchen,rj_start1,3年级下,active
KV000342,for rent,for rent,出租,rj_start1|for rent,rj_start1,3年级下,active
KV000343,sofa,sofa,沙发,rj_start1|sofa,rj_start1,3年级下,active
KV000344,running,running,跑步,rj_start1|running,rj_start1,4年级上,active
KV000345,basketball,basketball,篮球,rj_start1|basketball,rj_start1,4年级上,active
KV000346,roller skating,roller skating,轮滑；滑旱冰,rj_start1|roller skating,rj_start1,4年级上,active
KV000347,jumping rope,jumping rope,跳绳,rj_start1|jumping rope,rj_start1,4年级上,active
KV000348,ping-pong,ping-pong,乒乓球,rj_start1|ping-pong,rj_start1,4年级上,active
KV000349,What about ...?,what about ...?,……怎么样？,rj_start1|what about ...?,rj_start1,4年级上,active
KV000350,interesting,interesting,有趣的,rj_start1|interesting,rj_start1,4年级上,active
KV000351,often,often,经常；常常,rj_start1|often,rj_start1,4年级上,active
KV000352,be good at,be good at,擅长,rj_start1|be good at,rj_start1,4年级上,active
KV000353,late,late,迟到的；晚的,rj_start1|late,rj_start1,4年级上,active
