NoteID,CanonicalWord,MatchKey,SenseLabel,PrimaryOriginKey,CreatedSource,CreatedSourceBook,Status
KV000857,sleep,sleep,睡觉,rj_start1|klose-current|grade4-lower-u02-o013|sleep,rj_start1,klose-current::4年级下,active
KV000858,think,think,想；思考,rj_start1|klose-current|grade4-lower-u02-o018|think,rj_start1,klose-current::4年级下,active
KV000859,work,work,做（某事）；工作,rj_start1|klose-current|grade4-lower-u02-o019|work,rj_start1,klose-current::4年级下,active
KV000860,hard,hard,努力地；费力地,rj_start1|klose-current|grade4-lower-u02-o020|hard,rj_start1,klose-current::4年级下,active
KV000861,follow,follow,听从；遵循,rj_start1|klose-current|grade4-lower-u02-o021|follow,rj_start1,klose-current::4年级下,active
KV000862,feel,feel,觉得；感到,rj_start1|klose-current|grade4-lower-u02-o022|feel,rj_start1,klose-current::4年级下,active
KV000863,over,over,结束（的）,rj_start1|klose-current|grade4-lower-u03-o001|over,rj_start1,klose-current::4年级下,active
KV000864,kid,kid,小孩,rj_start1|klose-current|grade4-lower-u03-o002|kid,rj_start1,klose-current::4年级下,active
KV000865,dinner,dinner,正餐,rj_start1|klose-current|grade4-lower-u03-o003|dinner,rj_start1,klose-current::4年级下,active
KV000866,lunch,lunch,午餐,rj_start1|klose-current|grade4-lower-u03-o005|lunch,rj_start1,klose-current::4年级下,active
KV000867,minute,minute,分钟,rj_start1|klose-current|grade4-lower-u03-o014|minute,rj_start1,klose-current::4年级下,active
KV000868,pair,pair,一条，一副,rj_start1|klose-current|grade4-lower-u04-o002|pair,rj_start1,klose-current::4年级下,active
KV000869,clothes,clothes,衣服；服装,rj_start1|klose-current|grade4-lower-u04-o003|clothes,rj_start1,klose-current::4年级下,active
KV000870,those,those,那些,rj_start1|klose-current|grade4-lower-u04-o004|those,rj_start1,klose-current::4年级下,active
KV000871,expensive,expensive,昂贵的；价格高的,rj_start1|klose-current|grade4-lower-u04-o009|expensive,rj_start1,klose-current::4年级下,active
KV000872,take,take,买下,rj_start1|klose-current|grade4-lower-u04-o010|take,rj_start1,klose-current::4年级下,active
KV000873,cheap,cheap,便宜的,rj_start1|klose-current|grade4-lower-u04-o011|cheap,rj_start1,klose-current::4年级下,active
KV000874,hat,hat,帽子,rj_start1|klose-current|grade4-lower-u04-o014|hat,rj_start1,klose-current::4年级下,active
KV000875,sunglasses,sunglasses,太阳镜；墨镜,rj_start1|klose-current|grade4-lower-u04-o015|sunglasses,rj_start1,klose-current::4年级下,active
KV000876,free,free,免费的,rj_start1|klose-current|grade4-lower-u04-o016|free,rj_start1,klose-current::4年级下,active
KV000877,large,large,大型号的,rj_start1|klose-current|grade4-lower-u04-o017|large,rj_start1,klose-current::4年级下,active
KV000878,size,size,尺码；号,rj_start1|klose-current|grade4-lower-u04-o018|size,rj_start1,klose-current::4年级下,active
KV000879,list,list,清单；目录,rj_start1|klose-current|grade4-lower-u04-o019|list,rj_start1,klose-current::4年级下,active
KV000880,try on,try on,试穿,rj_start1|klose-current|grade4-lower-u04-o020|try on,rj_start1,klose-current::4年级下,active
KV000881,any,any,任何的；任一的,rj_start1|klose-current|grade4-lower-u04-o021|any,rj_start1,klose-current::4年级下,active
KV000882,mouse,mouse,老鼠,rj_start1|klose-current|grade4-lower-u05-o008|mouse,rj_start1,klose-current::4年级下,active
KV000883,carrot,carrot,胡萝卜,rj_start1|klose-current|grade4-lower-u05-o009|carrot,rj_start1,klose-current::4年级下,active
KV000884,green bean,green bean,青刀豆；四季豆,rj_start1|klose-current|grade4-lower-u05-o011|green bean,rj_start1,klose-current::4年级下,active
KV000885,can,can,金属罐,rj_start1|klose-current|grade4-lower-u05-o012|can,rj_start1,klose-current::4年级下,active
KV000886,a box of,a box of,一盒，一箱（东西）,rj_start1|klose-current|grade4-lower-u05-o013|a box of,rj_start1,klose-current::4年级下,active
KV000887,feed,feed,给食物；饲养,rj_start1|klose-current|grade4-lower-u06-o001|feed,rj_start1,klose-current::4年级下,active
KV000888,pass,pass,给；递,rj_start1|klose-current|grade4-lower-u06-o002|pass,rj_start1,klose-current::4年级下,active
KV000889,pick,pick,采；摘,rj_start1|klose-current|grade4-lower-u06-o003|pick,rj_start1,klose-current::4年级下,active
KV000890,milk,milk,挤奶,rj_start1|klose-current|grade4-lower-u06-o004|milk,rj_start1,klose-current::4年级下,active
KV000891,fork,fork,餐叉,rj_start1|klose-current|grade4-lower-u06-o006|fork,rj_start1,klose-current::4年级下,active
KV000892,waste,waste,浪费；废品,rj_start1|klose-current|grade4-lower-u06-o008|waste,rj_start1,klose-current::4年级下,active
KV000893,food,food,菜肴；食物,rj_start1|klose-current|grade4-lower-u06-o009|food,rj_start1,klose-current::4年级下,active
KV000894,clear the table,clear the table,收拾餐桌,rj_start1|klose-current|grade4-lower-u06-o011|clear the table,rj_start1,klose-current::4年级下,active
KV000895,set the table,set the table,摆放餐具,rj_start1|klose-current|grade4-lower-u06-o012|set the table,rj_start1,klose-current::4年级下,active
KV000896,bowl,bowl,碗,rj_start1|klose-current|grade4-lower-u06-o013|bowl,rj_start1,klose-current::4年级下,active
KV000897,spoon,spoon,勺；匙；调羹,rj_start1|klose-current|grade4-lower-u06-o014|spoon,rj_start1,klose-current::4年级下,active
KV000898,herself,herself,她自己,rj_start1|klose-current|grade4-lower-u06-o016|herself,rj_start1,klose-current::4年级下,active
KV000899,salad,salad,蔬菜沙拉,rj_start1|klose-current|grade4-lower-u06-o018|salad,rj_start1,klose-current::4年级下,active
KV000900,fan,fan,风扇,rj_start1|klose-current|grade4-lower-u01-o017|fan,rj_start1,klose-current::4年级下,active
KV000901,speak,speak,说话；发言,rj_start1|klose-current|grade4-upper-u05-o001|speak,rj_start1,klose-current::4年级上,active
KV000902,team,team,（游戏或运动的）队；（一起工作的）组，班,klose-grade5-6-current|new::team::team,klose-grade5-6-current,5年级上,active
KV000903,player,player,运动员；参赛选手,klose-grade5-6-current|new::player::athlete-player,klose-grade5-6-current,5年级上,active
KV000904,him,him,他,klose-grade5-6-current|new::him::object-pronoun,klose-grade5-6-current,5年级上,active
KV000905,hard-working,hard-working,工作努力的；辛勤的,klose-grade5-6-current|new::hard-working::diligent,klose-grade5-6-current,5年级上,active
KV000906,robot,robot,机器人,klose-grade5-6-current|new::robot::robot,klose-grade5-6-current,5年级上,active
KV000907,jump,jump,跳；跃,klose-grade5-6-current|new::jump::jump,klose-grade5-6-current,5年级上,active
KV000908,rope,rope,绳；粗绳,klose-grade5-6-current|new::rope::rope,klose-grade5-6-current,5年级上,active
KV000909,piano,piano,钢琴,klose-grade5-6-current|new::piano::instrument,klose-grade5-6-current,5年级上,active
KV000910,chess,chess,国际象棋,klose-grade5-6-current|new::chess::game,klose-grade5-6-current,5年级上,active
KV000911,front,front,前部,klose-grade5-6-current|new::front::front-part,klose-grade5-6-current,5年级上,active
KV000912,easy,easy,容易的；轻易的,klose-grade5-6-current|new::easy::not-difficult,klose-grade5-6-current,5年级上,active
KV000913,star,star,歌唱（或表演）明星,klose-grade5-6-current|new::star::performer-celebrity,klose-grade5-6-current,5年级上,active
KV000914,matter,matter,事情；问题,klose-grade5-6-current|new::matter::issue,klose-grade5-6-current,5年级上,active
KV000915,project,project,项目；方案,klose-grade5-6-current|new::project::project,klose-grade5-6-current,5年级上,active
KV000916,centre,centre,中心,klose-grade5-6-current|new::centre::center,klose-grade5-6-current,5年级上,active
KV000917,agree,agree,同意；赞成,klose-grade5-6-current|new::agree::consent,klose-grade5-6-current,5年级上,active
KV000918,finish,finish,完成；做好,klose-grade5-6-current|new::finish::complete,klose-grade5-6-current,5年级上,active
KV000919,both,both,两者,klose-grade5-6-current|new::both::two-totality,klose-grade5-6-current,5年级上,active
KV000920,wrong,wrong,错误的,klose-grade5-6-current|new::wrong::incorrect,klose-grade5-6-current,5年级上,active
KV000921,afraid,afraid,担心；害怕,klose-grade5-6-current|new::afraid::fearful,klose-grade5-6-current,5年级上,active
KV000922,parent,parent,父亲；母亲,klose-grade5-6-current|new::parent::parent,klose-grade5-6-current,5年级上,active
KV000923,ask,ask,问；询问,klose-grade5-6-current|new::ask::inquire,klose-grade5-6-current,5年级上,active
KV000924,laugh,laugh,笑,klose-grade5-6-current|new::laugh::laugh,klose-grade5-6-current,5年级上,active
KV000925,move,move,搬家；移动,klose-grade5-6-current|new::move::move-relocate,klose-grade5-6-current,5年级上,active
KV000926,start,start,开始,klose-grade5-6-current|new::start::begin,klose-grade5-6-current,5年级上,active
KV000927,weekend,weekend,周末,klose-grade5-6-current|new::weekend::weekend,klose-grade5-6-current,5年级上,active
KV000928,lesson,lesson,课；一节课,klose-grade5-6-current|new::lesson::class-period,klose-grade5-6-current,5年级上,active
KV000929,answer,answer,答复；回答,klose-grade5-6-current|new::answer::respond,klose-grade5-6-current,5年级上,active
KV000930,night,night,夜；夜晚,klose-grade5-6-current|new::night::night,klose-grade5-6-current,5年级上,active
KV000931,visit,visit,看望；拜访；参观,klose-grade5-6-current|new::visit::visit,klose-grade5-6-current,5年级上,active
KV000932,grandparent,grandparent,祖父；祖母；外祖父；外祖母,klose-grade5-6-current|new::grandparent::grandparent,klose-grade5-6-current,5年级上,active
KV000933,flu,flu,流行性感冒；流感,klose-grade5-6-current|new::flu::influenza,klose-grade5-6-current,5年级上,active
KV000934,else,else,其他的；别的,klose-grade5-6-current|new::else::other-additional,klose-grade5-6-current,5年级上,active
KV000935,enough,enough,足够的；充足的；充分的,klose-grade5-6-current|new::enough::sufficient,klose-grade5-6-current,5年级上,active
KV000936,if,if,如果；假若；倘若,klose-grade5-6-current|new::if::condition,klose-grade5-6-current,5年级上,active
KV000937,show,show,（电视或广播）节目,klose-grade5-6-current|new::show::broadcast-program,klose-grade5-6-current,5年级上,active
KV000938,then,then,那么；因此；既然如此,klose-grade5-6-current|new::then::discourse-consequence,klose-grade5-6-current,5年级上,active
KV000939,rest,rest,休息；放松,klose-grade5-6-current|new::rest::rest-relax,klose-grade5-6-current,5年级上,active
KV000940,take care of,take care of,爱护；照顾,klose-grade5-6-current|new::take care of::care-for,klose-grade5-6-current,5年级上,active
KV000941,check,check,查看；查明,klose-grade5-6-current|new::check::inspect,klose-grade5-6-current,5年级上,active
KV000942,brush,brush,（用刷子）刷净；刷亮；刷平顺,klose-grade5-6-current|new::brush::clean-with-brush,klose-grade5-6-current,5年级上,active
KV000943,tooth,tooth,牙；齿,klose-grade5-6-current|new::tooth::tooth,klose-grade5-6-current,5年级上,active
KV000944,twice,twice,两次；两遍,klose-grade5-6-current|new::twice::two-times,klose-grade5-6-current,5年级上,active
KV000945,hour,hour,小时,klose-grade5-6-current|new::hour::time-unit,klose-grade5-6-current,5年级上,active
KV000946,beef,beef,牛肉,klose-grade5-6-current|new::beef::food,klose-grade5-6-current,5年级上,active
KV000947,little,little,少许；一点,klose-grade5-6-current|new::little::small-amount,klose-grade5-6-current,5年级上,active
KV000948,Mrs,mrs,（用于女子的姓氏或姓名前）太太，夫人,klose-grade5-6-current|new::mrs::title,klose-grade5-6-current,5年级上,active
KV000949,coconut,coconut,椰子,klose-grade5-6-current|new::coconut::fruit,klose-grade5-6-current,5年级上,active
KV000950,seed,seed,种子；籽,klose-grade5-6-current|new::seed::seed,klose-grade5-6-current,5年级上,active
KV000951,pull,pull,拔出；抽出,klose-grade5-6-current|new::pull::pull-out,klose-grade5-6-current,5年级上,active
KV000952,stem,stem,（花草的）茎；（花或叶的）梗，柄,klose-grade5-6-current|new::stem::plant-stem,klose-grade5-6-current,5年级上,active
KV000953,root,root,根；根茎,klose-grade5-6-current|new::root::plant-root,klose-grade5-6-current,5年级上,active
KV000954,lotus,lotus,莲属植物,klose-grade5-6-current|new::lotus::plant,klose-grade5-6-current,5年级上,active
KV000955,world,world,世界；地球；天下,klose-grade5-6-current|new::world::world,klose-grade5-6-current,5年级上,active
KV000956,round,round,圆形的；环形的；球形的,klose-grade5-6-current|new::round::round-shape,klose-grade5-6-current,5年级上,active
KV000957,way,way,方法；手段；途径；方式,klose-grade5-6-current|new::way::method,klose-grade5-6-current,5年级上,active
KV000958,river,river,河；江,klose-grade5-6-current|new::river::river,klose-grade5-6-current,5年级上,active
KV000959,nature,nature,自然界；大自然,klose-grade5-6-current|new::nature::nature,klose-grade5-6-current,5年级上,active
KV000960,waterfall,waterfall,瀑布,klose-grade5-6-current|new::waterfall::waterfall,klose-grade5-6-current,5年级上,active
KV000961,mountain,mountain,高山；山岳,klose-grade5-6-current|new::mountain::mountain,klose-grade5-6-current,5年级上,active
KV000962,wind,wind,风；气流,klose-grade5-6-current|new::wind::wind-airflow,klose-grade5-6-current,5年级上,active
KV000963,trip,trip,（尤指短程往返的）旅行，旅游，出行,klose-grade5-6-current|new::trip::journey,klose-grade5-6-current,5年级上,active
KV000964,heavy,heavy,程度大的；严重的,klose-grade5-6-current|new::heavy::severe-degree,klose-grade5-6-current,5年级上,active
KV000965,close,close,关；关闭；闭上,klose-grade5-6-current|new::close::shut,klose-grade5-6-current,5年级上,active
KV000966,raincoat,raincoat,雨衣,klose-grade5-6-current|new::raincoat::clothing,klose-grade5-6-current,5年级上,active
KV000967,worry,worry,担心；担忧；发愁,klose-grade5-6-current|new::worry::be-worried,klose-grade5-6-current,5年级上,active
KV000968,fine,fine,晴朗的,klose-grade5-6-current|new::fine::clear-weather,klose-grade5-6-current,5年级上,active
KV000969,fog,fog,雾,klose-grade5-6-current|new::fog::fog,klose-grade5-6-current,5年级上,active
KV000970,flood,flood,洪水；水灾,klose-grade5-6-current|new::flood::flood,klose-grade5-6-current,5年级上,active
KV000971,fire,fire,火；火灾,klose-grade5-6-current|new::fire::fire-disaster,klose-grade5-6-current,5年级上,active
KV000972,go hiking,go hiking,徒步旅行,klose-grade5-6-current|new::go hiking::activity-phrase,klose-grade5-6-current,5年级上,active
KV000973,do morning exercises,do morning exercises,做早操,klose-grade5-6-current|new::do morning exercises::routine,klose-grade5-6-current,5年级下,active
KV000974,clean my room,clean my room,打扫我的房间,klose-grade5-6-current|new::clean my room::chore-phrase,klose-grade5-6-current,5年级下,merged
KV000975,go for a walk,go for a walk,散步,klose-grade5-6-current|new::go for a walk::activity-phrase,klose-grade5-6-current,5年级下,active
KV000976,go shopping,go shopping,去买东西；购物,klose-grade5-6-current|new::go shopping::activity-phrase,klose-grade5-6-current,5年级下,active
KV000977,take,take,学习；上（课）,klose-grade5-6-current|new::take::study-course,klose-grade5-6-current,5年级下,active
KV000978,take a dancing class,take a dancing class,上舞蹈课,klose-grade5-6-current|new::take a dancing class::class-activity,klose-grade5-6-current,5年级下,active
KV000979,after,after,在（时间）后,klose-grade5-6-current|new::after::later-than,klose-grade5-6-current,5年级下,active
KV000980,Spain,spain,西班牙,klose-grade5-6-current|new::spain::country,klose-grade5-6-current,5年级下,active
KV000981,a.m.,a.m.,午前；上午,klose-grade5-6-current|new::a-m::before-noon,klose-grade5-6-current,5年级下,active
KV000982,p.m.,p.m.,午后；下午,klose-grade5-6-current|new::p.m.::afternoon-time-marker,klose-grade5-6-current,5年级下,active
KV000983,last,last,上一个的；刚过去的,klose-grade5-6-current|new::last::previous-recent,klose-grade5-6-current,5年级下,active
KV000984,need,need,需要,klose-grade5-6-current|new::need::need,klose-grade5-6-current,5年级下,active
KV000985,play,play,戏剧；剧本,klose-grade5-6-current|new::play::drama-script,klose-grade5-6-current,5年级下,active
KV000986,letter,letter,信,klose-grade5-6-current|new::letter::written-message,klose-grade5-6-current,5年级下,active
KV000987,island,island,岛,klose-grade5-6-current|new::island::island,klose-grade5-6-current,5年级下,active
KV000988,cave,cave,山洞；洞穴,klose-grade5-6-current|new::cave::cave,klose-grade5-6-current,5年级下,active
KV000989,go swimming,go swimming,去游泳,klose-grade5-6-current|new::go swimming::activity-phrase,klose-grade5-6-current,5年级下,active
KV000990,picnic,picnic,野餐,klose-grade5-6-current|new::picnic::picnic,klose-grade5-6-current,5年级下,active
KV000991,go on a picnic,go on a picnic,去野餐,klose-grade5-6-current|new::go on a picnic::activity-phrase,klose-grade5-6-current,5年级下,active
KV000992,pick apples,pick apples,摘苹果,klose-grade5-6-current|new::pick apples::activity-phrase,klose-grade5-6-current,5年级下,active
KV000993,best,best,最；最高程度地,klose-grade5-6-current|new::best::adverb-highest-degree,klose-grade5-6-current,5年级下,active
KV000994,pink,pink,粉色；粉色的,klose-grade5-6-current|new::pink::colour,klose-grade5-6-current,5年级下,active
KV000995,paint,paint,用颜料绘画,klose-grade5-6-current|new::paint::make-picture,klose-grade5-6-current,5年级下,active
KV000996,few,few,不多；很少,klose-grade5-6-current|new::few::small-number,klose-grade5-6-current,5年级下,active
KV000997,a few,a few,一些,klose-grade5-6-current|new::a-few::small-number,klose-grade5-6-current,5年级下,active
KV000998,sports meet,sports meet,运动会,klose-grade5-6-current|new::sports meet::sports-event,klose-grade5-6-current,5年级下,active
KV000999,contest,contest,比赛；竞赛,klose-grade5-6-current|new::contest::competition,klose-grade5-6-current,5年级下,active
KV001000,labour,labour,劳动,klose-grade5-6-current|new::labour::work,klose-grade5-6-current,5年级下,active
KV001001,Labour Day,labour day,劳动节,klose-grade5-6-current|new::labour day::holiday,klose-grade5-6-current,5年级下,active
KV001002,national,national,国家的,klose-grade5-6-current|new::national::national,klose-grade5-6-current,5年级下,active
KV001003,riddle,riddle,谜；谜语,klose-grade5-6-current|new::riddle::riddle,klose-grade5-6-current,5年级下,active
KV001004,act,act,扮演,klose-grade5-6-current|new::act::perform-role,klose-grade5-6-current,5年级下,active
KV001005,act out,act out,表演出来,klose-grade5-6-current|new::act-out::perform,klose-grade5-6-current,5年级下,active
KV001006,RSVP,rsvp,（尤用于请柬）请赐复,klose-grade5-6-current|new::rsvp::reply-request,klose-grade5-6-current,5年级下,active
KV001007,by,by,在……之前,klose-grade5-6-current|new::by::deadline-before,klose-grade5-6-current,5年级下,active
KV001008,fourth (4th),fourth (4th),第四（的）,klose-grade5-6-current|new::fourth::ordinal,klose-grade5-6-current,5年级下,active
KV001009,twentieth (20th),twentieth (20th),第二十（的）,klose-grade5-6-current|new::twentieth::ordinal,klose-grade5-6-current,5年级下,active
KV001010,twenty-first (21st),twenty-first (21st),第二十一（的）,klose-grade5-6-current|new::twenty-first::ordinal,klose-grade5-6-current,5年级下,active
KV001011,twenty-third (23rd),twenty-third (23rd),第二十三（的）,klose-grade5-6-current|new::twenty-third::ordinal,klose-grade5-6-current,5年级下,active
KV001012,thirtieth (30th),thirtieth (30th),第三十（的）,klose-grade5-6-current|new::thirtieth::ordinal,klose-grade5-6-current,5年级下,active
KV001013,other,other,其他,klose-grade5-6-current|new::other::other,klose-grade5-6-current,5年级下,active
KV001014,show,show,展览,klose-grade5-6-current|new::show::event-performance,klose-grade5-6-current,5年级下,active
KV001015,festival,festival,节日,klose-grade5-6-current|new::festival::festival,klose-grade5-6-current,5年级下,active
KV001016,kitten,kitten,小猫,klose-grade5-6-current|new::kitten::young-cat,klose-grade5-6-current,5年级下,active
KV001017,diary,diary,日记,klose-grade5-6-current|new::diary::diary,klose-grade5-6-current,5年级下,active
KV001018,still,still,仍然；依旧；还是,klose-grade5-6-current|new::still::continuing-state,klose-grade5-6-current,5年级下,active
KV001019,noise,noise,声音；响声；噪音,klose-grade5-6-current|new::noise::sound-noise,klose-grade5-6-current,5年级下,active
KV001020,fur,fur,（某些动物的）浓密的软毛,klose-grade5-6-current|new::fur::animal-fur,klose-grade5-6-current,5年级下,active
KV001021,open,open,开着的,klose-grade5-6-current|new::open::not-closed,klose-grade5-6-current,5年级下,active
KV001022,yours,yours,你（们）的,klose-grade5-6-current|new::yours::possessive-pronoun,klose-grade5-6-current,5年级下,active
KV001023,hers,hers,她的,klose-grade5-6-current|new::hers::possessive-pronoun,klose-grade5-6-current,5年级下,active
KV001024,theirs,theirs,他们的；她们的；它们的,klose-grade5-6-current|new::theirs::possessive-pronoun,klose-grade5-6-current,5年级下,active
KV001025,ours,ours,我们的,klose-grade5-6-current|new::ours::possessive-pronoun,klose-grade5-6-current,5年级下,active
KV001026,each,each,每一；各个,klose-grade5-6-current|new::each::each,klose-grade5-6-current,5年级下,active
KV001027,each other,each other,相互,klose-grade5-6-current|new::each other::reciprocal,klose-grade5-6-current,5年级下,active
KV001028,like,like,像……那样,klose-grade5-6-current|new::like::similar-to,klose-grade5-6-current,5年级下,active
KV001029,eating lunch,eating lunch,（正在）吃午饭,klose-grade5-6-current|new::eat lunch::meal-action,klose-grade5-6-current,5年级下,merged
KV001030,reading a book,reading a book,（正在）看书,klose-grade5-6-current|new::read a book::activity-phrase,klose-grade5-6-current,5年级下,merged
KV001031,keep,keep,保持某种状态,klose-grade5-6-current|new::keep::remain-state,klose-grade5-6-current,5年级下,active
KV001032,keep to the right,keep to the right,靠右,klose-grade5-6-current|new::keep to the right::direction-phrase,klose-grade5-6-current,5年级下,active
KV001033,keep your desk clean,keep your desk clean,保持你的课桌干净,klose-grade5-6-current|new::keep your desk clean::chore-phrase,klose-grade5-6-current,5年级下,active
