ProvisionalIdentityKey,CanonicalMatchKey,LookupMatchKey,DisplayWord,ThirdPartyTargetSense,SourceMatchKeys,SourceOccurrenceCount,LearnerAdmitted,KloseCandidateClass,KloseCandidateCount,KloseCandidateNoteIDs,KloseCandidateSenses,PremergeStatus,MergeAuthorized
candidate:abroad,abroad,abroad,abroad,在国外；到国外,abroad,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:absent,absent,absent,absent,缺席的；不在的,absent,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:accident,accident,accident,accident,事故；意外,accident,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:across,across,across,across,穿过；横过,across,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:across from,across from,across from,across from,在……正对面,across from,2,yes,exact-single,1,KV000440,在……对面,pending-sense-confirmation,no
candidate:act,act,act,act,表演；演戏,act,3,yes,exact-single,1,KV001004,扮演,pending-sense-confirmation,no
candidate:active,active,active,active,积极的；活跃的,active,5,yes,exact-single,1,KV000525,活跃的；积极的,pending-sense-confirmation,no
candidate:activity,activity,activity,activity,活动,activity,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:actor,actor,actor,actor,男演员,actor,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:add,add,add,add,加入；添加,add,1,yes,exact-single,1,KV001096,补充说；增加,pending-sense-confirmation,no
candidate:address,address,address,address,地址,address,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:adult,adult,adult,adult,成年人；成人,adult,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:adventure,adventure,adventure,adventure,冒险；冒险经历,adventure,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:advertisement,advertisement,advertisement,advertisement,广告；宣传,advertisement,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:advice,advice,advice,advice,建议；忠告,advice,3,yes,exact-single,1,KV000592,建议,pending-sense-confirmation,no
candidate:aeroplane,aeroplane,aeroplane,aeroplane,飞机,aeroplane,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:afraid,afraid,afraid,afraid,害怕的；担心的,afraid,15,yes,exact-single,1,KV000921,担心；害怕,pending-sense-confirmation,no
candidate:afraid of,afraid of,afraid of,afraid of,害怕……；担心……,afraid of|be afraid of,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:africa,africa,africa,Africa,非洲,africa,3,yes,exact-single,1,KV000725,非洲,pending-sense-confirmation,no
candidate:after,after,after,after,在……之后；以后,after,16,yes,exact-single,1,KV000979,在（时间）后,pending-sense-confirmation,no
candidate:after school,after school,after school,after school,放学后,after school,4,yes,exact-single,1,KV000302,放学后,pending-sense-confirmation,no
candidate:afternoon,afternoon,afternoon,afternoon,下午,afternoon,19,yes,exact-single,1,KV000231,下午,pending-sense-confirmation,no
candidate:again,again,again,again,再；又；再一次,again,15,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:age,age,age,age,年龄,age,6,yes,exact-single,1,KV000213,年龄,pending-sense-confirmation,no
candidate:ago,ago,ago,ago,以前；……之前,ago,13,yes,exact-single,1,KV001185,以前,pending-sense-confirmation,no
candidate:agree,agree,agree,agree,同意；赞同,agree,3,yes,exact-single,1,KV000917,同意；赞成,pending-sense-confirmation,no
candidate:ahead,ahead,ahead,ahead,向前；在前面,ahead,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:air,air,air,air,空气,air,9,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:air-conditioned,air-conditioned,air-conditioned,air-conditioned,有空调的,air-conditioned,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:airplane,airplane,airplane,airplane,飞机,airplane,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:airport,airport,airport,airport,机场,airport,7,yes,exact-single,1,KV000767,机场,pending-sense-confirmation,no
candidate:alarm clock,alarm clock,alarm clock,alarm clock,闹钟,alarm clock,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:alaska,alaska,alaska,Alaska,阿拉斯加州,alaska,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:alive,alive,alive,alive,活着的；有生命的,alive,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:all,all,all,all,全部；所有,all,21,yes,exact-single,1,KV000528,全部；所有,pending-sense-confirmation,no
candidate:all around,all around,all around,all around,四处；到处,all around,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:all day,all day,all day,all day,整天；一整天,all day,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:all over,all over,all over,all over,到处；遍及,all over,2,yes,exact-single,1,KV000669,到处；遍及,pending-sense-confirmation,no
candidate:all over the world,all over the world,all over the world,all over the world,世界各地；遍及全世界,all over the world,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:all the time,all the time,all the time,all the time,一直；始终,all the time,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:all year round,all year round,all year round,all year round,全年；一年到头,all year round,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:almost,almost,almost,almost,"差不多,几乎",almost,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:alone,alone,alone,alone,独自的；独自地,alone,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:along,along,along,along,沿着；顺着,along,10,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:aloud,aloud,aloud,aloud,大声地；出声地,aloud,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:alphabet,alphabet,alphabet,alphabet,字母表,alphabet,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:already,already,already,already,已经；早已,already,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:alright,alright,alright,alright,好吧；没问题的,alright,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:also,also,also,also,也；而且,also,16,yes,exact-single,1,KV000561,也；还,pending-sense-confirmation,no
candidate:always,always,always,always,总是；一直,always,21,yes,exact-single,1,KV000363,总是,pending-sense-confirmation,no
candidate:am,am,am,am,是（be 的第一人称单数现在式）,am,20,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:amazing,amazing,amazing,amazing,令人惊异的；令人惊叹的,amazing,3,yes,exact-single,1,KV000801,令人惊叹的；了不起的,pending-sense-confirmation,no
candidate:ambulance,ambulance,ambulance,ambulance,救护车,ambulance,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:america,america,america,America,美国,america,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:american,american,american,American,美国的；美国人,american,10,yes,exact-single,1,KV000745,美国的；美国人,pending-sense-confirmation,no
candidate:american football,american football,american football,American football,美式足球,american football,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:amusement park,amusement park,amusement park,amusement park,游乐园；游乐场,amusement park,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:an,an,an,an,一个；一（用于元音音素前）,an,18,no,exact-single,1,KV000009,一；一个,pending-sense-confirmation,no
candidate:and,and,and,and,和；与；而且,and,20,yes,exact-single,1,KV000085,和；并且,pending-sense-confirmation,no
candidate:angry,angry,angry,angry,生气的；愤怒的,angry,18,yes,exact-single,1,KV000730,生气的,pending-sense-confirmation,no
candidate:animal,animal,animal,animal,动物,animal,17,yes,exact-single,1,KV000542,动物,pending-sense-confirmation,no
candidate:ankle,ankle,ankle,ankle,脚踝；踝关节,ankle,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:another,another,another,another,另一个；又一个,another,9,yes,exact-single,1,KV001092,另一个；不同的（人或事物）,pending-sense-confirmation,no
candidate:answer,answer,answer,answer,回答；答案,answer,12,yes,exact-single,1,KV000929,答复；回答,pending-sense-confirmation,no
candidate:ant,ant,ant,ant,蚂蚁,ant,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:any,any,any,any,任何；一些（用于疑问或否定）,any,19,yes,exact-single,1,KV000881,任何的；任一的,pending-sense-confirmation,no
candidate:anyone,anyone,anyone,anyone,任何人；无论谁,anyone,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:anything,anything,anything,anything,任何事；任何东西,anything,9,yes,exact-single,1,KV001040,任何事物,pending-sense-confirmation,no
candidate:anytime,anytime,anytime,anytime,任何时候；随时,anytime,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:anyway,anyway,anyway,anyway,无论如何；总之,anyway,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:anywhere,anywhere,anywhere,anywhere,任何地方；无论哪里,anywhere,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:appear,appear,appear,appear,出现；出现于,appear,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:apple,apple,apple,apple,苹果,apple,23,yes,exact-single,1,KV000045,苹果,pending-sense-confirmation,no
candidate:april,april,april,April,四月,apr.|april,18,yes,exact-single,1,KV000269,四月,pending-sense-confirmation,no
candidate:arctic,arctic,arctic,Arctic,北极地区；北极的,arctic,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:are,are,are,are,是（be 的第二人称及复数现在式）,are,27,yes,exact-single,1,KV000037,是,pending-sense-confirmation,no
candidate:are not,are not,are not,are not,不是；没有；不（are 的否定形式）,are not|aren't,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:area,area,area,area,地区；区域,area,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:argentina,argentina,argentina,Argentina,阿根廷,argentina,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:argue,argue,argue,argue,争论；争吵,argue,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:arm,arm,arm,arm,手臂；胳膊,arm,21,yes,exact-single,1,KV000218,手臂,pending-sense-confirmation,no
candidate:around,around,around,around,在……周围；到处；大约,around,19,yes,exact-single,1,KV000688,周围；四处,pending-sense-confirmation,no
candidate:arrive,arrive,arrive,arrive,到达,arrive,7,yes,exact-single,1,KV000769,到达,pending-sense-confirmation,no
candidate:art,art,art,art,美术；艺术,art,19,yes,exact-single,1,KV000288,美术；美术课,pending-sense-confirmation,no
candidate:art gallery,art gallery,art gallery,art gallery,美术馆；艺术画廊,art gallery,1,yes,exact-single,1,KV000774,美术馆,pending-sense-confirmation,no
candidate:art museum,art museum,art museum,art museum,美术馆,art museum,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:art room,art room,art room,art room,美术教室,art room,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:artist,artist,artist,artist,艺术家；美术家,artist,5,yes,exact-single,1,KV000741,艺术家,pending-sense-confirmation,no
candidate:as,as,as,as,作为；当作,as,6,yes,exact-single,1,KV001071,作为,pending-sense-confirmation,no
candidate:as well,as well,as well,as well,也；还,as well,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:asia,asia,asia,Asia,亚洲,asia,3,yes,exact-single,1,KV000726,亚洲,pending-sense-confirmation,no
candidate:ask,ask,ask,ask,问；询问,ask,18,yes,exact-single,1,KV000923,问；询问,pending-sense-confirmation,no
candidate:asleep,asleep,asleep,asleep,睡着的,asleep,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:assistant,assistant,assistant,assistant,助手；助理,assistant,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:astronaut,astronaut,astronaut,astronaut,宇航员；航天员,astronaut,5,yes,exact-single,1,KV001126,航天员；宇航员,pending-sense-confirmation,no
candidate:at,at,at,at,在；于；向（用于地点、时间或目标）,at,17,yes,exact-single,1,KV000199,在……时刻,pending-sense-confirmation,no
candidate:at all,at all,at all,at all,根本；完全（用于否定或疑问）,at all,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at first,at first,at first,at first,起初；一开始,at first,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at home,at home,at home,at home,在家,at home,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at last,at last,at last,at last,终于；最后,at last,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at least,at least,at least,at least,至少,at least,2,yes,exact-single,1,KV000785,至少,pending-sense-confirmation,no
candidate:at night,at night,at night,at night,在夜里；晚上,at night,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at noon,at noon,at noon,at noon,在中午,at noon,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at the end of,at the end of,at the end of,at the end of,在……末尾；在……结束时,at the end of,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at the same time,at the same time,at the same time,at the same time,同时；与此同时,at the same time,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at the top of,at the top of,at the top of,at the top of,在……顶部；在……最上面,at the top of,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at the weekend,at the weekend,at the weekend,at the weekend,在周末,at the weekend,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:at work,at work,at work,at work,在工作；工作中,at work,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:athlete,athlete,athlete,athlete,运动员,athlete,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:attention,attention,attention,attention,注意；注意力,attention,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:august,august,august,August,八月,aug.|august,18,yes,exact-single,1,KV000273,八月,pending-sense-confirmation,no
candidate:aunt,aunt,aunt,aunt,姑妈；姨妈；伯母；舅妈等女性长辈,aunt,21,yes,exact-single,1,KV000314,阿姨；姑姑；姨妈等,pending-sense-confirmation,no
candidate:auntie,auntie,auntie,auntie,阿姨；姑妈；姨妈,auntie,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:australia,australia,australia,Australia,澳大利亚,australia,11,yes,exact-single,1,KV000508,澳大利亚,pending-sense-confirmation,no
candidate:australia day,australia day,australia day,Australia Day,澳大利亚日,australia day,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:australian,australian,australian,Australian,澳大利亚的；澳大利亚人,australian,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:australian football,australian football,australian football,Australian football,澳式足球,australian football,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:autograph,autograph,autograph,autograph,亲笔签名,autograph,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:autumn,autumn,autumn,autumn,秋天；秋季,autumn,20,yes,exact-single,1,KV000171,秋天,pending-sense-confirmation,no
candidate:aviary,aviary,aviary,aviary,鸟舍；大鸟笼,aviary,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:away,away,away,away,离开；在远处,away,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:awful,awful,awful,awful,糟糕的；可怕的,awful,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:ax,ax,ax,ax,斧头,ax,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:baby,baby,baby,baby,婴儿；宝宝,baby,15,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:baby brother,baby brother,baby brother,baby brother,弟弟；小弟弟,baby brother,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:back,back,back,back,向后；回到原处,back,15,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:backpack,backpack,backpack,backpack,背包；双肩背包,backpack,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bacon,bacon,bacon,bacon,培根；熏猪肉,bacon,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bad,bad,bad,bad,坏的；不好的,bad,17,yes,exact-single,1,KV000226,坏的；糟糕的,pending-sense-confirmation,no
candidate:badly,badly,badly,badly,严重地；很差地,badly,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:badminton,badminton,badminton,badminton,羽毛球；羽毛球运动,badminton,5,yes,exact-single,1,KV000641,羽毛球,pending-sense-confirmation,no
candidate:bag,bag,bag,bag,袋子；包,bag,23,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bake,bake,bake,bake,烘烤；烘焙,bake,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:baker,baker,baker,baker,面包师；面包工人,baker,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bakery,bakery,bakery,bakery,面包店,bakery,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:ball,ball,ball,ball,球,ball,22,yes,exact-single,1,KV000069,球,pending-sense-confirmation,no
candidate:balloon,balloon,balloon,balloon,气球,balloon,11,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bamboo,bamboo,bamboo,bamboo,竹子,bamboo,6,yes,exact-single,1,KV001037,竹子,pending-sense-confirmation,no
candidate:banana,banana,banana,banana,香蕉,banana,23,yes,exact-single,1,KV000047,香蕉,pending-sense-confirmation,no
candidate:band,band,band,band,乐队,band,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bandage,bandage,bandage,bandage,绷带；用绷带包扎,bandage,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bangkok,bangkok,bangkok,Bangkok,曼谷,bangkok,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bank,bank,bank,bank,银行,bank,8,yes,exact-single,1,KV000445,银行,pending-sense-confirmation,no
candidate:bar,bar,bar,bar,条；棒；块（食品）,bar,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:barbecue,barbecue,barbecue,barbecue,烧烤；烧烤野餐,barbecue,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bark,bark,bark,bark,吠叫；狗叫,bark,3,yes,exact-single,1,KV000531,狗叫；吠,pending-sense-confirmation,no
candidate:baseball,baseball,baseball,baseball,棒球；棒球运动,baseball,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:basket,basket,basket,basket,篮子,basket,7,yes,exact-single,1,KV001181,篮；筐,pending-sense-confirmation,no
candidate:basketball,basketball,basketball,basketball,篮球；篮球运动,basketball,18,yes,exact-single,1,KV000345,篮球,pending-sense-confirmation,no
candidate:bath,bath,bath,bath,洗澡；沐浴,bath,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bathroom,bathroom,bathroom,bathroom,浴室；洗手间,bathroom,14,yes,exact-single,1,KV000338,浴室；卫生间,pending-sense-confirmation,no
candidate:battle,battle,battle,battle,战斗；战役,battle,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bay,bay,bay,bay,海湾,bay,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be,be,be,be,是；成为（be 的原形）,be,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be able to,be able to,be able to,be able to,能够；可以,be able to,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be back,be back,be back,be back,回来；返回,be back,1,yes,exact-single,1,KV000311,回来,pending-sense-confirmation,no
candidate:be born,be born,be born,be born,出生,be born|born,7,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be careful with,be careful with,be careful with,be careful with,小心……；注意……,be careful with,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be full of,be full of,be full of,be full of,充满……,be full of,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be good at,be good at,be good at,be good at,擅长……,be good at,8,yes,exact-single,1,KV000352,擅长,pending-sense-confirmation,no
candidate:be interested in,be interested in,be interested in,be interested in,对……感兴趣,be interested in,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be late for,be late for,be late for,be late for,……迟到；迟到,be late for,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:be weak in,be weak in,be weak in,be weak in,不擅长……；在……方面较弱,be weak in,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:beach,beach,beach,beach,海滩；沙滩,beach,10,yes,exact-single,1,KV001180,海滩；沙滩,pending-sense-confirmation,no
candidate:bean,bean,bean,bean,豆；豆子,bean,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:beans,beans,beans,beans,豆子；豆类,beans,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bear,bear,bear,bear,熊,bear,16,yes,exact-single,1,KV000073,熊,pending-sense-confirmation,no
candidate:beautiful,beautiful,beautiful,beautiful,美丽的；漂亮的,beautiful,22,yes,exact-single,1,KV000316,美丽的；漂亮的,pending-sense-confirmation,no
candidate:beautifully,beautifully,beautifully,beautifully,漂亮地；优美地,beautifully,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:beauty,beauty,beauty,beauty,美；美丽；美景,beauty,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:beaver,beaver,beaver,beaver,河狸；海狸,beaver,1,yes,exact-single,1,KV000788,海狸,pending-sense-confirmation,no
candidate:because,because,because,because,因为,because,14,yes,exact-single,1,KV000737,因为,pending-sense-confirmation,no
candidate:become,become,become,become,成为；变得,became|become,11,yes,exact-single,1,KV001166,开始变得；变成,pending-sense-confirmation,no
candidate:bed,bed,bed,bed,床,bed,22,yes,exact-single,1,KV000063,床,pending-sense-confirmation,no
candidate:bedroom,bedroom,bedroom,bedroom,卧室,bedroom,17,yes,exact-single,1,KV000336,卧室,pending-sense-confirmation,no
candidate:bedtime,bedtime,bedtime,bedtime,就寝时间；睡觉时间,bedtime,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bee,bee,bee,bee,蜜蜂,bee,8,yes,exact-single,1,KV000549,蜜蜂,pending-sense-confirmation,no
candidate:beef,beef,beef,beef,牛肉,beef,5,yes,exact-single,1,KV000946,牛肉,pending-sense-confirmation,no
candidate:beep,beep,beep,beep,哔哔声；发出哔哔声,beep,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:before,before,before,before,在……之前；以前,before,19,yes,exact-single,1,KV000456,在……之前,pending-sense-confirmation,no
candidate:begin,begin,begin,begin,开始,began|begin,15,yes,exact-single,1,KV001081,（过去式 began）开始,pending-sense-confirmation,no
candidate:behind,behind,behind,behind,在……后面；在后面,behind,19,yes,exact-single,1,KV000067,在……后面,pending-sense-confirmation,no
candidate:beijing opera,beijing opera,beijing opera,Beijing Opera,京剧,beijing opera,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:believe,believe,believe,believe,相信；认为,believe,5,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bell,bell,bell,bell,铃；钟,bell,6,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:belt,belt,belt,belt,腰带；皮带,belt,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bench,bench,bench,bench,长凳,bench,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bend,bend,bend,bend,弯曲；弯下,bend,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:beside,beside,beside,beside,在……旁边,beside,15,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:better and better,better and better,better and better,better and better,越来越好,better and better,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:between,between,between,between,在……之间,between,16,yes,exact-single,1,KV000442,在……之间,pending-sense-confirmation,no
candidate:bicycle,bicycle,bicycle,bicycle,自行车,bicycle,4,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:big,big,big,big,大的；大,big|bigger,31,yes,exact-single,1,KV000119,大的,pending-sense-confirmation,no
candidate:big ben,big ben,big ben,Big Ben,大本钟,big ben,5,yes,exact-single,1,KV000514,大本钟,pending-sense-confirmation,no
candidate:biggest,biggest,biggest,biggest,最大的,biggest,3,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bike,bike,bike,bike,自行车,bike,19,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bike ride,bike ride,bike ride,bike ride,骑自行车出行；骑车兜风,bike ride,1,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bin,bin,bin,bin,垃圾箱；垃圾桶,bin,2,yes,no-existing-match,0,,,pending-new-identity-review,no
candidate:bird,bird,bird,bird,鸟,bird|birds,24,yes,exact-single,1,KV000019,鸟,pending-sense-confirmation,no
