CandidateKey,CanonicalPattern,CommunicativeFunction,ExpressionType,SourceGrades,ExampleSource,Tier,PilotCandidate,Status,Notes
EC0041,I like [thing].,表达喜好,slot_frame,3|4,I like the fresh air.,secondary,no,candidate,过于基础但可作为问答配套
EC0042,I'm [number] years old.,回答年龄,slot_frame,3,I'm five years old.,secondary,no,candidate,与 How old are you 配套
EC0043,They're [plural noun].,说明复数事物是什么,slot_frame,3|4,They're grapes.,secondary,no,candidate,与 What are these 配套
EC0044,It's [preposition phrase].,说明物品位置,slot_frame,3,It's in the box.,secondary,no,candidate,与 Where is 问句配套
EC0045,[Subject] [verb] [number] [plural noun].,回答数量,slot_frame,3,We have fifteen books.,secondary,no,candidate,用于 have/need 等数量回答
EC0046,It's [price].,说明价格,slot_frame,3,It's twenty yuan.,secondary,no,candidate,与 How much 问句配套
EC0047,What about [thing]?,询问或补充另一个对象,fixed,3,What about this?,secondary,no,candidate,语义依赖上下文
EC0048,How about [proposal]?,提出替代方案或还价,slot_frame,3,How about three for sixteen yuan?,secondary,no,candidate,高迁移但需要上下文
EC0049,Who's your [relationship]?,询问某种关系中的人物,slot_frame,4,Who's your best friend?,secondary,no,candidate,当前教材只出现 best friend
EC0050,[Person] is [adjective] and [adjective].,描述人物两个特征,slot_frame,4,He's tall and strong.,secondary,no,candidate,描述人物可迁移
EC0051,What can we do for [person]?,询问可以为某人做什么,slot_frame,4,What can we do for them?,secondary,no,candidate,结构清楚但场景较窄
EC0052,We can [verb phrase].,表达可以采取的行动,slot_frame,3|4,We can do some chores.,secondary,no,candidate,过于通用不列首批
EC0053,[Name] speaking.,电话中自报身份,slot_frame,4,Mark speaking.,secondary,no,candidate,电话场景固定表达
EC0054,This is [name].,电话中自报身份,slot_frame,4,This is John.,secondary,no,candidate,必须保留电话语境才能避免与一般 this is 混淆
EC0055,Which [category] do you like?,询问某类别中的偏好,slot_frame,4,Which season do you like?,secondary,no,candidate,与 Do you like 功能相关但提问范围不同
EC0056,You have to [verb phrase] first.,表达必须先做某事,slot_frame,4,You have to do your homework first.,secondary,no,candidate,规则和顺序表达
EC0057,Have a nice day!,祝愿对方一天愉快,fixed,4,Have a nice day!,secondary,no,candidate,固定高频社交表达
EC0058,Excuse me.,引起注意或表示劳驾,fixed,3|4,Excuse me.,secondary,no,candidate,四下 Excuse me? 的功能需在 presentation 中区分
EC0059,You're welcome.,回应感谢,fixed,3,You're welcome.,secondary,no,candidate,固定社交表达
EC0060,No problem.,表示没问题或不用客气,fixed,3,No problem.,secondary,no,candidate,固定社交表达
EC0061,Be careful!,提醒小心,fixed,3|4,Be careful!,secondary,no,candidate,三上和四下均出现
EC0062,Hurry up!,催促对方快一点,fixed,4,Hurry up!,secondary,no,candidate,高频但不需要 slot
EC0063,After you!,礼让对方先行,fixed,3,After you!,secondary,no,candidate,固定礼貌表达
EC0064,Me too.,表达自己也一样,fixed,3,Me too.,secondary,no,candidate,固定回应表达
