NoteID,OriginType,ReleaseState,CanonicalWord,SenseLabel,MeaningPrimary,CandidateBritish,CandidateAmerican,RiskFlags,ReviewRiskReasons
KV000509,reused-existing-stable,released,the UK,英国,英国,[ðə jˌuːkˈeɪ],[ðə jˌuːkˈeɪ],multiword proper-case,proper-case
KV000510,reused-existing-stable,released,the USA,美国,美国,[ðə jˌuːˌɛsˈeɪ],[ðə jˌuːˌɛsˈeɪ],multiword proper-case,proper-case
KV000514,reused-existing-stable,released,Big Ben,大本钟,大本钟,[bˈɪɡ bˈɛn],[bˈɪɡ bˈɛn],multiword proper-case,proper-case
KV000594,reused-existing-stable,unreleased,New Year's Day,元旦,元旦,[njˈuː jˈiəz dˈeɪ],[nˈuː jˈɪɹz dˈeɪ],multiword proper-case punctuation,proper-case
KV000595,reused-existing-stable,unreleased,Tree Planting Day,植树节,植树节,[tɹˈiː plˈantɪŋ dˈeɪ],[tɹˈiː plˈæntɪŋ dˈeɪ],multiword proper-case,proper-case
KV000596,reused-existing-stable,unreleased,Mother's Day,母亲节,母亲节,[mˈʌðəz dˈeɪ],[mˈʌðɚz dˈeɪ],multiword proper-case punctuation,proper-case
KV000597,reused-existing-stable,unreleased,Children's Day,儿童节,儿童节,[tʃˈɪldɹənz dˈeɪ],[tʃˈɪldɹənz dˈeɪ],multiword proper-case punctuation,proper-case
KV000598,reused-existing-stable,unreleased,Father's Day,父亲节,父亲节,[fˈɑːðəz dˈeɪ],[fˈɑːðɚz dˈeɪ],multiword proper-case punctuation,proper-case
KV000599,reused-existing-stable,unreleased,Teachers' Day,教师节,教师节,[tˈiːtʃəz dˈeɪ],[tˈiːtʃɚz dˈeɪ],multiword proper-case punctuation,proper-case
KV000601,reused-existing-stable,unreleased,Christmas Day,圣诞节,圣诞节,[kɹˈɪsməs dˈeɪ],[kɹˈɪsməs dˈeɪ],multiword proper-case,proper-case
KV000618,reused-existing-stable,unreleased,write a letter,写信,写信,[ɹˈaɪt ɐ lˈɛtə],[ɹˈaɪt ɐ lˈɛɾɚ],multiword,flap-allophone
KV000647,reused-existing-stable,unreleased,the Stone Forest,石林,石林,[ðə stˈəʊn fˈɒɹɪst],[ðə stˈoʊn fˈɔːɹɪst],multiword proper-case,proper-case
KV000670,reused-existing-stable,unreleased,out of,从……出来,从……出来,[ˈaʊtəv],[ˈaʊɾəv],multiword,flap-allophone
KV000676,reused-existing-stable,unreleased,the Potala Palace,布达拉宫,布达拉宫,[ðə pəʊtˈɑːlə pˈalɪs],[ðə poʊtˈɑːlə pˈælɪs],multiword proper-case,proper-case
KV000677,reused-existing-stable,unreleased,the Summer Palace,颐和园,颐和园,[ðə sˈʌmə pˈalɪs],[ðə sˈʌmɚ pˈælɪs],multiword proper-case,proper-case
KV000678,reused-existing-stable,unreleased,the Terracotta Army,兵马俑,兵马俑,[ðə tˈɛɹɐkˌɒtəɹ ˈɑːmi],[ðə tˈɛɹɐkˌɑːɾə ˈɑːɹmi],multiword proper-case,proper-case flap-allophone
KV000689,reused-existing-stable,unreleased,the Yangtze River,长江,长江,[ðə jˈaŋtsi ɹˈɪvə],[ðə jˈɑːŋtsi ɹˈɪvɚ],multiword proper-case,proper-case
KV000698,reused-existing-stable,unreleased,Washington D.C.,华盛顿特区,华盛顿特区,[wˈɒʃɪŋtən dˌiːsˈiː],[wˈɑːʃɪŋtən dˌiːsˈiː],multiword proper-case punctuation,proper-case
KV000699,reused-existing-stable,unreleased,the British Museum,大英博物馆,大英博物馆,[ðə bɹˈɪtɪʃ mjuːzˈiəm],[ðə bɹˈɪɾɪʃ mjuːzˈiəm],multiword proper-case,proper-case flap-allophone
KV000700,reused-existing-stable,unreleased,the CN Tower,加拿大国家电视塔；CN塔,加拿大国家电视塔；CN塔,[ðə sˌiːˈɛn tˈaʊə],[ðə sˌiːˈɛn tˈaʊɚ],multiword proper-case,proper-case
KV000703,reused-existing-stable,unreleased,the White House,白宫,白宫,[ðə wˈaɪt hˈaʊs],[ðə wˈaɪt hˈaʊs],multiword proper-case,proper-case
KV000707,reused-existing-stable,unreleased,Tower Bridge,伦敦塔桥,伦敦塔桥,[tˈaʊə bɹˈɪdʒ],[tˈaʊɚ bɹˈɪdʒ],multiword proper-case,proper-case
KV000708,reused-existing-stable,unreleased,the London Eye,伦敦眼,伦敦眼,[ðə lˈʌndən ˈaɪ],[ðə lˈʌndən ˈaɪ],multiword proper-case,proper-case
KV000773,reused-existing-stable,unreleased,Queen's Park,皇后公园,皇后公园,[kwˈiːnz pˈɑːk],[kwˈiːnz pˈɑːɹk],multiword proper-case punctuation,proper-case
KV000777,reused-existing-stable,unreleased,Lake Ontario,安大略湖,安大略湖,[lˈeɪk ɒntˈɑːɹɪˌəʊ],[lˈeɪk ɑːntˈæɹɪˌoʊ],multiword proper-case,proper-case
KV000798,reused-existing-stable,unreleased,English-Chinese dictionary,英汉词典,英汉词典,[ˈɪŋɡlɪʃtʃaɪnˈiːz dˈɪkʃənəɹi],[ˈɪŋɡlɪʃtʃaɪnˈiːz dˈɪkʃənˌɛɹi],multiword hyphenated proper-case,proper-case
KV001195,new-third-party-stable,unreleased,100-meter race,100米赛跑,100米赛跑,[wˈɒnhˈʌndɹɪdmˈiːtə ɹˈeɪs],[wˈʌnhˈʌndɹɪdmˈiːɾɚ ɹˈeɪs],digit multiword hyphenated,digit flap-allophone
KV001196,new-third-party-stable,unreleased,20th,第二十；20日,第二十；20日,[twˈɛntiəθ],[twˈɛntiəθ],digit,digit
KV001197,new-third-party-stable,unreleased,21st,第二十一；21日,第二十一；21日,[twˈɛnti fˈɜːst],[twˈɛnti fˈɜːst],digit,digit
KV001198,new-third-party-stable,unreleased,22nd,第二十二；22日,第二十二；22日,[twˈɛnti sˈɛkənd],[twˈɛnti sˈɛkənd],digit,digit
KV001199,new-third-party-stable,unreleased,23rd,第二十三；23日,第二十三；23日,[twˈɛnti θˈɜːd],[twˈɛnti θˈɜːd],digit,digit
KV001200,new-third-party-stable,unreleased,2nd,第二；2日,第二；2日,[sˈɛkənd],[sˈɛkənd],digit,digit
KV001201,new-third-party-stable,unreleased,30th,第三十；30日,第三十；30日,[θˈɜːtiəθ],[θˈɜːɾiəθ],digit,digit flap-allophone
KV001202,new-third-party-stable,unreleased,31st,第三十一；31日,第三十一；31日,[θˈɜːti fˈɜːst],[θˈɜːɾi fˈɜːst],digit,digit flap-allophone
KV001203,new-third-party-stable,unreleased,3rd,第三；3日,第三；3日,[θˈɜːd],[θˈɜːd],digit,digit
KV001204,new-third-party-stable,unreleased,4th,第四；4日,第四；4日,[fˈɔːθ],[fˈoːɹθ],digit,digit
KV001207,new-third-party-stable,unreleased,a liter of milk,一升牛奶,一升牛奶,[ɐ lˈiːtəɹ ɒv mˈɪlk],[ɐ lˈiːɾɚɹ ʌv mˈɪlk],multiword,flap-allophone
KV001208,new-third-party-stable,unreleased,a little,一点；少量,一点；少量,[ɐ lˈɪtəl],[ɐ lˈɪɾəl],multiword,flap-allophone
KV001252,new-third-party-stable,unreleased,American football,美式足球,美式足球,[ɐmˈɛɹɪkən fˈʊtbɔːl],[ɐmˈɛɹɪkən fˈʊtbɔːl],multiword proper-case,proper-case
