DecisionKey,ProvisionalIdentityKey,StageACheckpointFingerprint,CandidateFingerprint,Action,ExistingNoteID,ProposedCanonicalWord,ProposedMatchKey,ProposedSense,Status,Confidence,MutationAuthorized,DecisionBasis,Rationale
reconcile:get together,candidate:get together,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,7ceb4c46408807693e506bcfa469eb709c8c57b35d55217bf29825dac255ce7b,reuse-existing,KV000837,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party get together learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:get up,candidate:get up,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,c6627790fdb0b54cc48d22fddbc29d551a75e843bab2ac69aac8a9ef579fab90,held,,,,,held,high,no,third-party-sense-broader-than-current,"Third-party get up covers 起床；起身 while KV000190 is 起床; keep held rather than merge the stand-up sense into the bed-routine identity."
reconcile:glue stick,candidate:glue stick,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,3c37d27d42d7cd49db0574aa07761c73b0e64f74a146df8179fd9140ad7434aa,reuse-existing,KV000401,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party glue stick learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:go,candidate:go,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,1f6afcf2809b18cf1dc7ec425b01bde2a77c430b525591458ac003dac4a92c95,reuse-existing,KV000133,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party go learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:go boating,candidate:go boating,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,b405c1b7dd2487e41c55de3124ade8611e549bc6d61fb3c0bbf555ad72bcd996,reuse-existing,KV000465,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party go boating learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:go to a drawing club,candidate:go to a drawing club,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,b8545d1bd5e25b4e1f8d5299165a995359588caa3373d42a403324368402f935,reuse-existing,KV000355,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party go to a drawing club learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:go to the cinema,candidate:go to the cinema,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,069bfc770ff0a3d82e0222d5d72ff3be7c4ddf2138bf7771d5295b1d7d60c3f5,reuse-existing,KV000360,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party go to the cinema learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:grandfather,candidate:grandfather,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,e396073956c932d35a63ef1266cc2d8e2eff35c1a7bc754373aef62770ff1cfe,reuse-existing,KV000104,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party grandfather learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:grandmother,candidate:grandmother,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,391fa6eec9ff969cc368be77121d03d4759dc141960f8911bee0b99419db0e15,reuse-existing,KV000103,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party grandmother learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:grass,candidate:grass,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,62aa11ae22c2876f2c947eb4ad03417a208c57126c7ba83b58ad9b6be11c7b64,reuse-existing,KV000135,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party grass learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:great,candidate:great,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,a51c8feaa46386f219bb9a37961e1d528af9f52227a118dbb3859e4530e247a3,reuse-existing,KV000432,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party great learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:grocery,candidate:grocery,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,b93610a92c52660b51f4493f0c54d6fb42a1970eadb3702f728d5b8ecef7cf8d,new-stable-identity,,grocery,grocery,食品杂货；杂货,reviewed,high,no,no-equivalent-existing-sense-current,"Third-party grocery denotes 食品杂货；杂货, while KV000446 denotes 食品杂货店；杂货店. Goods and shop are distinct learner senses, so propose a distinct identity without allocating a NoteID."
reconcile:hair,candidate:hair,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,afb63644b5d0e055339a6319a0ceb742f77e6b9f5210e71282e1eca7566f3496,reuse-existing,KV000217,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party hair learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:handsome,candidate:handsome,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,67b050882a4da93cfe2063dd73ab28be5545dfab2d88f2f1a9b48d4770681651,reuse-existing,KV000124,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party handsome learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:happy,candidate:happy,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,e0b016a9d125f5165c142d4c058e27a949f9b9ecaf2dfd39c913b3b817b409f2,reuse-existing,KV000152,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party happy learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:has,candidate:has,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,d1c5d87968e814d81d5f52112b39a13d625d1b8f93ecde553e97864f41acf3c7,reuse-existing,KV000541,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party has learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:have,candidate:have,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,e4801cf5ecd6749f609fffee6ba58171fc22ccaed3347000f6f180ec53c07517,reuse-existing,KV000007,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party have learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:help,candidate:help,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,00612a7189a3300ac614d07d9b7679ca2704984073e3a3e0a58b431fa77609de,reuse-existing,KV000225,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party help learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:helpful,candidate:helpful,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,9a36ac5f004f8e2ed68e6e766728bb5ccd0855cdda81e40d09bddca05a337271,held,,,,,held,high,no,third-party-and-klose-sense-boundary-mismatch,"Third-party helpful emphasizes 有帮助的；有用的, while KV000524 also includes 乐于助人的; keep held because person-helpful and thing-useful boundaries are not one-to-one."
reconcile:here,candidate:here,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,505b650212b4f134d785b03e583ba234b7e05992a711162f5ad508da1a08f02c,reuse-existing,KV000149,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party here learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:herself,candidate:herself,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,9ea4a1a7f1370b9ee5253cb99c71295992a9e515345303703fcd295581521a19,reuse-existing,KV000898,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party herself learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:hill,candidate:hill,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,d9f9308f9bc0212ef9807a11db6de4c3e03f9fd05209bddcb4a4712035b66a94,reuse-existing,KV000140,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party hill learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:hobby,candidate:hobby,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,81aeb245036e4cdddd180ac7084ff572e518ad330e225cb8c9fa00ee63b0da85,reuse-existing,KV000494,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party hobby learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:hockey,candidate:hockey,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,6cf0127e0368bba8ba6d0996c50e2b448daf88057f48f81758d2f9b5cbe91d22,reuse-existing,KV000787,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party hockey learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:home,candidate:home,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,f367565daecb4acd0a2538781cfa2559461d0257be0b2a94cbb9125545b45f4a,held,,,,,held,high,no,third-party-sense-broader-than-current,"Third-party home includes 家；在家；回家 while KV000335 covers 家；在家. Keep held because directional 回家 is additional learner usage."
reconcile:hope,candidate:hope,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,8979824016efe131c4c1e2397d9bd2830700e257e2c0486950429faa470f00cc,reuse-existing,KV000371,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party hope learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:hotel,candidate:hotel,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,f4e3981c3b9bc6796ed5b2e03168523874d214fb07a8b9362bb43918041856fc,reuse-existing,KV000461,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party hotel learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:how,candidate:how,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,a220882e99b649858f7c7475b13b7e5a486507fdf0e48ef2fe7d2dd07ceee3b2,held,,,,,held,high,no,current-klose-boundary-broader-or-mixed,"Third-party how is 怎样；如何 while KV000035 also includes 多少. Keep held because the existing Klose identity mixes manner and quantity constructions."
reconcile:hurt,candidate:hurt,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,cdc3e30646ceb50d9311df9b1011942cb444cfb954ea1242b25cb6cd6fec3f41,held,,,,,held,high,no,third-party-sense-broader-than-current,"Third-party hurt includes 受伤；疼；弄伤 while KV000224 is 疼；受伤. Keep held because the transitive 弄伤 sense is not explicitly represented in the current Klose identity."
reconcile:ill,candidate:ill,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,793fde36774ddaa4a058470ee629373f82854ad2e9795fdf8e829f3e0ed35b4d,reuse-existing,KV000733,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party ill learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:in,candidate:in,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,e79866dd55348c9b39fcffe1d8d6ac79a023cd949f74e3430ec59d78af84b9da,reuse-existing,KV000059,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party in learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:in the future,candidate:in the future,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,fed57a3b6c051d4e3cc86650f07c9d71cbf5896011437278d5e205ea6898f11f,reuse-existing,KV000431,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party in the future learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:information centre,candidate:information centre,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,a81c15a8c1a81fbbe8848154bcffd9b58b1d102e5dd234f1d32ee659c2629519,reuse-existing,KV000406,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party information centre learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:interesting,candidate:interesting,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,000e1b930d36f8d9dcf1950463c6b7feaf2836be755e87895fe765fb37f5f478,reuse-existing,KV000350,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party interesting learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:invent,candidate:invent,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,44d75066a8a89566c1b9f83cb001fdb51106267adfdc4edf62eb45a3c6b62706,reuse-existing,KV000749,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party invent learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:is,candidate:is,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,258f3795b0415e186be1e6fc54907d3ad038c3f2b7ab4f3861eac86cca674c2e,reuse-existing,KV000016,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party is learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:it,candidate:it,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,a0bafdfd3664f0e7a071577acc2c99175cd9529f4b44fb0fb3ea6635a78dcb7a,reuse-existing,KV000024,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party it learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:jacket,candidate:jacket,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,44f3f1b1bcd9291d5aba089f8b40b12ccabd68e0498669392c4658a9ca85234d,reuse-existing,KV000258,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party jacket learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:juice,candidate:juice,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,f3f53410a7618e0acc4e3ac8efee687773ccb752666638d17c6f8772ffc27c09,reuse-existing,KV000086,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party juice learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
reconcile:kid,candidate:kid,02bec1239e717f8f9141c38cec2fa16947f9c16a6ec372478db26936c5451b0f,d0fe523a6718130e2a3f2a0580fee85a23ef39c13586fa294d2b9d6cfe9d9d34,reuse-existing,KV000864,,,,reviewed,high,no,manual-semantic-equivalence-review,Third-party kid learner sense is semantically equivalent to the current Klose candidate; wording or gloss breadth does not establish a separate elementary learning unit.
