GateKey,MatchKey,DecisionKey,BaseForm,FormType,Scope,CurrentDecisionAction,CurrentDecisionStatus,CanonicalMatchKey,CurrentOccurrenceCount,ReviewedOccurrenceCount,PreviewContributionRemoved,PolicyVersion,Rationale
past:painted,painted,surface:painted,paint,past-or-past-participle,matchkey,reuse-identity,reviewed,paint,2,2,2,klose-grammar-gate-v1,规则过去式/过去分词形态；当前隔离。
past:ran,ran,surface:ran,run,past-form,matchkey,reuse-identity,reviewed,run,6,6,6,klose-grammar-gate-v1,run 的过去式；当前隔离。
past:rode,rode,surface:rode,ride,past-form,matchkey,reuse-identity,reviewed,ride,4,4,4,klose-grammar-gate-v1,ride 的过去式；当前隔离。
past:said,said,surface:said,say,past-or-past-participle,matchkey,reuse-identity,reviewed,say,5,5,5,klose-grammar-gate-v1,say 的过去式/过去分词；当前隔离。
past:saw-see,saw,surface:saw,see,past-form,decision,keep-identity,reviewed,saw#see-past,11,10,10,klose-grammar-gate-v1,仅隔离 saw=see 的过去式 partition；saw=锯子保留。
past:sent,sent,surface:sent,send,past-or-past-participle,matchkey,reuse-identity,reviewed,send,2,2,2,klose-grammar-gate-v1,send 的过去式/过去分词；当前隔离。
past:slept,slept,surface:slept,sleep,past-or-past-participle,matchkey,reuse-identity,reviewed,sleep,2,2,2,klose-grammar-gate-v1,sleep 的过去式/过去分词；当前隔离。
past:spent,spent,surface:spent,spend,past-or-past-participle,matchkey,reuse-identity,reviewed,spend,2,2,2,klose-grammar-gate-v1,spend 的过去式/过去分词；当前隔离。
past:spoke,spoke,surface:spoke,speak,past-form,matchkey,reuse-identity,reviewed,speak,2,2,2,klose-grammar-gate-v1,speak 的过去式；当前隔离。
past:swam,swam,surface:swam,swim,past-form,matchkey,reuse-identity,reviewed,swim,5,5,5,klose-grammar-gate-v1,swim 的过去式；当前隔离。
past:taught,taught,surface:taught,teach,past-or-past-participle,matchkey,reuse-identity,reviewed,teach,2,2,2,klose-grammar-gate-v1,teach 的过去式/过去分词；当前隔离。
past:thought,thought,surface:thought,think,past-or-past-participle,matchkey,keep-identity,reviewed,thought,4,4,4,klose-grammar-gate-v1,当前 source learning unit 是 think 的过去式形态；名词 thought 若以后有独立证据再单独处理。
past:told,told,surface:told,tell,past-or-past-participle,matchkey,reuse-identity,reviewed,tell,3,3,3,klose-grammar-gate-v1,tell 的过去式/过去分词；当前隔离。
past:took,took,surface:took,take,past-form,matchkey,keep-identity,reviewed,took,13,13,13,klose-grammar-gate-v1,take 的过去式；取消此前 pedagogical-form 直接放行。
past:was,was,surface:was,be,past-form,matchkey,keep-identity,reviewed,was,12,12,12,klose-grammar-gate-v1,be 的过去式形态；当前隔离。
past:were,were,surface:were,be,past-form,matchkey,keep-identity,reviewed,were,13,13,13,klose-grammar-gate-v1,be 的过去式形态；当前隔离。
past:went,went,surface:went,go,past-form,matchkey,reuse-identity,reviewed,go,12,12,12,klose-grammar-gate-v1,go 的过去式；当前隔离。
past:woke,woke,surface:woke,wake,past-form,matchkey,keep-identity,reviewed,woke,3,3,3,klose-grammar-gate-v1,wake 的过去式；取消此前 pedagogical-form 直接放行。
past:won,won,surface:won,win,past-or-past-participle,matchkey,reuse-identity,reviewed,win,9,9,9,klose-grammar-gate-v1,win 的过去式/过去分词；当前隔离。
past:wore,wore,surface:wore,wear,past-form,matchkey,reuse-identity,reviewed,wear,3,3,3,klose-grammar-gate-v1,wear 的过去式；当前隔离。
past:would,would,surface:would,will,modal-past-form,matchkey,keep-identity,reviewed,would,6,6,6,klose-grammar-gate-v1,过去将来/假设情态形式超出当前 learner stage；当前隔离。
past:wrote,wrote,surface:wrote,write,past-form,matchkey,reuse-identity,reviewed,write,5,5,5,klose-grammar-gate-v1,write 的过去式；当前隔离。
past:watched,watched,surface:watched,watch,past-or-past-participle,matchkey,reuse-identity,reviewed,watch,3,3,0,klose-grammar-gate-v1,规则过去式/过去分词形态；当前隔离。
past:danced,danced,surface:danced,dance,past-form,matchkey,reuse-identity,reviewed,dance,1,1,1,klose-grammar-gate-v1,规则过去式形态；当前隔离。
past:dropped,dropped,surface:dropped,drop,past-form,matchkey,reuse-identity,reviewed,drop#verb,3,3,0,klose-grammar-gate-v1,规则过去式形态；当前隔离。
past:happened,happened,surface:happened,happen,past-form,matchkey,reuse-identity,reviewed,happen,2,2,2,klose-grammar-gate-v1,规则过去式形态；当前隔离。
past:laughed,laughed,surface:laughed,laugh,past-form,matchkey,reuse-identity,reviewed,laugh,1,1,1,klose-grammar-gate-v1,规则过去式形态；当前隔离。
past:licked,licked,surface:licked,lick,past-form,matchkey,reuse-identity,reviewed,lick,1,1,1,klose-grammar-gate-v1,规则过去式形态；当前隔离。
past:stayed,stayed,surface:stayed,stay,past-form,matchkey,reuse-identity,reviewed,stay,2,2,2,klose-grammar-gate-v1,规则过去式形态；当前隔离。
past:washed,washed,surface:washed,wash,past-or-past-participle,matchkey,reuse-identity,reviewed,wash,2,2,2,klose-grammar-gate-v1,规则过去式/过去分词形态；当前隔离。
past:rang,rang,surface:rang,ring,past-form,matchkey,keep-identity,reviewed,rang,1,1,1,klose-grammar-gate-v1,ring 的过去式；Identity 当前按教材 pedagogical form resolve，但 Klose learner stage 继续隔离。
past:sang,sang,surface:sang,sing,past-form,matchkey,keep-identity,reviewed,sang,3,3,3,klose-grammar-gate-v1,sing 的过去式；Identity 当前按教材 pedagogical form resolve，但 Klose learner stage 继续隔离。
past:planned,planned,surface:planned,plan,past-or-past-participle,matchkey,reuse-identity,reviewed,plan,1,1,1,klose-grammar-gate-v1,规则过去式/过去分词形态；当前隔离。
past:studied,studied,surface:studied,study,past-or-past-participle,matchkey,reuse-identity,reviewed,study,2,2,2,klose-grammar-gate-v1,规则过去式形态；当前隔离。
past:patted,patted,surface:patted,pat,past-or-past-participle,matchkey,reuse-identity,reviewed,pat,1,1,1,klose-grammar-gate-v1,pat 的规则过去式/过去分词；Identity 复用 pat，当前 Klose learner stage 隔离。
past:coughed,coughed,surface:coughed,cough,past-or-past-participle,matchkey,reuse-identity,reviewed,cough,1,1,1,klose-grammar-gate-v1,cough 的过去式/过去分词；Identity 复用 cough，当前 Klose learner stage 隔离。
past:jumped,jumped,surface:jumped,jump,past-or-past-participle,matchkey,reuse-identity,reviewed,jump,1,1,1,klose-grammar-gate-v1,jump 的过去式/过去分词；Identity 复用 jump，当前 Klose learner stage 隔离。
past:listened,listened,surface:listened,listen,past-or-past-participle,matchkey,reuse-identity,reviewed,listen,1,1,1,klose-grammar-gate-v1,listen 的过去式/过去分词；Identity 复用 listen，当前 Klose learner stage 隔离。
past:looked,looked,surface:looked,look,past-or-past-participle,matchkey,reuse-identity,reviewed,look#appearance,1,1,0,klose-grammar-gate-v1,look 的过去式/过去分词；本 occurrence 属于 look#appearance，当前 Klose learner stage 隔离。
past:meant,meant,surface:meant,mean,past-or-past-participle,matchkey,keep-identity,reviewed,meant,1,1,1,klose-grammar-gate-v1,mean 的过去式/过去分词；Identity 当前保留 source-form，当前 Klose learner stage 隔离。
past:planted,planted,surface:planted,plant,past-or-past-participle,matchkey,keep-identity,reviewed,planted,1,1,1,klose-grammar-gate-v1,plant 的规则过去式/过去分词；Identity 当前保留 source-form，当前 Klose learner stage 隔离。
past:sold,sold,surface:sold,sell,past-or-past-participle,matchkey,reuse-identity,reviewed,sell,1,1,1,klose-grammar-gate-v1,sell 的过去式/过去分词；Identity 复用 sell，当前 Klose learner stage 隔离。
past:threw,threw,surface:threw,throw,past-form,matchkey,reuse-identity,reviewed,throw,1,1,1,klose-grammar-gate-v1,throw 的过去式；Identity 复用 throw，当前 Klose learner stage 隔离。
past:helped,helped,surface:helped,help,past-or-past-participle,matchkey,reuse-identity,reviewed,help,2,2,2,klose-grammar-gate-v1,help 的过去式/过去分词；Identity 复用 help，当前 Klose learner stage 隔离。
past:talked,talked,surface:talked,talk,past-or-past-participle,matchkey,keep-identity,reviewed,talked,2,2,2,klose-grammar-gate-v1,talk 的规则过去式/过去分词；Identity 当前保留 source-form，当前 Klose learner stage 隔离。
past:visited,visited,surface:visited,visit,past-or-past-participle,matchkey,reuse-identity,reviewed,visit,2,2,2,klose-grammar-gate-v1,visit 的规则过去式/过去分词；Identity 复用 visit，当前 Klose learner stage 隔离。
past:checked,checked,surface:checked,check,past-or-past-participle,matchkey,reuse-identity,reviewed,check,1,1,1,klose-grammar-gate-v1,check 的过去式/过去分词；Identity 复用 check，当前 Klose learner stage 隔离。
past:chose,chose,surface:chose,choose,past-form,matchkey,reuse-identity,reviewed,choose,1,1,1,klose-grammar-gate-v1,choose 的过去式；Identity 复用 choose，当前 Klose learner stage 隔离。
past:cooked,cooked,surface:cooked,cook,past-or-past-participle,matchkey,keep-identity,reviewed,cooked,1,1,1,klose-grammar-gate-v1,cook 的过去式/过去分词；canonical cook 为 multipart，Identity 当前保留 source-form，当前 Klose learner stage 隔离。
past:decided,decided,surface:decided,decide,past-or-past-participle,matchkey,reuse-identity,reviewed,decide,1,1,1,klose-grammar-gate-v1,decide 的过去式/过去分词；Identity 复用 decide，当前 Klose learner stage 隔离。
past:missed,missed,surface:missed,miss,past-or-past-participle,matchkey,keep-identity,reviewed,missed,1,1,1,klose-grammar-gate-v1,miss 的过去式/过去分词；canonical miss 为 multipart，Identity 当前保留 source-form，当前 Klose learner stage 隔离。
past:passed,passed,surface:passed,pass,past-or-past-participle,matchkey,keep-identity,reviewed,passed,1,1,1,klose-grammar-gate-v1,pass 的过去式/过去分词；canonical pass 仍为 split-required，Identity 当前保留 source-form，当前 Klose learner stage 隔离。
past:played,played,surface:played,play,past-or-past-participle,matchkey,keep-identity,reviewed,played,1,1,1,klose-grammar-gate-v1,play 的过去式/过去分词；canonical play 为 multipart，Identity 当前保留 source-form，当前 Klose learner stage 隔离。
past:pulled,pulled,surface:pulled,pull,past-or-past-participle,matchkey,reuse-identity,reviewed,pull,1,1,1,klose-grammar-gate-v1,pull 的过去式/过去分词；Identity 复用 pull，当前 Klose learner stage 隔离。
past:pushed,pushed,surface:pushed,push,past-or-past-participle,matchkey,reuse-identity,reviewed,push,1,1,1,klose-grammar-gate-v1,push 的过去式/过去分词；Identity 复用 push，当前 Klose learner stage 隔离。
past:traveled,traveled,surface:traveled,travel,past-or-past-participle,matchkey,reuse-identity,reviewed,travel,1,1,1,klose-grammar-gate-v1,travel 的过去式/过去分词；Identity 复用 travel，当前 Klose learner stage 隔离。
past:wanted,wanted,surface:wanted,want,past-or-past-participle,matchkey,reuse-identity,reviewed,want,1,1,1,klose-grammar-gate-v1,want 的过去式/过去分词；Identity 复用 want，当前 Klose learner stage 隔离。
past:called,called,surface:called,call,past-or-past-participle,matchkey,reuse-identity,reviewed,call,2,2,2,klose-grammar-gate-v1,call 的过去式/过去分词；Identity 复用 call，当前 Klose learner stage 隔离。
past:gone,gone,surface:gone,go,past-or-past-participle,matchkey,reuse-identity,reviewed,go,2,2,2,klose-grammar-gate-v1,go 的过去分词；Identity 复用 go，当前 Klose learner stage 隔离。
