NoteID,ProvisionalIdentityKeys,StageBActions,CanonicalWord,MatchKey,SenseLabel,ThirdPartyIdentityCount,SourceOccurrenceCount,DistinctSourceIDs,ExistingLearnerPresentation,ExistingPresentationStatus,PresentationAction
KV000090,candidate:thirsty,reuse-existing,thirsty,thirsty,口渴的,1,14,13,yes,grade4-reviewed,preserve-existing
KV000091,candidate:thanks,reuse-existing,thanks,thanks,谢谢,1,7,7,yes,migrated-curated,preserve-existing
KV000092,candidate:shirt,reuse-existing,shirt,shirt,衬衫,1,22,20,yes,grade4-reviewed,preserve-existing
KV000093,candidate:t-shirt,reuse-existing,T-shirt,t-shirt,T恤衫,1,17,14,yes,grade4-reviewed,preserve-existing
KV000094,candidate:skirt,reuse-existing,skirt,skirt,短裙；裙子,1,22,19,yes,grade4-reviewed,preserve-existing
KV000095,candidate:dress,reuse-existing,dress,dress,连衣裙,1,23,19,yes,grade4-reviewed,preserve-existing
KV000097,candidate:shorts,reuse-existing,shorts,shorts,短裤,1,22,19,yes,grade4-reviewed,preserve-existing
KV000098,candidate:your,reuse-existing,your,your,你的；你们的,1,20,19,yes,grade4-reviewed,preserve-existing
KV000099,candidate:father,reuse-existing,father,father,爸爸；父亲,1,25,20,yes,grade4-reviewed,preserve-existing
KV000100,candidate:mother,reuse-existing,mother,mother,妈妈；母亲,1,24,20,yes,grade4-reviewed,preserve-existing
KV000101,candidate:brother,reuse-existing,brother,brother,兄弟；哥哥；弟弟,1,24,20,yes,grade4-reviewed,preserve-existing
KV000102,candidate:sister,reuse-existing,sister,sister,姐妹；姐姐；妹妹,1,23,20,yes,grade4-reviewed,preserve-existing
KV000103,candidate:grandmother,reuse-existing,grandmother,grandmother,奶奶；外婆,1,16,14,yes,grade4-reviewed,preserve-existing
KV000104,candidate:grandfather,reuse-existing,grandfather,grandfather,爷爷；外公,1,16,14,yes,grade4-reviewed,preserve-existing
KV000105,candidate:who,reuse-existing,who,who,谁,1,17,17,yes,grade4-reviewed,preserve-existing
KV000106,candidate:he,reuse-existing,he,he,他,1,20,19,yes,grade4-reviewed,preserve-existing
KV000107,candidate:she,reuse-existing,she,she,她,1,19,19,yes,grade4-reviewed,preserve-existing
KV000108,candidate:classmate,reuse-existing,classmate,classmate,同班同学,1,12,10,yes,grade4-reviewed,preserve-existing
KV000109,candidate:friend,reuse-existing,friend,friend,朋友,1,23,19,yes,grade4-reviewed,preserve-existing
KV000110,candidate:woman,reuse-existing,woman,woman,女人；妇女,1,16,15,yes,grade4-reviewed,preserve-existing
KV000111,candidate:girl,reuse-existing,girl,girl,女孩,1,21,18,yes,grade4-reviewed,preserve-existing
KV000112,candidate:man,reuse-existing,man,man,男人,1,17,15,yes,grade4-reviewed,preserve-existing
KV000113,candidate:boy,reuse-existing,boy,boy,男孩,1,21,18,yes,grade4-reviewed,preserve-existing
KV000115,candidate:his,reuse-existing,his,his,他的,1,21,19,yes,grade4-reviewed,preserve-existing
KV000118,candidate:or,reuse-existing,or,or,或者,1,16,14,yes,migrated-curated,preserve-existing
KV000119,candidate:big,reuse-existing,big,big,大的,1,31,20,yes,grade4-reviewed,preserve-existing
KV000120,candidate:tall,reuse-existing,tall,tall,高的,1,27,20,yes,grade4-reviewed,preserve-existing
KV000121,candidate:pretty,reuse-existing,pretty,pretty,漂亮的,1,9,8,yes,grade4-reviewed,preserve-existing
KV000123,candidate:short,reuse-existing,short,short,矮的；短的,1,30,20,yes,grade4-reviewed,preserve-existing
KV000124,candidate:handsome,reuse-existing,handsome,handsome,英俊的,1,3,2,yes,grade4-reviewed,preserve-existing
KV000125,candidate:new,reuse-existing,new,new,新的,1,21,20,yes,grade4-reviewed,preserve-existing
KV000127,candidate:bookshop,reuse-existing,bookshop,bookshop,书店,1,6,5,yes,grade4-reviewed,preserve-existing
KV000128,candidate:zoo,reuse-existing,zoo,zoo,动物园,1,21,19,yes,grade4-reviewed,preserve-existing
KV000129,candidate:school,reuse-existing,school,school,学校,1,24,20,yes,grade4-reviewed,preserve-existing
KV000130,candidate:supermarket,reuse-existing,supermarket,supermarket,超市,1,21,19,yes,grade4-reviewed,preserve-existing
KV000131,candidate:park,reuse-existing,park,park,公园,1,24,20,yes,grade4-reviewed,preserve-existing
KV000132,candidate:hospital,reuse-existing,hospital,hospital,医院,1,21,20,yes,grade4-reviewed,preserve-existing
KV000133,candidate:go,reuse-existing,go,go,去,1,40,19,yes,migrated-curated,preserve-existing
KV000134,candidate:to,reuse-existing,to,to,到；向；去,1,16,12,yes,migrated-curated,preserve-existing
KV000135,candidate:grass,reuse-existing,grass,grass,草,1,20,16,yes,grade4-reviewed,preserve-existing
KV000136,candidate:tree,reuse-existing,tree,tree,树,1,20,20,yes,grade4-reviewed,preserve-existing
KV000137,candidate:flower,reuse-existing,flower,flower,花,1,21,20,yes,grade4-reviewed,preserve-existing
KV000138,candidate:boat,reuse-existing,boat,boat,小船,1,16,15,yes,grade4-reviewed,preserve-existing
KV000139,candidate:lake,reuse-existing,lake,lake,湖,1,20,18,yes,grade4-reviewed,preserve-existing
KV000140,candidate:hill,reuse-existing,hill,hill,小山,1,12,12,yes,grade4-reviewed,preserve-existing
KV000141,candidate:christmas,reuse-existing,Christmas,christmas,圣诞节,1,17,17,yes,migrated-curated,preserve-existing
KV000142,candidate:father christmas,reuse-existing,Father Christmas,father christmas,圣诞老人,1,4,4,yes,grade4-reviewed,preserve-existing
KV000143,candidate:christmas tree,reuse-existing,Christmas tree,christmas tree,圣诞树,1,2,2,yes,grade4-reviewed,preserve-existing
KV000144,candidate:card,reuse-existing,card,card,卡片；贺卡,1,16,16,yes,grade4-reviewed,preserve-existing
KV000145,candidate:present,reuse-existing,present,present,礼物,1,15,15,yes,grade4-reviewed,preserve-existing
KV000146,candidate:new year,reuse-existing,New Year,new year,新年,1,3,3,yes,migrated-curated,preserve-existing
KV000147,candidate:merry,reuse-existing,merry,merry,快乐的；愉快的,1,7,7,yes,migrated-curated,preserve-existing
KV000149,candidate:here,reuse-existing,here,here,这里,1,18,17,yes,grade4-reviewed,preserve-existing
KV000150,candidate:for,reuse-existing,for,for,给；为了,1,23,14,yes,grade4-reviewed,preserve-existing
KV000151,candidate:thank,reuse-existing,thank,thank,感谢；谢谢,1,12,12,yes,migrated-curated,preserve-existing
KV000152,candidate:happy,reuse-existing,happy,happy,快乐的；高兴的,1,22,19,yes,migrated-curated,preserve-existing
KV000153,candidate:play football,reuse-existing,play football,play football,踢足球,1,11,8,yes,migrated-curated,preserve-existing
KV000154,candidate:fly a kite,reuse-existing,fly a kite,fly a kite,放风筝,1,3,2,yes,grade4-reviewed,preserve-existing
KV000155,candidate:ride a bike,reuse-existing,ride a bike,ride a bike,骑自行车,1,3,2,yes,grade4-reviewed,preserve-existing
KV000156,candidate:make a model plane,reuse-existing,make a model plane,make a model plane,做飞机模型,1,2,1,yes,grade4-reviewed,preserve-existing
KV000157,candidate:swim,reuse-existing,swim,swim,游泳,1,31,20,yes,grade4-reviewed,preserve-existing
KV000158,candidate:make a snowman,reuse-existing,make a snowman,make a snowman,堆雪人,1,4,3,yes,migrated-curated,preserve-existing
KV000160,candidate:rainy,reuse-existing,rainy,rainy,下雨的；多雨的,1,14,13,yes,grade4-reviewed,preserve-existing
KV000161,candidate:cloudy,reuse-existing,cloudy,cloudy,多云的,1,21,20,yes,grade4-reviewed,preserve-existing
KV000162,candidate:snowy,reuse-existing,snowy,snowy,下雪的；多雪的,1,10,10,yes,grade4-reviewed,preserve-existing
KV000163,candidate:windy,reuse-existing,windy,windy,有风的；多风的,1,21,20,yes,grade4-reviewed,preserve-existing
KV000164,candidate:sunny,reuse-existing,sunny,sunny,晴朗的；阳光充足的,1,21,20,yes,grade4-reviewed,preserve-existing
KV000165,candidate:umbrella,reuse-existing,umbrella,umbrella,雨伞,1,18,17,yes,grade4-reviewed,preserve-existing
KV000166,candidate:weather,reuse-existing,weather,weather,天气,1,20,20,yes,migrated-curated,preserve-existing
KV000167,candidate:wow,reuse-existing,wow,wow,哇；呀,1,9,9,yes,grade4-reviewed,preserve-existing
KV000169,candidate:spring,reuse-existing,spring,spring,春天,1,20,20,yes,grade4-reviewed,preserve-existing
KV000170,candidate:summer,reuse-existing,summer,summer,夏天,1,20,20,yes,grade4-reviewed,preserve-existing
KV000171,candidate:autumn,reuse-existing,autumn,autumn,秋天,1,20,19,yes,grade4-reviewed,preserve-existing
KV000172,candidate:winter,reuse-existing,winter,winter,冬天,1,20,20,yes,grade4-reviewed,preserve-existing
KV000174,candidate:warm,reuse-existing,warm,warm,暖和的,1,22,19,yes,grade4-reviewed,preserve-existing
KV000175,candidate:cool,reuse-existing,cool,cool,凉爽的,1,30,19,yes,grade4-reviewed,preserve-existing
KV000177,candidate:favourite,reuse-existing,favourite,favourite,最喜欢的,1,21,20,yes,migrated-curated,preserve-existing
KV000178,candidate:season,reuse-existing,season,season,季节,1,16,16,yes,migrated-curated,preserve-existing
KV000179,candidate:eleven,reuse-existing,eleven,eleven,十一；十一个,1,19,19,yes,grade4-reviewed,preserve-existing
KV000180,candidate:twelve,reuse-existing,twelve,twelve,十二；十二个,1,19,19,yes,grade4-reviewed,preserve-existing
KV000181,candidate:twenty,reuse-existing,twenty,twenty,二十,1,19,18,yes,grade4-reviewed,preserve-existing
KV000182,candidate:thirty,reuse-existing,thirty,thirty,三十,1,19,19,yes,grade4-reviewed,preserve-existing
KV000183,candidate:forty,reuse-existing,forty,forty,四十,1,19,18,yes,grade4-reviewed,preserve-existing
KV000184,candidate:fifty,reuse-existing,fifty,fifty,五十,1,18,17,yes,grade4-reviewed,preserve-existing
KV000185,candidate:thirteen,reuse-existing,thirteen,thirteen,十三；十三个,1,18,18,yes,grade4-reviewed,preserve-existing
KV000186,candidate:fourteen,reuse-existing,fourteen,fourteen,十四；十四个,1,16,16,yes,grade4-reviewed,preserve-existing
KV000187,candidate:fifteen,reuse-existing,fifteen,fifteen,十五；十五个,1,18,18,yes,grade4-reviewed,preserve-existing
KV000189,candidate:playtime,reuse-existing,playtime,playtime,游戏时间；课间活动时间,1,1,1,yes,grade4-reviewed,preserve-existing
KV000191,candidate:eat breakfast,reuse-existing,eat breakfast,eat breakfast,吃早饭,1,2,2,yes,grade4-reviewed,preserve-existing
KV000192,candidate:go to school,reuse-existing,go to school,go to school,去上学,1,10,10,yes,grade4-reviewed,preserve-existing
KV000193,candidate:eat lunch,reuse-existing,eat lunch,eat lunch,吃午饭,1,1,1,yes,grade4-reviewed,preserve-existing
KV000194,candidate:go home,reuse-existing,go home,go home,回家,1,8,8,yes,grade4-reviewed,preserve-existing
KV000195,candidate:eat dinner,reuse-existing,eat dinner,eat dinner,吃晚饭,1,2,2,yes,grade4-reviewed,preserve-existing
KV000196,candidate:go to bed,reuse-existing,go to bed,go to bed,上床睡觉,1,15,14,yes,grade4-reviewed,preserve-existing
KV000197,candidate:when,reuse-existing,when,when,什么时候,1,19,18,yes,migrated-curated,preserve-existing
KV000198,candidate:every day,reuse-existing,every day,every day,每天,1,4,4,yes,grade4-reviewed,preserve-existing
KV000200,candidate:sunday,reuse-existing,Sunday,sunday,星期日,1,21,20,yes,grade4-reviewed,preserve-existing
KV000201,candidate:monday,reuse-existing,Monday,monday,星期一,1,21,20,yes,grade4-reviewed,preserve-existing
KV000202,candidate:tuesday,reuse-existing,Tuesday,tuesday,星期二,1,21,20,yes,grade4-reviewed,preserve-existing
KV000203,candidate:wednesday,reuse-existing,Wednesday,wednesday,星期三,1,21,20,yes,grade4-reviewed,preserve-existing
KV000204,candidate:thursday,reuse-existing,Thursday,thursday,星期四,1,21,20,yes,grade4-reviewed,preserve-existing
KV000205,candidate:friday,reuse-existing,Friday,friday,星期五,1,21,20,yes,grade4-reviewed,preserve-existing
KV000206,candidate:saturday,reuse-existing,Saturday,saturday,星期六,1,21,20,yes,grade4-reviewed,preserve-existing
KV000207,candidate:today,reuse-existing,today,today,今天,1,21,20,yes,grade4-reviewed,preserve-existing
KV000208,candidate:year,reuse-existing,year,year,年；岁,1,20,17,yes,grade4-reviewed,preserve-existing
KV000212,candidate:grade,reuse-existing,grade,grade,年级,1,7,7,yes,grade4-reviewed,preserve-existing
KV000213,candidate:age,reuse-existing,age,age,年龄,1,6,6,yes,grade4-reviewed,preserve-existing
KV000214,candidate:dear,reuse-existing,dear,dear,亲爱的,1,16,15,yes,grade4-reviewed,preserve-existing
KV000215,candidate:body,reuse-existing,body,body,身体,1,20,18,yes,grade4-reviewed,preserve-existing
KV000216,candidate:head,reuse-existing,head,head,头；头部,1,23,19,yes,migrated-curated,preserve-existing
KV000217,candidate:hair,reuse-existing,hair,hair,头发,1,23,20,yes,migrated-curated,preserve-existing
KV000218,candidate:arm,reuse-existing,arm,arm,手臂,1,21,20,yes,migrated-curated,preserve-existing
KV000219,candidate:hand,reuse-existing,hand,hand,手,1,21,20,yes,grade4-reviewed,preserve-existing
KV000220,candidate:leg,reuse-existing,leg,leg,腿,1,21,20,yes,grade4-reviewed,preserve-existing
KV000221,candidate:foot,reuse-existing,foot,foot,脚,1,20,18,yes,grade4-reviewed,preserve-existing
KV000222,candidate:feet,reuse-existing,feet,feet,脚（foot的复数）,1,9,8,yes,grade4-reviewed,preserve-existing
KV000225,candidate:help,reuse-existing,help,help,帮助；帮忙,1,24,18,yes,migrated-curated,preserve-existing
KV000226,candidate:bad,reuse-existing,bad,bad,坏的；糟糕的,1,17,17,yes,grade4-reviewed,preserve-existing
KV000227,candidate:bite,reuse-existing,bite,bite,咬,1,2,2,yes,grade4-reviewed,preserve-existing
KV000228,candidate:tongue,reuse-existing,tongue,tongue,舌头,1,2,2,yes,migrated-curated,preserve-existing
KV000229,candidate:kick,reuse-existing,kick,kick,踢,1,4,4,yes,migrated-curated,preserve-existing
KV000230,candidate:morning,reuse-existing,morning,morning,早晨；上午,1,19,18,yes,grade4-reviewed,preserve-existing
KV000231,candidate:afternoon,reuse-existing,afternoon,afternoon,下午,1,19,18,yes,grade4-reviewed,preserve-existing
KV000232,candidate:summary,reuse-existing,summary,summary,总结；概要,1,1,1,yes,grade4-reviewed,preserve-existing
KV000233,candidate:bread,reuse-existing,bread,bread,面包,1,21,20,yes,grade4-reviewed,preserve-existing
KV000234,candidate:cake,reuse-existing,cake,cake,蛋糕,1,22,19,yes,grade4-reviewed,preserve-existing
KV000235,candidate:fruit,reuse-existing,fruit,fruit,水果,1,22,20,yes,grade4-reviewed,preserve-existing
KV000236,candidate:ice cream,reuse-existing,ice-cream,ice-cream,冰淇淋,1,19,18,yes,grade4-reviewed,preserve-existing
KV000237,candidate:potato,reuse-existing,potato,potato,土豆；马铃薯,1,19,19,yes,grade4-reviewed,preserve-existing
KV000238,candidate:tomato,reuse-existing,tomato,tomato,西红柿；番茄,1,20,19,yes,grade4-reviewed,preserve-existing
KV000239,candidate:meat,reuse-existing,meat,meat,肉；肉类,1,17,15,yes,grade4-reviewed,preserve-existing
KV000240,candidate:shopping list,reuse-existing,shopping list,shopping list,购物清单,1,2,2,yes,grade4-reviewed,preserve-existing
KV000241,candidate:cola,reuse-existing,cola,cola,可乐,1,11,10,yes,migrated-curated,preserve-existing
KV000242,candidate:buy,reuse-existing,buy,buy,买；购买,1,27,18,yes,grade4-reviewed,preserve-existing
KV000245,candidate:rabbit,reuse-existing,rabbit,rabbit,兔子,1,20,18,yes,migrated-curated,preserve-existing
KV000246,candidate:pet,reuse-existing,pet,pet,宠物,1,5,5,yes,grade4-reviewed,preserve-existing
KV000247,candidate:snake,reuse-existing,snake,snake,蛇,1,8,8,yes,grade4-reviewed,preserve-existing
KV000248,candidate:turtle,reuse-existing,turtle,turtle,乌龟,1,3,3,yes,grade4-reviewed,preserve-existing
KV000249,candidate:small,reuse-existing,small,small,小的,1,26,20,yes,grade4-reviewed,preserve-existing
KV000250,candidate:long,reuse-existing,long,long,长的,1,24,19,yes,grade4-reviewed,preserve-existing
KV000251,candidate:look for,reuse-existing,look for,look for,寻找,1,13,13,yes,migrated-curated,preserve-existing
KV000252,candidate:tail,reuse-existing,tail,tail,尾巴,1,8,8,yes,migrated-curated,preserve-existing
KV000254,candidate:cap,reuse-existing,cap,cap,帽子；便帽,1,21,20,yes,grade4-reviewed,preserve-existing
KV000255,candidate:coat,reuse-existing,coat,coat,外套,1,22,20,yes,grade4-reviewed,preserve-existing
KV000257,candidate:sweater,reuse-existing,sweater,sweater,毛衣,1,21,19,yes,grade4-reviewed,preserve-existing
KV000258,candidate:jacket,reuse-existing,jacket,jacket,夹克衫,1,15,14,yes,grade4-reviewed,preserve-existing
KV000260,candidate:trousers,reuse-existing,trousers,trousers,裤子；长裤,1,17,17,yes,grade4-reviewed,preserve-existing
KV000261,candidate:should,reuse-existing,should,should,应该,1,15,14,yes,migrated-curated,preserve-existing
KV000262,candidate:wear,reuse-existing,wear,wear,穿；戴,1,22,16,yes,migrated-curated,preserve-existing
KV000263,candidate:week,reuse-existing,week,week,星期；周,1,17,15,yes,grade4-reviewed,preserve-existing
KV000264,candidate:soon,reuse-existing,soon,soon,很快；不久,1,13,13,yes,grade4-reviewed,preserve-existing
KV000265,candidate:look forward to,reuse-existing,look forward to,look forward to,期待；盼望,1,2,1,yes,migrated-curated,preserve-existing
KV000266,candidate:january,reuse-existing,January,january,一月,1,17,17,yes,migrated-curated,preserve-existing
KV000267,candidate:february,reuse-existing,February,february,二月,1,17,17,yes,migrated-curated,preserve-existing
KV000268,candidate:march,reuse-existing,March,march,三月,1,17,17,yes,migrated-curated,preserve-existing
KV000269,candidate:april,reuse-existing,April,april,四月,1,18,18,yes,migrated-curated,preserve-existing
KV000270,candidate:may#month,reuse-existing,May,may,五月,1,17,17,yes,migrated-curated,preserve-existing
KV000271,candidate:june,reuse-existing,June,june,六月,1,19,19,yes,migrated-curated,preserve-existing
KV000272,candidate:july,reuse-existing,July,july,七月,1,19,19,yes,migrated-curated,preserve-existing
KV000273,candidate:august,reuse-existing,August,august,八月,1,18,18,yes,migrated-curated,preserve-existing
KV000274,candidate:september,reuse-existing,September,september,九月,1,19,19,yes,migrated-curated,preserve-existing
KV000275,candidate:october,reuse-existing,October,october,十月,1,19,19,yes,migrated-curated,preserve-existing
KV000276,candidate:november,reuse-existing,November,november,十一月,1,17,17,yes,migrated-curated,preserve-existing
KV000277,candidate:december,reuse-existing,December,december,十二月,1,19,19,yes,migrated-curated,preserve-existing
KV000278,candidate:birthday,reuse-existing,birthday,birthday,生日,1,22,18,yes,grade4-reviewed,preserve-existing
KV000279,candidate:first,reuse-existing,first,first,第一；首先,1,25,19,yes,migrated-curated,preserve-existing
KV000280,candidate:party,reuse-existing,party,party,聚会；派对,1,22,18,yes,grade4-reviewed,preserve-existing
KV000281,candidate:delicious,reuse-existing,delicious,delicious,美味的；好吃的,1,11,10,yes,grade4-reviewed,preserve-existing
KV000283,candidate:english,reuse-existing,English,english,英语,1,20,19,yes,grade4-reviewed,preserve-existing
KV000284,candidate:science,reuse-existing,science,science,科学；科学课,1,18,18,yes,grade4-reviewed,preserve-existing
KV000287,candidate:maths,reuse-existing,maths,maths,数学；数学课,1,19,19,yes,grade4-reviewed,preserve-existing
KV000288,candidate:art,reuse-existing,art,art,美术；美术课,1,19,19,yes,grade4-reviewed,preserve-existing
KV000289,candidate:computer class,reuse-existing,computer class,computer class,计算机课,1,1,1,yes,grade4-reviewed,preserve-existing
KV000290,candidate:we,reuse-existing,we,we,我们,1,18,16,yes,grade4-reviewed,preserve-existing
KV000291,candidate:that,reuse-existing,that,that,那；那个,1,18,18,yes,grade4-reviewed,preserve-existing
KV000292,candidate:classroom,reuse-existing,classroom,classroom,教室,1,21,19,yes,grade4-reviewed,preserve-existing
