NoteID,ProvisionalIdentityKey,CanonicalWord,MatchKey,SenseLabel,MeaningPrimary,BritishCandidate,AmericanCandidate,BritishEvidenceStatus,AmericanEvidenceStatus,SourceOccurrenceCount,DistinctSourceIDs,DefinitionEvidence,ExampleSentence,ExampleTranslation,PresentationStatus,PresentationSource
KV001231,candidate:air,air,air,空气,空气,[eə(r)],[er],consistent,consistent,9,9,"n. 空气,大气;天空;样子;曲调 vt. 使通风,晾干;夸耀 vi. 通风",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001232,candidate:air-conditioned,air-conditioned,air-conditioned,有空调的,有空调的,[ˈeə kəndɪʃ(ə)nd],[ˈer kəndɪʃnd],consistent,consistent,1,1,adj. 备有空调装置的 v. 给...装上空调器;用空调器调节(air-condition的过去分词),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001233,candidate:airplane,airplane,airplane,飞机,飞机,[ˈeəpleɪn],[ˈerpleɪn],consistent,consistent,1,1,n. 飞机,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001234,candidate:alarm clock,alarm clock,alarm clock,闹钟,闹钟,,,missing,missing,1,1,n. 闹钟,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001235,candidate:alaska,Alaska,alaska,阿拉斯加州,阿拉斯加州,[əˈlæskə],[əˈlæskə],consistent,consistent,1,1,n. 阿拉斯加州,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001236,candidate:alive,alive,alive,活着的；有生命的,活着的；有生命的,[əˈlaɪv],[əˈlaɪv],consistent,consistent,1,1,adj. 活着的;活泼的;有生气的,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001237,candidate:all around,all around,all around,四处；到处,四处；到处,[ˌɔːl əˈraʊnd],[ˌɔːl əˈraʊnd],consistent,consistent,1,1,na. 四处;全面地;遍处;一一,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001238,candidate:all day,all day,all day,整天；一整天,整天；一整天,[ˈɔːl deɪ],[ˈɔːl deɪ],consistent,consistent,2,2,na. 一天到晚,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001239,candidate:all over the world,all over the world,all over the world,世界各地；遍及全世界,世界各地；遍及全世界,,,missing,missing,2,2,adv. 遍及全世界,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001240,candidate:all the time,all the time,all the time,一直；始终,一直；始终,,,missing,missing,1,1,na. 始终;〔美国〕老是,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001241,candidate:all year round,all year round,all year round,全年；一年到头,全年；一年到头,,,missing,missing,1,1,全年;一年到头;终年,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001242,candidate:almost,almost,almost,"差不多,几乎","差不多,几乎",[ˈɔːlməʊst],[ˈɔːlmoʊst],consistent,consistent,4,4,"adv. 差不多,几乎",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001243,candidate:alone,alone,alone,独自的；独自地,独自的；独自地,[əˈləʊn],[əˈloʊn],consistent,consistent,1,1,adj. 独自的;单独的;孤独的 adv. 独自地;单独地,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001244,candidate:along,along,along,沿着；顺着,沿着；顺着,[əˈlɒŋ],[əˈlɔːŋ],consistent,consistent,10,10,prep. 沿着;顺着 adv. 一起;向前;来到,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001245,candidate:aloud,aloud,aloud,大声地；出声地,大声地；出声地,[əˈlaʊd],[əˈlaʊd],consistent,consistent,2,2,adv. 大声地;出声地,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001246,candidate:alphabet,alphabet,alphabet,字母表,字母表,[ˈælfəbet],[ˈælfəbet],consistent,consistent,1,1,"n. 字母表,字母系统;入门,初步 n. Google创建的名为Alphabet的公司,改变Google原有公司架构,旨在使其当下主要业务和长期投资项目间的区别更加清晰。",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001247,candidate:already,already,already,已经；早已,已经；早已,[ɔːlˈredi],[ɔːlˈredi],consistent,consistent,3,3,"adv. 已经,早已;先前",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001248,candidate:alright,alright,alright,好吧；没问题的,好吧；没问题的,[ɔːlˈraɪt],[ɔːlˈraɪt],consistent,consistent,1,1,adj. 没问题的 adv. 好吧(等于all right),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001249,candidate:am,am,am,是（be 的第一人称单数现在式）,是（be 的第一人称单数现在式）,[əm; æm],[əm; æm],consistent,consistent,20,13,abbr. 调幅 v. 是,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001250,candidate:ambulance,ambulance,ambulance,救护车,救护车,[ˈæmbjələns],[ˈæmbjələns],consistent,consistent,1,1,n. [车辆][医] 救护车;战时流动医院,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001251,candidate:america,America,america,美国,美国,[əˈmerɪkə],[əˈmerɪkə],consistent,consistent,1,1,n. 美洲(包括北美和南美洲);美国,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001252,candidate:american football,American football,american football,美式足球,美式足球,,,missing,missing,1,1,n. 美式足球,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001253,candidate:amusement park,amusement park,amusement park,游乐园；游乐场,游乐园；游乐场,,,missing,missing,1,1,n. 游乐场;娱乐园,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001254,candidate:ankle,ankle,ankle,脚踝；踝关节,脚踝；踝关节,[ˈæŋk(ə)l],[ˈæŋk(ə)l],consistent,consistent,1,1,"n. 踝关节,踝",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001255,candidate:ant,ant,ant,蚂蚁,蚂蚁,[ænt],[ænt],consistent,consistent,7,7,n. 蚂蚁,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001256,candidate:anyone,anyone,anyone,任何人；无论谁,任何人；无论谁,[ˈeniwʌn],[ˈeniwʌn],consistent,consistent,1,1,pron. 任何人;任何一个,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001257,candidate:anytime,anytime,anytime,任何时候；随时,任何时候；随时,[ˈenɪtaɪm],[ˈeniˌtaɪm],consistent,consistent,1,1,adv. 任何时候;无例外地,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001258,candidate:anyway,anyway,anyway,无论如何；总之,无论如何；总之,[ˈeniweɪ],[ˈeniweɪ],consistent,consistent,2,2,"adv. 无论如何,不管怎样;总之",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001259,candidate:anywhere,anywhere,anywhere,任何地方；无论哪里,任何地方；无论哪里,[ˈeniweə(r)],[ˈeniwer],consistent,consistent,3,3,n. 任何地方 adv. 在任何地方;无论何处,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001260,candidate:appear,appear,appear,出现；出现于,出现；出现于,[əˈpɪə(r)],[əˈpɪr],consistent,consistent,3,3,vi. 出现;显得;似乎;出庭;登场,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001261,candidate:arctic,Arctic,arctic,北极地区；北极的,北极地区；北极的,[ˈɑːktɪk],[ˈɑːrktɪk],consistent,consistent,1,1,n. 北极圈;御寒防水套鞋 adj. 北极的;极寒的,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001262,candidate:are not,are not,are not,不是；没有；不（are 的否定形式）,不是；没有；不（are 的否定形式）,,,missing,missing,6,3,abbr. 不是(are not) | 无,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001263,candidate:area,area,area,地区；区域,地区；区域,[ˈeəriə],[ˈeriə],consistent,consistent,1,1,"n. 区域,地区;面积;范围",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001264,candidate:argentina,Argentina,argentina,阿根廷,阿根廷,[ˌɑːdʒənˈtiːnə],[ˌɑːrdʒənˈtiːnə],consistent,consistent,1,1,n. 阿根廷(位于拉丁美洲),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001265,candidate:argue,argue,argue,争论；争吵,争论；争吵,[ˈɑːɡjuː],[ˈɑːrɡjuː],consistent,consistent,1,1,"vi. 争论,辩论;提出理由 vt. 辩论,争论;证明;说服",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001266,candidate:art museum,art museum,art museum,美术馆,美术馆,,,missing,missing,1,1,n. 美术馆,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001267,candidate:art room,art room,art room,美术教室,美术教室,,,missing,missing,3,3,绘画教室;美术室;美术教室,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001268,candidate:as well,as well,as well,也；还,也；还,[æz wel],[æz wel],consistent,consistent,1,1,na. 也;同样,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001269,candidate:asleep,asleep,asleep,睡着的,睡着的,[əˈsliːp],[əˈsliːp],consistent,consistent,2,2,adj. 睡着的;麻木的;长眠的 adv. 熟睡地;进入睡眠状态,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001270,candidate:assistant,assistant,assistant,助手；助理,助手；助理,[əˈsɪstənt],[əˈsɪstənt],consistent,consistent,1,1,"n. 助手,助理,助教 adj. 辅助的,助理的;有帮助的",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001271,candidate:at all,at all,at all,根本；完全（用于否定或疑问）,根本；完全（用于否定或疑问）,[æt ɔ:l],[æt ɔːl],consistent,consistent,1,1,na. 全然;究竟,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001272,candidate:at first,at first,at first,起初；一开始,起初；一开始,,,missing,missing,3,3,na. 首先,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001273,candidate:at home,at home,at home,在家,在家,,,missing,missing,4,4,na. 在家;安适;在家接待客人;在本国 (opp. abroad),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001274,candidate:at last,at last,at last,终于；最后,终于；最后,,,missing,missing,2,2,na. 终于,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001275,candidate:at night,at night,at night,在夜里；晚上,在夜里；晚上,,,missing,missing,3,3,na. 在黄昏时候;晚上,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001276,candidate:at noon,at noon,at noon,在中午,在中午,,,missing,missing,2,2,na. 在中午,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001277,candidate:at the end of,at the end of,at the end of,在……末尾；在……结束时,在……末尾；在……结束时,,,missing,missing,1,1,na. 在...末端;在...的结尾,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001278,candidate:at the same time,at the same time,at the same time,同时；与此同时,同时；与此同时,,,missing,missing,3,3,na. 同时;另一方面;与此同时,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001279,candidate:at the top of,at the top of,at the top of,在……顶部；在……最上面,在……顶部；在……最上面,[æt ðə tɒp əv],[æt ðə tɑːp əv],consistent,consistent,1,1,"na. 在...最高地位;用最高[最大]的(速度,声音等)",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001280,candidate:at the weekend,at the weekend,at the weekend,在周末,在周末,,,missing,missing,1,1,在周末;在这个周末;周末生活,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001281,candidate:at work,at work,at work,在工作；工作中,在工作；工作中,,,missing,missing,1,1,na. 做着;在工作;起着作用;运转中,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001282,candidate:athlete,athlete,athlete,运动员,运动员,[ˈæθliːt],[ˈæθliːt],consistent,consistent,1,1,"n. 运动员,体育家;身强力壮的人",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001283,candidate:attention,attention,attention,注意；注意力,注意；注意力,[əˈtenʃ(ə)n],[əˈtenʃn],consistent,consistent,1,1,n. 注意力;关心;立正!(口令),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001284,candidate:auntie,auntie,auntie,阿姨；姑妈；姨妈,阿姨；姑妈；姨妈,[ˈɑːnti],[ˈænti],consistent,consistent,2,2,n. 伯母;阿姨;姑妈;姨妈;舅妈(aunt的昵称),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001285,candidate:australia day,Australia Day,australia day,澳大利亚日,澳大利亚日,,,missing,missing,1,1,"n. 澳大利亚日(1 月 26 日,澳大利亚国庆日,纪念 1788 年新南威尔士州成立)",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001286,candidate:australian,Australian,australian,澳大利亚的；澳大利亚人,澳大利亚的；澳大利亚人,[ɒˈstreɪliən],[ɔːˈstreɪliən],consistent,consistent,3,3,"adj. 澳大利亚的,澳大利亚人的 n. 澳大利亚人",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001287,candidate:australian football,Australian football,australian football,澳式足球,澳式足球,,,missing,missing,1,1,,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001288,candidate:autograph,autograph,autograph,亲笔签名,亲笔签名,[ˈɔːtəɡrɑːf],[ˈɔːtəɡræf],consistent,consistent,1,1,"n. 亲笔,手稿;亲笔签名 vt. 亲笔签名于...;亲笔书写",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001289,candidate:aviary,aviary,aviary,鸟舍；大鸟笼,鸟舍；大鸟笼,[ˈeɪviəri],[ˈeɪvieri],consistent,consistent,1,1,n. 鸟类饲养场;大型鸟舍,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001290,candidate:away,away,away,离开；在远处,离开；在远处,[əˈweɪ],[əˈweɪ],consistent,consistent,4,4,"adv. 离去,离开;在远处",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001291,candidate:awful,awful,awful,糟糕的；可怕的,糟糕的；可怕的,[ˈɔːf(ə)l],[ˈɔːf(ə)l],consistent,consistent,1,1,adj. 可怕的;极坏的;使人敬畏的,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001292,candidate:ax,ax,ax,斧头,斧头,[æks],[æks],consistent,consistent,1,1,n. 斧头 vt. 削减;用斧修整;解雇,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001293,candidate:baby,baby,baby,婴儿；宝宝,婴儿；宝宝,[ˈbeɪbi],[ˈbeɪbi],consistent,consistent,15,13,"n. 婴儿,婴孩;孩子气的人 adj. 婴儿的;幼小的 vt. 纵容,娇纵;把......当婴儿般对待",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001294,candidate:baby brother,baby brother,baby brother,弟弟；小弟弟,弟弟；小弟弟,,,missing,missing,1,1,小弟弟;我的弟弟啊;切入正题,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001295,candidate:back,back,back,向后；回到原处,向后；回到原处,[bæk],[bæk],consistent,consistent,15,11,n. 后面;背部;靠背;足球等的后卫;书报等的末尾 adj. 后面的;过去的;拖欠的 vt. 支持;后退;背书;下赌注 adv. 以前;向后地;来回地;上溯;回来;回原处 vi. 后 | n. 后面;背部;靠背;足球等的后卫;书报等的末尾 adj. 后面的;过去的;拖欠的 vt. 支持;后退;背书;下赌注 adv. 以前;向后地;来回地;上溯;回来;回原处 vi. 后退;背 | n. 后面;背部;靠背;足球等的后卫;书报等的末尾 adj. 后面的;过去的;拖欠的 vt. 支持;后退;背书;下赌注 adv. 以前;向后地;来回地;上溯;回来;回原处 vi. 后退;背靠;倒退,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001296,candidate:backpack,backpack,backpack,背包；双肩背包,背包；双肩背包,[ˈbækpæk],[ˈbækpæk],consistent,consistent,1,1,"n. 双肩背包,背包;远足用的背包 vt. 挑运;把...放入背包 vi. 背负简便行李旅行;挑运",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001297,candidate:bacon,bacon,bacon,培根；熏猪肉,培根；熏猪肉,[ˈbeɪkən],[ˈbeɪkən],consistent,consistent,1,1,n. 咸肉;腌肉;熏猪肉,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001298,candidate:badly,badly,badly,严重地；很差地,严重地；很差地,[ˈbædli],[ˈbædli],consistent,consistent,2,2,"adv. 非常,很;严重地,厉害地;恶劣地",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001299,candidate:bag,bag,bag,袋子；包,袋子；包,[bæɡ],[bæɡ],consistent,consistent,23,19,"n. 袋;猎获物;(俚)一瓶啤酒 vt. 猎获;把...装入袋中;占据,私吞;使膨大 vi. 松垂",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001300,candidate:bake,bake,bake,烘烤；烘焙,烘烤；烘焙,[beɪk],[beɪk],consistent,consistent,3,3,"n. 烤;烘烤食品 vi. 烘面包;被烤干;受热 vt. 烤,烘焙",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001301,candidate:baker,baker,baker,面包师；面包工人,面包师；面包工人,[ˈbeɪkə(r)],[ˈbeɪkər],consistent,consistent,1,1,n. 面包师;面包工人;(便携式)烘炉,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001302,candidate:bakery,bakery,bakery,面包店,面包店,[ˈbeɪkəri],[ˈbeɪkəri],consistent,consistent,2,1,n. 面包店,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001303,candidate:balloon,balloon,balloon,气球,气球,[bəˈluːn],[bəˈluːn],consistent,consistent,11,9,n. 气球 adj. 像气球般鼓起的 vt. 使像气球般鼓起;使激增 vi. 激增;膨胀如气球,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001304,candidate:band,band,band,乐队,乐队,[bænd],[bænd],consistent,consistent,3,2,"n. 带,环;[物] 波段;(演奏流行音乐的) 乐队 n. n.乐队;队;一群 vi. 用带绑扎;给...镶边",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001305,candidate:bandage,bandage,bandage,绷带；用绷带包扎,绷带；用绷带包扎,[ˈbændɪdʒ],[ˈbændɪdʒ],consistent,consistent,1,1,n. 绷带 vt. 用绷带包扎,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001306,candidate:bangkok,Bangkok,bangkok,曼谷,曼谷,[ˈbæŋkɒk],[ˈbæŋˌkɑːk],consistent,consistent,1,1,n. 曼谷(泰国首都),,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001307,candidate:bar,bar,bar,条；棒；块（食品）,条；棒；块（食品）,[bɑː(r)],[bɑːr],consistent,consistent,1,1,"n. 条,棒;酒吧;障碍;法庭 prep. 除......外 vt. 禁止;阻拦",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001308,candidate:barbecue,barbecue,barbecue,烧烤；烧烤野餐,烧烤；烧烤野餐,[ˈbɑːbɪkjuː],[ˈbɑːrbɪkjuː],consistent,consistent,1,1,n. 烤肉;吃烤肉的野宴 vt. 烧烤;烤肉,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001309,candidate:baseball,baseball,baseball,棒球；棒球运动,棒球；棒球运动,[ˈbeɪsbɔːl],[ˈbeɪsbɔːl],consistent,consistent,6,6,n. 棒球;棒球运动,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001310,candidate:bath,bath,bath,洗澡；沐浴,洗澡；沐浴,[bɑːθ],[bæθ],consistent,consistent,2,2,n. 沐浴;浴室;浴盆 vt. 洗澡 vi. 洗澡,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001311,candidate:battle,battle,battle,战斗；战役,战斗；战役,[ˈbæt(ə)l],[ˈbætl],consistent,consistent,1,1,n. 战役;斗争 vt. 与...作战 vi. 斗争;作战,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001312,candidate:bay,bay,bay,海湾,海湾,[beɪ],[beɪ],consistent,consistent,1,1,n. 海湾;狗吠声 vt. 向...吠叫 vi. 吠叫;大声叫嚷,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001313,candidate:be,be,be,是；成为（be 的原形）,是；成为（be 的原形）,[bi],[bi; biː],consistent,consistent,7,7,"vt. 是; 有,存在; 做,成为; 发生",,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001314,candidate:be able to,be able to,be able to,能够；可以,能够；可以,,,missing,missing,1,1,v. 能够,,,third-party-content-pending,third-party-external-evidence-prep-v1
KV001315,candidate:be born,be born,be born,出生,出生,[bɔːn],[bɔːrn],consistent,consistent,7,5,v. 出世(bear的过去分词) adj. 天生的 | v. 出生,,,third-party-content-pending,third-party-external-evidence-prep-v1
