ProvisionalIdentityKey,CanonicalMatchKey,DisplayWord,TargetSense,MatchedRuleKey,ReasonCode,PolicyVersion,Rationale,LearnerIdentityRemoved
candidate:eleventh,eleventh,eleventh,第十一,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fifteen,fifteen,fifteen,十五,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fifteenth,fifteenth,fifteenth,第十五,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fifth,fifth,fifth,第五,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fifty,fifty,fifty,五十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fifty-four,fifty-four,fifty-four,五十四,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:first,first,first,第一；首先,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:five,five,five,五,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:forty,forty,forty,四十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:forty-five,forty-five,forty-five,四十五,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:forty-six,forty-six,forty-six,四十六,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:four,four,four,四,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fourteen,fourteen,fourteen,十四,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fourteenth,fourteenth,fourteenth,第十四,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:fourth,fourth,fourth,第四,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:hundred,hundred,hundred,一百；百,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:million,million,million,一百万,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:nine,nine,nine,九,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:nineteen,nineteen,nineteen,十九,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:nineteenth,nineteenth,nineteenth,第十九,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:ninety,ninety,ninety,九十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:ninth,ninth,ninth,第九,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:one,one,one,一；一个,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:second,second,second,第二；第二个,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:seven,seven,seven,七,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:seventeen,seventeen,seventeen,十七,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:seventeenth,seventeenth,seventeenth,第十七,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:seventh,seventh,seventh,第七,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:seventy,seventy,seventy,七十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:six,six,six,六,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:sixteen,sixteen,sixteen,十六,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:sixth,sixth,sixth,第六,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:sixty,sixty,sixty,六十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:ten,ten,ten,十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:tenth,tenth,tenth,第十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:the,the,the,定冠词the,article:the,trivial-function-word,klose-content-exclusion-v1,the is already below the intended third-party learning threshold; retain Source/Identity evidence but exclude from learner admission.,yes
candidate:third,third,third,第三,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:thirteen,thirteen,thirteen,十三,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:thirteenth,thirteenth,thirteenth,第十三,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:thirtieth,thirtieth,thirtieth,第三十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:thirty,thirty,thirty,三十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:thirty-one,thirty-one,thirty-one,三十一,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:thirty-two,thirty-two,thirty-two,三十二,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:thousand,thousand,thousand,一千,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:three,three,three,三,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twelfth,twelfth,twelfth,第十二,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twelve,twelve,twelve,十二,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twentieth,twentieth,twentieth,第二十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twenty,twenty,twenty,二十,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twenty-eight,twenty-eight,twenty-eight,二十八,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twenty-fifth,twenty-fifth,twenty-fifth,第二十五,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twenty-first,twenty-first,twenty-first,第二十一,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twenty-one,twenty-one,twenty-one,二十一,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twenty-second,twenty-second,twenty-second,第二十二,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:twenty-third,twenty-third,twenty-third,第二十三,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:two,two,two,二；两个,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
candidate:zero,zero,zero,零,number:elementary,trivial-number-word,klose-content-exclusion-v1,Elementary cardinal and ordinal number learning units are intentionally excluded from the third-party learner vocabulary while Source/Identity evidence remains intact.,yes
