NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001250,An ambulance took him to the hospital.,一辆救护车把他送到了医院。,model-curated,third-party-learner-content-v1
KV001251,My cousin lives in America.,我的表哥住在美国。,model-curated,third-party-learner-content-v1
KV001252,They play American football after school.,他们放学后打美式足球。,model-curated,third-party-learner-content-v1
KV001253,We rode the big wheel at the amusement park.,我们在游乐园坐了摩天轮。,model-curated,third-party-learner-content-v1
KV001254,I hurt my ankle while running.,我跑步时伤了脚踝。,model-curated,third-party-learner-content-v1
KV001255,An ant is carrying some food.,一只蚂蚁正在搬食物。,model-curated,third-party-learner-content-v1
KV001256,Can anyone answer this question?,有人能回答这个问题吗？,model-curated,third-party-learner-content-v1
KV001257,You can call me anytime.,你随时都可以给我打电话。,model-curated,third-party-learner-content-v1
KV001258,It was raining but we went anyway.,虽然下着雨但我们还是去了。,model-curated,third-party-learner-content-v1
KV001259,You can sit anywhere.,你可以坐在任何地方。,model-curated,third-party-learner-content-v1
KV001260,A rainbow may appear after the rain.,雨后可能会出现彩虹。,model-curated,third-party-learner-content-v1
KV001261,Polar bears live in the Arctic.,北极熊生活在北极地区。,model-curated,third-party-learner-content-v1
KV001262,These books are not mine.,这些书不是我的。,model-curated,third-party-learner-content-v1
KV001263,This area is safe for children.,这个地区对孩子们来说很安全。,model-curated,third-party-learner-content-v1
KV001264,Argentina is in South America.,阿根廷在南美洲。,model-curated,third-party-learner-content-v1
KV001265,Do not argue with your sister.,不要和你妹妹争吵。,model-curated,third-party-learner-content-v1
KV001266,We saw many paintings at the art museum.,我们在美术馆看到了许多画。,model-curated,third-party-learner-content-v1
KV001267,Our class paints pictures in the art room.,我们班在美术教室画画。,model-curated,third-party-learner-content-v1
KV001268,My sister likes music as well.,我妹妹也喜欢音乐。,model-curated,third-party-learner-content-v1
KV001269,The baby is asleep now.,宝宝现在睡着了。,model-curated,third-party-learner-content-v1
KV001270,The shop assistant helped me find a shirt.,店员帮我找了一件衬衫。,model-curated,third-party-learner-content-v1
KV001271,I do not like this game at all.,我根本不喜欢这个游戏。,model-curated,third-party-learner-content-v1
KV001272,At first I could not ride a bike.,起初我不会骑自行车。,model-curated,third-party-learner-content-v1
KV001273,Dad is at home today.,爸爸今天在家。,model-curated,third-party-learner-content-v1
KV001274,At last the bus arrived.,公共汽车终于到了。,model-curated,third-party-learner-content-v1
KV001275,The stars are bright at night.,星星在夜里很明亮。,model-curated,third-party-learner-content-v1
KV001276,We eat lunch at noon.,我们中午吃午饭。,model-curated,third-party-learner-content-v1
KV001277,There is a quiz at the end of the lesson.,这节课结束时有一个小测验。,model-curated,third-party-learner-content-v1
KV001278,We both spoke at the same time.,我们俩同时说话了。,model-curated,third-party-learner-content-v1
KV001279,A bird is sitting at the top of the tree.,一只鸟停在树顶上。,model-curated,third-party-learner-content-v1
KV001280,We visit Grandma at the weekend.,我们周末去看奶奶。,model-curated,third-party-learner-content-v1
KV001281,Mum is at work now.,妈妈现在在工作。,model-curated,third-party-learner-content-v1
KV001282,The athlete runs every morning.,这名运动员每天早上跑步。,model-curated,third-party-learner-content-v1
KV001283,Please pay attention in class.,上课时请注意听讲。,model-curated,third-party-learner-content-v1
KV001284,My auntie lives near our school.,我的阿姨住在我们学校附近。,model-curated,third-party-learner-content-v1
KV001285,We learned about Australia Day in class.,我们在课堂上了解了澳大利亚日。,model-curated,third-party-learner-content-v1
KV001286,She has an Australian friend.,她有一个澳大利亚朋友。,model-curated,third-party-learner-content-v1
KV001287,Australian football is popular in Australia.,澳式足球在澳大利亚很受欢迎。,model-curated,third-party-learner-content-v1
KV001288,The player gave me his autograph.,那位运动员给了我他的亲笔签名。,model-curated,third-party-learner-content-v1
KV001289,The birds fly freely inside the aviary.,鸟儿在鸟舍里自由飞翔。,model-curated,third-party-learner-content-v1
KV001290,The school is not far away.,学校不在很远的地方。,model-curated,third-party-learner-content-v1
