MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,RiskSignals,CandidateType,CandidateRoute,ProposedObjectDecision,ResolutionStatus,Confidence,TargetReference,ResolutionBasis,Rationale,KloseMergeAuthorized
big ben,Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)",4年级下,1,4年级下@r83: [koala / maple leaves / <Big Ben> / Disneyland / campfire],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
bus driver,bus driver,na. (公共汽车)驾驶员;〈俚〉轰炸机驾驶员,4年级上,1,4年级上@r98: [cook / doctor / <bus driver> / police officer / taxi driver],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
buy toys,buy toys,无,4年级下,1,4年级下@r31: [hotel / square / <buy toys> / see a film / go boating],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
by bike,by bike,骑自行车;骑车;骑单车,4年级上,1,4年级上@r44: [by car / by taxi / <by bike> / on foot / by school bus],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by boat,by boat,na. 乘船,4年级上,1,4年级上@r40: [usually / by bus / <by boat> / by ship / by car],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by bus,by bus,na. 乘公共汽车,4年级上,1,4年级上@r39: [day / usually / <by bus> / by boat / by ship],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by car,by car,na. 乘电车;乘汽车,4年级上,1,4年级上@r42: [by boat / by ship / <by car> / by taxi / by bike],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by plane,by plane,adv. 乘飞机,4年级上,1,4年级上@r48: [by school bus / by subway / <by plane> / by train / garden],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by school bus,by school bus,无,4年级上,1,4年级上@r46: [by bike / on foot / <by school bus> / by subway / by plane],missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by ship,by ship,乘船;乘轮船;坐轮船,4年级上,1,4年级上@r41: [by bus / by boat / <by ship> / by car / by taxi],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by subway,by subway,乘地铁;坐地铁;乘坐地铁,4年级上,1,4年级上@r47: [on foot / by school bus / <by subway> / by plane / by train],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by taxi,by taxi,乘出租车;坐出租车;打的,4年级上,1,4年级上@r43: [by ship / by car / <by taxi> / by bike / on foot],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by train,by train,na. 坐火车,4年级上,1,4年级上@r49: [by subway / by plane / <by train> / garden / meeting place],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
can't,can't,abbr. 不能(can not),2年级下,1,2年级下@r8: [swim / make a snowman / <can't> / rainy / cloudy],contracted-form,single-token-form-review,identity-form-review,held-identity-form-policy,model-reviewed,medium,,contracted-form-policy-blocker,The contracted form carries grammatical/negation information beyond a simple spelling alias; keep held until the Vocabulary form policy is explicit.,no
catch,catch,n. 捕捉;捕获物;窗钩 vt. 赶上;抓住;感染;了解 vi. 赶上;抓住,4年级下,1,4年级下@r65: [hobby / stamp / <catch> / go for a picnic / play the violin],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,"The hobby neighborhood does not identify what is being caught or whether the target is the general verb, a sport/hobby collocation, or another elementary sense.",no
central,central,n. 电话总机 adj. 中心的;主要的;中枢的,4年级下,1,4年级下@r41: [star / king / <central> / take photos / museum],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,"The nearby place/travel items do not establish whether central is an adjective, a named-place fragment, or another target use.",no
children's day,Children's Day,na. 儿童节,5年级下,1,5年级下@r24: [Tree Planting Day / Mother's Day / <Children's Day> / Father's Day / Teachers' Day],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
christmas day,Christmas Day,"n. 【宗,基督】圣诞节;圣诞节时期",5年级下,1,5年级下@r28: [Teachers' Day / National Day / <Christmas Day> / birthday / fifth],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
christmas tree,Christmas tree,n. 【节】圣诞树,2年级上,1,2年级上@r46: [Christmas / Father Christmas / <Christmas tree> / card / present],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
clean the room,clean the room,打扫房间;清扫房间;清洁房间,5年级上,1,5年级上@r61: [nature shows / chore / <clean the room> / make the bed / take out the rubbish],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
climb a hill,climb a hill,无,4年级上,1,4年级上@r18: [visit one's grandparents / go to a drawing club / <climb a hill> / pick fruit / play computer games],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
climb on the window ledge,climb on the window ledge,无,4年级上,1,4年级上@r81: [schoolbag / shop / <climb on the window ledge> / dangerous / play with fire],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
computer class,computer class,计算机课;电脑班;电脑课,3年级下,1,3年级下@r9: [maths / art / <computer class> / we / that],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
danish,Danish,n. 丹麦语 adj. 丹麦的;丹麦人的;丹麦语(文)的,6年级上,1,6年级上@r82: [American / French / <Danish> / poem / paint],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,"The nationality/language neighborhood does not establish whether the target is Danish as adjective, person/nationality, or language.",no
dining room,dining room,n. 饭厅;餐厅,3年级下,1,3年级下@r77: [living room / bathroom / <dining room> / study / kitchen],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
do the housework,do the housework,做家务;做家务活;料理家务,4年级下,1,4年级下@r70: [go skating / go camping / <do the housework> / free / never],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
doing jigsaw puzzles,doing jigsaw puzzles,无,4年级下,1,4年级下@r59: [singing / dancing / <doing jigsaw puzzles> / making models / collecting erasers],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
drank cold drinks,drank cold drinks,无,5年级下,1,5年级下@r72: [won / went to the beach / <drank cold drinks> / swam / ate ice-cream],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
draw pictures,draw pictures,画画;画图画;画儿,3年级下,1,3年级下@r28: [after school / play sports / <draw pictures> / play chess / dance],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
dream,dream,"n. 梦想,愿望;梦 adj. 梦的;理想的;不切实际的 vt. 梦想;做梦;想到 vi. 梦想;做梦,梦见;想到",4年级下,1,4年级下@r44: [take photos / museum / <dream> / sea / ski],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,The travel/activity neighborhood is compatible with noun 'dream' and verb 'dream'; the source list has no sentence/unit evidence to choose one learning unit.,no
eat breakfast,eat breakfast,吃早饭;吃早餐;食早餐,2年级下,1,2年级下@r40: [playtime / get up / <eat breakfast> / go to school / eat lunch],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
eat dinner,eat dinner,吃晚饭;吃晚餐;吃饭,2年级下,1,2年级下@r44: [eat lunch / go home / <eat dinner> / go to bed / when],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
eat lunch,eat lunch,吃午饭;吃午餐;吃中午饭,2年级下,1,2年级下@r42: [eat breakfast / go to school / <eat lunch> / go home / eat dinner],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
eat seafood,eat seafood,无,4年级下,1,4年级下@r47: [sea / ski / <eat seafood> / visit the Mogao Caves / West Lake],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
english-chinese dictionary,English-Chinese dictionary,英汉字典;辞典;氏英字典,6年级下,1,6年级下@r38: [wild goose / frog / <English-Chinese dictionary> / shopping centre / shopping mall],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
every day,every day,na. 每日,2年级下,1,2年级下@r47: [go to bed / when / <every day> / at / Sunday],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
excuse me,Excuse me,un. 请原谅;对不起,4年级上,1,4年级上@r73: [find / Information Centre / <Excuse me> / phone / dad],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
exercise book,exercise book,n. 练习本;练习册;作业本,5年级上,1,5年级上@r41: [lovely / butterfly / <exercise book> / pencil sharpener / a pair of scissors],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
fall,fall,n. 下降;秋天;瀑布 adj. 秋天的 vi. 落下;变成;来临;减弱 vt. 砍倒;击倒,6年级上,1,6年级上@r92: [deaf / blind / <fall> / dumpling / fan],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,The neighborhood is not sufficient to distinguish fall='落下/摔倒' from fall='秋天' or another elementary use.,no
father christmas,Father Christmas,na. 圣诞老人,2年级上,1,2年级上@r45: [hill / Christmas / <Father Christmas> / Christmas tree / card],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
father's day,Father's Day,na. 〈美〉父亲节(每年六月的第三个星期日),5年级下,1,5年级下@r25: [Mother's Day / Children's Day / <Father's Day> / Teachers' Day / National Day],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
feeding the fish,feeding the fish,喂鱼 晕船,3年级下,1,3年级下@r67: [listening to music / watching TV / <feeding the fish> / play with / in one hour],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
flower show,flower show,na. 花卉展览,5年级下,1,5年级下@r54: [make a card / everywhere / <flower show> / cleaned the window / watched TV],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
fly a kite,fly a kite,na. 放风筝;试探舆论;开空头支票;〈美〉(从狱中)非法寄出信件,2年级下|3年级下,2,2年级下@r3: [play football / <fly a kite> / ride a bike / make a model plane] || 3年级下@r38: [be back / play football / <fly a kite> / ride a bike / swim],multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
for rent,for rent,na. 出租的;招租,3年级下,1,3年级下@r80: [study / kitchen / <for rent> / sofa / light],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
french fries,French fries,n. 【食】炸薯条,5年级下,1,5年级下@r84: [sad / left / <French fries> / were / was born],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
get to,get to,na. 接触到;开始;〈美口〉收买,4年级下,1,4年级下@r17: [get / money / <get to> / before / leave],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
get up,get up,na. 起床;起身;站起来;叫...起床,2年级下|4年级上,2,2年级下@r39: [time / playtime / <get up> / eat breakfast / go to school] || 4年级上@r15: [friend / father / <get up> / visit one's grandparents / go to a drawing club],multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
glue stick,glue stick,n. 胶棒,4年级上,1,4年级上@r67: [crayon / scissors / <glue stick> / paper / use],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go boating,go boating,na. 乘船〔尤指划船〕游玩,4年级下,1,4年级下@r33: [buy toys / see a film / <go boating> / busy / station],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go camping,go camping,去野营;去露营;宿营,4年级下,1,4年级下@r69: [play the violin / go skating / <go camping> / do the housework / free],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go fishing,go fishing,去钓鱼;垂钓;我以前常去钓鱼,4年级上,1,4年级上@r21: [pick fruit / play computer games / <go fishing> / go to the cinema / on the weekend],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go for a picnic,go for a picnic,去野餐;去野炊;出去野炊,4年级下,1,4年级下@r66: [stamp / catch / <go for a picnic> / play the violin / go skating],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go home,go home,na. 回家;〈口〉死;(忠告等)刻骨铭心;击中,2年级下,1,2年级下@r43: [go to school / eat lunch / <go home> / eat dinner / go to bed],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go skating,go skating,去滑冰;去溜冰;滑雪,4年级下,1,4年级下@r68: [go for a picnic / play the violin / <go skating> / go camping / do the housework],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go straight,go straight,na. 笔直走,4年级下,1,4年级下@r11: [turn left / turn right / <go straight> / crossroads / neighbourhood],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to a drawing club,go to a drawing club,无,4年级上,1,4年级上@r17: [get up / visit one's grandparents / <go to a drawing club> / climb a hill / pick fruit],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to bed,go to bed,na. 睡;同床;【印】付印,2年级下|5年级下,2,2年级下@r45: [go home / eat dinner / <go to bed> / when / every day] || 5年级下@r4: [too much / candy / <go to bed> / early / exercise],multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to school,go to school,na. 到校上课;上学去;开始求学,2年级下,1,2年级下@r41: [get up / eat breakfast / <go to school> / eat lunch / go home],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
go to the cinema,go to the cinema,去看电影;去电影院;上电影院,4年级上,1,4年级上@r22: [play computer games / go fishing / <go to the cinema> / on the weekend / fun],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
