MatchKey,DisplayForms,Definitions,SourceIDs,SourceBooks,OccurrenceCount,SurfaceState,IdentityResolutionStatus,MergeAuthorized
blackboard,blackboard,n. 黑板,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:1年级下|renjiao_start1:3年级下,3,cross-source-exact-overlap,pending,no
blue,blue,"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
boat,boat,n. 小船;轮船 vi. 划船,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:4年级下|renjiao_start1:2年级上,3,cross-source-exact-overlap,pending,no
body,body,n. 身体;主体;大量;团体;主要部分 vt. 赋以形体,beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
book,book,n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:4年级上|renjiao_start1:1年级上,3,cross-source-exact-overlap,pending,no
box,box,"n. 箱,盒子;包厢;一拳 vt. 拳击;装...入盒中;打耳光 vi. 拳击",beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:3年级下|renjiao_start1:1年级下|renjiao_start1:3年级下,4,cross-source-exact-overlap,pending,no
boy,boy,n. 男孩;男人,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:2年级上,2,cross-source-exact-overlap,pending,no
bread,bread,n. 面包;生计 vt. 在...上洒面包屑,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
bring,bring,vt. 带来;促使;引起;使某人处于某种情况或境地,beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
brother,brother,n. 兄弟;同事;战友 int. 我的老兄!,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:2年级上|renjiao_start1:3年级下,3,cross-source-exact-overlap,pending,no
busy,busy,adj. 忙碌的;热闹的;正被占用的 vt. 使忙于,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:4年级下,2,cross-source-exact-overlap,pending,no
but,but,"conj. 但是;而是;然而 adv. 仅仅,只 prep. 除...以外",beijing_start1|renjiao_start1,beijing_start1:6年级上|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
buy,buy,"n. 购买,买卖;所购的物品 vi. 买,采购 vt. 购买;获得;贿赂",beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
cake,cake,n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级上|renjiao_start1:3年级上,3,cross-source-exact-overlap,pending,no
call,call,n. 电话;呼叫;要求;访问 vi. 呼叫;拜访;叫牌 vt. 呼叫;称呼;召集,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
can,can,aux. 能; 能够; 可以; 可能 n. 罐头; (用金属或塑料制作的)容器; (马口铁或其他金属制作的)食品罐头 vt. 将...装入密封罐中保存,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:1年级下,2,cross-source-exact-overlap,pending,no
canada,Canada,n. 加拿大(北美洲国家),beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:4年级下,2,cross-source-exact-overlap,pending,no
cap,cap,n. 盖;帽子 vt. 覆盖;胜过;给...戴帽;加盖于 vi. 脱帽致意,beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:5年级下|renjiao_start1:3年级上,3,cross-source-exact-overlap,pending,no
car,car,n. 汽车;车厢,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级下|renjiao_start1:1年级下,3,cross-source-exact-overlap,pending,no
card,card,n. 卡片;纸牌;明信片 vt. 记于卡片上,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:2年级上,2,cross-source-exact-overlap,pending,no
cat,cat,"n. 猫,猫科动物",beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级上|renjiao_start1:1年级上|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
chair,chair,n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:1年级下|renjiao_start1:3年级下,3,cross-source-exact-overlap,pending,no
chicken,chicken,"n. 鸡肉;小鸡;胆小鬼,懦夫 adj. 鸡肉的;胆怯的;幼小的",beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:1年级下|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
children,children,n. 孩子们(child的复数),beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
china,China,"n. 中国 n. china,瓷器 adj. 中国的;中国制造的 adj. china,瓷制的",beijing_start1|renjiao_start1,beijing_start1:4年级下|renjiao_start1:4年级下,2,cross-source-exact-overlap,pending,no
chinese,Chinese,"n. 中文,汉语;中国人 adj. 中国的,中国人的;中国话的",beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
christmas,Christmas,n. 圣诞节;圣诞节期间,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:2年级上,2,cross-source-exact-overlap,pending,no
city,city,"n. 城市,都市 adj. 城市的;都会的",beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:4年级下,2,cross-source-exact-overlap,pending,no
class,class,"n. 阶级;班级;种类;班;等级 adj. 极好的;很好的,优秀的,出色的 vt. 分类;把...分等级;把...归入某等级,把...看作(或分类、归类);把...编入某一班级 vi. 属于...类(或等级),被列为某类(或某级)",beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
classroom,classroom,n. 教室,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
clever,clever,adj. 聪明的;机灵的;熟练的 [ 比较级cleverer 最高级 cleverest ],beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
clock,clock,n. 时钟;计时器 vt. 记录;记时 vi. 打卡;记录时间,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
cloudy,cloudy,adj. 多云的;阴天的;愁容满面的,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:2年级下,2,cross-source-exact-overlap,pending,no
coat,coat,n. 外套 vt. 覆盖...的表面,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级下|renjiao_start1:3年级上,3,cross-source-exact-overlap,pending,no
cold,cold,"n. 寒冷;感冒 adj. 寒冷的;冷淡的,不热情的;失去知觉的 adv. 完全地",beijing_start1|renjiao_start1,beijing_start1:2年级下|beijing_start1:4年级上|renjiao_start1:2年级下,3,cross-source-exact-overlap,pending,no
colour,colour,"n. 颜色;风格;气色,面色;外貌 vt. 把...涂颜色,粉饰;歪曲;使脸红 vi. 变色",beijing_start1|renjiao_start1,beijing_start1:6年级上|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
come,come,vi. 来;开始;出现;发生;变成;到达 vt. 做;假装;将满(...岁) int. 嗨!,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
cook,cook,"n. 厨师,厨子 vt. 烹调,煮 vi. 烹调,做菜",beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
cool,cool,n. 凉爽;凉爽的空气 adj. 凉爽的;冷静的;出色的 vt. 使...冷却;使...平静下来 vi. 变凉;平息 adv. 冷静地,beijing_start1|renjiao_start1,beijing_start1:2年级下|beijing_start1:3年级上|renjiao_start1:2年级下|renjiao_start1:5年级上,4,cross-source-exact-overlap,pending,no
country,country,"n. 国家,国土;国民;乡下,农村;乡村;故乡 adj. 祖国的,故乡的;地方的,乡村的;国家的;粗鲁的;乡村音乐的",beijing_start1|renjiao_start1,beijing_start1:4年级下|renjiao_start1:4年级下,2,cross-source-exact-overlap,pending,no
cousin,cousin,n. 堂兄弟姊妹;表兄弟姊妹,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
cow,cow,"n. 奶牛,母牛;母兽 vt. 威胁,恐吓",beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:2年级上|renjiao_start1:5年级上,3,cross-source-exact-overlap,pending,no
crayon,crayon,"n. 蜡笔,有色粉笔 vt. 以蜡笔作画,用颜色粉笔画",beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
cry,cry,n. 叫喊;叫声;口号;呼叫 vi. 哭;叫;喊 vt. 叫喊;哭出;大声说,beijing_start1|renjiao_start1,beijing_start1:6年级上|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
dad,dad,n. 爸爸;爹爹,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
dance,dance,n. 舞蹈;舞会;舞曲 adj. 舞蹈的;用于跳舞的 vt. 跳舞;使跳跃 vi. 跳舞;跳跃;飘扬,beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:3年级上|renjiao_start1:3年级下,3,cross-source-exact-overlap,pending,no
dangerous,dangerous,adj. 危险的 危险地,beijing_start1|renjiao_start1,beijing_start1:4年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
day,day,n. 一天;时期;白昼 adj. 日间的;逐日的 adv. 每天;经常在白天地,beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
dear,dear,n. 亲爱的人 adj. 亲爱的;尊敬的;昂贵的 adv. 高价地;疼爱地 int. 哎呀,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
december,December,n. 十二月,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
desk,desk,n. 办公桌;服务台;编辑部;(美)讲道台;乐谱架 adj. 书桌的;桌上用的;伏案做的,beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:6年级下|renjiao_start1:1年级下|renjiao_start1:3年级下,4,cross-source-exact-overlap,pending,no
different,different,"adj. 不同的;个别的,与众不同的",beijing_start1|renjiao_start1,beijing_start1:5年级下|renjiao_start1:4年级下,2,cross-source-exact-overlap,pending,no
dirty,dirty,"adj. 下流的,卑鄙的;肮脏的;恶劣的;暗淡的 vt. 弄脏 vi. 变脏",beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:4年级上|renjiao_start1:5年级下,3,cross-source-exact-overlap,pending,no
do,do,"vi. 行,足够;生长 n. 要求;规定;C大调音阶中的第一音 v. 做;干;学习;研究;进行;完成;解答;整理;算出;引起;行过 aux. 助动词(构成疑问句和否定句);(代替动词);(用于加强语气) n. (口语)事件;(主英国口语)诈骗;(主英国、新西兰口语)宴会;(口语)必须做到的事情",beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
doctor,doctor,"vt. 修理;篡改,伪造;为...治病;授以博士学位 n. 医生;博士 vi. 就医;行医",beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
dog,dog,n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级上|renjiao_start1:1年级上|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
door,door,"n. 门;家,户;门口;通道",beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:1年级下|renjiao_start1:3年级下,3,cross-source-exact-overlap,pending,no
dress,dress,n. 连衣裙;女装 vt. 给...穿衣 vi. 穿衣,beijing_start1|renjiao_start1,beijing_start1:5年级上|beijing_start1:6年级上|renjiao_start1:1年级下|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
drink,drink,"n. 酒,饮料;喝酒 vt. 喝,饮;吸收;举杯庆贺 vi. 喝酒;饮水;干杯",beijing_start1|renjiao_start1,beijing_start1:3年级下|beijing_start1:4年级上|renjiao_start1:5年级下,3,cross-source-exact-overlap,pending,no
duck,duck,n. 鸭子;鸭肉;(英)宝贝儿;零分 vt. 躲避;猛按...入水 vi. 闪避;没入水中,beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:4年级上|renjiao_start1:3年级上,3,cross-source-exact-overlap,pending,no
ear,ear,n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级上|renjiao_start1:1年级上|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
early,early,adj. 早期的;早熟的 adv. 提早;在初期,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:5年级下,2,cross-source-exact-overlap,pending,no
earth,earth,"n. 地球;地表,陆地;土地,土壤;尘事,俗事;兽穴 vt. 把(电线)[电] 接地;盖(土);追赶入洞穴 vi. 躲进地洞",beijing_start1|renjiao_start1,beijing_start1:5年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
east,east,"n. 东方;东风;东方国家 adj. 东方的;向东的;从东方来的 adv. 向东方,在东方",beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
egg,egg,n. 蛋;卵子;家伙;鸡蛋 vt. 煽动;怂恿,beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:2年级下|renjiao_start1:1年级下|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
eight,eight,num. 八;八个;第八 n. 八字形 adj. 八的,beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
elephant,elephant,n. 象;大号图画纸,beijing_start1|renjiao_start1,beijing_start1:1年级下|beijing_start1:2年级上|renjiao_start1:5年级上,3,cross-source-exact-overlap,pending,no
eleven,eleven,num. 十一;十一个 n. 十一;十一个 adj. 十一的;十一个的,beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:2年级下,2,cross-source-exact-overlap,pending,no
english,English,n. 英语;英国人;英文;英格兰人 adj. 英国人的;英国的;英文的 vt. 把...译成英语,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
enjoy,enjoy,"vt. 欣赏,享受;喜爱;使过得快活",beijing_start1|renjiao_start1,beijing_start1:5年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
eraser,eraser,n. 橡皮;擦除器;[计] 清除器,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
evening,evening,n. 晚上;傍晚;(联欢性的)晚会;后期 adj. 在晚上的;为晚上的;晚上用的 int. 晚上好(等于good evening),beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
excited,excited,v. 激动;唤起(excite的过去分词) adj. 兴奋的;激动的;活跃的,beijing_start1|renjiao_start1,beijing_start1:5年级下|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
exercise,exercise,n. 运动;练习;运用;操练;礼拜;典礼 vt. 锻炼;练习;使用;使忙碌;使惊恐 vi. 运动;练习,beijing_start1|renjiao_start1,beijing_start1:5年级下|renjiao_start1:5年级下,2,cross-source-exact-overlap,pending,no
eye,eye,"n. 眼睛;视力;眼光;见解,观点 vt. 注视,看",beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级上|renjiao_start1:1年级上|renjiao_start1:3年级上,4,cross-source-exact-overlap,pending,no
face,face,n. 脸;表面;面子;面容;外观;威信 vi. 向;朝 vt. 面对;面向;承认;抹盖,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:1年级上|renjiao_start1:3年级上,3,cross-source-exact-overlap,pending,no
family,family,n. 家庭;亲属;家族;子女;[生]科;语族;[化]族 adj. 家庭的;家族的;适合于全家的,beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
famous,famous,"adj. 著名的;极好的,非常令人满意的",beijing_start1|renjiao_start1,beijing_start1:5年级下|renjiao_start1:6年级上,2,cross-source-exact-overlap,pending,no
fan,fan,n. 迷;风扇;爱好者 vt. 煽动;刺激;吹拂 vi. 成扇形散开;飘动,beijing_start1|renjiao_start1,beijing_start1:6年级下|renjiao_start1:6年级上,3,cross-source-exact-overlap,pending,no
farm,farm,"n. 农场;农家;畜牧场 vt. 养殖;耕种;佃出(土地) vi. 种田,务农;经营农场",beijing_start1|renjiao_start1,beijing_start1:6年级上|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
farmer,farmer,"n. 农夫,农民",beijing_start1|renjiao_start1,beijing_start1:4年级上|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
fast,fast,"n. 斋戒;绝食 adj. 快速的,迅速的;紧的,稳固的 adv. 迅速地;紧紧地;彻底地 vi. 禁食,斋戒",beijing_start1|renjiao_start1,beijing_start1:5年级上|renjiao_start1:5年级上,2,cross-source-exact-overlap,pending,no
father,father,"n. 父亲,爸爸;神父;祖先;前辈 vt. 发明,创立;当...的父亲",beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:2年级上|renjiao_start1:3年级下|renjiao_start1:4年级上,4,cross-source-exact-overlap,pending,no
favourite,favourite,n. 特别喜爱的人(或物) adj. 特别受喜爱的,beijing_start1|renjiao_start1,beijing_start1:3年级下|renjiao_start1:2年级下,2,cross-source-exact-overlap,pending,no
february,February,n. 二月,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:3年级上,2,cross-source-exact-overlap,pending,no
fifteenth,fifteenth,adj. 第十五的;十五分之一的 num. 第十五,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:5年级下,2,cross-source-exact-overlap,pending,no
fifth,fifth,num. 第五 n. 第五;五分之一 adj. 第五的;五分之一的,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:5年级下,2,cross-source-exact-overlap,pending,no
fifty,fifty,n. 五十;五十个;编号为50的东西 adj. 五十的;五十个的;众多的,beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:2年级下,2,cross-source-exact-overlap,pending,no
film,film,n. 电影;薄膜;胶卷;轻烟 vt. 在...上覆以薄膜;把...拍成电影 vi. 摄制电影;生薄膜;变得朦胧,beijing_start1|renjiao_start1,beijing_start1:2年级上|renjiao_start1:4年级上,2,cross-source-exact-overlap,pending,no
find,find,"n. 发现 vi. 裁决 vt. 查找,找到;发现;认为;感到;获得",beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:4年级上|renjiao_start1:6年级上,3,cross-source-exact-overlap,pending,no
first,first,num. 第一 n. 第一;开始;冠军 adj. 第一的;基本的;最早的 adv. 第一;首先;优先;宁愿,beijing_start1|renjiao_start1,beijing_start1:3年级上|renjiao_start1:3年级上|renjiao_start1:3年级下,3,cross-source-exact-overlap,pending,no
fish,fish,"n. 鱼,鱼类 vt. 钓鱼,捕鱼;搜寻 vi. 捕鱼,钓鱼;用钩捞取",beijing_start1|renjiao_start1,beijing_start1:1年级上|beijing_start1:2年级下|renjiao_start1:1年级下|renjiao_start1:3年级上|renjiao_start1:6年级上,6,cross-source-exact-overlap,pending,no
five,five,"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",beijing_start1|renjiao_start1,beijing_start1:2年级下|renjiao_start1:1年级上,2,cross-source-exact-overlap,pending,no
floor,floor,"n. 地板,地面;楼层;基底;议员席 vt. 铺地板;打倒,击倒;(被困难)难倒",beijing_start1|renjiao_start1,beijing_start1:4年级下|renjiao_start1:3年级下,2,cross-source-exact-overlap,pending,no
