MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,TokenCount,RiskSignals,CandidateType,CandidateRoute,RelatedMatchKeys,ReviewStatus,Rationale,KloseMergeAuthorized
all over,all over,adj. 满 n. 全花织物,5年级下,1,5年级下@r98: [started to study English / started to use a computer / <all over> / out of / into],2,multi-pos-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
always,always,"adv. 永远,一直;总是;常常",4年级上|5年级下,2,4年级上@r25: [on the weekend / fun / <always> / step / paint] || 5年级下@r11: [before / dirty / <always> / stomachache / headache],1,multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
american,American,"n. 美国人,美洲人;美国英语 adj. 美国的,美洲的;地道美国式的",6年级上,1,6年级上@r80: [poet / writer / <American> / French / Danish],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
art gallery,art gallery,n. 美术馆;艺术展览馆,6年级下,1,6年级下@r12: [show ... around / Queen's Park / <art gallery> / public library / downtown],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
at least,at least,na. 至少,6年级下,1,6年级下@r23: [idea / less / <at least> / talk about / hockey],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
ate ice-cream,ate ice-cream,无,5年级下,1,5年级下@r74: [drank cold drinks / swam / <ate ice-cream> / the Stone Forest / bought some gifts],2,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
bank,bank,n. 银行;岸;浅滩;储库 vt. 将...存入银行;倾斜转弯 vi. 堆积;倾斜转弯,4年级下,1,4年级下@r7: [restaurant / post office / <bank> / grocery / turn left],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
bark,bark,n. 树皮;深青棕色;毛皮;皮肤;狗叫 vt. 狗叫;尖叫;剥皮,5年级上,1,5年级上@r16: [but / sometimes / <bark> / forget / with],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
be afraid of,be afraid of,na. 怕,6年级上,1,6年级上@r97: [ice lantern / bring / <be afraid of> / hear / pen pal],3,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
be back,be back,na. 回家;回来,3年级下,1,3年级下@r36: [tomorrow / wake up / <be back> / play football / fly a kite],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
be careful!,Be careful!,小心;当心;注意,4年级上,1,4年级上@r84: [dangerous / play with fire / <Be careful!> / run down the stairs / sidewalk],2,multiword-surface|sentence-punctuation,expression-or-chunk-review,expression-routing-review,,pending,Punctuated multiword item is expression-like and must not auto-enter Vocabulary.,no
be good at,be good at,v. 善于,4年级上,1,4年级上@r10: [interesting / often / <be good at> / late / swim],3,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
bedroom,bedroom,n. 卧室 adj. 两性关系的;城郊住宅区的,3年级下,1,3年级下@r74: [run / home / <bedroom> / living room / bathroom],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
big ben,Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)",4年级下,1,4年级下@r83: [koala / maple leaves / <Big Ben> / Disneyland / campfire],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
bite,bite,n. 咬;一口;咬伤;刺痛 abbr. 机内测试设备(Built-In Test Equipment) vt. 咬;刺痛 vi. 咬;刺痛,3年级上,1,3年级上@r25: [help / bad / <bite> / tongue / kick],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
blind,blind,"n. 掩饰,借口;百叶窗 adj. 盲目的;瞎的 vt. 使失明;使失去理智 adv. 盲目地;看不见地",6年级上,1,6年级上@r91: [university / deaf / <blind> / fall / dumpling],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
bookshop,bookshop,n. 书店,2年级上|4年级下,2,2年级上@r30: [new / does / <bookshop> / zoo / school] || 4年级下@r22: [toy / hospital / <bookshop> / school / supermarket],1,multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
boring,boring,n. 钻孔 adj. 无聊的;令人厌烦的 v. 钻孔;使厌烦;挖空(bore的ing形式),5年级下,1,5年级下@r68: [played chess / washed clothes / <boring> / badminton / won],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
bought some gifts,bought some gifts,无,5年级下,1,5年级下@r76: [ate ice-cream / the Stone Forest / <bought some gifts> / took photos / saw flowers],3,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
bus driver,bus driver,na. (公共汽车)驾驶员;〈俚〉轰炸机驾驶员,4年级上,1,4年级上@r98: [cook / doctor / <bus driver> / police officer / taxi driver],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
buy toys,buy toys,无,4年级下,1,4年级下@r31: [hotel / square / <buy toys> / see a film / go boating],2,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
by bike,by bike,骑自行车;骑车;骑单车,4年级上,1,4年级上@r44: [by car / by taxi / <by bike> / on foot / by school bus],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by boat,by boat,na. 乘船,4年级上,1,4年级上@r40: [usually / by bus / <by boat> / by ship / by car],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by bus,by bus,na. 乘公共汽车,4年级上,1,4年级上@r39: [day / usually / <by bus> / by boat / by ship],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by car,by car,na. 乘电车;乘汽车,4年级上,1,4年级上@r42: [by boat / by ship / <by car> / by taxi / by bike],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by plane,by plane,adv. 乘飞机,4年级上,1,4年级上@r48: [by school bus / by subway / <by plane> / by train / garden],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by school bus,by school bus,无,4年级上,1,4年级上@r46: [by bike / on foot / <by school bus> / by subway / by plane],3,missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by ship,by ship,乘船;乘轮船;坐轮船,4年级上,1,4年级上@r41: [by bus / by boat / <by ship> / by car / by taxi],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by subway,by subway,乘地铁;坐地铁;乘坐地铁,4年级上,1,4年级上@r47: [on foot / by school bus / <by subway> / by plane / by train],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by taxi,by taxi,乘出租车;坐出租车;打的,4年级上,1,4年级上@r43: [by ship / by car / <by taxi> / by bike / on foot],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
by train,by train,na. 坐火车,4年级上,1,4年级上@r49: [by subway / by plane / <by train> / garden / meeting place],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
can't,can't,abbr. 不能(can not),2年级下,1,2年级下@r8: [swim / make a snowman / <can't> / rainy / cloudy],1,contracted-form,single-token-form-review,identity-form-review,,pending,Single-token contraction/form needs identity-policy review before treating it as a new Vocabulary identity.,no
candy,candy,"n. 糖果(等于sweets);冰糖(等于sugar candy,rock candy);毒品 adj. 新潮的(服饰);甜言蜜语的 vt. 用糖煮;使结晶为砂糖;美化 vi. 糖煮;成为结晶",5年级下,1,5年级下@r3: [too much / <candy> / go to bed / early],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
catch,catch,n. 捕捉;捕获物;窗钩 vt. 赶上;抓住;感染;了解 vi. 赶上;抓住,4年级下,1,4年级下@r65: [hobby / stamp / <catch> / go for a picnic / play the violin],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
celebrate,celebrate,vt. 庆祝;举行;赞美;祝贺;宣告 vi. 庆祝;过节;举行宗教仪式,5年级下,1,5年级下@r40: [plant / make a poster / <celebrate> / have a picnic / office],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
central,central,n. 电话总机 adj. 中心的;主要的;中枢的,4年级下,1,4年级下@r41: [star / king / <central> / take photos / museum],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
children's day,Children's Day,na. 儿童节,5年级下,1,5年级下@r24: [Tree Planting Day / Mother's Day / <Children's Day> / Father's Day / Teachers' Day],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
christmas day,Christmas Day,"n. 【宗,基督】圣诞节;圣诞节时期",5年级下,1,5年级下@r28: [Teachers' Day / National Day / <Christmas Day> / birthday / fifth],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
christmas tree,Christmas tree,n. 【节】圣诞树,2年级上,1,2年级上@r46: [Christmas / Father Christmas / <Christmas tree> / card / present],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
clean the room,clean the room,打扫房间;清扫房间;清洁房间,5年级上,1,5年级上@r61: [nature shows / chore / <clean the room> / make the bed / take out the rubbish],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
cleaned the window,cleaned the window,无,5年级下,1,5年级下@r55: [everywhere / flower show / <cleaned the window> / watched TV / climbed a hill],3,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
cleaning the room,cleaning the room,无,3年级下,1,3年级下@r64: [walking the dog / watering the plants / <cleaning the room> / listening to music / watching TV],3,missing-or-empty-gloss|multiword-surface|gerund-chunk,expression-or-chunk-review,expression-routing-review,,pending,Gerund-led multiword chunk requires Vocabulary-vs-Expression routing.,no
climb a hill,climb a hill,无,4年级上,1,4年级上@r18: [visit one's grandparents / go to a drawing club / <climb a hill> / pick fruit / play computer games],3,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
climb on the window ledge,climb on the window ledge,无,4年级上,1,4年级上@r81: [schoolbag / shop / <climb on the window ledge> / dangerous / play with fire],5,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
climbed a hill,climbed a hill,无,5年级下,1,5年级下@r57: [cleaned the window / watched TV / <climbed a hill> / visited grandparents / danced],3,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
collecting erasers,collecting erasers,无,4年级下,1,4年级下@r61: [doing jigsaw puzzles / making models / <collecting erasers> / different / hobby],2,missing-or-empty-gloss|multiword-surface|gerund-chunk,expression-or-chunk-review,expression-routing-review,,pending,Gerund-led multiword chunk requires Vocabulary-vs-Expression routing.,no
computer class,computer class,计算机课;电脑班;电脑课,3年级下,1,3年级下@r9: [maths / art / <computer class> / we / that],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
cooking dinner,cooking dinner,做饭;做晚餐;正在做饭,3年级下,1,3年级下@r61: [brother / sister / <cooking dinner> / walking the dog / watering the plants],2,multiword-surface|gerund-chunk,expression-or-chunk-review,expression-routing-review,,pending,Gerund-led multiword chunk requires Vocabulary-vs-Expression routing.,no
cute,cute,"adj. 可爱的;漂亮的;聪明的,伶俐的",4年级下|5年级上,2,4年级下@r86: [Disneyland / campfire / <cute> / country / pretty] || 5年级上@r6: [polite / quiet / <cute> / friendly / helpful],1,multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
danish,Danish,n. 丹麦语 adj. 丹麦的;丹麦人的;丹麦语(文)的,6年级上,1,6年级上@r82: [American / French / <Danish> / poem / paint],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
delicious,delicious,adj. 美味的;可口的,3年级上|5年级下,2,3年级上@r105: [first / party / <delicious>] || 5年级下@r80: [saw flowers / slept / <delicious> / felt happy / sad],1,multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
dining room,dining room,n. 饭厅;餐厅,3年级下,1,3年级下@r77: [living room / bathroom / <dining room> / study / kitchen],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
do the housework,do the housework,做家务;做家务活;料理家务,4年级下,1,4年级下@r70: [go skating / go camping / <do the housework> / free / never],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
doing jigsaw puzzles,doing jigsaw puzzles,无,4年级下,1,4年级下@r59: [singing / dancing / <doing jigsaw puzzles> / making models / collecting erasers],3,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
doll,doll,n. 洋娃娃;玩偶;无头脑的美丽女人 vt. 把...打扮得花枝招展,1年级下,1,1年级下@r18: [plane / ball / <doll> / train / car],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
downtown,downtown,n. 市中心区;三分线以外 adj. 市中心的 adv. 往闹市区;在市区,6年级下,1,6年级下@r14: [art gallery / public library / <downtown> / Lake Ontario / stadium],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
drank cold drinks,drank cold drinks,无,5年级下,1,5年级下@r72: [won / went to the beach / <drank cold drinks> / swam / ate ice-cream],3,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
draw pictures,draw pictures,画画;画图画;画儿,3年级下,1,3年级下@r28: [after school / play sports / <draw pictures> / play chess / dance],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
dream,dream,"n. 梦想,愿望;梦 adj. 梦的;理想的;不切实际的 vt. 梦想;做梦;想到 vi. 梦想;做梦,梦见;想到",4年级下,1,4年级下@r44: [take photos / museum / <dream> / sea / ski],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
eat breakfast,eat breakfast,吃早饭;吃早餐;食早餐,2年级下,1,2年级下@r40: [playtime / get up / <eat breakfast> / go to school / eat lunch],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
eat dinner,eat dinner,吃晚饭;吃晚餐;吃饭,2年级下,1,2年级下@r44: [eat lunch / go home / <eat dinner> / go to bed / when],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
eat lunch,eat lunch,吃午饭;吃午餐;吃中午饭,2年级下,1,2年级下@r42: [eat breakfast / go to school / <eat lunch> / go home / eat dinner],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
eat seafood,eat seafood,无,4年级下,1,4年级下@r47: [sea / ski / <eat seafood> / visit the Mogao Caves / West Lake],2,missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
english-chinese dictionary,English-Chinese dictionary,英汉字典;辞典;氏英字典,6年级下,1,6年级下@r38: [wild goose / frog / <English-Chinese dictionary> / shopping centre / shopping mall],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
every day,every day,na. 每日,2年级下,1,2年级下@r47: [go to bed / when / <every day> / at / Sunday],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
everyone,everyone,n. 每个人 pron. 每个人;人人,3年级下,1,3年级下@r70: [play with / in one hour / <everyone> / children / run],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
everywhere,everywhere,n. 每个地方 adv. 到处,5年级下,1,5年级下@r53: [say / make a card / <everywhere> / flower show / cleaned the window],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
excuse me,Excuse me,un. 请原谅;对不起,4年级上,1,4年级上@r73: [find / Information Centre / <Excuse me> / phone / dad],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
exercise book,exercise book,n. 练习本;练习册;作业本,5年级上,1,5年级上@r41: [lovely / butterfly / <exercise book> / pencil sharpener / a pair of scissors],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
fall,fall,n. 下降;秋天;瀑布 adj. 秋天的 vi. 落下;变成;来临;减弱 vt. 砍倒;击倒,6年级上,1,6年级上@r92: [deaf / blind / <fall> / dumpling / fan],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
fantastic,fantastic,"n. 古怪的人 adj. 奇异的;空想的;异想天开的;古怪的;极好的,极出色的;不可思议的;不切实际的",5年级上,1,5年级上@r56: [wonderful / cool / <fantastic> / cartoons / news shows],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
father christmas,Father Christmas,na. 圣诞老人,2年级上,1,2年级上@r45: [hill / Christmas / <Father Christmas> / Christmas tree / card],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
father's day,Father's Day,na. 〈美〉父亲节(每年六月的第三个星期日),5年级下,1,5年级下@r25: [Mother's Day / Children's Day / <Father's Day> / Teachers' Day / National Day],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
feeding the fish,feeding the fish,喂鱼 晕船,3年级下,1,3年级下@r67: [listening to music / watching TV / <feeding the fish> / play with / in one hour],3,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
felt happy,felt happy,无,5年级下,1,5年级下@r81: [slept / delicious / <felt happy> / sad / left],2,missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,,pending,Past/participle-led multiword chunk is not presumed to be a Vocabulary identity.,no
fifteen,fifteen,n. 十五;十五个;十五人组成的橄榄球队 num. 十五 adj. 十五的,2年级下,1,2年级下@r36: [thirteen / fourteen / <fifteen> / time / playtime],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
flower show,flower show,na. 花卉展览,5年级下,1,5年级下@r54: [make a card / everywhere / <flower show> / cleaned the window / watched TV],2,multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
fly a kite,fly a kite,na. 放风筝;试探舆论;开空头支票;〈美〉(从狱中)非法寄出信件,2年级下|3年级下,2,2年级下@r3: [play football / <fly a kite> / ride a bike / make a model plane] || 3年级下@r38: [be back / play football / <fly a kite> / ride a bike / swim],3,multiple-occurrences|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,,pending,"Multiword item may be a legitimate lexical unit/proper name, but must be reviewed before Vocabulary identity minting.",no
for rent,for rent,na. 出租的;招租,3年级下,1,3年级下@r80: [study / kitchen / <for rent> / sofa / light],2,multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,,pending,Function/construction-led phrase may be a lexical phrase or an Expression; route explicitly.,no
fourteen,fourteen,num. 十四;十四个;第十四 n. 十四的记号;十四岁;十四点钟;十五世纪,2年级下,1,2年级下@r35: [fifty / thirteen / <fourteen> / fifteen / time],1,multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,,pending,Single-token lexical candidate; target sense still requires source-context review.,no
