MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,RiskSignals,CandidateType,CandidateRoute,ProposedObjectDecision,ResolutionStatus,Confidence,TargetReference,ResolutionBasis,Rationale,KloseMergeAuthorized
active,active,n. 主动语态;积极分子 adj. 积极的;活跃的;主动的;有效的;现役的,5年级上,1,5年级上@r9: [friendly / helpful / <active> / popular / talk],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,积极的；活跃的,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
advice,advice,n. 建议;忠告;劝告;通知,5年级下,1,5年级下@r19: [subject / mark / <advice> / more / New Year's Day],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
africa,Africa,n. 非洲,6年级上,1,6年级上@r56: [fan / tusk / <Africa> / Asia / smart],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
after school,after school,na. 放学后,3年级下,1,3年级下@r26: [desk / blackboard / <after school> / play sports / draw pictures],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
age,age,"n. 年龄;时代;寿命,使用年限;阶段 vt. 使成熟;使变老,使上年纪 vi. 成熟;变老",3年级上,1,3年级上@r11: [class / grade / <age> / dear / body],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,年龄,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
airport,airport,n. 机场;航空站,6年级下,1,6年级下@r5: [quite / scarf / <airport> / pupil / arrive],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
all over,all over,adj. 满 n. 全花织物,5年级下,1,5年级下@r98: [started to study English / started to use a computer / <all over> / out of / into],multi-pos-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
always,always,"adv. 永远,一直;总是;常常",4年级上|5年级下,2,4年级上@r25: [on the weekend / fun / <always> / step / paint] || 5年级下@r11: [before / dirty / <always> / stomachache / headache],multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,总是；一直,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
amazing,amazing,adj. 令人惊异的 v. 使吃惊(amaze的ing形式),6年级下,1,6年级下@r41: [shopping centre / shopping mall / <amazing> / hot pot],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
american,American,"n. 美国人,美洲人;美国英语 adj. 美国的,美洲的;地道美国式的",6年级上,1,6年级上@r80: [poet / writer / <American> / French / Danish],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,The neighborhood identifies a nationality word but does not establish noun 'American' versus adjective 'American' as the intended learning unit.,no
arrive,arrive,vi. 到达;成功;达成;出生,6年级下,1,6年级下@r7: [airport / pupil / <arrive> / meet / wardrobe],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
art gallery,art gallery,n. 美术馆;艺术展览馆,6年级下,1,6年级下@r12: [show ... around / Queen's Park / <art gallery> / public library / downtown],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
artist,artist,n. 艺术家;美术家(尤指画家);大师,6年级上,1,6年级上@r76: [hurt / inventor / <artist> / scientist / poet],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
asia,Asia,n. 亚洲,6年级上,1,6年级上@r57: [tusk / Africa / <Asia> / smart / scared],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
at least,at least,na. 至少,6年级下,1,6年级下@r23: [idea / less / <at least> / talk about / hockey],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
ate ice-cream,ate ice-cream,无,5年级下,1,5年级下@r74: [drank cold drinks / swam / <ate ice-cream> / the Stone Forest / bought some gifts],missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,route-source-chunk-no-vocabulary-identity,rule-reviewed,high,,inflected-or-gerund-source-chunk,Inflected/event chunk remains preserved as Source Fact but is not treated as a standalone Vocabulary learning unit.,no
australia,Australia,"n. 澳大利亚,澳洲",4年级下,1,4年级下@r77: [three times a week / Canada / <Australia> / the UK / the USA],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
badminton,badminton,n. 羽毛球,5年级下,1,5年级下@r69: [washed clothes / boring / <badminton> / won / went to the beach],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
bank,bank,n. 银行;岸;浅滩;储库 vt. 将...存入银行;倾斜转弯 vi. 堆积;倾斜转弯,4年级下,1,4年级下@r7: [restaurant / post office / <bank> / grocery / turn left],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,银行,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
bark,bark,n. 树皮;深青棕色;毛皮;皮肤;狗叫 vt. 狗叫;尖叫;剥皮,5年级上,1,5年级上@r16: [but / sometimes / <bark> / forget / with],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,medium,吠叫；狗叫,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
be afraid of,be afraid of,na. 怕,6年级上,1,6年级上@r97: [ice lantern / bring / <be afraid of> / hear / pen pal],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
be back,be back,na. 回家;回来,3年级下,1,3年级下@r36: [tomorrow / wake up / <be back> / play football / fly a kite],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
be careful!,Be careful!,小心;当心;注意,4年级上,1,4年级上@r84: [dangerous / play with fire / <Be careful!> / run down the stairs / sidewalk],multiword-surface|sentence-punctuation,expression-or-chunk-review,expression-routing-review,route-expression-candidate,rule-reviewed,high,,punctuated-communicative-item,Punctuated communicative item belongs in Expression candidate routing rather than isolated Vocabulary identity minting.,no
be good at,be good at,v. 善于,4年级上,1,4年级上@r10: [interesting / often / <be good at> / late / swim],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
beaver,beaver,n. 海狸;海狸皮毛,6年级下,1,6年级下@r28: [together / special / <beaver> / raccoon / moose],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
because,because,conj. 因为,6年级上,1,6年级上@r71: [find / cry / <because> / test / competition],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
bedroom,bedroom,n. 卧室 adj. 两性关系的;城郊住宅区的,3年级下,1,3年级下@r74: [run / home / <bedroom> / living room / bathroom],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,卧室,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
big ben,Big Ben,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)",4年级下,1,4年级下@r83: [koala / maple leaves / <Big Ben> / Disneyland / campfire],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
bite,bite,n. 咬;一口;咬伤;刺痛 abbr. 机内测试设备(Built-In Test Equipment) vt. 咬;刺痛 vi. 咬;刺痛,3年级上,1,3年级上@r25: [help / bad / <bite> / tongue / kick],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,咬,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
blind,blind,"n. 掩饰,借口;百叶窗 adj. 盲目的;瞎的 vt. 使失明;使失去理智 adv. 盲目地;看不见地",6年级上,1,6年级上@r91: [university / deaf / <blind> / fall / dumpling],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,失明的；瞎的,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
bookshop,bookshop,n. 书店,2年级上|4年级下,2,2年级上@r30: [new / does / <bookshop> / zoo / school] || 4年级下@r22: [toy / hospital / <bookshop> / school / supermarket],multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,书店,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
boring,boring,n. 钻孔 adj. 无聊的;令人厌烦的 v. 钻孔;使厌烦;挖空(bore的ing形式),5年级下,1,5年级下@r68: [played chess / washed clothes / <boring> / badminton / won],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,无聊的；令人厌烦的,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
bought some gifts,bought some gifts,无,5年级下,1,5年级下@r76: [ate ice-cream / the Stone Forest / <bought some gifts> / took photos / saw flowers],missing-or-empty-gloss|multiword-surface|inflected-event-chunk,expression-or-chunk-review,expression-routing-review,route-source-chunk-no-vocabulary-identity,rule-reviewed,high,,inflected-or-gerund-source-chunk,Inflected/event chunk remains preserved as Source Fact but is not treated as a standalone Vocabulary learning unit.,no
broken,broken,v. 折断;打碎;损坏(break的过去分词) adj. 破碎的;坏掉的,6年级上,1,6年级上@r100: [hear / pen pal / <broken> / pity / prize],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
bus driver,bus driver,na. (公共汽车)驾驶员;〈俚〉轰炸机驾驶员,4年级上,1,4年级上@r98: [cook / doctor / <bus driver> / police officer / taxi driver],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
butterfly,butterfly,n. 蝴蝶;蝶泳;举止轻浮的人;追求享乐的人,5年级上,1,5年级上@r40: [why / lovely / <butterfly> / exercise book / pencil sharpener],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
buy toys,buy toys,无,4年级下,1,4年级下@r31: [hotel / square / <buy toys> / see a film / go boating],missing-or-empty-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
by bike,by bike,骑自行车;骑车;骑单车,4年级上,1,4年级上@r44: [by car / by taxi / <by bike> / on foot / by school bus],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by boat,by boat,na. 乘船,4年级上,1,4年级上@r40: [usually / by bus / <by boat> / by ship / by car],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by bus,by bus,na. 乘公共汽车,4年级上,1,4年级上@r39: [day / usually / <by bus> / by boat / by ship],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by car,by car,na. 乘电车;乘汽车,4年级上,1,4年级上@r42: [by boat / by ship / <by car> / by taxi / by bike],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by plane,by plane,adv. 乘飞机,4年级上,1,4年级上@r48: [by school bus / by subway / <by plane> / by train / garden],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by school bus,by school bus,无,4年级上,1,4年级上@r46: [by bike / on foot / <by school bus> / by subway / by plane],missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by ship,by ship,乘船;乘轮船;坐轮船,4年级上,1,4年级上@r41: [by bus / by boat / <by ship> / by car / by taxi],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by subway,by subway,乘地铁;坐地铁;乘坐地铁,4年级上,1,4年级上@r47: [on foot / by school bus / <by subway> / by plane / by train],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by taxi,by taxi,乘出租车;坐出租车;打的,4年级上,1,4年级上@r43: [by ship / by car / <by taxi> / by bike / on foot],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
by train,by train,na. 坐火车,4年级上,1,4年级上@r49: [by subway / by plane / <by train> / garden / meeting place],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
campfire,campfire,n. 营火;营火会,4年级下,1,4年级下@r85: [Big Ben / Disneyland / <campfire> / cute / country],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
can't,can't,abbr. 不能(can not),2年级下,1,2年级下@r8: [swim / make a snowman / <can't> / rainy / cloudy],contracted-form,single-token-form-review,identity-form-review,held-identity-form-policy,model-reviewed,medium,,contracted-form-policy-blocker,The contracted form carries grammatical/negation information beyond a simple spelling alias; keep held until the Vocabulary form policy is explicit.,no
candy,candy,"n. 糖果(等于sweets);冰糖(等于sugar candy,rock candy);毒品 adj. 新潮的(服饰);甜言蜜语的 vt. 用糖煮;使结晶为砂糖;美化 vi. 糖煮;成为结晶",5年级下,1,5年级下@r3: [too much / <candy> / go to bed / early],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,糖果,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
careless,careless,adj. 粗心的;无忧无虑的;淡漠的,5年级上,1,5年级上@r3: [clever / <careless> / polite / quiet],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
cartoons,cartoons,n. 卡通动画;动漫图书(cartoon的复数) v. 画漫画(cartoon的三单形式),5年级上,1,5年级上@r57: [cool / fantastic / <cartoons> / news shows / nature shows],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
catch,catch,n. 捕捉;捕获物;窗钩 vt. 赶上;抓住;感染;了解 vi. 赶上;抓住,4年级下,1,4年级下@r65: [hobby / stamp / <catch> / go for a picnic / play the violin],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,"The hobby neighborhood does not identify what is being caught or whether the target is the general verb, a sport/hobby collocation, or another elementary sense.",no
celebrate,celebrate,vt. 庆祝;举行;赞美;祝贺;宣告 vi. 庆祝;过节;举行宗教仪式,5年级下,1,5年级下@r40: [plant / make a poster / <celebrate> / have a picnic / office],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,model-reviewed,high,庆祝,model-single-token-source-neighborhood-review,"The Renjiao neighborhood supports one elementary target sense despite broad dictionary POS/gloss noise. This remains a provisional Stage-A learning-unit decision, not stable ThirdPartyID minting.",no
central,central,n. 电话总机 adj. 中心的;主要的;中枢的,4年级下,1,4年级下@r41: [star / king / <central> / take photos / museum],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,held-source-context-required,model-reviewed,medium,,model-single-token-insufficient-source-context,"The nearby place/travel items do not establish whether central is an adjective, a named-place fragment, or another target use.",no
children's day,Children's Day,na. 儿童节,5年级下,1,5年级下@r24: [Tree Planting Day / Mother's Day / <Children's Day> / Father's Day / Teachers' Day],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
chopsticks,chopsticks,n. 筷子,5年级下,1,5年级下@r101: [out of / into / <chopsticks> / wet],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
chore,chore,n. 家庭杂务;日常的零星事务;讨厌的或累人的工作,5年级上,1,5年级上@r60: [news shows / nature shows / <chore> / clean the room / make the bed],none-detected,single-token-lexical-review,vocabulary-identity-review,new-vocabulary-learning-unit-candidate,rule-reviewed,high,,single-token-no-detected-sense-risk,"Unique single-token lexical surface with no detected within-source repetition, multi-POS, form, or missing-gloss risk. This is provisional Stage-A candidacy, not stable identity minting.",no
christmas day,Christmas Day,"n. 【宗,基督】圣诞节;圣诞节时期",5年级下,1,5年级下@r28: [Teachers' Day / National Day / <Christmas Day> / birthday / fifth],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
