MatchKey,DisplayForms,Definitions,BeijingContexts,RenjiaoContexts,RiskSignals,ReviewStatus,ProposedDecision,ProposedSense,Rationale
dirty,dirty,"adj. 下流的,卑鄙的;肮脏的;恶劣的;暗淡的 vt. 弄脏 vi. 变脏",5年级上@r24:[half / late / <dirty> / ask / join],4年级上@r29:[paint / evening / <dirty> / their / house] || 5年级下@r10:[drink / before / <dirty> / always / stomachache],multi-pos-gloss|multiple-occurrences,pending,,,
do,do,"vi. 行,足够;生长 n. 要求;规定;C大调音阶中的第一音 v. 做;干;学习;研究;进行;完成;解答;整理;算出;引起;行过 aux. 助动词(构成疑问句和否定句);(代替动词);(用于加强语气) n. (口语)事件;(主英国口语)诈骗;(主英国、新西兰口语)宴会;(口语)必须做到的事情",2年级上@r14:[a / week / <do> / you / park],1年级上@r50:[banana / orange / <do> / you / like],multi-pos-gloss,pending,,,
doctor,doctor,"vt. 修理;篡改,伪造;为...治病;授以博士学位 n. 医生;博士 vi. 就医;行医",3年级下@r67:[hospital / nurse / <doctor> / tooth / teeth],4年级上@r97:[nurse / cook / <doctor> / bus driver / police officer],multi-pos-gloss,pending,,,
dog,dog,n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,1年级上@r38:[deer / cat / <dog> / fish / mouse] || 2年级上@r51:[cat / thin / <dog> / toy / monkey],1年级上@r19:[is / my / <dog> / bird / tiger] || 3年级上@r65:[dance / cat / <dog> / bird / fish],multi-pos-gloss|multiple-occurrences,pending,,,
door,door,"n. 门;家,户;门口;通道",4年级上@r27:[easy / light / <door> / kind / window],1年级下@r12:[light / bed / <door> / box / near] || 3年级下@r84:[light / bed / <door> / box],multiple-occurrences,pending,,,
dress,dress,n. 连衣裙;女装 vt. 给...穿衣 vi. 穿衣,5年级上@r34:[usually / him / <dress> / night / as] || 6年级上@r50:[singer / stage / <dress> / sing / like],1年级下@r43:[T-shirt / skirt / <dress> / socks / shorts] || 3年级上@r88:[socks / skirt / <dress> / shirt / January],multi-pos-gloss|multiple-occurrences,pending,,,
drink,drink,"n. 酒,饮料;喝酒 vt. 喝,饮;吸收;举杯庆贺 vi. 喝酒;饮水;干杯",3年级下@r37:[great / apple / <drink> / may / tea] || 4年级上@r22:[bad / cold / <drink> / word / computer],5年级下@r8:[exercise / tired / <drink> / before / dirty],multi-pos-gloss|multiple-occurrences,pending,,,
duck,duck,n. 鸭子;鸭肉;(英)宝贝儿;零分 vt. 躲避;猛按...入水 vi. 闪避;没入水中,1年级下@r42:[river / ox / <duck> / egg / cow] || 4年级上@r48:[sour / cook / <duck> / soup / sorry],3年级上@r53:[chicken / egg / <duck> / chicken / rabbit],multi-pos-gloss|multiple-occurrences,pending,,,
ear,ear,n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,1年级上@r22:[spoon / eye / <ear> / knee / foot] || 2年级上@r57:[them / no / <ear> / red / eye],1年级上@r12:[an / face / <ear> / eye / nose] || 3年级上@r35:[nose / mouth / <ear> / bread / cake],multi-pos-gloss|multiple-occurrences,pending,,,
early,early,adj. 早期的;早熟的 adv. 提早;在初期,5年级上@r67:[tall / driver / <early> / breakfast / busy],5年级下@r5:[candy / go to bed / <early> / exercise / tired],multi-pos-gloss,pending,,,
earth,earth,"n. 地球;地表,陆地;土地,土壤;尘事,俗事;兽穴 vt. 把(电线)[电] 接地;盖(土);追赶入洞穴 vi. 躲进地洞",5年级下@r21:[carry / nothing / <earth> / without / sun],4年级上@r55:[transportation / film / <earth> / snow / theatre],multi-pos-gloss,pending,,,
east,east,"n. 东方;东风;东方国家 adj. 东方的;向东的;从东方来的 adv. 向东方,在东方",5年级上@r40:[the U.S.A. / the United States of America / <east> / morning / the U.K.],6年级上@r13:[north / south / <east> / west / famous],multi-pos-gloss,pending,,,
egg,egg,n. 蛋;卵子;家伙;鸡蛋 vt. 煽动;怂恿,1年级下@r43:[ox / duck / <egg> / cow / rabbit] || 2年级下@r19:[bread / milk / <egg> / an / fish],1年级下@r30:[fish / chicken / <egg> / hungry / want] || 3年级上@r52:[fish / chicken / <egg> / duck / chicken],multi-pos-gloss|multiple-occurrences,pending,,,
eight,eight,num. 八;八个;第八 n. 八字形 adj. 八的,2年级上@r72:[thank / old / <eight> / cake / look],1年级上@r33:[six / seven / <eight> / nine / ten],multi-pos-gloss,pending,,,
elephant,elephant,n. 象;大号图画纸,1年级下@r29:[panda / snake / <elephant> / fox / lion] || 2年级上@r45:[three / after / <elephant> / yes / four],5年级上@r29:[has / animal / <elephant> / panda / horse],multiple-occurrences,pending,,,
eleven,eleven,num. 十一;十一个 n. 十一;十一个 adj. 十一的;十一个的,2年级上@r31:[or / is / <eleven> / his / her],2年级下@r28:[favourite / season / <eleven> / twelve / twenty],multi-pos-gloss,pending,,,
english,English,n. 英语;英国人;英文;英格兰人 adj. 英国人的;英国的;英文的 vt. 把...译成英语,5年级上@r6:[juice / pay / <English> / difficult / maths],3年级下@r3:[Chinese / <English> / science / PE],multi-pos-gloss,pending,,,
evening,evening,n. 晚上;傍晚;(联欢性的)晚会;后期 adj. 在晚上的;为晚上的;晚上用的 int. 晚上好(等于good evening),2年级下@r32:[orange / vegetable / <evening> / room / love],4年级上@r28:[step / paint / <evening> / dirty / their],multi-pos-gloss,pending,,,
excited,excited,v. 激动;唤起(excite的过去分词) adj. 兴奋的;激动的;活跃的,5年级下@r57:[exercise / build / <excited> / hour / email],6年级上@r64:[proud / sad / <excited> / happy / ill],multi-pos-gloss,pending,,,
exercise,exercise,n. 运动;练习;运用;操练;礼拜;典礼 vt. 锻炼;练习;使用;使忙碌;使惊恐 vi. 运动;练习,5年级下@r55:[teach / engineer / <exercise> / build / excited],5年级下@r6:[go to bed / early / <exercise> / tired / drink],multi-pos-gloss,pending,,,
eye,eye,"n. 眼睛;视力;眼光;见解,观点 vt. 注视,看",1年级上@r21:[nut / spoon / <eye> / ear / knee] || 2年级上@r59:[ear / red / <eye> / hair / long],1年级上@r13:[face / ear / <eye> / nose / mouth] || 3年级上@r32:[summary / face / <eye> / nose / mouth],multi-pos-gloss|multiple-occurrences,pending,,,
face,face,n. 脸;表面;面子;面容;外观;威信 vi. 向;朝 vt. 面对;面向;承认;抹盖,6年级下@r29:[idea / nervous / <face> / smile / student],1年级上@r11:[a / an / <face> / ear / eye] || 3年级上@r31:[afternoon / summary / <face> / eye / nose],multi-pos-gloss|multiple-occurrences,pending,,,
family,family,n. 家庭;亲属;家族;子女;[生]科;语族;[化]族 adj. 家庭的;家族的;适合于全家的,5年级上@r29:[wash / autumn / <family> / fruit / climb],3年级下@r43:[make a model plane / make a snowman / <family> / uncle / aunt],multi-pos-gloss,pending,,,
fan,fan,n. 迷;风扇;爱好者 vt. 煽动;刺激;吹拂 vi. 成扇形散开;飘动,6年级下@r61:[ill / begin / <fan> / large / invite],6年级上@r54:[trunk / peanut / <fan> / tusk / Africa] || 6年级上@r94:[fall / dumpling / <fan> / ice lantern / bring],multi-pos-gloss|multiple-occurrences,pending,,,
farm,farm,"n. 农场;农家;畜牧场 vt. 养殖;耕种;佃出(土地) vi. 种田,务农;经营农场",6年级上@r3:[play / <farm> / swim / strong],5年级上@r36:[sheep / bee / <farm> / fast / why],multi-pos-gloss,pending,,,
fast,fast,"n. 斋戒;绝食 adj. 快速的,迅速的;紧的,稳固的 adv. 迅速地;紧紧地;彻底地 vi. 禁食,斋戒",5年级上@r60:[ski / winter / <fast> / panda / forget],5年级上@r37:[bee / farm / <fast> / why / lovely],multi-pos-gloss,pending,,,
father,father,"n. 父亲,爸爸;神父;祖先;前辈 vt. 发明,创立;当...的父亲",3年级下@r56:[drive / parent / <father> / write / open],2年级上@r2:[<father> / mother / brother] || 3年级下@r57:[grandfather / grandmother / <father> / mother / brother] || 4年级上@r14:[swim / friend / <father> / get up / visit one's grandparents],multi-pos-gloss|multiple-occurrences,pending,,,
favourite,favourite,n. 特别喜爱的人(或物) adj. 特别受喜爱的,3年级下@r9:[fun / people / <favourite> / turn / bird],2年级下@r26:[cool / cold / <favourite> / season / eleven],multi-pos-gloss,pending,,,
fifth,fifth,num. 第五 n. 第五;五分之一 adj. 第五的;五分之一的,3年级上@r14:[name / meet / <fifth> / sixth / seventh],5年级下@r30:[Christmas Day / birthday / <fifth> / 5th / tenth],multi-pos-gloss,pending,,,
fifty,fifty,n. 五十;五十个;编号为50的东西 adj. 五十的;五十个的;众多的,2年级下@r9:[home / five / <fifty> / nine / twenty],2年级下@r33:[thirty / forty / <fifty> / thirteen / fourteen],multi-pos-gloss,pending,,,
film,film,n. 电影;薄膜;胶卷;轻烟 vt. 在...上覆以薄膜;把...拍成电影 vi. 摄制电影;生薄膜;变得朦胧,2年级上@r24:[zoo / Saturday / <film> / grandma / grandmother],4年级上@r54:[gate / transportation / <film> / earth / snow],multi-pos-gloss,pending,,,
find,find,"n. 发现 vi. 裁决 vt. 查找,找到;发现;认为;感到;获得",2年级下@r49:[where / shirt / <find> / coat / sofa],4年级上@r71:[use / please / <find> / Information Centre / Excuse me] || 6年级上@r69:[win / race / <find> / cry / because],multi-pos-gloss|multiple-occurrences,pending,,,
first,first,num. 第一 n. 第一;开始;冠军 adj. 第一的;基本的;最早的 adv. 第一;首先;优先;宁愿,3年级上@r5:[girl / Miss / <first> / September / second],3年级上@r103:[December / birthday / <first> / party / delicious] || 3年级下@r16:[toilet / playground / <first> / second / third],multi-pos-gloss|multiple-occurrences,pending,,,
fish,fish,"n. 鱼,鱼类 vt. 钓鱼,捕鱼;搜寻 vi. 捕鱼,钓鱼;用钩捞取",1年级上@r39:[cat / dog / <fish> / mouse] || 2年级下@r21:[egg / an / <fish> / rice / noodle],1年级下@r28:[noodles / vegetable / <fish> / chicken / egg] || 3年级上@r50:[noodles / vegetables / <fish> / chicken / egg] || 3年级上@r67:[dog / bird / <fish> / monkey / tiger] || 6年级上@r43:[reptile / bird / <fish> / mammal / insect],multi-pos-gloss|multiple-occurrences,pending,,,
five,five,"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",2年级下@r8:[thirty / home / <five> / fifty / nine],1年级上@r30:[three / four / <five> / six / seven],multi-pos-gloss,pending,,,
floor,floor,"n. 地板,地面;楼层;基底;议员席 vt. 铺地板;打倒,击倒;(被困难)难倒",4年级下@r25:[excuse / library / <floor> / building / nearby],3年级下@r19:[second / third / <floor> / room / our],multi-pos-gloss,pending,,,
flower,flower,"n. 花;精华;开花植物 vt. 使开花;用花装饰 vi. 成熟,发育;开花;繁荣;旺盛",6年级下@r21:[vacation / shoulder / <flower> / grass / feed],2年级上@r40:[grass / tree / <flower> / boat / lake],multi-pos-gloss,pending,,,
foot,foot,n. 脚;英尺;步调;末尾 vt. 支付;给......换底 vi. 步行;跳舞;总计,1年级上@r24:[ear / knee / <foot> / bed / box],3年级上@r19:[hand / leg / <foot> / feet / the matter],multi-pos-gloss,pending,,,
for,for,"prep. 为,为了;因为;给;对于;至于;适合于 conj. 因为",2年级下@r16:[one / dad / <for> / bread / milk],2年级上@r53:[too / here / <for> / thank / happy] || 3年级上@r43:[tomato / meat / <for> / shopping list / cola],multi-pos-gloss|multiple-occurrences,pending,,,
forest,forest,"n. 森林 vt. 植树于,使成为森林",5年级下@r25:[sun / their / <forest> / make use of / wood],6年级上@r22:[spicy / silk / <forest> / stone / London],multi-pos-gloss,pending,,,
