Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
fifteen,[ˌfɪfˈtiːn],[ˌfɪfˈtiːn],十五,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
time,[taɪm],[taɪm],时间,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
playtime,[ˈpleɪtaɪm],[ˈpleɪtaɪm],游戏或娱乐的时间,n. 游戏或娱乐的时间；开幕时刻,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
get up,[ɡet ʌp],[ɡet ʌp],a. 起床,na. 起床；起身；站起来；叫…起床,2年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
eat breakfast,[i:t ˈbrekfəst],[iːt ˈbrekfəst],吃早饭,吃早饭；吃早餐；食早餐,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
go to school,,,a. 到校上课,na. 到校上课；上学去；开始求学,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
eat lunch,,,吃午饭,吃午饭；吃午餐；吃中午饭,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
go home,,,a. 回家,na. 回家；〈口〉死；(忠告等)刻骨铭心；击中,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
eat dinner,,,吃晚饭,吃晚饭；吃晚餐；吃饭,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
go to bed,,,a. 睡,na. 睡；同床；【印】付印,2年级下|5年级下,rj_start1 grade::2 semester::下 appears::2年级下 appears::5年级下
when,[wen],[wen],什么时候,"conj. 考虑到；既然；当…时；在…时；如果
n. 时间，时候；日期；场合
adv. 什么时候，何时；（用于时间的表达方式之后）在那时；其时；当时
pron. 那时；什么时侯",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
every day,,,a. 每日,na. 每日,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
at,[ət],[ət; æt],在；于,"prep. 在（表示存在或出现的地点、场所、位置、空间）；以（某种价格、速度等）；向；达；因为；朝；忙于
n. 阿特（老挝货币基本单位att）；[化]砹（极不稳定放射性元素）
abbr. 密封的（airtight）；气温（air temperature）",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
Sunday,[ˈsʌndeɪ],[ˈsʌndeɪ],星期日,n. 星期日；礼拜日,2年级下,rj_start1 grade::2 semester::下 appears::2年级下
Monday,[ˈmʌndeɪ],[ˈmʌndeɪ],星期一,n. 星期一,2年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Tuesday,[ˈtjuːzdeɪ],[ˈtuːzdeɪ],星期二,n. 星期二,2年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Wednesday,[ˈwenzdeɪ],[ˈwenzdeɪ],星期三,n. 星期三,2年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Thursday,[ˈθɜːzdeɪ],[ˈθɜːrzdeɪ],星期四,n. 星期四,2年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Friday,[ˈfraɪdeɪ],[ˈfraɪdeɪ],星期五,n. 星期五,2年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
Saturday,[ˈsætədeɪ],[ˈsætərdeɪ],星期六,n. 星期六,2年级下|4年级上,rj_start1 grade::2 semester::下 appears::2年级下 appears::4年级上
today,[təˈdeɪ],[təˈdeɪ],今天,"n. 今天；现今
adv. 今天；现今",2年级下,rj_start1 grade::2 semester::下 appears::2年级下
