Word,British,American,MeaningPrimary,MeaningRaw,Books,Tags
Father's Day,,,a. 〈美〉父亲节(每年六月的第三个星期日),na. 〈美〉父亲节(每年六月的第三个星期日),5年级下,rj_start1 grade::5 semester::下 appears::5年级下
Teachers' Day,,,教师节,n. 教师节,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
National Day,,,a. 国庆日,na. 国庆日,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
Christmas Day,,,"【宗,基督】圣诞节","n. 【宗,基督】圣诞节；圣诞节时期",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
fifth,[fɪfθ],[fɪfθ],um. 第五第五,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
5th,,,第五（fifth）,n. 第五（fifth）,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
tenth,[tenθ],[tenθ],um. 第十,"num. 第十；十分之一
adj. 十分之一的；第十个的",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
10th,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
twelfth,[twelfθ],[twelfθ],第十二,"n. 第十二；月的第十二日
adj. 第十二的，第十二个",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
12th,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
twenty-fifth,,,第二十五,第二十五,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
25th,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
plant,[plɑːnt],[plænt],工厂，车间,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
make a poster,,,制作海报,制作海报；做海报；作一个海报,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
celebrate,[ˈselɪbreɪt],[ˈselɪbreɪt],t. 庆祝,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
have a picnic,,,举行野餐,举行野餐；去野餐；吃野餐,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
office,[ˈɒfɪs],[ˈɑːfɪs],办公室,n. 办公室；政府机关；官职；营业处,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
together,[təˈɡeðə(r)],[təˈɡeðər],新潮的,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共",5年级下|6年级下,rj_start1 grade::5 semester::下 appears::5年级下 appears::6年级下
special,[ˈspeʃ(ə)l],[ˈspeʃl],特使，特派人员,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的",5年级下|6年级下,rj_start1 grade::5 semester::下 appears::5年级下 appears::6年级下
send an email,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
write a letter,,,a. 写信,na. 写信,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
make a phone call,,,打电话,打电话；打个电话；打电话号码,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
send a short message,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
mail a present,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
make a video call,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
say,[seɪ],[seɪ],t. 讲,"vt. 讲；说明；例如；声称；假设；指明
vi. 讲；表示；念；假定；背诵",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
make a card,,,a. (牌戏)打成一墩,na. (牌戏)打成一墩,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
everywhere,[ˈevriweə(r)],[ˈevriwer],每个地方到处,"n. 每个地方
adv. 到处",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
flower show,,,a. 花卉展览,na. 花卉展览,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
cleaned the window,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
watched TV,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
climbed a hill,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
visited grandparents,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
danced,,,跳舞( dance的过去式和过去分词 ),v. 跳舞( dance的过去式和过去分词 ); 手舞足蹈; 摇晃; 跳跃,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
jumped rope,,,跳绳游戏,跳绳游戏；跨越横线,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
listened to music,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
rowed a boat,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
played computer games,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
stayed at home,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
played the piano,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
played chess,[pleɪ tʃes],[pleɪ tʃes],无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
washed clothes,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
boring,[ˈbɔːrɪŋ],[ˈbɔːrɪŋ],钻孔无聊的,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
badminton,[ˈbædmɪntən],[ˈbædmɪntən],羽毛球,n. 羽毛球,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
won,[wʌn],[wʌn],t. 赢得（win的过去式和过去分词）,vt. 赢得（win的过去式和过去分词）,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
went to the beach,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
drank cold drinks,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
swam,[swæm],[swæm],游泳（swim的过去式）,v. 游泳（swim的过去式）,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
ate ice-cream,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
the Stone Forest,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
bought some gifts,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
took photos,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
saw flowers,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
slept,[slept],[slept],睡觉（sleep的过去式和过去分词）,v. 睡觉（sleep的过去式和过去分词）,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
felt happy,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
sad,[sæd],[sæd],难过的,adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）,5年级下|6年级上,rj_start1 grade::5 semester::下 appears::5年级下 appears::6年级上
left,[left],[left],左边的,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
French fries,[ˈfrentʃ fraɪz],[frentʃ fraɪz],【食】炸薯条,n. 【食】炸薯条,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
were,[wə(r); wɜː(r)],[wər; wɜːr],是,v. 是，在（are的过去式）,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
was born,,,出生,出生；出生於；出生于,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
started to speak,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
learned to walk,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
learned to ride a bike,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
went to kindergarten,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
went to school,,,"bl.到校上课,开始求学","vbl.到校上课,开始求学",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
learned to swim,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
fifteenth,[ˌfɪfˈtiːnθ],[ˌfɪfˈtiːnθ],第十五的,"adj. 第十五的；十五分之一的
num. 第十五",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
15th,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
started to buy things,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
started to study English,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
started to use a computer,,,无,无,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
all over,,,满全花织物,"adj. 满
n. 全花织物",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
out of,,,来自,prep. 来自；离开,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
into,[ˈɪntə],[ˈɪntə; ˈɪntu; ˈɪntuː],到…里,prep. 到…里；深入…之中；成为…状况；进入到…之内,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
chopsticks,[ˈtʃɒpstɪks],[ˈtʃɑːpstɪks],筷子,n. 筷子,5年级下,rj_start1 grade::5 semester::下 appears::5年级下
wet,[wet],[wet],雨天,"n. 雨天；湿气
adj. [气象][物] 潮湿的；有雨的
vt. 弄湿
vi. 变湿",5年级下,rj_start1 grade::5 semester::下 appears::5年级下
