Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,Books,Tags
crossroads,[ˈkrɒsrəʊdz],[ˈkrɔːsroʊdz],十字路口,Turn right at the crossroads.,在十字路口右转。,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
neighbourhood,[ˈneɪbəhʊd],[ˈneɪbərhʊd],街区；社区,There is a park in my neighbourhood.,我的社区里有一个公园。,n. 邻近；周围；邻居关系；附近一带,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
send,[send],[send],发送；寄,Send the letter at the post office.,在邮局寄这封信。,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
get,[ɡet],[ɡet],得到；取得,I get a present today.,我今天得到一份礼物。,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
money,[ˈmʌni],[ˈmʌni],钱,I have some money.,我有一些钱。,n. 钱；货币；财富,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
get to,,,到达,How can I get to the bank?,我怎样到银行？,na. 接触到；开始；〈美口〉收买,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
before,[bɪˈfɔː(r)],[bɪˈfɔːr],在……之前,Wash your hands before dinner.,晚饭前洗手。,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前",4年级下|5年级下,rj_start1 grade::4 semester::下 appears::4年级下 appears::5年级下
leave,[liːv],[liːv],离开,We leave home at eight.,我们八点离开家。,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
toy,[tɔɪ],[tɔɪ],玩具,This shop sells toys.,这家商店卖玩具。,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
city,[ˈsɪti],[ˈsɪti],城市,This city is beautiful.,这座城市很漂亮。,"n. 城市，都市
adj. 城市的；都会的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
sports centre,,,体育中心,We play basketball at the sports centre.,我们在体育中心打篮球。,"体育运动中心, 运动场",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
hotel,[həʊˈtel],[hoʊˈtel],酒店；旅馆,We stay at a hotel.,我们住在酒店。,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
square,[skweə(r)],[skwer],广场,There are many people in the square.,广场上有很多人。,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
buy toys,,,买玩具,We buy toys at the shop.,我们在商店买玩具。,无,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
see a film,,,看电影,We see a film at the cinema.,我们在电影院看电影。,看电影；去看电影；去电影院看电影,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
go boating,,,去划船,We go boating on the lake.,我们在湖上划船。,na. 乘船〔尤指划船〕游玩,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
busy,[ˈbɪzi],[ˈbɪzi],忙的,The street is busy today.,今天街上很繁忙。,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
station,[ˈsteɪʃ(ə)n],[ˈsteɪʃn],车站,The station is near the hotel.,车站在酒店附近。,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
place,[pleɪs],[pleɪs],地方,This is a beautiful place.,这是一个美丽的地方。,"n. 地方；住所；座位
vt. 放置；任命；寄予
vi. 名列前茅；取得名次",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
thing,[θɪŋ],[θɪŋ],东西；事情,I have many things to do.,我有很多事情要做。,n. 事情；东西；事物；情况,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
stay,[steɪ],[steɪ],停留；待,We stay at home today.,我们今天待在家里。,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
star,[stɑː(r)],[stɑːr],星星,We can see many stars.,我们能看到许多星星。,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
king,[kɪŋ],[kɪŋ],国王,The king lives in a big house.,国王住在一所大房子里。,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
central,[ˈsentrəl],[ˈsentrəl],中心的；中央的,The museum is in the central square.,博物馆在中心广场。,"n. 电话总机
adj. 中心的；主要的；中枢的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
take photos,,,拍照,We take photos at the Great Wall.,我们在长城拍照。,照相；拍照；拍照片,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
museum,[mjuˈziːəm],[mjuˈziːəm],博物馆,We visit the museum today.,我们今天参观博物馆。,n. 博物馆,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
dream,[driːm],[driːm],梦想,My dream is to travel.,我的梦想是去旅行。,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
sea,[siː],[siː],海,We swim in the sea.,我们在海里游泳。,n. 海；海洋；许多；大量,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
ski,[skiː],[skiː],滑雪,I want to ski in winter.,我想冬天去滑雪。,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
eat seafood,,,吃海鲜,We eat seafood by the sea.,我们在海边吃海鲜。,无,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
visit the Mogao Caves,,,参观莫高窟,We visit the Mogao Caves.,我们参观莫高窟。,无,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
West Lake,,,西湖,West Lake is beautiful.,西湖很美。,西湖；杭州西湖；浙江杭州,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
row a boat,,,划船,We row a boat on West Lake.,我们在西湖划船。,划船；摇船；划船最好用,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
the Great Wall,,,长城,We visit the Great Wall.,我们参观长城。,长城；万里长城；中国万里长城,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
summer vacation,,,暑假,We travel in summer vacation.,我们暑假去旅行。,n. 暑假,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
travel,[ˈtræv(ə)l],[ˈtrævl],旅行；旅游,I like to travel with my family.,我喜欢和家人旅行。,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
reading,[ˈriːdɪŋ],[ˈriːdɪŋ],阅读；读书,Reading is my hobby.,阅读是我的爱好。,"n. 阅读，朗读；读物；读数
v. 阅读（read的ing形式）
adj. 阅读的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
skateboarding,[ˈskeɪtbɔːdɪŋ],[ˈskeɪtbɔːrdɪŋ],滑板运动,Skateboarding is my hobby.,滑板运动是我的爱好。,n. 滑板运动,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
singing,[ˈsɪŋɪŋ],[ˈsɪŋɪŋ],唱歌,Singing is my hobby.,唱歌是我的爱好。,"n. 歌唱；歌声；耳鸣；振鸣
v. 唱歌（sing的ing形式）
adj. 唱歌的；音乐般的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
dancing,[ˈdɑːnsɪŋ],[ˈdænsɪŋ],跳舞,Dancing is her hobby.,跳舞是她的爱好。,"n. 跳舞；舞蹈
v. 跳舞；摇晃（dance的ing形式）",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
doing jigsaw puzzles,,,拼拼图,I like doing jigsaw puzzles.,我喜欢拼拼图。,无,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
making models,,,做模型,He likes making models.,他喜欢做模型。,无,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
collecting erasers,,,收集橡皮,She likes collecting erasers.,她喜欢收集橡皮。,无,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
different,[ˈdɪfrənt],[ˈdɪfrənt],不同的,We have different hobbies.,我们有不同的爱好。,adj. 不同的；个别的，与众不同的,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
hobby,[ˈhɒbi],[ˈhɑːbi],爱好,Reading is my hobby.,阅读是我的爱好。,n. 嗜好；业余爱好,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
stamp,[stæmp],[stæmp],邮票,I like collecting stamps.,我喜欢集邮。,"n. 邮票；印记；标志；跺脚
vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
vi. 跺脚；捣碎；毁掉",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
catch,[kætʃ],[kætʃ],抓住；捕捉,The cat can catch a fish.,猫能抓到鱼。,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
go for a picnic,,,去野餐,We go for a picnic on Sunday.,我们星期日去野餐。,去野餐；去野炊；出去野炊,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
play the violin,,,拉小提琴,She can play the violin.,她会拉小提琴。,拉小提琴；弹小提琴；演奏小提琴,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
go skating,,,去滑冰,We go skating in winter.,我们冬天去滑冰。,去滑冰；去溜冰；滑雪,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
go camping,,,去露营,We go camping in summer.,我们夏天去露营。,去野营；去露营；宿营,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
do the housework,,,做家务,I help do the housework.,我帮忙做家务。,做家务；做家务活；料理家务,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
free,[friː],[friː],空闲的,Are you free on Sunday?,你星期日有空吗？,"adj. 免费的；自由的，不受约束的；[化学] 游离的
vt. 使自由，解放；释放
adv. 自由地；免费",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
never,[ˈnevə(r)],[ˈnevər],从不；从未,I never play with fire.,我从不玩火。,adv. 从未；决不,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
once a week,,,每周一次,I go swimming once a week.,我每周游泳一次。,一周一次；每周一次；一星期一次,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
twice a week,,,每周两次,I play basketball twice a week.,我每周打两次篮球。,一周两次；每周两次；一星期两次,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
three times a week,,,每周三次,I read books three times a week.,我每周读三次书。,一周三次；每周三次；一星期三次,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
Canada,[ˈkænədə],[ˈkænədə],加拿大,Canada is a big country.,加拿大是一个大国。,n. 加拿大（北美洲国家）,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
Australia,[ɒˈstreɪliə],[ɔːˈstreɪliə],澳大利亚,Koalas live in Australia.,考拉生活在澳大利亚。,n. 澳大利亚，澳洲,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
the UK,,,英国,Big Ben is in the UK.,大本钟在英国。,（等于the United Kingdom）英国,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
the USA,,,美国,Disneyland is in the USA.,迪士尼乐园在美国。,美国；美利坚合众国；现在我们有美国的大哥,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
China,[ˈtʃaɪnə],[ˈtʃaɪnə],中国,The Great Wall is in China.,长城在中国。,"n. 中国
n. china，瓷器
adj. 中国的；中国制造的
adj. china，瓷制的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
koala,[kəʊˈɑːlə],[koʊˈɑːlə],考拉；树袋熊,The koala is cute.,考拉很可爱。,n. 树袋熊，无尾熊（产于澳大利亚，又名考拉）,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
maple leaves,,,枫叶,Maple leaves are beautiful.,枫叶很漂亮。,枫叶；枫树叶子；枫树留下,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
Big Ben,,,大本钟,Big Ben is in London.,大本钟在伦敦。,"n. 英国伦敦议会大厦顶的大钟, 美国得州西南部的国立大本德公园(Big Bend National Park)",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
Disneyland,[ˈdɪznilænd],[ˈdɪznilænd],迪士尼乐园,I want to visit Disneyland.,我想参观迪士尼乐园。,n. 迪斯尼乐园；幻想世界,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
campfire,[ˈkæmpfaɪə(r)],[ˈkæmpfaɪər],篝火；营火,We sit by the campfire.,我们坐在篝火旁。,n. 营火；营火会,4年级下,rj_start1 grade::4 semester::下 appears::4年级下
cute,[kjuːt],[kjuːt],可爱的,The koala is very cute.,考拉非常可爱。,adj. 可爱的；漂亮的；聪明的，伶俐的,4年级下|5年级上,rj_start1 grade::4 semester::下 appears::4年级下 appears::5年级上
country,[ˈkʌntri],[ˈkʌntri],国家,China is my country.,中国是我的国家。,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的",4年级下,rj_start1 grade::4 semester::下 appears::4年级下
