NoteID,Class,Released,Stage,LearningOrder,CanonicalWord,Word,MeaningPrimary,British,American,ExampleSentence,ExampleTranslation,PresentationStatus,ContentFingerprint,ReviewNote
KV000584,grade5-6-reused-unreleased,no,stage::grade5-6-current,000519,drink,drink,喝；饮料,[drɪŋk],[drɪŋk],Drink more water every day.,每天多喝水。,migrated-curated,e10cdb906752dfc2e8fc7441e683b28b2b584c90a4e25ef938282e362d667125,awaiting explicit learner-level review before release
KV000590,grade5-6-reused-unreleased,no,stage::grade5-6-current,000257,subject,subject,学科；科目,[ˈsʌbdʒɪkt; ˈsʌbdʒekt],[ˈsʌbdʒɪkt; ˈsʌbdʒekt],English is my favourite subject.,英语是我最喜欢的学科。,migrated-curated,386557c6bfbe1398ae3b5497754d862d111e5987edd7766bddd2c357e9dfb4fc,awaiting explicit learner-level review before release
KV000600,grade5-6-reused-unreleased,no,stage::grade5-6-current,000396,National Day,National Day,国庆节,,,National Day is on October first.,国庆节是十月一日。,migrated-curated,3ea81d45fff2d81ecd53140d6f1faeaaaa30aca2ff53480b86b1badc7b5b858e,awaiting explicit learner-level review before release
KV000602,grade5-6-reused-unreleased,no,stage::grade5-6-current,000408,fifth,fifth,第五,[fɪfθ],[fɪfθ],May is the fifth month.,五月是第五个月。,migrated-curated,3f62b2c323c6e4dd4e9dee7dfe63409d19db580d5025cf831b6597988246ed3b,awaiting explicit learner-level review before release
KV000606,grade5-6-reused-unreleased,no,stage::grade5-6-current,000409,twelfth,twelfth,第十二,[twelfθ],[twelfθ],December is the twelfth month.,十二月是第十二个月。,migrated-curated,1dc23e244feaaaedb3e7c0fd8353552bf81e822cba71669607b2bd3e7a8c1edf,awaiting explicit learner-level review before release
KV000610,grade5-6-reused-unreleased,no,stage::grade5-6-current,000390,plant,plant,种植；植物,[plɑːnt],[plænt],We plant trees in spring.,我们春天植树。,migrated-curated,d49eb12e506a5a4b15f59501f1c504af3257355d823928514411ddbd9e0396e7,awaiting explicit learner-level review before release
KV000616,grade5-6-reused-unreleased,no,stage::grade5-6-current,000415,special,special,特别的；特殊的,[ˈspeʃ(ə)l],[ˈspeʃl],Today is a special day.,今天是特别的一天。,migrated-curated,2dda545279e0523143381e4e9a2341027cb9323e033da4f95b4b26205b16cf92,awaiting explicit learner-level review before release
KV000623,grade5-6-reused-unreleased,no,stage::grade5-6-current,000445,say,say,说；讲,[seɪ],[seɪ],Please say hello to your family.,请向你的家人问好。,migrated-curated,34308cc0c7b5ac8f0dbd597896439795d7825f43f34be7147873ea218abe363c,awaiting explicit learner-level review before release
KV000641,grade5-6-reused-unreleased,no,stage::grade5-6-current,000620,badminton,badminton,羽毛球,[ˈbædmɪntən],[ˈbædmɪntən],I play badminton after school.,我放学后打羽毛球。,migrated-curated,6ff2ff01a892a37f8c6c771978ce6a75e5280e03dfb323bb244286e9f136dace,awaiting explicit learner-level review before release
KV000653,grade5-6-reused-unreleased,no,stage::grade5-6-current,000240,sad,sad,难过的；伤心的,[sæd],[sæd],She felt sad yesterday.,她昨天感到难过。,migrated-curated,68409a0f58d6388f7d3cb9161a437688f1d1e67620d481fbdc87dc4b3d01517e,awaiting explicit learner-level review before release
KV000671,grade5-6-reused-unreleased,no,stage::grade5-6-current,000548,into,into,进入；到……里面,[ˈɪntə],[ˈɪntə; ˈɪntu; ˈɪntuː],The cat jumped into the water.,猫跳进了水里。,migrated-curated,3d6d75e6fa0753a0ab2236cde2da47aac7c613b9a43eab2f179ecba40ca2b362,awaiting explicit learner-level review before release
KV000679,grade5-6-reused-unreleased,no,stage::grade5-6-current,000368,vacation,vacation,假期,[veɪˈkeɪʃn; vəˈkeɪʃn],[veɪˈkeɪʃn; vəˈkeɪʃn],We travelled during the vacation.,我们假期里去旅行了。,migrated-curated,e7fb80f472d287e98565cff1c203c8c46f422d9a3e66d011bb3c00595505d1a4,awaiting explicit learner-level review before release
KV000686,grade5-6-reused-unreleased,no,stage::grade5-6-current,000320,famous,famous,著名的,[ˈfeɪməs],[ˈfeɪməs],Beijing is famous for the Great Wall.,北京因长城而著名。,migrated-curated,4efbfc6f242c90845c33b73755b3209f17c82841f82bf39eab032cc47f38ee22,awaiting explicit learner-level review before release
KV000693,grade5-6-reused-unreleased,no,stage::grade5-6-current,000319,forest,forest,森林,[ˈfɒrɪst],[ˈfɔːrɪst],Many animals live in the forest.,许多动物生活在森林里。,migrated-curated,e0c26fabbeaa85ef635641dfcd5f55c92b693dcbee80f1b426aa4075c430bcb9,awaiting explicit learner-level review before release
KV000710,grade5-6-reused-unreleased,no,stage::grade5-6-current,000546,sunrise,sunrise,日出,[ˈsʌnraɪz],[ˈsʌnraɪz],We watched the sunrise on the hill.,我们在山上看日出。,migrated-curated,e3aab123c0d526bbf771b2d467b136c915bb55fe468fdfb06abf1c2e3161a363,awaiting explicit learner-level review before release
KV000719,grade5-6-reused-unreleased,no,stage::grade5-6-current,000588,metre,metre,米,[ˈmiːtə(r)],[ˈmiːtər],The whale is ten metres long.,这条鲸有十米长。,migrated-curated,81ee570137e0fb8019c85307e1669d90aa54327c70c8cf135e87d4d07bd34a1d,awaiting explicit learner-level review before release
KV000729,grade5-6-reused-unreleased,no,stage::grade5-6-current,000246,worried,worried,担心的,[ˈwʌrid],[ˈwɜːrid],Mum was worried about me.,妈妈很担心我。,migrated-curated,8797e6eeb2fb9f58a19684d35d98eb23a4ce36f497316e8cc6e5397ea27c58d2,awaiting explicit learner-level review before release
KV000730,grade5-6-reused-unreleased,no,stage::grade5-6-current,000250,angry,angry,生气的,[ˈæŋɡri],[ˈæŋɡri],Dad was angry with me.,爸爸生我的气。,migrated-curated,42e6d3031f64076a2ff31aaba048f278ec316ca8c14f163e01fa4d1c812ac3cc,awaiting explicit learner-level review before release
KV000732,grade5-6-reused-unreleased,no,stage::grade5-6-current,000248,excited,excited,兴奋的；激动的,[ɪkˈsaɪtɪd],[ɪkˈsaɪtɪd],I was excited about the trip.,我对这次旅行很兴奋。,migrated-curated,3c15ef69db60eaa20c37c7147fa19bf735d847522540fccea85ac3e249def69f,awaiting explicit learner-level review before release
KV000733,grade5-6-reused-unreleased,no,stage::grade5-6-current,000498,ill,ill,生病的,[ɪl],[ɪl],She was ill yesterday.,她昨天生病了。,migrated-curated,23d00ce0e51860e39c53560e99e3c0ffb7ee47cd4857e54fad2b7f003b2f56a0,awaiting explicit learner-level review before release
KV000734,grade5-6-reused-unreleased,no,stage::grade5-6-current,000362,win,win,赢；获胜,[wɪn],[wɪn],I hope our class can win.,我希望我们班能赢。,migrated-curated,d0c85b2590cead6e422538951e02d48c4facb8d8974ea70aeba18ed7a18ed050,awaiting explicit learner-level review before release
KV000735,grade5-6-reused-unreleased,no,stage::grade5-6-current,000482,race,race,比赛；赛跑,[reɪs],[reɪs],He won the running race.,他赢得了赛跑。,migrated-curated,8cb8751d0377650f1cadf426d9a3b2e28107a09e572cac48503fac28b4c5e13e,awaiting explicit learner-level review before release
KV000736,grade5-6-reused-unreleased,no,stage::grade5-6-current,000507,cry,cry,哭；哭泣,[kraɪ],[kraɪ],The little boy began to cry.,小男孩开始哭。,migrated-curated,e43234cda5f174b7c90343502de86e0483734ff6506e3fc33b78f184190133cd,awaiting explicit learner-level review before release
KV000737,grade5-6-reused-unreleased,no,stage::grade5-6-current,000260,because,because,因为,[bɪˈkəz],[bɪˈkəz],I was happy because we won.,因为我们赢了，所以我很高兴。,migrated-curated,dcec05609e16095469867962733b07b24eb235ca70f21a96d5f595a38ea460a2,awaiting explicit learner-level review before release
KV000744,grade5-6-reused-unreleased,no,stage::grade5-6-current,000485,writer,writer,作家,[ˈraɪtə(r)],[ˈraɪtər],The writer wrote this story.,这位作家写了这个故事。,migrated-curated,fc69ab1817677f394decdf5b99c9b9370826560598c114eda64fd88f40f9df0a,awaiting explicit learner-level review before release
KV000745,grade5-6-reused-unreleased,no,stage::grade5-6-current,000397,American,American,美国的；美国人,[əˈmerɪkən],[əˈmerɪkən],He is an American writer.,他是一位美国作家。,migrated-curated,cf4f91ef68c4ec8d5167f6906181f22081e2a27011d863e09f8ec06878e4b076,awaiting explicit learner-level review before release
KV000755,grade5-6-reused-unreleased,no,stage::grade5-6-current,000300,dumpling,dumpling,饺子,[ˈdʌmplɪŋ],[ˈdʌmplɪŋ],We eat dumplings at Spring Festival.,我们春节吃饺子。,migrated-curated,268b11885d1a86d0da0ae9640b991a679c427bcd79faac51e1a296df8efbb7a2,awaiting explicit learner-level review before release
KV000757,grade5-6-reused-unreleased,no,stage::grade5-6-current,000338,bring,bring,带来,[brɪŋ],[brɪŋ],Please bring your book tomorrow.,请明天带上你的书。,migrated-curated,3d99c8fcb0ed6f49bcdfc4c8e57fc042bc6b54b952496fd45cab14a8c32eced8,awaiting explicit learner-level review before release
KV000761,grade5-6-reused-unreleased,no,stage::grade5-6-current,000596,broken,broken,坏的；破损的,[ˈbrəʊkən],[ˈbroʊkən],My pen is broken.,我的钢笔坏了。,migrated-curated,d12edec7b654b9df8775f9732c1ff9dddbc2cdce25126114e14a63487237c6a8,awaiting explicit learner-level review before release
KV000764,grade5-6-reused-unreleased,no,stage::grade5-6-current,000358,live,live,居住；生活,[lɪv; laɪv],[lɪv; laɪv],I live in a big city.,我住在一座大城市里。,migrated-curated,2612c8c5ff01ef8eaf6fb99a7e164de4aa640b7eb89081f57e6b0ae4dc301f84,awaiting explicit learner-level review before release
KV000767,grade5-6-reused-unreleased,no,stage::grade5-6-current,000468,airport,airport,机场,[ˈeəpɔːt],[ˈerpɔːrt],We arrived at the airport early.,我们很早到达机场。,migrated-curated,cad0b4068fe4266d833712167e338851a8ec342643cdb0f3fce643ee18c8c25b,awaiting explicit learner-level review before release
KV000770,grade5-6-reused-unreleased,no,stage::grade5-6-current,000387,meet,meet,见面；遇见,[miːt],[miːt],I met my pen pal at the airport.,我在机场见到了笔友。,migrated-curated,efc3ec2f96f1d1b5c9e396757f15382e769412a30724e09137cc25546eef567f,awaiting explicit learner-level review before release
KV000782,grade5-6-reused-unreleased,no,stage::grade5-6-current,000282,habit,habit,习惯,[ˈhæbɪt],[ˈhæbɪt],Reading every day is a good habit.,每天阅读是一个好习惯。,migrated-curated,7f0114464d0ef7ecbee80e58ad08cb6c924ed1daac638befac52d0229345debc,awaiting explicit learner-level review before release
KV000784,grade5-6-reused-unreleased,no,stage::grade5-6-current,000290,less,less,更少的；较少,[les],[les],We should eat less candy.,我们应该少吃糖果。,migrated-curated,98577980fcde5dae9fae3b36c2b4ae5a0b36d4a9d7294bad5c8cbd656fc6c450,awaiting explicit learner-level review before release
KV000791,grade5-6-reused-unreleased,no,stage::grade5-6-current,000591,countryside,countryside,乡村；农村,[ˈkʌntrisaɪd],[ˈkʌntrisaɪd],My grandparents live in the countryside.,我的祖父母住在乡下。,migrated-curated,fb76a3ae189c3490c82a0a0da3529b53a98cf21cd5c8e4d9985dd8c5efe08b97,awaiting explicit learner-level review before release
KV000792,grade5-6-reused-unreleased,no,stage::grade5-6-current,000398,Thanksgiving,Thanksgiving,感恩节,,,Families eat together at Thanksgiving.,家人们在感恩节一起吃饭。,migrated-curated,223cec2e8e4092848b064c7a6bc4839f48aa1835366be2df653a8ec5adaf46c2,awaiting explicit learner-level review before release
