Category,LearningStatus,NoteID,CanonicalWord,SenseLabel,Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,SourceBooks
actual-grade4-new-identity,allowed,KV000815,football,足球运动,football,[ˈfʊtbɔːl],[ˈfʊtbɔːl],足球运动,We play football after school.,我们放学后踢足球。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000816,over,在……的远端（或对面）,over,[ˈəʊvə(r)],[ˈoʊvər],在……的远端（或对面）,The park is over there.,公园在那边。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000817,bus stop,公共汽车站,bus stop,[ˈbʌs stɒp],[ˈbʌs stɑːp],公共汽车站,The bus stop is near our school.,公共汽车站在我们学校附近。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000818,sport,体育运动,sport,[spɔːt],[spɔːrt],体育运动,Football is my favourite sport.,足球是我最喜欢的运动。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000819,walk,散步；行走,walk,[wɔːk],[wɔːk],散步；行走,I walk to school every day.,我每天步行去上学。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000820,community,社区,community,[kəˈmjuːnəti],[kəˈmjuːnəti],社区,There is a park in our community.,我们的社区里有一个公园。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000821,photo,照片,photo,[ˈfəʊtəʊ],[ˈfoʊtoʊ],照片,This is a photo of my family.,这是一张我的全家福。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000822,firefighter,消防队员,firefighter,[ˈfaɪəˌfaɪtə(r)],[ˈfaɪərˌfaɪtər],消防队员,A firefighter helps people.,消防队员帮助人们。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000823,driver,司机,driver,[ˈdraɪvə(r)],[ˈdraɪvər],司机,My uncle is a driver.,我叔叔是一名司机。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000824,cleaner,清洁工,cleaner,[ˈkliːnə(r)],[ˈkliːnər],清洁工,She is a cleaner at our school.,她是我们学校的一名清洁工。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000825,delivery worker,快递员,delivery worker,[dɪˈlɪvəri ˌwɜːkə(r)],[dɪˈlɪvəri ˌwɜːrkər],快递员,The delivery worker is at the door.,快递员在门口。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000826,now,现在,now,[naʊ],[naʊ],现在,I am doing my homework now.,我现在正在做家庭作业。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000827,tell,讲述；告诉,tell,[tel],[tel],讲述；告诉,Please tell me your name.,请告诉我你的名字。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000828,Ms,女士,Ms,[mɪz],[mɪz],女士,Ms Li is our teacher.,李女士是我们的老师。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000829,rain,下雨；雨,rain,[reɪn],[reɪn],下雨；雨,There is a lot of rain today.,今天雨很多。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000830,closed,关闭的,closed,[kləʊzd],[kloʊzd],关闭的,The shop is closed today.,这家商店今天关门。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000831,fly,操纵（飞行器等）；飞,fly,[flaɪ],[flaɪ],操纵（飞行器等）；飞,I can fly a kite.,我会放风筝。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000832,kite,风筝,kite,[kaɪt],[kaɪt],风筝,My kite is red.,我的风筝是红色的。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000833,snowman,雪人,snowman,[ˈsnəʊmæn],[ˈsnoʊmæn],雪人,We make a snowman in winter.,我们冬天堆雪人。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000834,whose,谁的,whose,[huːz],[huːz],谁的,Whose book is this?,这是谁的书？,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000835,mine,我的,mine,[maɪn],[maɪn],我的,This book is mine.,这本书是我的。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000836,which,哪一个；哪一些,which,[wɪtʃ],[wɪtʃ],哪一个；哪一些,Which book do you like?,你喜欢哪一本书？,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000837,get together,聚会,get together,[ɡet təˈɡeðə(r)],[ɡet təˈɡeðər],聚会,Our family gets together on Sunday.,我们一家星期日聚会。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000838,leaf,叶（复数 leaves）,leaf,[liːf],[liːf],叶（复数 leaves）,This leaf is red.,这片叶子是红色的。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000839,then,然后；那时,then,[ðen],[ðen],然后；那时,I do my homework and then I play.,我先做家庭作业，然后玩。,rj_start1::klose-current::4年级上
actual-grade4-new-identity,allowed,KV000840,hurry up,快点；赶快,hurry up,[ˌhʌri ˈʌp],[ˌhɜːri ˈʌp],快点；赶快,Hurry up! We are late.,快点！我们迟到了。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000841,ready,准备好,ready,[ˈredi],[ˈredi],准备好,I am ready for school.,我准备好去上学了。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000842,rule,规则；规章,rule,[ruːl],[ruːl],规则；规章,This is a school rule.,这是一条校规。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000843,turn off,关掉,turn off,[ˌtɜːn ˈɒf],[ˌtɜːrn ˈɔːf],关掉,Please turn off the light.,请把灯关掉。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000844,tidy,整洁的；整齐的；使整洁；整理,tidy,[ˈtaɪdi],[ˈtaɪdi],整洁的；整齐的；使整洁；整理,My desk is tidy.,我的书桌很整洁。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000845,window,窗,window,[ˈwɪndəʊ],[ˈwɪndoʊ],窗,Please open the window.,请打开窗户。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000846,understand,懂；理解,understand,[ˌʌndəˈstænd],[ˌʌndərˈstænd],懂；理解,I understand this word.,我理解这个单词。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000847,wall,墙；壁,wall,[wɔːl],[wɔːl],墙；壁,There is a picture on the wall.,墙上有一幅画。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000848,newspaper,报纸,newspaper,[ˈnjuːzpeɪpə(r)],[ˈnuːzpeɪpər],报纸,My grandpa reads the newspaper.,我爷爷看报纸。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000849,hand out,分发,hand out,[ˌhænd ˈaʊt],[ˌhænd ˈaʊt],分发,Please hand out the books.,请把书分发下去。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000850,workbook,练习册；作业本,workbook,[ˈwɜːkbʊk],[ˈwɜːrkbʊk],练习册；作业本,Open your workbook please.,请打开你的练习册。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000851,watch,看,watch,[wɒtʃ],[wɑːtʃ],看,I watch TV after school.,我放学后看电视。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000852,TV,电视,TV,[ˌtiː ˈviː],[ˌtiː ˈviː],电视,We watch TV in the living room.,我们在客厅看电视。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000853,homework,家庭作业,homework,[ˈhəʊmwɜːk],[ˈhoʊmwɜːrk],家庭作业,I do my homework after school.,我放学后做家庭作业。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000854,word,言语；单词；字,word,[wɜːd],[wɜːrd],言语；单词；字,I know this word.,我认识这个单词。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000855,wash,洗,wash,[wɒʃ],[wɑːʃ],洗,I wash my hands before dinner.,我晚饭前洗手。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000856,loud,说话太大声的；吵闹的,loud,[laʊd],[laʊd],说话太大声的；吵闹的,The music is too loud.,音乐声音太大了。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000857,sleep,睡觉,sleep,[sliːp],[sliːp],睡觉,I sleep in my bedroom.,我在我的卧室睡觉。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000858,think,想；思考,think,[θɪŋk],[θɪŋk],想；思考,I think this book is good.,我觉得这本书很好。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000859,work,做（某事）；工作,work,[wɜːk],[wɜːrk],做（某事）；工作,My parents work hard.,我的父母努力工作。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000860,hard,努力地；费力地,hard,[hɑːd],[hɑːrd],努力地；费力地,She works hard every day.,她每天都努力工作。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000861,follow,听从；遵循,follow,[ˈfɒləʊ],[ˈfɑːloʊ],听从；遵循,Please follow this rule.,请遵守这条规则。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000862,feel,觉得；感到,feel,[fiːl],[fiːl],觉得；感到,I feel tired today.,我今天觉得很累。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000863,over,结束（的）,over,[ˈəʊvə(r)],[ˈoʊvər],结束（的）,Class is over.,下课了。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000864,kid,小孩,kid,[kɪd],[kɪd],小孩,That kid is my friend.,那个小孩是我的朋友。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000865,dinner,正餐,dinner,[ˈdɪnə(r)],[ˈdɪnər],正餐,We have dinner at six.,我们六点吃晚饭。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000866,lunch,午餐,lunch,[lʌntʃ],[lʌntʃ],午餐,I have lunch at school.,我在学校吃午餐。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000867,minute,分钟,minute,[ˈmɪnɪt],[ˈmɪnɪt],分钟,Wait a minute please.,请等一分钟。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000868,pair,一条，一副,pair,[peə(r)],[per],一条，一副,This pair of trousers is new.,这条裤子是新的。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000869,clothes,衣服；服装,clothes,[kləʊðz],[kloʊðz],衣服；服装,These clothes are mine.,这些衣服是我的。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000870,those,那些,those,[ðəʊz],[ðoʊz],那些,Those are my shoes.,那些是我的鞋。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000871,expensive,昂贵的；价格高的,expensive,[ɪkˈspensɪv],[ɪkˈspensɪv],昂贵的；价格高的,This jacket is too expensive.,这件夹克太贵了。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000872,take,买下,take,[teɪk],[teɪk],买下,I will take this jacket.,我要买这件夹克。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000873,cheap,便宜的,cheap,[tʃiːp],[tʃiːp],便宜的,These shoes are cheap.,这些鞋很便宜。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000874,hat,帽子,hat,[hæt],[hæt],帽子,This hat is too big.,这顶帽子太大了。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000875,sunglasses,太阳镜；墨镜,sunglasses,[ˈsʌnɡlɑːsɪz],[ˈsʌnɡlæsɪz],太阳镜；墨镜,I wear sunglasses in summer.,我夏天戴太阳镜。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000876,free,免费的,free,[friː],[friː],免费的,The water is free.,这水是免费的。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000877,large,大型号的,large,[lɑːdʒ],[lɑːrdʒ],大型号的,This T-shirt is too large for me.,这件T恤衫对我来说太大了。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000878,size,尺码；号,size,[saɪz],[saɪz],尺码；号,What size do you wear?,你穿多大尺码？,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000879,list,清单；目录,list,[lɪst],[lɪst],清单；目录,I have a shopping list.,我有一张购物清单。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000880,try on,试穿,try on,[ˌtraɪ ˈɒn],[ˌtraɪ ˈɑːn],试穿,Can I try on this coat?,我可以试穿这件外套吗？,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000881,any,任何的；任一的,any,[ˈeni],[ˈeni],任何的；任一的,Any colour is OK.,任何颜色都可以。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000882,mouse,老鼠,mouse,[maʊs],[maʊs],老鼠,There is a mouse in the kitchen.,厨房里有一只老鼠。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000883,carrot,胡萝卜,carrot,[ˈkærət],[ˈkærət],胡萝卜,This carrot is for the rabbit.,这根胡萝卜是给兔子的。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000884,green bean,青刀豆；四季豆,green bean,[ˌɡriːn ˈbiːn],[ˌɡriːn ˈbiːn],青刀豆；四季豆,I like green beans.,我喜欢吃四季豆。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000885,can,金属罐,can,[kæn],[kæn],金属罐,There is a can on the table.,桌上有一个金属罐。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000886,a box of,一盒，一箱（东西）,a box of,[ə ˈbɒks əv],[ə ˈbɑːks əv],一盒，一箱（东西）,I have a box of crayons.,我有一盒蜡笔。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000887,feed,给食物；饲养,feed,[fiːd],[fiːd],给食物；饲养,I feed the sheep every day.,我每天喂羊。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000888,pass,给；递,pass,[pɑːs],[pæs],给；递,Please pass me the bowl.,请把碗递给我。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000889,pick,采；摘,pick,[pɪk],[pɪk],采；摘,We pick apples from the tree.,我们从树上摘苹果。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000890,milk,挤奶,milk,[mɪlk],[mɪlk],挤奶,They milk the cow every morning.,他们每天早晨给奶牛挤奶。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000891,fork,餐叉,fork,[fɔːk],[fɔːrk],餐叉,I eat with a fork.,我用餐叉吃饭。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000892,waste,浪费；废品,waste,[weɪst],[weɪst],浪费；废品,Do not waste food.,不要浪费食物。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000893,food,菜肴；食物,food,[fuːd],[fuːd],菜肴；食物,I like this food.,我喜欢这种食物。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000894,clear the table,收拾餐桌,clear the table,[ˌklɪə ðə ˈteɪbəl],[ˌklɪr ðə ˈteɪbəl],收拾餐桌,We clear the table after dinner.,我们晚饭后收拾餐桌。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000895,set the table,摆放餐具,set the table,[ˌset ðə ˈteɪbəl],[ˌset ðə ˈteɪbəl],摆放餐具,I set the table before dinner.,我晚饭前摆放餐具。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000896,bowl,碗,bowl,[bəʊl],[boʊl],碗,The rice is in the bowl.,米饭在碗里。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000897,spoon,勺；匙；调羹,spoon,[spuːn],[spuːn],勺；匙；调羹,This spoon is on the table.,这把勺子在桌上。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000898,herself,她自己,herself,[hɜːˈself],[hɜːrˈself],她自己,She can do it herself.,她可以自己做这件事。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000899,salad,蔬菜沙拉,salad,[ˈsæləd],[ˈsæləd],蔬菜沙拉,I like vegetable salad.,我喜欢蔬菜沙拉。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000900,fan,风扇,fan,[fæn],[fæn],风扇,Please turn on the fan.,请打开风扇。,rj_start1::klose-current::4年级下
actual-grade4-new-identity,allowed,KV000901,speak,说话；发言,speak,[spiːk],[spiːk],说话；发言,I want to speak in class.,我想在课堂上发言。,rj_start1::klose-current::4年级上
