NoteID,Word,UnassessedVocabulary,SupportStatus,AdmissionIsMastery
KV000070,doll,bed keeps little sister,unassessed,false
KV000071,train,grandparents took visit,unassessed,false
KV000072,car,dad drives park,unassessed,false
KV000073,bear,book brown picture saw,unassessed,false
KV000074,can,finish homework myself,unassessed,false
KV000075,sure,help,unassessed,false
KV000076,sorry,class i'm late,unassessed,false
KV000077,rice,eat usually vegetables,unassessed,false
KV000078,noodles,dinner yesterday,unassessed,false
KV000079,vegetable,eating good,unassessed,false
KV000080,fish,lunch rice,unassessed,false
KV000081,chicken,cooked dinner mother,unassessed,false
KV000082,egg,breakfast milk,unassessed,false
KV000083,hungry,school,unassessed,false
KV000084,want,book dinner read,unassessed,false
KV000085,and,bag book packed pencil,unassessed,false
KV000086,juice,breakfast orange usually,unassessed,false
KV000087,tea,grandfather lunch,unassessed,false
KV000088,milk,breakfast morning,unassessed,false
KV000089,water,always school take,unassessed,false
KV000090,thirsty,class pe,unassessed,false
KV000091,thanks,water,unassessed,false
KV000092,shirt,blue school today wore,unassessed,false
KV000093,T-shirt,now small,unassessed,false
KV000094,skirt,party red wore,unassessed,false
KV000095,dress,party sister wore yellow,unassessed,false
KV000096,sock,blue can't find morning,unassessed,false
KV000097,shorts,hot wear,unassessed,false
KV000098,your,mine ruler,unassessed,false
KV000099,father,drives school usually,unassessed,false
KV000100,mother,dinner likes reading,unassessed,false
KV000101,brother,basketball play school,unassessed,false
KV000102,sister,drawing picture room,unassessed,false
KV000103,grandmother,bed reads,unassessed,false
KV000104,grandfather,morning park walks,unassessed,false
KV000105,who,boy door standing,unassessed,false
KV000106,he,bus goes school usually,unassessed,false
KV000107,she,books likes reading school,unassessed,false
KV000108,classmate,basketball play school,unassessed,false
KV000109,friend,books read school,unassessed,false
KV000110,woman,door teacher,unassessed,false
KV000111,girl,blue classmate dress,unassessed,false
KV000112,man,father school,unassessed,false
KV000113,boy,friend red schoolbag,unassessed,false
KV000114,look,blackboard words,unassessed,false
KV000115,his,desk schoolbag,unassessed,false
KV000116,name,book first page,unassessed,false
KV000117,her,blue desk pencil,unassessed,false
KV000118,or,short tall,unassessed,false
KV000119,big,classrooms school,unassessed,false
KV000120,tall,father mother taller,unassessed,false
KV000121,pretty,dress looks red,unassessed,false
KV000122,thin,brother tall,unassessed,false
KV000123,short,desk ruler,unassessed,false
KV000124,handsome,looks new shirt uncle,unassessed,false
KV000125,new,got schoolbag term,unassessed,false
KV000126,does,cats like,unassessed,false
KV000127,bookshop,school small,unassessed,false
KV000128,zoo,monkeys see tigers,unassessed,false
KV000129,school,day friend walk,unassessed,false
KV000130,supermarket,home,unassessed,false
KV000131,park,football play school,unassessed,false
KV000132,hospital,supermarket,unassessed,false
KV000133,go,let's park,unassessed,false
KV000134,to,go let's school,unassessed,false
KV000135,grass,please walk,unassessed,false
KV000136,tree,bird sitting tall,unassessed,false
KV000137,flower,lake,unassessed,false
KV000138,boat,lake see small,unassessed,false
KV000139,lake,lunch walked,unassessed,false
KV000140,hill,climbed morning sunday,unassessed,false
KV000141,Christmas,merry,unassessed,false
KV000142,Father Christmas,presents puts tree,unassessed,false
KV000143,Christmas tree,cards presents put,unassessed,false
KV000144,card,birthday friend made,unassessed,false
KV000145,present,birthday dinner opened,unassessed,false
KV000146,New Year,happy,unassessed,false
KV000147,merry,christmas,unassessed,false
KV000148,too,box carry heavy,unassessed,false
KV000149,here,come look picture,unassessed,false
KV000150,for,card made mother,unassessed,false
KV000152,happy,new year,unassessed,false
KV000153,play football,school,unassessed,false
KV000154,fly a kite,days often park windy,unassessed,false
KV000155,ride a bike,often park school,unassessed,false
KV000156,make a model plane,friend school,unassessed,false
KV000157,swim,centre saturdays sports,unassessed,false
KV000158,make a snowman,let's,unassessed,false
KV000159,can't,swim,unassessed,false
KV000160,rainy,days inside read stay,unassessed,false
KV000161,cloudy,cold sky,unassessed,false
KV000162,snowy,made morning snowman,unassessed,false
KV000163,windy,hat hold,unassessed,false
KV000164,sunny,day picnic went,unassessed,false
KV000165,umbrella,rain take,unassessed,false
KV000167,wow,great model plane,unassessed,false
KV000168,let's,go park,unassessed,false
KV000169,spring,fly kites often,unassessed,false
KV000170,summer,friends like swimming,unassessed,false
KV000171,autumn,leaves turn yellow,unassessed,false
KV000172,winter,friends make snowmen,unassessed,false
KV000173,hot,noon outside play,unassessed,false
KV000174,warm,gets spring weather,unassessed,false
KV000175,cool,enough evening outside walk,unassessed,false
KV000176,cold,coat outside put,unassessed,false
KV000177,favourite,season spring,unassessed,false
KV000178,season,favourite,unassessed,false
KV000179,eleven,football players team,unassessed,false
KV000180,twelve,months year,unassessed,false
KV000181,twenty,class students today,unassessed,false
KV000182,thirty,class students,unassessed,false
KV000183,forty,chairs classroom,unassessed,false
KV000184,fifty,books children library,unassessed,false
KV000185,thirteen,cousin old years,unassessed,false
KV000186,fourteen,books desk,unassessed,false
KV000187,fifteen,bus minutes waited,unassessed,false
KV000189,playtime,during football play,unassessed,false
KV000190,get up,days school seven usually,unassessed,false
KV000191,eat breakfast,go school,unassessed,false
KV000192,go to school,bus usually,unassessed,false
KV000193,eat lunch,classmates school,unassessed,false
KV000194,go home,five school usually,unassessed,false
KV000195,eat dinner,evening family home,unassessed,false
KV000196,go to bed,nine usually,unassessed,false
KV000197,when,get up,unassessed,false
KV000198,every day,english minutes read ten,unassessed,false
KV000199,at,get seven up,unassessed,false
KV000200,Sunday,grandparents visit,unassessed,false
KV000201,Monday,english music,unassessed,false
KV000202,Tuesday,club drawing go,unassessed,false
KV000203,Wednesday,basketball play school,unassessed,false
KV000204,Thursday,afternoon library read,unassessed,false
KV000205,Friday,afternoon class pe,unassessed,false
KV000206,Saturday,family goes park,unassessed,false
KV000207,today,english homework,unassessed,false
KV000208,year,months twelve,unassessed,false
KV000210,how old,sister,unassessed,false
KV000211,class,students twenty,unassessed,false
KV000212,grade,four year,unassessed,false
KV000213,age,name,unassessed,false
KV000214,dear,amy birthday card thank,unassessed,false
KV000215,body,helps keep playing sports strong,unassessed,false
KV000216,head,hurts,unassessed,false
KV000217,hair,long,unassessed,false
KV000218,arm,hurts,unassessed,false
KV000219,hand,answer know raise,unassessed,false
KV000220,leg,hurts running,unassessed,false
KV000221,foot,football hurts right,unassessed,false
KV000222,feet,cold snow walking,unassessed,false
KV000223,the matter,what's,unassessed,false
KV000224,hurt,leg,unassessed,false
KV000226,bad,cream ice teeth,unassessed,false
KV000227,bite,careful dog,unassessed,false
KV000228,tongue,hurts,unassessed,false
KV000229,kick,ball,unassessed,false
KV000230,morning,english minutes read ten usually,unassessed,false
KV000231,afternoon,class friday pe,unassessed,false
KV000232,summary,class short,unassessed,false
KV000233,bread,breakfast milk,unassessed,false
KV000234,cake,birthday chocolate party shared,unassessed,false
KV000235,fruit,day dinner eat,unassessed,false
KV000236,ice-cream,bought park playing,unassessed,false
KV000237,potato,dinner need two,unassessed,false
KV000238,tomato,box lunch put,unassessed,false
KV000239,meat,eat home,unassessed,false
KV000240,shopping list,eggs milk,unassessed,false
KV000241,cola,like,unassessed,false
KV000242,buy,book bookshop new want,unassessed,false
KV000243,vegetables,day eat need,unassessed,false
KV000244,duck,lake swimming two,unassessed,false
KV000245,rabbit,ears long,unassessed,false
KV000246,pet,dog family,unassessed,false
KV000247,snake,across grass long moving,unassessed,false
KV000248,turtle,lake swimming,unassessed,false
KV000249,small,box pencils,unassessed,false
KV000250,long,longer mine ruler,unassessed,false
KV000251,look for,cat,unassessed,false
KV000252,tail,dog long,unassessed,false
KV000253,dance,likes music sister,unassessed,false
KV000254,cap,outside play wear,unassessed,false
KV000255,coat,go outside put,unassessed,false
KV000256,shoe,dirty football playing,unassessed,false
KV000257,sweater,warm wear winter,unassessed,false
KV000258,jacket,cold outside take,unassessed,false
KV000259,glove,cold wear,unassessed,false
KV000260,trousers,long,unassessed,false
KV000261,should,coat wear,unassessed,false
KV000262,wear,coat winter,unassessed,false
KV000263,week,pe twice,unassessed,false
KV000264,soon,bus,unassessed,false
KV000265,look forward to,birthday,unassessed,false
KV000266,January,birthday,unassessed,false
KV000267,February,birthday,unassessed,false
KV000268,March,spring,unassessed,false
KV000269,April,spring,unassessed,false
KV000270,May,birthday,unassessed,false
KV000271,June,summer,unassessed,false
KV000272,July,summer,unassessed,false
KV000273,August,summer,unassessed,false
KV000274,September,autumn,unassessed,false
KV000275,October,autumn,unassessed,false
KV000276,November,autumn,unassessed,false
KV000277,December,christmas,unassessed,false
KV000278,birthday,like spring,unassessed,false
KV000279,first,january month,unassessed,false
KV000280,party,birthday having saturday,unassessed,false
KV000281,delicious,birthday cake looks,unassessed,false
KV000282,Chinese,class first monday,unassessed,false
KV000283,English,classmates practise school,unassessed,false
KV000284,science,english tuesday,unassessed,false
KV000285,PE,class football play,unassessed,false
KV000286,music,day listen school,unassessed,false
KV000287,maths,class first wednesday,unassessed,false
KV000288,art,class draw pictures,unassessed,false
KV000289,computer class,use,unassessed,false
KV000290,we,basketball often play school,unassessed,false
KV000291,that,across building library street,unassessed,false
KV000292,classroom,corner reading window,unassessed,false
KV000293,library,floor second,unassessed,false
KV000294,toilet,classroom,unassessed,false
KV000295,playground,basketball play school,unassessed,false
KV000296,second,floor library,unassessed,false
KV000297,third,classroom floor,unassessed,false
KV000298,floor,classroom third,unassessed,false
KV000299,room,bed desk,unassessed,false
KV000300,our,class friday going museum,unassessed,false
KV000301,they,books library reading,unassessed,false
KV000302,after school,play sports,unassessed,false
KV000303,play sports,school,unassessed,false
KV000304,draw pictures,friends school,unassessed,false
KV000305,play chess,friend,unassessed,false
KV000306,sing songs,class english music,unassessed,false
KV000307,read books,library often school,unassessed,false
KV000308,really,english like,unassessed,false
KV000309,tomorrow,monday,unassessed,false
KV000310,wake up,days school seven usually,unassessed,false
KV000311,be back,soon,unassessed,false
KV000312,family,dinner home often,unassessed,false
KV000313,uncle,football often plays,unassessed,false
KV000314,aunt,english school teaches,unassessed,false
KV000315,cousin,chess often play,unassessed,false
KV000316,beautiful,lake spring west,unassessed,false
KV000317,lost,bottle water,unassessed,false
KV000318,water bottle,always class pe take,unassessed,false
KV000319,know,library,unassessed,false
KV000320,ok,go let's,unassessed,false
KV000321,much,thank,unassessed,false
KV000323,cooking dinner,mum,unassessed,false
KV000330,play with,dog often school,unassessed,false
KV000331,in one hour,back,unassessed,false
KV000332,everyone,book class likes new,unassessed,false
KV000333,child,children football park playing,unassessed,false
KV000334,run,classroom,unassessed,false
KV000335,home,books dinner read usually,unassessed,false
KV000336,bedroom,bed desk,unassessed,false
KV000337,living room,tv watch,unassessed,false
KV000338,bathroom,bedroom,unassessed,false
KV000339,dining room,dinner eat,unassessed,false
KV000340,study,dad newspaper reading,unassessed,false
KV000341,kitchen,cooking dinner mum,unassessed,false
KV000342,for rent,room,unassessed,false
KV000343,sofa,afternoon cat sleeps,unassessed,false
KV000344,running,like school,unassessed,false
KV000345,basketball,play school,unassessed,false
KV000346,roller skating,go weekend,unassessed,false
KV000347,jumping rope,good,unassessed,false
KV000348,ping-pong,play school,unassessed,false
KV000349,What about ...?,basketball,unassessed,false
KV000350,interesting,film one,unassessed,false
KV000351,often,basketball play,unassessed,false
KV000352,be good at,swimming,unassessed,false
KV000353,late,school,unassessed,false
KV000354,visit one's grandparents,sunday,unassessed,false
KV000356,climb a hill,sunday,unassessed,false
KV000357,pick fruit,autumn,unassessed,false
KV000358,play computer games,saturday,unassessed,false
KV000359,go fishing,dad morning sunday,unassessed,false
KV000360,go to the cinema,weekend,unassessed,false
KV000361,on the weekend,play sports,unassessed,false
KV000362,fun,roller skating,unassessed,false
KV000363,always,get seven up,unassessed,false
KV000364,step,watch,unassessed,false
KV000365,paint,blue door,unassessed,false
KV000366,evening,books read,unassessed,false
KV000367,dirty,football playing shoes,unassessed,false
KV000368,their,house park,unassessed,false
KV000369,house,beautiful,unassessed,false
KV000370,poor,family help needs,unassessed,false
KV000371,hope,happy,unassessed,false
KV000372,so,home rainy stay,unassessed,false
KV000373,day,sunny today,unassessed,false
KV000374,usually,bus go school,unassessed,false
KV000375,by bus,go school,unassessed,false
KV000376,by boat,go,unassessed,false
KV000377,by ship,summer travel,unassessed,false
KV000378,by car,family goes park,unassessed,false
KV000379,by taxi,go station,unassessed,false
KV000380,by bike,go school,unassessed,false
KV000381,on foot,go school,unassessed,false
KV000382,by school bus,goes,unassessed,false
KV000383,by subway,go museum,unassessed,false
KV000384,by plane,summer travel,unassessed,false
KV000385,by train,city go,unassessed,false
KV000386,garden,flowers,unassessed,false
KV000387,meeting place,gate,unassessed,false
KV000388,gate,wait,unassessed,false
KV000389,transportation,use,unassessed,false
KV000390,film,interesting,unassessed,false
KV000391,earth,home,unassessed,false
KV000392,snow,winter,unassessed,false
KV000393,theatre,go let's,unassessed,false
KV000394,come,house,unassessed,false
KV000395,enjoy,evening reading,unassessed,false
KV000396,pen,blue next ruler,unassessed,false
KV000397,knife,careful,unassessed,false
KV000398,eraser,need,unassessed,false
KV000399,crayon,draw,unassessed,false
KV000400,scissors,careful,unassessed,false
KV000401,glue stick,need,unassessed,false
KV000402,paper,draw,unassessed,false
KV000403,use,pen,unassessed,false
KV000404,please,give paper,unassessed,false
KV000405,find,can't pen,unassessed,false
KV000406,Information Centre,ask let's,unassessed,false
KV000407,Excuse me,gate,unassessed,false
KV000408,phone,book desk next,unassessed,false
KV000409,dad,doctor,unassessed,false
KV000410,hamburger,juice lunch,unassessed,false
KV000411,shop,books sells,unassessed,false
KV000413,dangerous,fire playing,unassessed,false
KV000415,Be careful!,stairs,unassessed,false
KV000417,sidewalk,walk,unassessed,false
KV000418,wait for,green light,unassessed,false
KV000419,safe,wait,unassessed,false
KV000420,stop,light red,unassessed,false
KV000421,street,run,unassessed,false
KV000422,safety rule,follow,unassessed,false
KV000423,nurse,helps people sick,unassessed,false
KV000424,cook,restaurant uncle,unassessed,false
KV000425,doctor,helps people sick,unassessed,false
KV000426,bus driver,light red stops,unassessed,false
KV000427,police officer,helps people,unassessed,false
KV000428,taxi driver,father,unassessed,false
KV000429,farmer,day hard works,unassessed,false
KV000430,worker,hard works,unassessed,false
KV000431,in the future,doctor want,unassessed,false
KV000432,great,job,unassessed,false
KV000433,job,father's,unassessed,false
KV000434,sick,doctor helps people,unassessed,false
KV000435,people,station waiting,unassessed,false
KV000436,teach,children teachers,unassessed,false
KV000437,just,help want,unassessed,false
KV000439,sound,great,unassessed,false
KV000440,across from,bank hotel,unassessed,false
KV000441,next to,bank office post,unassessed,false
KV000442,between,bank hotel shop,unassessed,false
KV000443,restaurant,dinner eat,unassessed,false
KV000444,post office,birthday cards send,unassessed,false
KV000445,bank,hotel,unassessed,false
KV000446,grocery,buy food,unassessed,false
KV000447,turn left,crossroads,unassessed,false
KV000448,turn right,bank,unassessed,false
KV000449,go straight,left turn,unassessed,false
KV000450,crossroads,right turn,unassessed,false
KV000451,neighbourhood,park,unassessed,false
KV000452,send,birthday card cousin,unassessed,false
KV000453,get,birthday friend present,unassessed,false
KV000454,money,book buy need,unassessed,false
KV000455,get to,bank,unassessed,false
KV000456,before,get seven up,unassessed,false
KV000457,leave,eight home,unassessed,false
KV000458,toy,sells shop,unassessed,false
KV000459,city,beautiful,unassessed,false
KV000460,sports centre,basketball play,unassessed,false
KV000461,hotel,stay,unassessed,false
KV000462,square,people,unassessed,false
KV000463,buy toys,shop,unassessed,false
KV000464,see a film,cinema,unassessed,false
KV000465,go boating,lake,unassessed,false
KV000466,busy,mum today,unassessed,false
KV000467,station,hotel,unassessed,false
KV000468,place,beautiful,unassessed,false
KV000470,stay,home today,unassessed,false
KV000471,star,see,unassessed,false
KV000472,king,big house lives,unassessed,false
KV000473,central,museum square,unassessed,false
KV000474,take photos,great wall,unassessed,false
KV000475,museum,today visit,unassessed,false
KV000476,dream,travel,unassessed,false
KV000477,sea,swim,unassessed,false
KV000478,ski,want winter,unassessed,false
KV000479,eat seafood,sea,unassessed,false
KV000481,West Lake,beautiful,unassessed,false
KV000482,row a boat,lake west,unassessed,false
KV000483,the Great Wall,china,unassessed,false
KV000484,summer vacation,during often travel,unassessed,false
KV000485,travel,family like,unassessed,false
KV000486,reading,hobby,unassessed,false
KV000487,skateboarding,hobby,unassessed,false
KV000488,singing,hobby,unassessed,false
KV000489,dancing,hobby,unassessed,false
KV000490,doing jigsaw puzzles,like,unassessed,false
KV000491,making models,likes,unassessed,false
KV000492,collecting erasers,likes,unassessed,false
KV000493,different,hobbies,unassessed,false
KV000494,hobby,reading,unassessed,false
KV000495,stamp,collecting like,unassessed,false
KV000496,catch,cat fish,unassessed,false
KV000497,go for a picnic,sunday,unassessed,false
KV000499,go skating,winter,unassessed,false
KV000500,go camping,summer,unassessed,false
KV000501,do the housework,help,unassessed,false
KV000502,free,sunday,unassessed,false
KV000503,never,fire play,unassessed,false
KV000504,once a week,go swimming,unassessed,false
KV000505,twice a week,basketball play,unassessed,false
KV000506,three times a week,books read,unassessed,false
KV000507,Canada,big country,unassessed,false
KV000508,Australia,koalas live,unassessed,false
KV000509,the UK,ben big,unassessed,false
KV000510,the USA,disneyland,unassessed,false
KV000511,China,great wall,unassessed,false
KV000512,koala,eating tree,unassessed,false
KV000513,maple leaves,autumn red turn,unassessed,false
KV000514,Big Ben,uk,unassessed,false
KV000515,Disneyland,visit want,unassessed,false
KV000516,campfire,sit,unassessed,false
KV000517,cute,koala,unassessed,false
KV000518,country,china,unassessed,false
KV000519,clever,helpful,unassessed,false
KV000520,careless,homework,unassessed,false
KV000521,polite,boy everyone,unassessed,false
KV000522,quiet,class,unassessed,false
KV000523,friendly,new teacher,unassessed,false
KV000524,helpful,always home,unassessed,false
KV000525,active,class,unassessed,false
KV000526,popular,school,unassessed,false
KV000527,talk,often school,unassessed,false
KV000528,all,children,unassessed,false
KV000529,but,tall young,unassessed,false
KV000530,sometimes,go library,unassessed,false
KV000531,bark,dog night,unassessed,false
KV000532,forget,schoolbag,unassessed,false
KV000534,wear glasses,teacher,unassessed,false
KV000535,slim,sister tall,unassessed,false
KV000536,curly,hair,unassessed,false
KV000537,straight,hair long,unassessed,false
KV000538,nice,classmate new,unassessed,false
KV000539,young,english teacher,unassessed,false
KV000540,guess,name,unassessed,false
KV000541,has,black ears panda,unassessed,false
KV000542,animal,favourite panda,unassessed,false
KV000543,elephant,big,unassessed,false
KV000544,panda,black,unassessed,false
KV000545,horse,run,unassessed,false
KV000549,bee,fly,unassessed,false
KV000550,farm,animals,unassessed,false
KV000551,fast,horse run,unassessed,false
KV000554,butterfly,beautiful,unassessed,false
KV000555,exercise book,need new,unassessed,false
KV000556,pencil sharpener,need,unassessed,false
KV000557,a pair of scissors,need,unassessed,false
KV000559,a box of crayons,want,unassessed,false
KV000561,also,eraser need,unassessed,false
KV000562,saleswoman,helpful,unassessed,false
KV000563,love,box new pencil,unassessed,false
KV000565,a lot,help thanks,unassessed,false
KV000567,fantastic,nature show,unassessed,false
KV000569,news shows,father watches,unassessed,false
KV000570,nature shows,animals like,unassessed,false
KV000571,chore,day,unassessed,false
KV000572,clean the room,saturday,unassessed,false
KV000573,make the bed,morning,unassessed,false
KV000574,take out the rubbish,dinner,unassessed,false
KV000575,wash clothes,help mum,unassessed,false
KV000576,tidy the desk,homework,unassessed,false
KV000577,sweep the floor,sunday,unassessed,false
KV000578,call,grandmother sunday,unassessed,false
KV000579,too much,candy eat,unassessed,false
KV000580,candy,bad teeth,unassessed,false
KV000581,early,bed go,unassessed,false
KV000582,exercise,day need,unassessed,false
KV000584,drink,day water,unassessed,false
KV000588,a lot of,books,unassessed,false
KV000589,sleepy,class feel,unassessed,false
KV000590,subject,english favourite,unassessed,false
KV000591,mark,english good got,unassessed,false
KV000592,advice,thank,unassessed,false
KV000593,more,drink water,unassessed,false
KV000594,New Year's Day,first january,unassessed,false
KV000596,Mother's Day,card make,unassessed,false
KV000597,Children's Day,first june,unassessed,false
KV000598,Father's Day,call dad,unassessed,false
KV000599,Teachers' Day,thank,unassessed,false
KV000600,National Day,first october,unassessed,false
KV000601,Christmas Day,december,unassessed,false
KV000602,fifth,month,unassessed,false
KV000604,tenth,month october,unassessed,false
KV000606,twelfth,december month,unassessed,false
KV000608,twenty-fifth,christmas december,unassessed,false
KV000610,plant,spring trees,unassessed,false
KV000611,make a poster,school,unassessed,false
KV000612,celebrate,children's day school,unassessed,false
KV000613,have a picnic,park,unassessed,false
KV000614,office,teacher,unassessed,false
KV000615,together,play,unassessed,false
KV000616,special,day today,unassessed,false
KV000617,send an email,friend,unassessed,false
KV000618,write a letter,grandma,unassessed,false
KV000619,make a phone call,dad,unassessed,false
KV000620,send a short message,mum,unassessed,false
KV000621,mail a present,cousin,unassessed,false
KV000622,make a video call,grandma,unassessed,false
KV000623,say,family hello please,unassessed,false
KV000624,make a card,mum,unassessed,false
KV000625,everywhere,flowers spring,unassessed,false
KV000626,flower show,visit,unassessed,false
KV000640,boring,film,unassessed,false
KV000641,badminton,play school,unassessed,false
KV000647,the Stone Forest,visited,unassessed,false
KV000653,sad,felt yesterday,unassessed,false
KV000655,French fries,ate lunch,unassessed,false
KV000664,fifteenth,day today,unassessed,false
KV000669,all over,floor water,unassessed,false
KV000670,out of,box cat jumped,unassessed,false
KV000671,into,cat jumped water,unassessed,false
KV000672,chopstick,table,unassessed,false
KV000673,wet,shoes,unassessed,false
KV000674,morning tea,hotel,unassessed,false
KV000675,soup,delicious tastes,unassessed,false
KV000676,the Potala Palace,lhasa,unassessed,false
KV000677,the Summer Palace,beijing,unassessed,false
KV000678,the Terracotta Army,xi'an,unassessed,false
KV000679,vacation,during travelled,unassessed,false
KV000681,map,beijing find,unassessed,false
KV000682,north,beijing china,unassessed,false
KV000683,south,china guangzhou,unassessed,false
KV000684,east,china shanghai,unassessed,false
KV000685,west,china tibet,unassessed,false
KV000686,famous,beijing great wall,unassessed,false
KV000687,temple,old visited,unassessed,false
KV000689,the Yangtze River,long,unassessed,false
KV000690,foggy,morning,unassessed,false
KV000691,spicy,food sichuan,unassessed,false
KV000694,stone,bridge made,unassessed,false
KV000695,London,uk,unassessed,false
KV000696,Toronto,canada city,unassessed,false
KV000697,Sydney,australia city,unassessed,false
KV000698,Washington D.C.,usa,unassessed,false
KV000699,the British Museum,london,unassessed,false
KV000700,the CN Tower,toronto,unassessed,false
KV000701,kangaroo,australia live,unassessed,false
KV000703,the White House,c d washington,unassessed,false
KV000704,clock,wall,unassessed,false
KV000707,Tower Bridge,london,unassessed,false
KV000709,hiking,hills went,unassessed,false
KV000710,sunrise,hill watched,unassessed,false
KV000712,reptile,snake,unassessed,false
KV000713,mammal,whale,unassessed,false
KV000714,insect,bee,unassessed,false
KV000715,penguin,swim well,unassessed,false
KV000716,shark,lives sea,unassessed,false
KV000717,whale,large mammal,unassessed,false
KV000719,metre,long one,unassessed,false
KV000720,spend,beijing days two,unassessed,false
KV000722,peanut,eat elephants,unassessed,false
KV000724,tusk,elephant two,unassessed,false
KV000725,Africa,elephants live,unassessed,false
KV000726,Asia,china,unassessed,false
KV000727,smart,elephants,unassessed,false
KV000728,scared,big dog,unassessed,false
KV000729,worried,mum,unassessed,false
KV000730,angry,dad,unassessed,false
KV000731,proud,parents,unassessed,false
KV000732,excited,trip,unassessed,false
KV000733,ill,yesterday,unassessed,false
KV000734,win,class hope,unassessed,false
KV000735,race,sunday,unassessed,false
KV000736,cry,began boy little,unassessed,false
KV000738,test,english tomorrow,unassessed,false
KV000739,competition,won writing,unassessed,false
KV000740,inventor,machine made new,unassessed,false
KV000741,artist,beautiful paints pictures,unassessed,false
KV000742,scientist,animals studies,unassessed,false
KV000743,poet,poems wrote,unassessed,false
KV000747,poem,class read,unassessed,false
KV000748,invention,changed lives people's,unassessed,false
KV000749,invent,machine,unassessed,false
KV000750,story,interesting,unassessed,false
KV000751,university,famous studied,unassessed,false
KV000752,deaf,became girl young,unassessed,false
KV000753,blind,independent,unassessed,false
KV000754,fall,autumn leaves,unassessed,false
KV000755,dumpling,eat festival spring,unassessed,false
KV000756,ice lantern,beautiful saw,unassessed,false
KV000757,bring,book please tomorrow,unassessed,false
KV000759,hear,birds,unassessed,false
KV000760,pen pal,canada lives,unassessed,false
KV000761,broken,pen,unassessed,false
KV000763,prize,first won,unassessed,false
KV000764,live,big city,unassessed,false
KV000765,quite,beautiful city,unassessed,false
KV000766,scarf,wear winter,unassessed,false
KV000767,airport,big,unassessed,false
KV000768,pupil,primary school,unassessed,false
KV000769,arrive,toronto yesterday,unassessed,false
KV000770,meet,school,unassessed,false
KV000771,wardrobe,clothes,unassessed,false
KV000772,show ... around,school,unassessed,false
KV000773,Queen's Park,visited yesterday,unassessed,false
KV000774,art gallery,paintings saw,unassessed,false
KV000775,public library,books read,unassessed,false
KV000776,downtown,subway took,unassessed,false
KV000777,Lake Ontario,beside toronto,unassessed,false
KV000778,stadium,game watched,unassessed,false
KV000780,sandwich,lunch,unassessed,false
KV000781,top,tower went,unassessed,false
KV000782,habit,day good reading,unassessed,false
KV000783,idea,good,unassessed,false
KV000784,less,rice want,unassessed,false
