Word,MeaningPrimary,ExampleSentence,ExampleTranslation
started to speak,开始说话,I started to speak when I was one.,我一岁时开始说话。
learned to walk,学会走路,I learned to walk when I was one.,我一岁时学会走路。
learned to ride a bike,学会骑自行车,I learned to ride a bike at six.,我六岁时学会骑自行车。
went to kindergarten,上幼儿园；去了幼儿园,I went to kindergarten at three.,我三岁时上幼儿园。
went to school,上学；开始上学,I went to school at six.,我六岁时开始上学。
learned to swim,学会游泳,I learned to swim at seven.,我七岁时学会游泳。
fifteenth,第十五,Today is the fifteenth day.,今天是第十五天。
15th,第十五（fifteenth的缩写）,Today is the 15th.,今天是十五号。
started to buy things,开始买东西,I started to buy things by myself.,我开始自己买东西。
started to study English,开始学习英语,I started to study English at six.,我六岁开始学英语。
started to use a computer,开始使用电脑,I started to use a computer at eight.,我八岁开始使用电脑。
all over,到处；遍及,There was water all over the floor.,地板上到处都是水。
out of,从……出来,The cat jumped out of the box.,猫从盒子里跳了出来。
into,进入；到……里面,The frog jumped into the water.,青蛙跳进了水里。
chopsticks,筷子,I eat noodles with chopsticks.,我用筷子吃面条。
wet,湿的,My shoes are wet.,我的鞋湿了。
