Word,MeaningPrimary,ExampleSentence,ExampleTranslation
penguin,企鹅,Penguins can swim well.,企鹅很会游泳。
shark,鲨鱼,A shark lives in the sea.,鲨鱼生活在海里。
whale,鲸,A whale is a large mammal.,鲸是一种大型哺乳动物。
kind,种类；类型,What kind of animal is it?,它是哪一种动物？
metre,米,The whale is ten metres long.,这条鲸有十米长。
spend,花费；度过,We spent two days in Beijing.,我们在北京度过了两天。
trunk,象鼻；树干,An elephant has a long trunk.,大象有长鼻子。
peanut,花生,Elephants can eat peanuts.,大象可以吃花生。
fan,扇子,Its ears are like big fans.,它的耳朵像大扇子。
tusk,象牙；长牙,An elephant has two tusks.,大象有两根象牙。
Africa,非洲,Many elephants live in Africa.,许多大象生活在非洲。
Asia,亚洲,China is in Asia.,中国在亚洲。
smart,聪明的；机灵的,Elephants are very smart.,大象很聪明。
scared,害怕的,I was scared of the big dog.,我害怕那只大狗。
worried,担心的,Mum was worried about me.,妈妈很担心我。
angry,生气的,Dad was angry with me.,爸爸生我的气。
proud,自豪的,My parents are proud of me.,我的父母为我自豪。
excited,兴奋的；激动的,I was excited about the trip.,我对这次旅行很兴奋。
ill,生病的,She was ill yesterday.,她昨天生病了。
win,赢；获胜,I hope our class can win.,我希望我们班能赢。
race,比赛；赛跑,He won the running race.,他赢得了赛跑。
cry,哭；哭泣,The little boy began to cry.,小男孩开始哭。
because,因为,I was happy because we won.,因为我们赢了，所以我很高兴。
test,考试；测试,I have an English test tomorrow.,我明天有英语考试。
competition,比赛；竞赛,She won the writing competition.,她赢得了写作比赛。
inventor,发明家,The inventor made a new machine.,这位发明家制造了一台新机器。
artist,艺术家,The artist paints beautiful pictures.,这位艺术家画漂亮的画。
scientist,科学家,The scientist studies animals.,这位科学家研究动物。
poet,诗人,The poet wrote many poems.,这位诗人写了很多诗。
writer,作家,The writer wrote this story.,这位作家写了这个故事。
American,美国的；美国人,He is an American writer.,他是一位美国作家。
Danish,丹麦的；丹麦语,He was a Danish writer.,他是一位丹麦作家。
poem,诗,We read a poem in class.,我们在课堂上读了一首诗。
invention,发明；发明物,This invention changed people's lives.,这项发明改变了人们的生活。
invent,发明,Who invented this machine?,谁发明了这台机器？
story,故事,This story is very interesting.,这个故事很有趣。
university,大学,She studied at a famous university.,她在一所著名大学学习。
deaf,聋的；失聪的,The girl became deaf when she was young.,这个女孩小时候失聪了。
blind,盲的；失明的,He is blind but very independent.,他虽然失明但很独立。
fall,落下；跌倒,Leaves fall in autumn.,树叶在秋天落下。
dumpling,饺子,We eat dumplings at Spring Festival.,我们春节吃饺子。
ice lantern,冰灯,We saw beautiful ice lanterns.,我们看到了漂亮的冰灯。
bring,带来,Please bring your book tomorrow.,请明天带上你的书。
be afraid of,害怕,I am not afraid of dogs.,我不怕狗。
hear,听见；听到,I can hear the birds.,我能听见鸟叫。
pen pal,笔友,My pen pal lives in Canada.,我的笔友住在加拿大。
broken,坏的；破损的,My pen is broken.,我的钢笔坏了。
pity,遗憾；可惜,What a pity!,真遗憾！
prize,奖品；奖项,She won first prize.,她获得了一等奖。
