NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001122,Plants grow in soil.,植物生长在土壤中。,model-curated,grade5-6-learner-content-v1
KV001123,The boy draws an alien.,这个男孩画了一个外星生物。,model-curated,grade5-6-learner-content-v1
KV001124,The rover moves on Mars.,探测器在火星上移动。,model-curated,grade5-6-learner-content-v1
KV001125,We look at the Moon through a telescope.,我们用望远镜看月球。,model-curated,grade5-6-learner-content-v1
KV001126,The astronaut works in space.,宇航员在太空工作。,model-curated,grade5-6-learner-content-v1
KV001127,The spaceship goes to space.,宇宙飞船飞向太空。,model-curated,grade5-6-learner-content-v1
KV001128,A month has about thirty days.,一个月大约有三十天。,model-curated,grade5-6-learner-content-v1
KV001129,The taikonaut works in space.,中国航天员在太空工作。,model-curated,grade5-6-learner-content-v1
KV001130,This cloth is soft.,这块布很柔软。,model-curated,grade5-6-learner-content-v1
KV001131,I use toothpaste every day.,我每天使用牙膏。,model-curated,grade5-6-learner-content-v1
KV001132,Please answer the question.,请回答这个问题。,model-curated,grade5-6-learner-content-v1
KV001133,The sunset is beautiful.,日落很美。,model-curated,grade5-6-learner-content-v1
KV001134,I read it three times.,我读了三遍。,model-curated,grade5-6-learner-content-v1
KV001135,Mars is a planet.,火星是一颗行星。,model-curated,grade5-6-learner-content-v1
KV001136,The wind gives us power.,风给我们提供能量。,model-curated,grade5-6-learner-content-v1
KV001137,We use electricity every day.,我们每天用电。,model-curated,grade5-6-learner-content-v1
KV001138,We use solar power.,我们使用太阳能。,model-curated,grade5-6-learner-content-v1
KV001139,What type is it?,它是什么类型？,model-curated,grade5-6-learner-content-v1
KV001140,Food gives us energy.,食物给我们能量。,model-curated,grade5-6-learner-content-v1
KV001141,A lamp can light the room.,一盏灯可以照亮房间。,model-curated,grade5-6-learner-content-v1
KV001142,The wind cools the room.,风使房间变凉。,model-curated,grade5-6-learner-content-v1
KV001143,The computer runs well.,这台电脑运行得很好。,model-curated,grade5-6-learner-content-v1
KV001144,Water is an important resource.,水是一种重要资源。,model-curated,grade5-6-learner-content-v1
KV001145,Our water may run out.,我们的水可能会用完。,model-curated,grade5-6-learner-content-v1
KV001146,We can change the plan.,我们可以改变计划。,model-curated,grade5-6-learner-content-v1
KV001147,That was a quick game.,那是一场很快的比赛。,model-curated,grade5-6-learner-content-v1
KV001148,I take a shower at night.,我晚上洗淋浴。,model-curated,grade5-6-learner-content-v1
KV001149,Please unplug the TV.,请拔掉电视机的电源插头。,model-curated,grade5-6-learner-content-v1
KV001150,I can see the difference.,我能看出不同。,model-curated,grade5-6-learner-content-v1
KV001151,We can reduce waste.,我们可以减少浪费。,model-curated,grade5-6-learner-content-v1
KV001152,Please turn on the air conditioner.,请打开空调。,model-curated,grade5-6-learner-content-v1
KV001153,My dad can drive.,我爸爸会开车。,model-curated,grade5-6-learner-content-v1
KV001154,We can reuse this bottle.,我们可以重复使用这个瓶子。,model-curated,grade5-6-learner-content-v1
KV001155,I have my own room.,我有自己的房间。,model-curated,grade5-6-learner-content-v1
KV001156,We buy fruit at the market.,我们在市场买水果。,model-curated,grade5-6-learner-content-v1
KV001157,This bottle is full of water.,这个瓶子装满了水。,model-curated,grade5-6-learner-content-v1
KV001158,She is a top student.,她是一名顶尖的学生。,model-curated,grade5-6-learner-content-v1
KV001159,This book is useful.,这本书很有用。,model-curated,grade5-6-learner-content-v1
KV001160,Sit on this side.,坐在这一边。,model-curated,grade5-6-learner-content-v1
KV001161,The dinosaur was very big.,这只恐龙以前很大。,model-curated,grade5-6-learner-content-v1
KV001162,We meet in the hall.,我们在大厅见面。,model-curated,grade5-6-learner-content-v1
KV001163,Tom is taller than me.,汤姆比我高。,model-curated,grade5-6-learner-content-v1
KV001164,This bag is one kilogram.,这个包重一千克。,model-curated,grade5-6-learner-content-v1
KV001165,I can see my shadow.,我能看见自己的影子。,model-curated,grade5-6-learner-content-v1
KV001166,The sky becomes dark.,天空变暗了。,model-curated,grade5-6-learner-content-v1
KV001167,I had a cold last week.,我上周感冒了。,model-curated,grade5-6-learner-content-v1
KV001168,I read a science magazine.,我读一本科学杂志。,model-curated,grade5-6-learner-content-v1
KV001169,The lamp is on my desk.,台灯在我的书桌上。,model-curated,grade5-6-learner-content-v1
KV001170,We camp here.,我们在这里野营。,model-curated,grade5-6-learner-content-v1
KV001172,We fish here.,我们在这里钓鱼。,model-curated,grade5-6-learner-content-v1
KV001174,We took pictures at the park.,我们在公园拍了照片。,model-curated,grade5-6-learner-content-v1
KV001175,This gift is for you.,这份礼物是给你的。,model-curated,grade5-6-learner-content-v1
KV001176,My hat came off.,我的帽子掉下来了。,model-curated,grade5-6-learner-content-v1
KV001177,The mule is strong.,这头骡子很强壮。,model-curated,grade5-6-learner-content-v1
KV001178,We went to Turpan.,我们去了吐鲁番。,model-curated,grade5-6-learner-content-v1
KV001179,Wait here till five.,在这里等到五点。,model-curated,grade5-6-learner-content-v1
KV001180,We played on the beach.,我们在海滩上玩。,model-curated,grade5-6-learner-content-v1
KV001181,The apples are in the basket.,苹果在篮子里。,model-curated,grade5-6-learner-content-v1
KV001182,I play the part of a doctor.,我扮演医生这个角色。,model-curated,grade5-6-learner-content-v1
KV001183,We eat in the dining hall.,我们在饭厅吃饭。,model-curated,grade5-6-learner-content-v1
KV001184,We play basketball in the gym.,我们在体育馆打篮球。,model-curated,grade5-6-learner-content-v1
KV001185,I saw him two days ago.,我两天前见过他。,model-curated,grade5-6-learner-content-v1
KV001186,I like cycling.,我喜欢骑自行车。,model-curated,grade5-6-learner-content-v1
KV001187,We go cycling on Sunday.,我们星期天去骑自行车。,model-curated,grade5-6-learner-content-v1
KV001188,I can ice-skate now.,我现在会滑冰了。,model-curated,grade5-6-learner-content-v1
KV001189,Look it up.,查一下它。,model-curated,grade5-6-learner-content-v1
KV001190,We use the Internet at home.,我们在家使用互联网。,model-curated,grade5-6-learner-content-v1
KV001191,There is nothing in the box.,盒子里什么都没有。,model-curated,grade5-6-learner-content-v1
KV001192,This is a cheetah.,这是一只猎豹。,model-curated,grade5-6-learner-content-v1
KV001193,"Be careful, or you may trip.",小心，不然你可能会绊倒。,model-curated,grade5-6-learner-content-v1
KV001194,I had a funny dream.,我做了一个有趣的梦。,model-curated,grade5-6-learner-content-v1
