NoteID,LearnerProfile,LearnerLevel,PromptHint,ExampleSentence,ExampleTranslation,PresentationStatus,PresentationSource
KV000098,klose,4,,Is this your ruler or mine?,这是你的尺子还是我的？,grade4-reviewed,klose:grade4_full_review_a
KV000099,klose,4,,My father usually drives me to school.,我爸爸通常开车送我上学。,grade4-reviewed,klose:grade4_full_review_a
KV000100,klose,4,,My mother likes reading after dinner.,我妈妈喜欢晚饭后读书。,grade4-reviewed,klose:grade4_full_review_a
KV000101,klose,4,,My brother and I play basketball after school.,我和哥哥（弟弟）放学后打篮球。,grade4-reviewed,klose:grade4_full_review_a
KV000102,klose,4,,My sister is drawing a picture in her room.,我姐姐（妹妹）正在房间里画画。,grade4-reviewed,klose:grade4_full_review_a
KV000103,klose,4,,My grandmother reads with me before bed.,我奶奶（外婆）睡前和我一起读书。,grade4-reviewed,klose:grade4_full_review_a
KV000104,klose,4,,My grandfather walks in the park every morning.,我爷爷（外公）每天早上在公园散步。,grade4-reviewed,klose:grade4_full_review_a
KV000105,klose,4,,Who is the boy standing by the door?,站在门边的那个男孩是谁？,grade4-reviewed,klose:grade4_full_review_a
KV000106,klose,4,,He usually goes to school by bus.,他通常坐公交车上学。,grade4-reviewed,klose:grade4_full_review_a
KV000107,klose,4,,She likes reading books after school.,她喜欢放学后读书。,grade4-reviewed,klose:grade4_full_review_a
KV000108,klose,4,,My classmate and I play basketball after school.,我和同班同学放学后打篮球。,grade4-reviewed,klose:grade4_full_review_a
KV000109,klose,4,,My friend and I read books after school.,我和朋友放学后一起读书。,grade4-reviewed,klose:grade4_full_review_a
KV000110,klose,4,,The woman near the door is our teacher.,门边的那位女士是我们的老师。,grade4-reviewed,klose:grade4_full_review_a
KV000111,klose,4,,The girl in the blue dress is my classmate.,穿蓝色连衣裙的女孩是我的同班同学。,grade4-reviewed,klose:grade4_full_review_a
KV000112,klose,4,,The man near the school is my father.,学校附近的那个男人是我爸爸。,grade4-reviewed,klose:grade4_full_review_a
KV000113,klose,4,,The boy with the red schoolbag is my friend.,背红色书包的男孩是我的朋友。,grade4-reviewed,klose:grade4_full_review_a
KV000114,klose,4,,Look at the words on the blackboard.,看黑板上的单词。,grade4-reviewed,klose:grade4_full_review_a
KV000115,klose,4,,His schoolbag is under the desk.,他的书包在课桌下面。,grade4-reviewed,klose:grade4_full_review_a
KV000116,klose,4,,Her name is on the first page of the book.,她的名字在书的第一页上。,grade4-reviewed,klose:grade4_full_review_a
KV000117,klose,4,,Her blue pencil is on my desk.,她的蓝色铅笔在我的课桌上。,grade4-reviewed,klose:grade4_full_review_a
KV000118,klose,4,,Is he tall or short?,他是高还是矮？,migrated-curated,rj_start1:curation
KV000119,klose,4,,Our school is big and has many classrooms.,我们学校很大，有很多教室。,grade4-reviewed,klose:grade4_full_review_a
KV000120,klose,4,,My father is taller than my mother.,我爸爸比我妈妈高。,grade4-reviewed,klose:grade4_full_review_a
KV000121,klose,4,,She looks pretty in that red dress.,她穿那条红色连衣裙很好看。,grade4-reviewed,klose:grade4_full_review_a
KV000122,klose,4,,My brother is tall and thin.,我哥哥（弟弟）又高又瘦。,grade4-reviewed,klose:grade4_full_review_a
KV000123,klose,4,,This ruler is too short for the desk.,这把尺子对这张课桌来说太短了。,grade4-reviewed,klose:grade4_full_review_a
KV000124,klose,4,,My uncle looks handsome in his new shirt.,我叔叔穿新衬衫看起来很帅。,grade4-reviewed,klose:grade4_full_review_a
KV000125,klose,4,,I got a new schoolbag for the new term.,新学期我有了一个新书包。,grade4-reviewed,klose:grade4_overrides
KV000126,klose,4,,Does he like cats?,他喜欢猫吗？,migrated-curated,rj_start1:curation
KV000127,klose,4,,There is a small bookshop near our school.,我们学校附近有一家小书店。,grade4-reviewed,klose:grade4_full_review_a
KV000128,klose,4,,We can see tigers and monkeys at the zoo.,我们在动物园能看到老虎和猴子。,grade4-reviewed,klose:grade4_full_review_a
KV000129,klose,4,,I walk to school with my friend every day.,我每天和朋友一起走路上学。,grade4-reviewed,klose:grade4_full_review_a
KV000130,klose,4,,There is a supermarket near my home.,我家附近有一家超市。,grade4-reviewed,klose:grade4_full_review_a
KV000131,klose,4,,We play football in the park after school.,我们放学后在公园踢足球。,grade4-reviewed,klose:grade4_full_review_a
KV000132,klose,4,,The hospital is near the supermarket.,医院在超市附近。,grade4-reviewed,klose:grade4_full_review_a
KV000133,klose,4,,Let's go to the park.,我们去公园吧。,migrated-curated,rj_start1:curation
KV000134,klose,4,,Let's go to school.,我们去学校吧。,migrated-curated,rj_start1:curation
KV000135,klose,4,,Please don't walk on the grass.,请不要踩草地。,grade4-reviewed,klose:grade4_full_review_a
KV000136,klose,4,,A bird is sitting in the tall tree.,一只鸟正停在那棵高树上。,grade4-reviewed,klose:grade4_full_review_a
KV000137,klose,4,,There are many flowers near the lake.,湖边有很多花。,grade4-reviewed,klose:grade4_full_review_a
KV000138,klose,4,,We can see a small boat on the lake.,我们能看到湖上有一条小船。,grade4-reviewed,klose:grade4_full_review_a
KV000139,klose,4,,We walked around the lake after lunch.,午饭后我们绕着湖散步。,grade4-reviewed,klose:grade4_full_review_a
KV000140,klose,4,,We climbed the hill on Sunday morning.,星期日早上我们爬了小山。,grade4-reviewed,klose:grade4_full_review_a
KV000141,klose,4,,Merry Christmas!,圣诞快乐！,migrated-curated,rj_start1:curation
KV000142,klose,4,,Father Christmas puts presents under the tree.,圣诞老人把礼物放在树下。,grade4-reviewed,klose:grade4_full_review_a
KV000143,klose,4,,We put cards and presents under the Christmas tree.,我们把贺卡和礼物放在圣诞树下。,grade4-reviewed,klose:grade4_full_review_a
KV000144,klose,4,,I made a birthday card for my friend.,我给朋友做了一张生日贺卡。,grade4-reviewed,klose:grade4_full_review_a
KV000145,klose,4,,I opened my birthday present after dinner.,晚饭后我打开了生日礼物。,grade4-reviewed,klose:grade4_full_review_a
KV000146,klose,4,,Happy New Year!,新年快乐！,migrated-curated,rj_start1:curation
KV000147,klose,4,,Merry Christmas!,圣诞快乐！,migrated-curated,rj_start1:curation
KV000148,klose,4,,This box is too heavy for me to carry.,这个箱子太重了，我搬不动。,grade4-reviewed,klose:grade4_overrides
KV000149,klose,4,,Come here and look at this picture.,到这里来看看这张图片。,grade4-reviewed,klose:grade4_full_review_a
KV000150,klose,4,,I made this card for my mother.,我为妈妈做了这张卡片。,grade4-reviewed,klose:grade4_full_review_a
KV000151,klose,4,,Thank you.,谢谢你。,migrated-curated,rj_start1:curation
KV000152,klose,4,,Happy New Year!,新年快乐！,migrated-curated,rj_start1:curation
KV000153,klose,4,,I play football after school.,我放学后踢足球。,migrated-curated,rj_start1:curation
KV000154,klose,4,,We often fly a kite in the park on windy days.,有风的日子我们经常在公园放风筝。,grade4-reviewed,klose:grade4_full_review_b
KV000155,klose,4,,I often ride a bike in the park after school.,我放学后经常在公园骑自行车。,grade4-reviewed,klose:grade4_overrides
KV000156,klose,4,,I make a model plane with my friend after school.,放学后我和朋友一起做飞机模型。,grade4-reviewed,klose:grade4_full_review_b
KV000157,klose,4,,We swim at the sports centre on Saturdays.,我们星期六在体育中心游泳。,grade4-reviewed,klose:grade4_overrides
KV000158,klose,4,,Let's make a snowman.,我们来堆雪人吧。,migrated-curated,rj_start1:curation
KV000159,klose,4,,I can't swim.,我不会游泳。,migrated-curated,rj_start1:curation
KV000160,klose,4,,We stay inside and read on rainy days.,下雨天我们待在室内读书。,grade4-reviewed,klose:grade4_overrides
KV000161,klose,4,,"The sky is cloudy, but it is not cold.",天空多云，但并不冷。,grade4-reviewed,klose:grade4_overrides
KV000162,klose,4,,We made a snowman on a snowy morning.,一个下雪的早晨我们堆了雪人。,grade4-reviewed,klose:grade4_overrides
KV000163,klose,4,,"It is windy, so hold your hat.",风很大，所以扶好你的帽子。,grade4-reviewed,klose:grade4_overrides
KV000164,klose,4,,We went for a picnic on a sunny day.,一个晴天我们去野餐了。,grade4-reviewed,klose:grade4_overrides
KV000165,klose,4,,Take an umbrella because it may rain.,带把雨伞吧，因为可能会下雨。,grade4-reviewed,klose:grade4_overrides
KV000166,klose,4,,How is the weather?,天气怎么样？,migrated-curated,rj_start1:curation
KV000167,klose,4,,Wow this model plane is great!,哇，这个飞机模型真棒！,grade4-reviewed,klose:grade4_full_review_b
KV000168,klose,4,,Let's go to the park.,我们去公园吧。,migrated-curated,rj_start1:curation
KV000169,klose,4,,We often fly kites in spring.,春天我们经常放风筝。,grade4-reviewed,klose:grade4_overrides
KV000170,klose,4,,I like swimming with my friends in summer.,夏天我喜欢和朋友们一起游泳。,grade4-reviewed,klose:grade4_overrides
KV000171,klose,4,,The leaves turn yellow in autumn.,秋天树叶变黄。,grade4-reviewed,klose:grade4_overrides
KV000172,klose,4,,We make snowmen in winter with our friends.,冬天我们和朋友们一起堆雪人。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000173,klose,4,,It is too hot to play outside at noon.,中午太热，不适合在外面玩。,grade4-reviewed,klose:grade4_overrides
KV000174,klose,4,,It is warm today.,今天很暖和。,grade4-reviewed,klose:actual_grade4_reuse_overrides
KV000175,klose,4,,It is cool enough to walk outside this evening.,今晚天气很凉爽，适合出去走走。,grade4-reviewed,klose:grade4_overrides
KV000176,klose,4,,Put on your coat because it is cold outside.,外面很冷，把外套穿上。,grade4-reviewed,klose:grade4_overrides
KV000177,klose,4,,Spring is my favourite season.,春天是我最喜欢的季节。,migrated-curated,rj_start1:curation
KV000178,klose,4,,What is your favourite season?,你最喜欢哪个季节？,migrated-curated,rj_start1:curation
KV000179,klose,4,,There are eleven players on a football team.,一支足球队有十一名队员。,grade4-reviewed,klose:grade4_overrides
KV000180,klose,4,,There are twelve months in a year.,一年有十二个月。,grade4-reviewed,klose:grade4_overrides
KV000181,klose,4,,Our class has twenty students today.,我们班今天有二十名学生。,grade4-reviewed,klose:grade4_overrides
KV000182,klose,4,,Our class has thirty students.,我们班有三十名学生。,grade4-reviewed,klose:grade4_full_review_b
KV000183,klose,4,,There are forty chairs in our classroom.,我们的教室里有四十把椅子。,grade4-reviewed,klose:grade4_full_review_b
KV000184,klose,4,,The library has fifty books for children.,图书馆有五十本给孩子们看的书。,grade4-reviewed,klose:grade4_full_review_b
KV000185,klose,4,,My cousin is thirteen years old.,我的表哥十三岁。,grade4-reviewed,klose:grade4_overrides
KV000186,klose,4,,There are fourteen books on the desk.,桌子上有十四本书。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000187,klose,4,,We waited fifteen minutes for the bus.,我们等公交车等了十五分钟。,grade4-reviewed,klose:grade4_overrides
KV000188,klose,4,,What time is it?,几点了？,migrated-curated,rj_start1:curation
KV000189,klose,4,,We play football during playtime.,游戏时间我们踢足球。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000190,klose,4,,I usually get up at seven on school days.,上学日我通常七点起床。,grade4-reviewed,klose:grade4_full_review_b
KV000191,klose,4,,I eat breakfast before I go to school.,我上学前吃早饭。,grade4-reviewed,klose:grade4_full_review_b
KV000192,klose,4,,I usually go to school by bus.,我通常坐公交车上学。,grade4-reviewed,klose:grade4_full_review_b
KV000193,klose,4,,I eat lunch with my classmates at school.,我在学校和同学们一起吃午饭。,grade4-reviewed,klose:grade4_full_review_b
KV000194,klose,4,,I usually go home after school at five.,我通常放学后五点回家。,grade4-reviewed,klose:grade4_full_review_b
KV000195,klose,4,,My family eats dinner at home every evening.,我们一家每天晚上在家吃晚饭。,grade4-reviewed,klose:grade4_full_review_b
KV000196,klose,4,,I usually go to bed before nine.,我通常九点前上床睡觉。,grade4-reviewed,klose:grade4_full_review_b
KV000197,klose,4,,When do you get up?,你什么时候起床？,migrated-curated,rj_start1:curation
KV000198,klose,4,,I read English for ten minutes every day.,我每天读十分钟英语。,grade4-reviewed,klose:grade4_full_review_b
KV000199,klose,4,,I get up at seven.,我七点起床。,migrated-curated,rj_start1:curation
KV000200,klose,4,,We visit my grandparents on Sunday.,我们星期日去看望祖父母。,grade4-reviewed,klose:grade4_overrides
KV000201,klose,4,,We have English and music on Monday.,我们星期一有英语课和音乐课。,grade4-reviewed,klose:grade4_overrides
KV000202,klose,4,,I go to the drawing club on Tuesday.,我星期二去绘画社团。,grade4-reviewed,klose:grade4_overrides
KV000203,klose,4,,We play basketball after school on Wednesday.,我们星期三放学后打篮球。,grade4-reviewed,klose:grade4_overrides
KV000204,klose,4,,I read in the library on Thursday afternoon.,我星期四下午在图书馆读书。,grade4-reviewed,klose:grade4_overrides
KV000205,klose,4,,We have PE class on Friday afternoon.,我们星期五下午有体育课。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000206,klose,4,,My family goes to the park on Saturday.,我们一家星期六去公园。,grade4-reviewed,klose:grade4_overrides
KV000207,klose,4,,I have English homework to do today.,我今天有英语作业要做。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000208,klose,4,,There are twelve months in a year.,一年有十二个月。,grade4-reviewed,klose:grade4_full_review_b
KV000209,klose,4,,How old are you?,你几岁？,migrated-curated,rj_start1:curation
KV000210,klose,4,,How old is your sister?,你妹妹几岁？,migrated-curated,rj_start1:curation
KV000211,klose,4,,There are twenty students in our class.,我们班有二十名学生。,grade4-reviewed,klose:grade4_full_review_b
KV000212,klose,4,,I am in Grade Four this year.,我今年上四年级。,grade4-reviewed,klose:grade4_full_review_b
KV000213,klose,4,,What is your name and age?,你叫什么名字，多大了？,grade4-reviewed,klose:grade4_full_review_b
KV000214,klose,4,,Dear Amy thank you for your birthday card.,亲爱的艾米，谢谢你的生日贺卡。,grade4-reviewed,klose:grade4_full_review_b
KV000215,klose,4,,Playing sports helps keep my body strong.,运动有助于让我的身体保持强壮。,grade4-reviewed,klose:grade4_full_review_b
KV000216,klose,4,,My head hurts.,我的头疼。,migrated-curated,rj_start1:curation
KV000217,klose,4,,Her hair is long.,她的头发很长。,migrated-curated,rj_start1:curation
KV000218,klose,4,,My arm hurts.,我的手臂疼。,migrated-curated,rj_start1:curation
KV000219,klose,4,,Raise your hand if you know the answer.,如果你知道答案，就举手。,grade4-reviewed,klose:grade4_overrides
KV000220,klose,4,,My leg hurts after running.,跑步后我的腿疼。,grade4-reviewed,klose:grade4_full_review_b
KV000221,klose,4,,My right foot hurts after football.,踢足球后我的右脚疼。,grade4-reviewed,klose:grade4_full_review_b
KV000222,klose,4,,My feet are cold after walking in the snow.,在雪地里走过以后我的脚很冷。,grade4-reviewed,klose:grade4_full_review_b
KV000223,klose,4,,What's the matter?,怎么了？,migrated-curated,rj_start1:curation
KV000224,klose,4,,My leg hurts.,我的腿疼。,migrated-curated,rj_start1:curation
KV000225,klose,4,,Can I help you?,我能帮你吗？,migrated-curated,rj_start1:curation
KV000226,klose,4,,Too much ice-cream is bad for your teeth.,吃太多冰淇淋对牙齿不好。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000227,klose,4,,Be careful because this dog may bite.,小心，因为这只狗可能会咬人。,grade4-reviewed,klose:grade4_full_review_b
KV000228,klose,4,,My tongue hurts.,我的舌头疼。,migrated-curated,rj_start1:curation
KV000229,klose,4,,Don't kick the ball here.,不要在这里踢球。,migrated-curated,rj_start1:curation
KV000230,klose,4,,I usually read English for ten minutes every morning.,我通常每天早晨读十分钟英语。,grade4-reviewed,klose:grade4_overrides
KV000231,klose,4,,We have PE class on Friday afternoon.,我们星期五下午有体育课。,grade4-reviewed,klose:grade4_overrides
KV000232,klose,4,,This is a short summary of our class.,这是我们课堂内容的简短总结。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000233,klose,4,,I have bread and milk for breakfast.,我早餐吃面包、喝牛奶。,grade4-reviewed,klose:grade4_full_review_b
KV000234,klose,4,,We shared a chocolate cake at the birthday party.,我们在生日聚会上分享了一个巧克力蛋糕。,grade4-reviewed,klose:grade4_overrides
KV000235,klose,4,,I eat some fruit after dinner every day.,我每天晚饭后吃一些水果。,grade4-reviewed,klose:grade4_overrides
KV000236,klose,4,,We bought ice-cream after playing in the park.,我们在公园玩过之后买了冰淇淋。,grade4-reviewed,klose:grade4_overrides
KV000237,klose,4,,We need two potatoes for dinner.,我们晚饭需要两个土豆。,grade4-reviewed,klose:grade4_full_review_b
KV000238,klose,4,,I put a tomato in my lunch box.,我在午餐盒里放了一个西红柿。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000239,klose,4,,We do not eat much meat at home.,我们在家不吃很多肉。,grade4-reviewed,klose:grade4_full_review_b
KV000240,klose,4,,Milk and eggs are on my shopping list.,牛奶和鸡蛋在我的购物清单上。,grade4-reviewed,klose:grade4_guardrail_overrides
KV000241,klose,4,,I don't like cola.,我不喜欢可乐。,migrated-curated,rj_start1:curation
