NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV001050,We make a cup with clay.,我们用黏土做一个杯子。,model-curated,grade5-6-learner-content-v1
KV001051,I can see a bird.,我能看见一只鸟。,model-curated,grade5-6-learner-content-v1
KV001052,My grandpa lives in a village.,我爷爷住在一个村庄里。,model-curated,grade5-6-learner-content-v1
KV001053,We eat lunch at school.,我们在学校吃午饭。,model-curated,grade5-6-learner-content-v1
KV001054,My clothes are dry.,我的衣服干了。,model-curated,grade5-6-learner-content-v1
KV001055,We took a walk after dinner.,我们晚饭后散了步。,model-curated,grade5-6-learner-content-v1
KV001056,The view is beautiful.,景色很美。,model-curated,grade5-6-learner-content-v1
KV001057,Her story is inspiring.,她的故事鼓舞人心。,model-curated,grade5-6-learner-content-v1
KV001058,The pumpkin is orange.,这个南瓜是橙色的。,model-curated,grade5-6-learner-content-v1
KV001059,My friend is from New Zealand.,我的朋友来自新西兰。,model-curated,grade5-6-learner-content-v1
KV001060,We visited the Hong Kong-Zhuhai-Macao Bridge.,我们参观了港珠澳大桥。,model-curated,grade5-6-learner-content-v1
KV001061,Paris is a beautiful city.,巴黎是一座美丽的城市。,model-curated,grade5-6-learner-content-v1
KV001062,The Eiffel Tower is in Paris.,埃菲尔铁塔在巴黎。,model-curated,grade5-6-learner-content-v1
KV001063,We saw the Terracotta Warriors.,我们看到了兵马俑。,model-curated,grade5-6-learner-content-v1
KV001064,We visited the Jinggangshan Revolution Museum.,我们参观了井冈山革命博物馆。,model-curated,grade5-6-learner-content-v1
KV001065,We learned about the Red Army.,我们了解了红军。,model-curated,grade5-6-learner-content-v1
KV001066,Paste the picture here.,把图片粘贴在这里。,model-curated,grade5-6-learner-content-v1
KV001067,I can dress myself.,我会自己穿衣服。,model-curated,grade5-6-learner-content-v1
KV001068,We watched the school gala.,我们观看了学校庆典演出。,model-curated,grade5-6-learner-content-v1
KV001069,We count down from ten.,我们从十开始倒计时。,model-curated,grade5-6-learner-content-v1
KV001070,He ran a marathon.,他跑了一场马拉松。,model-curated,grade5-6-learner-content-v1
KV001071,She works as a teacher.,她是一名老师。,model-curated,grade5-6-learner-content-v1
KV001072,We cheer for our team.,我们为自己的队加油。,model-curated,grade5-6-learner-content-v1
KV001073,We buy books at the book fair.,我们在书市买书。,model-curated,grade5-6-learner-content-v1
KV001074,We make a kite.,我们做一个风筝。,model-curated,grade5-6-learner-content-v1
KV001075,I can sing this song.,我会唱这首歌。,model-curated,grade5-6-learner-content-v1
KV001076,I was at home yesterday.,我昨天在家。,model-curated,grade5-6-learner-content-v1
KV001077,Read the notice on the wall.,读一下墙上的通知。,model-curated,grade5-6-learner-content-v1
KV001078,I wake at seven.,我七点醒来。,model-curated,grade5-6-learner-content-v1
KV001079,I will call you later.,我过一会儿给你打电话。,model-curated,grade5-6-learner-content-v1
KV001080,The judge is ready.,裁判准备好了。,model-curated,grade5-6-learner-content-v1
KV001081,The class begins at eight.,课程八点开始。,model-curated,grade5-6-learner-content-v1
KV001082,She is the winner.,她是获胜者。,model-curated,grade5-6-learner-content-v1
KV001083,This is the best day ever.,这是有史以来最好的一天。,model-curated,grade5-6-learner-content-v1
KV001084,The game is exciting.,这个游戏令人激动。,model-curated,grade5-6-learner-content-v1
KV001085,I have a cold.,我感冒了。,model-curated,grade5-6-learner-content-v1
KV001086,I have a runny nose.,我流鼻涕。,model-curated,grade5-6-learner-content-v1
KV001087,He has a fever.,他发烧了。,model-curated,grade5-6-learner-content-v1
KV001088,I have a cough.,我咳嗽。,model-curated,grade5-6-learner-content-v1
KV001089,We discuss the plan together.,我们一起讨论这个计划。,model-curated,grade5-6-learner-content-v1
KV001090,A good diet helps us grow.,良好的日常饮食帮助我们成长。,model-curated,grade5-6-learner-content-v1
KV001091,Do not stay up late.,不要熬夜。,model-curated,grade5-6-learner-content-v1
KV001092,Can I have another one?,我可以再要一个吗？,model-curated,grade5-6-learner-content-v1
KV001093,This email is from Dad.,这封电子邮件是爸爸发来的。,model-curated,grade5-6-learner-content-v1
KV001094,She looks unhappy.,她看起来不开心。,model-curated,grade5-6-learner-content-v1
KV001095,It may rain today.,今天可能下雨。,model-curated,grade5-6-learner-content-v1
KV001096,"Add some water, please.",请加一些水。,model-curated,grade5-6-learner-content-v1
KV001097,We watch a short video.,我们看一个短视频。,model-curated,grade5-6-learner-content-v1
KV001098,I save my pocket money.,我把零花钱存起来。,model-curated,grade5-6-learner-content-v1
KV001099,These goods are cheap.,这些商品很便宜。,model-curated,grade5-6-learner-content-v1
