NoteID,ExampleSentence,ExampleTranslation,ContentStatus,ContentSource
KV000930,I sleep at night.,我晚上睡觉。,model-curated,grade5-6-learner-content-v1
KV000931,We visit Grandma on Sunday.,我们星期天去看奶奶。,model-curated,grade5-6-learner-content-v1
KV000932,My grandparent lives with us.,我的祖父母和我们住在一起。,model-curated,grade5-6-learner-content-v1
KV000933,He has the flu.,他得了流感。,model-curated,grade5-6-learner-content-v1
KV000934,What else do you want?,你还想要什么？,model-curated,grade5-6-learner-content-v1
KV000935,We have enough food.,我们有足够的食物。,model-curated,grade5-6-learner-content-v1
KV000936,"If it rains, I stay home.",如果下雨，我就待在家里。,model-curated,grade5-6-learner-content-v1
KV000937,This TV show is funny.,这个电视节目很有趣。,model-curated,grade5-6-learner-content-v1
KV000938,Then you can go home.,那么你可以回家了。,model-curated,grade5-6-learner-content-v1
KV000939,You can rest now.,你现在可以休息了。,model-curated,grade5-6-learner-content-v1
KV000940,I take care of my dog.,我照顾我的狗。,model-curated,grade5-6-learner-content-v1
KV000941,Please check your work.,请检查你的作业。,model-curated,grade5-6-learner-content-v1
KV000942,I brush my teeth.,我刷牙。,model-curated,grade5-6-learner-content-v1
KV000943,I have a bad tooth.,我有一颗坏牙。,model-curated,grade5-6-learner-content-v1
KV000944,I brush my teeth twice a day.,我一天刷两次牙。,model-curated,grade5-6-learner-content-v1
KV000945,We walk for one hour.,我们走一个小时。,model-curated,grade5-6-learner-content-v1
KV000946,I like beef.,我喜欢牛肉。,model-curated,grade5-6-learner-content-v1
KV000947,I have a little water.,我有一点水。,model-curated,grade5-6-learner-content-v1
KV000948,Mrs Li is my teacher.,李太太是我的老师。,model-curated,grade5-6-learner-content-v1
KV000949,This coconut is big.,这个椰子很大。,model-curated,grade5-6-learner-content-v1
KV000950,The seed is small.,这颗种子很小。,model-curated,grade5-6-learner-content-v1
KV000951,Pull the carrot out.,把胡萝卜拔出来。,model-curated,grade5-6-learner-content-v1
KV000952,The flower has a long stem.,这朵花有一根长长的茎。,model-curated,grade5-6-learner-content-v1
KV000953,The root is under the ground.,根在地下。,model-curated,grade5-6-learner-content-v1
KV000954,The lotus is pink.,莲花是粉色的。,model-curated,grade5-6-learner-content-v1
KV000955,The world is big.,世界很大。,model-curated,grade5-6-learner-content-v1
KV000956,The ball is round.,这个球是圆的。,model-curated,grade5-6-learner-content-v1
KV000957,This is a good way.,这是一个好方法。,model-curated,grade5-6-learner-content-v1
KV000958,The river is long.,这条河很长。,model-curated,grade5-6-learner-content-v1
KV000959,Nature is all around us.,大自然就在我们周围。,model-curated,grade5-6-learner-content-v1
KV000960,The waterfall is beautiful.,这个瀑布很美。,model-curated,grade5-6-learner-content-v1
KV000961,That mountain is high.,那座山很高。,model-curated,grade5-6-learner-content-v1
KV000962,The wind is strong.,风很大。,model-curated,grade5-6-learner-content-v1
KV000963,We had a good trip.,我们进行了一次愉快的旅行。,model-curated,grade5-6-learner-content-v1
KV000964,The rain is heavy.,雨下得很大。,model-curated,grade5-6-learner-content-v1
KV000965,Please close the door.,请关门。,model-curated,grade5-6-learner-content-v1
KV000966,I wear a raincoat.,我穿着雨衣。,model-curated,grade5-6-learner-content-v1
KV000967,Do not worry about me.,别担心我。,model-curated,grade5-6-learner-content-v1
KV000968,It is fine today.,今天天气晴朗。,model-curated,grade5-6-learner-content-v1
KV000969,There is fog this morning.,今天早上有雾。,model-curated,grade5-6-learner-content-v1
KV000970,There is a flood in the town.,镇上发生了洪水。,model-curated,grade5-6-learner-content-v1
KV000971,The fire is very big.,火势很大。,model-curated,grade5-6-learner-content-v1
KV000972,We go hiking on Sunday.,我们星期天去徒步。,model-curated,grade5-6-learner-content-v1
KV000973,I do morning exercises every day.,我每天做早操。,model-curated,grade5-6-learner-content-v1
KV000975,We go for a walk after dinner.,我们晚饭后去散步。,model-curated,grade5-6-learner-content-v1
KV000976,I go shopping with Mum.,我和妈妈去购物。,model-curated,grade5-6-learner-content-v1
KV000977,I take an English class on Monday.,我星期一上英语课。,model-curated,grade5-6-learner-content-v1
KV000978,I take a dancing class on Sunday.,我星期天上舞蹈课。,model-curated,grade5-6-learner-content-v1
KV000979,I play after school.,我放学后玩。,model-curated,grade5-6-learner-content-v1
KV000980,My friend is from Spain.,我的朋友来自西班牙。,model-curated,grade5-6-learner-content-v1
KV000981,It is 8 a.m.,现在是上午八点。,model-curated,grade5-6-learner-content-v1
KV000982,We go home at 4 p.m.,我们下午四点回家。,model-curated,grade5-6-learner-content-v1
KV000983,I saw him last week.,我上周见过他。,model-curated,grade5-6-learner-content-v1
KV000984,I need some water.,我需要一些水。,model-curated,grade5-6-learner-content-v1
KV000985,We read a short play.,我们读一个短剧本。,model-curated,grade5-6-learner-content-v1
KV000986,This is a letter.,这是一封信。,model-curated,grade5-6-learner-content-v1
KV000987,They live on a small island.,他们住在一个小岛上。,model-curated,grade5-6-learner-content-v1
KV000988,The bear is in the cave.,熊在山洞里。,model-curated,grade5-6-learner-content-v1
KV000989,We go swimming in summer.,我们夏天去游泳。,model-curated,grade5-6-learner-content-v1
KV000990,We have a picnic on Sunday.,我们星期天去野餐。,model-curated,grade5-6-learner-content-v1
KV000991,We go on a picnic in spring.,我们春天去野餐。,model-curated,grade5-6-learner-content-v1
KV000992,We pick apples in autumn.,我们秋天摘苹果。,model-curated,grade5-6-learner-content-v1
KV000993,I like spring best.,我最喜欢春天。,model-curated,grade5-6-learner-content-v1
KV000994,My bag is pink.,我的包是粉色的。,model-curated,grade5-6-learner-content-v1
KV000995,I paint a tree.,我用颜料画一棵树。,model-curated,grade5-6-learner-content-v1
KV000996,Few birds are here.,这里几乎没有鸟。,model-curated,grade5-6-learner-content-v1
KV000997,I have a few books.,我有几本书。,model-curated,grade5-6-learner-content-v1
KV000998,Our sports meet is on Friday.,我们的运动会在星期五。,model-curated,grade5-6-learner-content-v1
KV000999,We have a singing contest.,我们有一场歌唱比赛。,model-curated,grade5-6-learner-content-v1
