NoteID,ExampleSentence,ExampleTranslation
KV000078,I had noodles for dinner yesterday.,我昨天晚饭吃了面条。
KV000079,Eating more vegetables is good for us.,多吃蔬菜对我们有好处。
KV000080,We had fish and rice for lunch.,我们午饭吃了鱼和米饭。
KV000081,My mother cooked chicken for dinner.,妈妈晚饭做了鸡肉。
KV000082,I had an egg and some milk for breakfast.,我早饭吃了一个鸡蛋，还喝了些牛奶。
KV000085,I packed a book and a pencil in my bag.,我把一本书和一支铅笔装进包里。
KV000088,I drink a glass of milk every morning.,我每天早晨喝一杯牛奶。
KV000092,I wore a blue shirt to school today.,我今天穿了一件蓝色衬衫去学校。
KV000093,This T-shirt is too small for me now.,这件T恤现在对我来说太小了。
KV000094,She wore a red skirt to the party.,她穿着一条红裙子去参加聚会。
KV000095,My sister chose a yellow dress for the show.,我妹妹为演出选了一条黄色连衣裙。
KV000125,I got a new schoolbag for the new term.,新学期我有了一个新书包。
KV000148,This box is too heavy for me to carry.,这个箱子太重了，我搬不动。
KV000155,I often ride a bike in the park after school.,我放学后经常在公园骑自行车。
KV000157,We swim at the sports centre on Saturdays.,我们星期六在体育中心游泳。
KV000160,We stay inside and read on rainy days.,下雨天我们待在室内读书。
KV000161,"The sky is cloudy, but it is not cold.",天空多云，但并不冷。
KV000162,We made a snowman on a snowy morning.,一个下雪的早晨我们堆了雪人。
KV000163,"It is windy, so hold your hat.",风很大，所以扶好你的帽子。
KV000164,We went for a picnic on a sunny day.,一个晴天我们去野餐了。
KV000165,Take an umbrella because it may rain.,带把雨伞吧，因为可能会下雨。
KV000169,We often fly kites in spring.,春天我们经常放风筝。
KV000170,I like swimming with my friends in summer.,夏天我喜欢和朋友们一起游泳。
KV000171,The leaves turn yellow in autumn.,秋天树叶变黄。
KV000172,We sometimes make snowmen in winter.,冬天我们有时会堆雪人。
KV000173,It is too hot to play outside at noon.,中午太热，不适合在外面玩。
KV000174,The weather gets warm in spring.,春天天气变暖。
KV000175,It is cool enough to walk outside this evening.,今晚天气很凉爽，适合出去走走。
KV000176,Put on your coat because it is cold outside.,外面很冷，把外套穿上。
KV000179,There are eleven players on a football team.,一支足球队有十一名队员。
KV000180,There are twelve months in a year.,一年有十二个月。
KV000181,Our class has twenty students today.,我们班今天有二十名学生。
KV000185,My cousin is thirteen years old.,我的表哥十三岁。
KV000186,The book has fourteen short stories.,这本书有十四个短故事。
KV000187,We waited fifteen minutes for the bus.,我们等公交车等了十五分钟。
KV000189,We usually talk with friends during playtime.,游戏时间我们通常和朋友聊天。
KV000200,We visit my grandparents on Sunday.,我们星期日去看望祖父母。
KV000201,We have English and music on Monday.,我们星期一有英语课和音乐课。
KV000202,I go to the drawing club on Tuesday.,我星期二去绘画社团。
KV000203,We play basketball after school on Wednesday.,我们星期三放学后打篮球。
KV000204,I read in the library on Thursday afternoon.,我星期四下午在图书馆读书。
KV000205,We finish school early on Friday.,我们星期五放学比较早。
KV000206,My family goes to the park on Saturday.,我们一家星期六去公园。
KV000207,I have a lot of homework to finish today.,我今天有很多作业要完成。
KV000219,Raise your hand if you know the answer.,如果你知道答案，就举手。
KV000226,Too much candy is bad for your teeth.,吃太多糖果对牙齿不好。
KV000230,I usually read English for ten minutes every morning.,我通常每天早晨读十分钟英语。
KV000231,We have PE class on Friday afternoon.,我们星期五下午有体育课。
KV000232,Please write a short summary after reading the story.,读完故事后请写一个简短的总结。
KV000234,We shared a chocolate cake at the birthday party.,我们在生日聚会上分享了一个巧克力蛋糕。
KV000235,I eat some fruit after dinner every day.,我每天晚饭后吃一些水果。
KV000236,We bought ice-cream after playing in the park.,我们在公园玩过之后买了冰淇淋。
KV000238,Mum added a tomato to my sandwich.,妈妈在我的三明治里加了一个西红柿。
KV000240,I wrote milk and eggs on the shopping list.,我把牛奶和鸡蛋写在了购物清单上。
KV000243,We need to eat vegetables every day.,我们每天都需要吃蔬菜。
KV000253,My sister likes to dance when she hears music.,我妹妹听到音乐时喜欢跳舞。
KV000258,Take your jacket because it is cold outside.,外面很冷，把你的夹克穿上。
KV000278,"My birthday is in May, so I like spring.",我的生日在五月，所以我喜欢春天。
KV000283,I practise English with my classmates after school.,我放学后和同学一起练习英语。
KV000286,I listen to music while I tidy my room.,我整理房间时会听音乐。
KV000291,That building across the street is our library.,街对面的那栋楼是我们的图书馆。
KV000292,Our classroom has a reading corner near the window.,我们的教室在窗边有一个阅读角。
KV000300,Our class is going to the museum this Friday.,我们班这周五要去博物馆。
KV000304,I like to draw pictures of animals in my notebook.,我喜欢在笔记本上画动物。
KV000312,My family often has dinner together at home.,我们一家经常在家一起吃晚饭。
KV000318,I always take a water bottle to PE class.,我上体育课总会带一个水瓶。
KV000336,I keep my bedroom tidy by putting things away.,我把东西收好，让卧室保持整洁。
KV000340,Dad is reading a newspaper in the study.,爸爸正在书房里看报纸。
