OccurrenceID,SourceID,SourceGrade,Semester,Unit,Order,RawExpression,RawTranslation,SourceStatus
EO000028,rj_start1,4,upper,4,2,He's a school bus driver. He takes us to school every day.,他是校车司机。他每天送我们去学校。,observed-from-klose-textbook
EO000029,rj_start1,4,upper,2,1,What's your friend's name?,你的朋友叫什么名字？,observed-from-klose-textbook
EO000030,rj_start1,4,upper,2,2,His name is Zhang Peng.,他叫张鹏。,observed-from-klose-textbook
EO000031,rj_start1,4,upper,3,3,There are many people.,这里有好多人。,observed-from-klose-textbook
EO000032,rj_start1,4,upper,6,7,I like winter too. There are many festivals.,我也喜欢冬天。（在冬天）有很多节日。,observed-from-klose-textbook
EO000033,rj_start1,4,upper,3,6,My favourite place is the museum.,我最喜欢的地方是博物馆。,observed-from-klose-textbook
EO000034,rj_start1,4,upper,4,4,Chen Jie is making the bed.,陈杰正在铺床。,observed-from-klose-textbook
EO000035,rj_start1,4,upper,4,5,"In the kindergarten, John and Class One are singing songs together.",在幼儿园，约翰和一班（的小朋友们）在一起唱歌。,observed-from-klose-textbook
EO000036,rj_start1,4,upper,5,3,"Well, it's sunny today.",噢，今天是晴天。,observed-from-klose-textbook
EO000037,rj_start1,4,upper,5,8,It's hot and sunny here.,这里很热，是个大晴天。,observed-from-klose-textbook
EO000038,rj_start1,4,upper,6,4,"Yes, but wear a coat too. It's cold and windy outside.",可以，但是再穿一件外套吧。外面有风，很冷。,observed-from-klose-textbook
EO000039,rj_start1,4,upper,6,2,It's your dad's.,是你爸爸的。,observed-from-klose-textbook
EO000040,rj_start1,4,lower,3,2,It's 5 o'clock.,现在五点了。,observed-from-klose-textbook
EO000041,rj_start1,3,upper,6,9,It's seven o'clock. Hurry!,七点了。快点！,observed-from-klose-textbook
EO000042,rj_start1,4,lower,3,4,It's time for dinner.,该吃晚饭了。,observed-from-klose-textbook
EO000043,rj_start1,4,lower,3,5,It's time to get up.,该起床了。,observed-from-klose-textbook
EO000044,rj_start1,4,lower,5,9,"Don't waste food, please.",请不要浪费食物。,observed-from-klose-textbook
EO000045,rj_start1,4,lower,4,4,Can I help you?,要帮忙吗？,observed-from-klose-textbook
EO000046,rj_start1,4,lower,4,5,Yes. I like this pink dress.,嗯。我喜欢这件粉色的长裙。,observed-from-klose-textbook
EO000047,rj_start1,3,upper,4,5,I like the fresh air.,我喜欢新鲜的空气。,observed-from-klose-textbook
EO000048,rj_start1,3,upper,5,5,I like red and pink.,我喜欢红色和粉色。,observed-from-klose-textbook
EO000049,rj_start1,4,lower,5,4,They're tomatoes.,这些是西红柿。,observed-from-klose-textbook
EO000050,rj_start1,3,lower,3,6,They're grapes.,是葡萄。,observed-from-klose-textbook
EO000051,rj_start1,4,upper,2,5,Who's your best friend?,谁是你最好的朋友？,observed-from-klose-textbook
EO000052,rj_start1,4,upper,2,3,He's tall and strong.,他又高又壮。,observed-from-klose-textbook
EO000053,rj_start1,4,upper,1,4,What can we do for them?,我们能为他们做些什么？,observed-from-klose-textbook
EO000054,rj_start1,4,upper,1,5,We can do some chores.,我们可以做一些家务活。,observed-from-klose-textbook
EO000055,rj_start1,4,upper,5,7,It's OK. We can go to the library.,没关系。我们可以去图书馆。,observed-from-klose-textbook
EO000056,rj_start1,3,upper,4,6,We can plant new trees.,我们可以新种些树。,observed-from-klose-textbook
EO000057,rj_start1,4,upper,5,1,Hello! Mark speaking.,你好！我是马克。,observed-from-klose-textbook
EO000058,rj_start1,4,upper,6,5,Which season do you like?,你喜欢哪个季节？,observed-from-klose-textbook
EO000059,rj_start1,4,lower,2,2,No. You have to do your homework first.,不行。你得先做作业。,observed-from-klose-textbook
EO000060,rj_start1,4,lower,3,6,Have a nice day!,祝你一天愉快！,observed-from-klose-textbook
EO000061,rj_start1,4,lower,1,5,Excuse me?,对不起，请再说一次可以吗？,observed-from-klose-textbook
EO000062,rj_start1,4,lower,2,4,"Be careful, Jack. Don't touch hot things.",杰克，要小心。别碰烫的东西。,observed-from-klose-textbook
EO000063,rj_start1,3,upper,5,8,Be careful!,小心！,observed-from-klose-textbook
EO000064,rj_start1,4,lower,1,1,Hurry up! Don't be late for class!,快点！上课别迟到！,observed-from-klose-textbook
EO000065,rj_start1,3,lower,1,1,What's your name?,你叫什么名字？,observed-from-klose-textbook
EO000066,rj_start1,3,upper,1,2,Hi! My name is Wu Binbin.,嗨！我叫吴斌斌。,observed-from-klose-textbook
EO000067,rj_start1,3,lower,1,2,My name's Amy Green.,我叫埃米·格林。,observed-from-klose-textbook
EO000068,rj_start1,3,lower,1,3,Where are you from?,你是哪里人？,observed-from-klose-textbook
EO000069,rj_start1,3,lower,1,4,I'm from the UK.,我是英国人。,observed-from-klose-textbook
EO000070,rj_start1,3,upper,1,3,Nice to meet you.,见到你很高兴。,observed-from-klose-textbook
EO000071,rj_start1,3,upper,1,4,Nice to meet you too.,见到你（我）也很高兴。,observed-from-klose-textbook
EO000072,rj_start1,3,upper,2,1,This is my grandma.,这是我的奶奶。,observed-from-klose-textbook
EO000073,rj_start1,3,upper,2,2,Look! This is my family.,看！这是我的家庭。,observed-from-klose-textbook
EO000074,rj_start1,3,upper,3,3,Do you have a pet?,你有宠物吗？,observed-from-klose-textbook
EO000075,rj_start1,3,lower,5,1,Do you have old things?,你有旧东西吗？,observed-from-klose-textbook
EO000076,rj_start1,3,upper,3,8,What's this?,这是什么？,observed-from-klose-textbook
EO000077,rj_start1,3,upper,3,10,"Miss White, what's that?",怀特老师，那是什么？,observed-from-klose-textbook
EO000078,rj_start1,3,upper,4,1,"Mike, do you like apples?",迈克，你喜欢苹果吗？,observed-from-klose-textbook
EO000079,rj_start1,3,upper,4,4,Do you like the farm?,你们喜欢农场吗？,observed-from-klose-textbook
EO000080,rj_start1,3,upper,5,1,What colour is it?,它是什么颜色？,observed-from-klose-textbook
EO000081,rj_start1,3,upper,6,1,How old are you?,你几岁了？,observed-from-klose-textbook
EO000082,rj_start1,3,upper,6,8,Here you are.,给您。,observed-from-klose-textbook
EO000083,rj_start1,3,lower,3,3,Sure. Here you are.,当然。给你。,observed-from-klose-textbook
EO000084,rj_start1,3,lower,4,1,"I'd like some bread and eggs, please.",我想吃点儿面包和鸡蛋。,observed-from-klose-textbook
EO000085,rj_start1,3,lower,5,5,"Mum, where is my animal book?",妈妈，我的动物书在哪儿？,observed-from-klose-textbook
EO000086,rj_start1,3,lower,6,1,How many books do we have?,我们有多少本书？,observed-from-klose-textbook
EO000087,rj_start1,3,lower,6,3,How many boxes do we need?,我们需要多少个箱子？,observed-from-klose-textbook
EO000088,rj_start1,3,lower,6,5,How much is this bag?,这个包多少钱？,observed-from-klose-textbook
EO000089,rj_start1,3,upper,2,3,Is that your brother?,那是你弟弟吗？,observed-from-klose-textbook
EO000090,rj_start1,3,upper,3,9,It's a fox.,是只狐狸。,observed-from-klose-textbook
EO000091,rj_start1,3,upper,3,11,It's a red panda.,是只小熊猫。,observed-from-klose-textbook
EO000092,rj_start1,3,upper,6,2,I'm five years old.,我五岁了。,observed-from-klose-textbook
EO000093,rj_start1,3,lower,5,8,It's in the box.,它在盒子里。,observed-from-klose-textbook
EO000094,rj_start1,3,lower,6,2,We have fifteen books.,我们有十五本书。,observed-from-klose-textbook
EO000095,rj_start1,3,lower,6,4,We need three boxes.,我们需要三个箱子。,observed-from-klose-textbook
EO000096,rj_start1,3,lower,6,6,It's twenty yuan.,二十元。,observed-from-klose-textbook
EO000097,rj_start1,3,lower,3,7,What about this?,这个呢？,observed-from-klose-textbook
EO000098,rj_start1,3,lower,6,8,How about three for sixteen yuan?,十六元三个行吗？,observed-from-klose-textbook
EO000099,rj_start1,3,lower,3,1,Excuse me.,劳驾。,observed-from-klose-textbook
EO000100,rj_start1,3,lower,1,7,You're welcome.,别客气。,observed-from-klose-textbook
EO000101,rj_start1,3,lower,3,4,No problem.,没问题。,observed-from-klose-textbook
EO000102,rj_start1,3,lower,1,6,After you!,您先请！,observed-from-klose-textbook
EO000103,rj_start1,3,upper,6,3,Me too.,我也是。,observed-from-klose-textbook
EO000104,renjiao_start3,5,upper,1,1,What's he like?,他什么样？,materialized-from-user-image;source-provenance-resolved
EO000105,renjiao_start3,5,upper,1,2,He's tall and strong.,他又高又壮。,materialized-from-user-image;source-provenance-resolved
EO000106,renjiao_start3,5,upper,1,3,Is he good at football?,他擅长踢足球吗？,materialized-from-user-image;source-provenance-resolved
EO000107,renjiao_start3,5,upper,1,4,"Yes, I think he is.",是的，我想他擅长。,materialized-from-user-image;source-provenance-resolved
EO000108,renjiao_start3,5,upper,1,5,What can you do for the festival?,你能为科学艺术节做什么？,materialized-from-user-image;source-provenance-resolved
EO000109,renjiao_start3,5,upper,1,6,I can make a robot.,我能制作机器人。,materialized-from-user-image;source-provenance-resolved
EO000110,renjiao_start3,5,upper,1,7,"Can you make robots, Sarah?",萨拉，你能制作机器人吗？,materialized-from-user-image;source-provenance-resolved
EO000111,renjiao_start3,5,upper,1,8,"No, I can't.",不，我不能。,materialized-from-user-image;source-provenance-resolved
EO000112,renjiao_start3,5,upper,2,1,"Hi, Mike. You look sad. What's the matter?",嗨，迈克。你看起来不开心。怎么回事？,materialized-from-user-image;source-provenance-resolved
EO000113,renjiao_start3,5,upper,2,2,It's about our school project.,是关于我们学校的项目。,materialized-from-user-image;source-provenance-resolved
EO000114,renjiao_start3,5,upper,2,3,And we have to finish our project by Monday.,并且我们得在星期一之前完成项目。,materialized-from-user-image;source-provenance-resolved
EO000115,renjiao_start3,5,upper,2,4,So you don't agree with each other?,所以你俩意见不一致？,materialized-from-user-image;source-provenance-resolved
EO000116,renjiao_start3,5,upper,2,5,Why not do both?,为什么不两个活动都做呢？,materialized-from-user-image;source-provenance-resolved
EO000117,renjiao_start3,5,upper,2,6,It's important to listen to each other.,听取彼此的想法很重要。,materialized-from-user-image;source-provenance-resolved
EO000118,renjiao_start3,5,upper,2,7,"Yes, Miss White. I need to talk to Mike.",是的，怀特老师。我需要和迈克谈谈。,materialized-from-user-image;source-provenance-resolved
EO000119,renjiao_start3,5,upper,3,1,"What’s your favourite day at school, John?",你在学校最喜欢哪一天，约翰？,materialized-from-user-image;source-provenance-resolved
EO000120,renjiao_start3,5,upper,3,2,What do you have on Wednesdays?,星期三你有什么课？,materialized-from-user-image;source-provenance-resolved
EO000121,renjiao_start3,5,upper,3,3,"I have Chinese, maths, music and PE.",我有语文课、数学课、音乐课和体育课。,materialized-from-user-image;source-provenance-resolved
EO000122,renjiao_start3,5,upper,3,4,"What do you usually do at the weekend, children?",孩子们，周末你们通常做什么？,materialized-from-user-image;source-provenance-resolved
EO000123,renjiao_start3,5,upper,3,5,I often play football. Sometimes I play Chinese chess with my father.,我经常踢足球。有时我和爸爸下象棋。,materialized-from-user-image;source-provenance-resolved
EO000124,renjiao_start3,5,upper,3,6,Does your mother work on both Saturdays and Sundays?,你妈妈周六周日都工作吗？,materialized-from-user-image;source-provenance-resolved
EO000125,renjiao_start3,5,upper,3,7,"Yes, she does.",是的，她（周末两天）都工作。,materialized-from-user-image;source-provenance-resolved
EO000126,renjiao_start3,5,upper,4,1,How can we all stay healthy?,我们怎样才能保持健康？,materialized-from-user-image;source-provenance-resolved
EO000127,renjiao_start3,5,upper,4,2,We should eat healthy food.,我们应该吃健康的食物。,materialized-from-user-image;source-provenance-resolved
EO000128,renjiao_start3,5,upper,4,3,Can I play on Mum's phone?,我可以玩妈妈的手机吗？,materialized-from-user-image;source-provenance-resolved
EO000129,renjiao_start3,5,upper,4,4,No. You shouldn't play on a phone so often.,不行。你不应该总玩手机。,materialized-from-user-image;source-provenance-resolved
EO000130,renjiao_start3,5,upper,5,1,What would you like to eat?,你想吃些什么？,materialized-from-user-image;source-provenance-resolved
EO000131,renjiao_start3,5,upper,5,2,I'd like beef and rice.,我想吃牛肉和米饭。,materialized-from-user-image;source-provenance-resolved
EO000132,renjiao_start3,5,upper,5,3,Would you like some chicken soup too?,你还想喝鸡汤吗？,materialized-from-user-image;source-provenance-resolved
EO000133,renjiao_start3,5,upper,5,4,"Yes, please.",是的，请（给我鸡汤）。,materialized-from-user-image;source-provenance-resolved
EO000134,renjiao_start3,5,upper,5,5,Where does your coconut come from?,你的椰子是哪里的？,materialized-from-user-image;source-provenance-resolved
EO000135,renjiao_start3,5,upper,5,6,Hainan!,海南！,materialized-from-user-image;source-provenance-resolved
EO000136,renjiao_start3,5,upper,6,1,There are also many rivers in the nature park.,这个自然公园还有许多河流。,materialized-from-user-image;source-provenance-resolved
EO000137,renjiao_start3,5,upper,6,2,Is there a waterfall in the forest?,森林里有瀑布吗？,materialized-from-user-image;source-provenance-resolved
EO000138,renjiao_start3,5,upper,6,3,"Yes, there is.",是的，这里有。,materialized-from-user-image;source-provenance-resolved
EO000139,renjiao_start3,5,upper,6,4,Are there any famous mountains in the nature park?,自然公园有名山吗？,materialized-from-user-image;source-provenance-resolved
EO000140,renjiao_start3,5,upper,6,5,"Yes, there are.",是的，这里有。,materialized-from-user-image;source-provenance-resolved
EO000141,renjiao_start3,5,upper,6,6,There will be heavy rain in the afternoon too.,今天下午还将有大雨。,materialized-from-user-image;source-provenance-resolved
EO000142,renjiao_start3,5,lower,1,1,When do you finish class in the morning?,你们上午的课到几点结束？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000143,renjiao_start3,5,lower,1,2,We finish class at 1 o'clock.,我们一点钟结束上午的课。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000144,renjiao_start3,5,lower,1,3,What do you do on the weekend?,你周末做什么？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000145,renjiao_start3,5,lower,1,4,I often watch TV and play ping-pong with my father.,我经常看电视，也常和爸爸一起打乒乓球。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000146,renjiao_start3,5,lower,2,1,"Which season do you like best, Miss White?",怀特小姐，你最喜欢哪个季节？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000147,renjiao_start3,5,lower,2,2,Summer.,夏天。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000148,renjiao_start3,5,lower,2,3,Why?,为什么？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000149,renjiao_start3,5,lower,2,4,Because I like summer vacation!,因为我喜欢暑假！,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000150,renjiao_start3,5,lower,3,1,When is the party?,聚会什么时候举行？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000151,renjiao_start3,5,lower,3,2,It's in April.,在4月。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000152,renjiao_start3,5,lower,3,3,When is the trip this year?,今年的（秋）游在什么时候？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000153,renjiao_start3,5,lower,3,4,It's in October. We'll go to the Great Wall.,在10月。我们将去长城。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000154,renjiao_start3,5,lower,4,1,When is the art show?,艺术节是哪天？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000155,renjiao_start3,5,lower,4,2,It's on May 1st.,它在5月1日。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000156,renjiao_start3,5,lower,4,3,When is your birthday?,你的生日是哪天？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000157,renjiao_start3,5,lower,4,4,My birthday is on April 4th.,我的生日是4月4日。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000158,renjiao_start3,5,lower,5,1,The yellow picture is mine.,那幅黄色的画是我的。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000159,renjiao_start3,5,lower,5,2,Are these all ours?,这些都是我们的画吗？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000160,renjiao_start3,5,lower,5,3,Whose is it?,这是谁的？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000161,renjiao_start3,5,lower,5,4,It's Zhang Peng's.,是张鹏的。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000162,renjiao_start3,5,lower,5,5,Is he drinking water?,他在喝水吗？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000163,renjiao_start3,5,lower,5,6,"No, he isn't. He's eating.",不是。他在吃东西。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000164,renjiao_start3,5,lower,6,1,What are they doing?,它们在干什么？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000165,renjiao_start3,5,lower,6,2,They're eating lunch.,它们在吃午饭！,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000166,renjiao_start3,5,lower,6,3,What's the little monkey doing?,那只小猴子在干什么？,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000167,renjiao_start3,5,lower,6,4,It's playing with its mother!,它在和妈妈玩耍！,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000168,renjiao_start3,5,lower,6,5,Shh. Talk quietly.,嘘，小声讲话。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000169,renjiao_start3,5,lower,6,6,Keep your desk clean.,保持桌面整洁。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
EO000170,renjiao_start3,6,upper,1,1,How was your weekend?,你周末过得怎么样？,materialized-from-user-image;source-provenance-resolved
EO000171,renjiao_start3,6,upper,1,2,It was great! I climbed the Great Wall.,非常棒！我去爬长城了。,materialized-from-user-image;source-provenance-resolved
EO000172,renjiao_start3,6,upper,1,3,"What did you do, Leo?",你做什么了，利奥？,materialized-from-user-image;source-provenance-resolved
EO000173,renjiao_start3,6,upper,1,4,"I visited the ""Gingerbread House"" last Saturday.",我上个星期六参观“姜饼屋”了。,materialized-from-user-image;source-provenance-resolved
EO000174,renjiao_start3,6,upper,1,5,"Where did you go over the summer holidays, Binbin?",你暑假去哪儿了，斌斌？,materialized-from-user-image;source-provenance-resolved
EO000175,renjiao_start3,6,upper,1,6,I went to Xi'an with my family.,我和家人去西安了。,materialized-from-user-image;source-provenance-resolved
EO000176,renjiao_start3,6,upper,1,7,What did you do there?,你们在那里做了些什么？,materialized-from-user-image;source-provenance-resolved
EO000177,renjiao_start3,6,upper,1,8,We went to see the Terracotta Warriors.,我们去看兵马俑了。,materialized-from-user-image;source-provenance-resolved
EO000178,renjiao_start3,6,upper,1,9,What else did you do?,你们还做什么了？,materialized-from-user-image;source-provenance-resolved
EO000179,renjiao_start3,6,upper,2,1,"How was your Mid-Autumn Festival holiday, Binbin?",你中秋假期过得怎么样，斌斌？,materialized-from-user-image;source-provenance-resolved
EO000180,renjiao_start3,6,upper,2,2,It was great!,非常棒！,materialized-from-user-image;source-provenance-resolved
EO000181,renjiao_start3,6,upper,2,3,Did you take a trip?,你们去旅行了吗？,materialized-from-user-image;source-provenance-resolved
EO000182,renjiao_start3,6,upper,2,4,"No, we didn't.",不，我们没有。,materialized-from-user-image;source-provenance-resolved
EO000183,renjiao_start3,6,upper,2,5,Did you eat mooncakes?,你们吃月饼了吗？,materialized-from-user-image;source-provenance-resolved
EO000184,renjiao_start3,6,upper,2,6,"Yes, we did.",是的，我们吃了。,materialized-from-user-image;source-provenance-resolved
EO000185,renjiao_start3,6,upper,2,7,My mother and I went to a marathon on Sunday.,我和妈妈上周日去看了一场马拉松比赛。,materialized-from-user-image;source-provenance-resolved
EO000186,renjiao_start3,6,upper,2,8,What did you like about it?,你喜欢它哪一点？,materialized-from-user-image;source-provenance-resolved
EO000187,renjiao_start3,6,upper,2,9,I liked watching the runners.,我喜欢看参赛者（跑步）。,materialized-from-user-image;source-provenance-resolved
EO000188,renjiao_start3,6,upper,2,10,What did you do last weekend?,你上周末做什么了？,materialized-from-user-image;source-provenance-resolved
EO000189,renjiao_start3,6,upper,3,1,How do you feel?,你感觉怎么样？,materialized-from-user-image;source-provenance-resolved
EO000190,renjiao_start3,6,upper,3,2,I feel ill. My head hurts and I have a runny nose.,我感觉不舒服。我头疼还流鼻涕。,materialized-from-user-image;source-provenance-resolved
EO000191,renjiao_start3,6,upper,3,3,I'm sorry to hear that. Maybe you should see a doctor.,对此我感到难过。也许你应该去看医生。,materialized-from-user-image;source-provenance-resolved
EO000192,renjiao_start3,6,upper,3,4,How can we live a healthy life?,我们怎样能过健康的生活？,materialized-from-user-image;source-provenance-resolved
EO000193,renjiao_start3,6,upper,3,5,We need to eat healthy food. We should exercise too.,我们需要吃健康的食物。我们还需要运动。,materialized-from-user-image;source-provenance-resolved
EO000194,renjiao_start3,6,upper,3,6,Have a healthy diet.,（保持）健康的饮食。,materialized-from-user-image;source-provenance-resolved
EO000195,renjiao_start3,6,upper,3,7,Don't stay up late.,不要熬夜。,materialized-from-user-image;source-provenance-resolved
EO000196,renjiao_start3,6,upper,3,8,Think about happy things.,想开心的事情。,materialized-from-user-image;source-provenance-resolved
EO000197,renjiao_start3,6,upper,3,9,Join clubs and teams.,加入俱乐部和团队。,materialized-from-user-image;source-provenance-resolved
EO000198,renjiao_start3,6,upper,4,1,How are you going to spend it?,你打算怎么花（这奖励钱）？,materialized-from-user-image;source-provenance-resolved
EO000199,renjiao_start3,6,upper,4,2,I'm going to buy a schoolbag.,我打算买一个书包。,materialized-from-user-image;source-provenance-resolved
EO000200,renjiao_start3,6,upper,4,3,I also want to buy some animal books.,我还想买一些动物类书籍。,materialized-from-user-image;source-provenance-resolved
EO000201,renjiao_start3,6,upper,4,4,What else are you going to buy?,你还打算买什么？,materialized-from-user-image;source-provenance-resolved
EO000202,renjiao_start3,6,upper,4,5,I'm going to buy a pair of sunglasses for Grandpa.,我打算给爷爷买一副太阳镜。,materialized-from-user-image;source-provenance-resolved
EO000203,renjiao_start3,6,upper,4,6,I also want to buy a microscope.,我还想买一个显微镜。,materialized-from-user-image;source-provenance-resolved
EO000204,renjiao_start3,6,upper,5,1,What can you see in the sky?,你能在天空中看到什么？,materialized-from-user-image;source-provenance-resolved
EO000205,renjiao_start3,6,upper,5,2,We can see the Sun and clouds.,我们能看到太阳和云。,materialized-from-user-image;source-provenance-resolved
EO000206,renjiao_start3,6,upper,5,3,"At night, we can see the Moon and the stars.",在晚上，我们能看到月亮和星星。,materialized-from-user-image;source-provenance-resolved
EO000207,renjiao_start3,6,upper,5,4,Is there any water on Mars?,火星上有水吗？,materialized-from-user-image;source-provenance-resolved
EO000208,renjiao_start3,6,upper,5,5,"Yes, there is. There is soil too.",是，有的。那里还有土壤。,materialized-from-user-image;source-provenance-resolved
EO000209,renjiao_start3,6,upper,5,6,Are there any aliens?,那儿有外星生物吗？,materialized-from-user-image;source-provenance-resolved
EO000210,renjiao_start3,6,upper,5,7,I don't think so. They say there aren't any living things.,我不这样认为。据说那里没有生物。,materialized-from-user-image;source-provenance-resolved
EO000211,renjiao_start3,6,upper,5,8,China put a rover on Mars.,中国在火星上放置了探测器。,materialized-from-user-image;source-provenance-resolved
EO000212,renjiao_start3,6,upper,5,9,The taikonauts get up early in the morning.,中国航天员很早就起床。,materialized-from-user-image;source-provenance-resolved
EO000213,renjiao_start3,6,upper,6,1,What do you know about it?,关于它你知道些什么？,materialized-from-user-image;source-provenance-resolved
EO000214,renjiao_start3,6,upper,6,2,Running water can make electricity.,流水可以发电。,materialized-from-user-image;source-provenance-resolved
EO000215,renjiao_start3,6,upper,6,3,What else do you want to know about water?,关于水你还想了解些什么？,materialized-from-user-image;source-provenance-resolved
EO000216,renjiao_start3,6,upper,6,4,Where does water come from?,水从哪儿来？,materialized-from-user-image;source-provenance-resolved
EO000217,renjiao_start3,6,upper,6,5,"Wind power, solar power and water power are types of green energy.",风能、太阳能和水能是不同类型的绿色能源。,materialized-from-user-image;source-provenance-resolved
EO000218,renjiao_start3,6,upper,6,6,But many resources are running out.,但是很多资源快要耗尽了。,materialized-from-user-image;source-provenance-resolved
EO000219,renjiao_start3,6,upper,6,7,What should we do?,我们该怎么办？,materialized-from-user-image;source-provenance-resolved
EO000220,renjiao_start3,6,upper,6,8,How can we save energy?,我们怎样才能节约能源？,materialized-from-user-image;source-provenance-resolved
EO000221,renjiao_start3,6,upper,6,9,We can take quick showers.,我们可以快速淋浴。,materialized-from-user-image;source-provenance-resolved
EO000222,renjiao_start3,6,upper,6,10,We can also use LED lighting.,我们还可以使用LED照明。,materialized-from-user-image;source-provenance-resolved
EO000223,renjiao_start3,6,upper,6,11,We should use air conditioners less.,我们应该少用空调。,materialized-from-user-image;source-provenance-resolved
EO000224,renjiao_start3,6,lower,1,1,That's the tallest dinosaur in this hall.,那是这个大厅里最高的恐龙。,materialized-from-user-image;source-provenance-resolved;source-provenance-held
