IdentityGroup,ExpressionID,CanonicalForm,FunctionKey,ExpressionType,SlotSchema,AllocatedFromOccurrence,AllocationBasis,Status
new::give-negative-instruction,KE000139,Don't [verb phrase].,give_negative_instruction,slot_frame,verb_phrase,EO000195,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-future-plan-how,KE000140,How are you going to [verb phrase]?,ask_future_plan_method,slot_frame,verb_phrase,EO000198,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-future-going-to,KE000141,I'm going to [verb phrase].,state_future_plan_going_to,slot_frame,verb_phrase,EO000199,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-want-to,KE000142,I want to [verb phrase].,state_desired_action,slot_frame,verb_phrase,EO000200,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-additional-future,KE000143,What else are you going to [verb]?,ask_additional_future_action,slot_frame,verb,EO000201,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-visible-objects,KE000144,What can you see [place phrase]?,ask_visible_objects,slot_frame,place_phrase,EO000204,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-visible-objects,KE000145,We can see [things].,state_visible_objects,slot_frame,things,EO000205,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-existence-uncountable,KE000146,Is there any [uncountable noun] [place phrase]?,ask_existence_uncountable,slot_frame,uncountable_noun|place_phrase,EO000207,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-existence-uncountable,KE000147,There is [uncountable noun] [place phrase].,state_existence_uncountable,slot_frame,uncountable_noun|place_phrase,EO000208,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::report-they-say,KE000148,They say [clause].,report_hearsay,discourse_frame,clause,EO000210,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::respond-dont-think-so,KE000149,I don't think so.,express_negative_belief,fixed,,EO000210,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-knowledge-about,KE000150,What do you know about [thing]?,ask_knowledge,slot_frame,thing,EO000213,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-additional-knowledge,KE000151,What else do you want to know about [thing]?,ask_additional_knowledge,slot_frame,thing,EO000215,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::classify-types-of,KE000152,[Items] are types of [category].,classify_examples,discourse_frame,items|category,EO000217,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-what-should-we-do,KE000153,What should we do?,ask_recommended_action,fixed,,EO000219,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-superlative-in-place,KE000154,That's the [superlative adjective] [noun] [place phrase].,state_superlative_identification,slot_frame,superlative_adjective|noun|place_phrase,EO000224,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-comparison-than,KE000155,[Subject] is/are [comparative adjective] than [target].,state_comparison,slot_frame,subject|comparative_adjective|target,EO000225,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-height,KE000156,How tall are you?,ask_height,fixed,,EO000226,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-height,KE000157,I'm [height].,state_height,slot_frame,height,EO000227,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-size,KE000158,What size are your [items]?,ask_item_size,slot_frame,items,EO000228,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-item-size,KE000159,[Items] are size [size].,state_item_size,slot_frame,items|size,EO000229,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-weight,KE000160,How heavy are you?,ask_weight,fixed,,EO000230,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-weight,KE000161,I'm [weight].,state_weight,slot_frame,weight,EO000231,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-past-anything-else,KE000162,Did you do anything else?,ask_additional_past_yes_no,fixed,,EO000236,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-what-happened,KE000163,What happened?,ask_what_happened,fixed,,EO000241,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::check-all-right,KE000164,Are you all right?,check_wellbeing,fixed,,EO000242,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::reassure-ok-now,KE000165,I'm OK now.,reassure_wellbeing,fixed,,EO000243,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::describe-looks-like,KE000166,It looks like [thing].,describe_resemblance,slot_frame,thing,EO000245,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-past-transport,KE000167,How did you go [place]?,ask_past_transport,slot_frame,place,EO000248,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-past-transport,KE000168,We went [place] by [transport].,state_past_transport,slot_frame,place|transport,EO000249,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::respond-sounds-great,KE000169,Sounds great!,respond_positive_news,fixed,,EO000250,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-past-nonexistence-singular,KE000170,There was no [singular noun] [place/time].,state_past_nonexistence_singular,slot_frame,singular_noun|place_time,EO000251,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::request-tell-about,KE000171,"Tell [person] about [topic], please.",request_information_about,slot_frame,person|topic,EO000252,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::ask-how-know,KE000172,How do you know that?,ask_evidence_source,fixed,,EO000253,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-past-nonexistence-plural,KE000173,There were no [things] [place/time].,state_past_nonexistence_plural,slot_frame,things|place_time,EO000254,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::contrast-before-now,KE000174,"Before, [clause]. Now, [clause].",describe_change_over_time,discourse_frame,before_clause|now_clause,EO000255,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::explain-past-inability,KE000175,"I was [adjective], so I couldn't [verb phrase].",explain_past_inability,discourse_frame,adjective|verb_phrase,EO000256,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
new::state-now-routine,KE000176,"Now, I [verb phrase] [frequency].",state_current_change,slot_frame,verb_phrase|frequency,EO000256,closed-grade5-6-reconciliation+explicit-user-learning-scope,active
