MatchKey,DisplayForms,Definitions,OccurrenceCount,Books,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview
bathroom,bathroom,n. 浴室;厕所;盥洗室,1,2年级下,exact-single,KV000338,bathroom,浴室；卫生间,reuse-candidate,yes
be,be,"vt. 是; 有,存在; 做,成为; 发生",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
beach,beach,n. 海滩;湖滨 vt. 将...拖上岸 vi. 搁浅;定居,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
bear,bear,"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",1,5年级上,exact-single,KV000073,bear,熊,reuse-candidate,yes
beautiful,beautiful,adj. 美丽的 出色地 出色的 迷人的 迷人地,1,6年级下,exact-single,KV000316,beautiful,美丽的；漂亮的,reuse-candidate,yes
become,become,vt. 适合;相称 vi. 成为;变得;变成,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
bed,bed,"n. 床;基础;河底, 海底 vt. 使睡觉;安置,嵌入;栽种 vi. 上床;分层",2,1年级上|2年级下,exact-single,KV000063,bed,床,reuse-candidate,yes
bee,bee,"n. 蜜蜂,蜂;勤劳的人",1,1年级上,exact-single,KV000549,bee,蜜蜂,reuse-candidate,yes
before,before,"prep. 在...之前,先于 conj. 在...以前;在...之前 adv. 以前;在前",1,3年级下,exact-single,KV000456,before,在……之前,reuse-candidate,yes
begin,begin,vi. 开始;首先 vt. 开始,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
behind,behind,prep. 落后于;支持;晚于 n. 屁股 adv. 在后地;在原处,1,6年级下,exact-single,KV000067,behind,在……后面,reuse-candidate,yes
bell,bell,"n. 铃,钟;钟声,铃声;钟状物 vt. 装钟于,系铃于 vi. 鸣钟;成钟状鼓起",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
beside,beside,prep. 在旁边;与...相比;和...无关,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
best,best,"n. 最好的人,最好的事物;最佳状态 adj. 最好的 vt. 打败,胜过 adv. 最好地",1,3年级下,exact-single,KV000811,best,最好的,reuse-candidate,yes
between,between,prep. 在...之间 adv. 在中间,1,6年级下,exact-single,KV000442,between,在……之间,reuse-candidate,yes
big,big,adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,2,2年级上|2年级下,exact-single,KV000119,big,大的,reuse-candidate,yes
bike,bike,n. 自行车;脚踏车 vi. 骑自行车(或摩托车),2,1年级上|2年级下,no-existing-match,,,,new-identity-candidate,yes
bird,bird,n. 鸟;家伙;羽毛球 vt. 向...喝倒彩;起哄 vi. 猎鸟;观察研究野鸟,2,1年级上|3年级下,exact-single,KV000019,bird,鸟,reuse-candidate,yes
birthday,birthday,"n. 生日,诞辰;诞生的日子",1,5年级下,exact-single,KV000278,birthday,生日,reuse-candidate,yes
black,black,n. 黑色;黑人;黑颜料 adj. 黑色的;黑人的;邪恶的 vt. 使变黑;把鞋油等涂在...上;把(眼眶)打成青肿 vi. 变黑,1,3年级下,exact-single,KV000039,black,黑色；黑色的,reuse-candidate,yes
blackboard,blackboard,n. 黑板,1,3年级上,exact-single,KV000056,blackboard,黑板,reuse-candidate,yes
blue,blue,"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",1,2年级下,exact-single,KV000041,blue,蓝色；蓝色的,reuse-candidate,yes
boat,boat,n. 小船;轮船 vi. 划船,2,1年级上|4年级下,exact-single,KV000138,boat,小船,reuse-candidate,yes
body,body,n. 身体;主体;大量;团体;主要部分 vt. 赋以形体,1,2年级上,exact-single,KV000215,body,身体,reuse-candidate,yes
book,book,n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,2,1年级上|4年级上,exact-single,KV000001,book,书；书本,reuse-candidate,yes
born,born,v. 出世(bear的过去分词) adj. 天生的,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
borrow,borrow,vt. 借;借用 vi. 借;借用;从其他语言中引入,1,3年级上,no-existing-match,,,,new-identity-candidate,yes
both,both,conj. 既...且... adj. 两个的;两者的 pron. 双方都;两者都 adv. 并;又;两者皆,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
bottle,bottle,n. 瓶子;一瓶的容量 vt. 控制;把...装入瓶中 vi. (街头艺人演出后)收拢钱币,1,3年级下,no-existing-match,,,,new-identity-candidate,yes
box,box,"n. 箱,盒子;包厢;一拳 vt. 拳击;装...入盒中;打耳光 vi. 拳击",2,1年级上|3年级下,exact-single,KV000065,box,盒子；箱子,reuse-candidate,yes
boy,boy,n. 男孩;男人,1,3年级上,exact-single,KV000113,boy,男孩,reuse-candidate,yes
brave,brave,n. 勇士 adj. 勇敢的;华丽的 vt. 勇敢地面对,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
bread,bread,n. 面包;生计 vt. 在...上洒面包屑,1,2年级下,exact-single,KV000233,bread,面包,reuse-candidate,yes
break,break,vi. 打破;折断;弄坏;削弱 vt. (使)破;打破(纪录);(常指好天气)突变;开始 vi. (嗓音)突变;突破;破晓;(价格)突然下跌 n. 破裂;间断;(持续一段时间的状况的)改变;间歇,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
breakfast,breakfast,n. 早餐;早饭 vt. 为...供应早餐 vi. 吃早餐,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
bright,bright,"n. 车头灯光 adj. 明亮的,鲜明的;聪明的;愉快的 adv. 明亮地;光明地;欢快地",1,3年级上,no-existing-match,,,,new-identity-candidate,yes
bring,bring,vt. 带来;促使;引起;使某人处于某种情况或境地,1,4年级上,exact-single,KV000757,bring,带来,reuse-candidate,yes
british,British,n. 英国人 adj. 英国的;英国人的;大不列颠的,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
broke,broke,"v. 打破,断掉(break的过去式) adj. 一文不名的,破产的",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
brother,brother,n. 兄弟;同事;战友 int. 我的老兄!,1,5年级上,exact-single,KV000101,brother,兄弟；哥哥；弟弟,reuse-candidate,yes
brown,brown,"n. 褐色,棕色 adj. 棕色的,褐色的;太阳晒黑的 vt. 使变成褐色 vi. 变成褐色",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
build,build,n. 构造;体形;体格 vi. 建筑;建造 vt. 建立;建筑,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
building,building,n. 建筑;建筑物 v. 建筑;建立;增加(build的ing形式),1,4年级下,no-existing-match,,,,new-identity-candidate,yes
bus,bus,n. 公共汽车 乘公共汽车,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
busy,busy,adj. 忙碌的;热闹的;正被占用的 vt. 使忙于,1,5年级上,exact-single,KV000466,busy,忙的,reuse-candidate,yes
but,but,"conj. 但是;而是;然而 adv. 仅仅,只 prep. 除...以外",1,6年级上,exact-single,KV000529,but,但是,reuse-candidate,yes
buy,buy,"n. 购买,买卖;所购的物品 vi. 买,采购 vt. 购买;获得;贿赂",1,4年级上,exact-single,KV000242,buy,买；购买,reuse-candidate,yes
by,by,prep. 通过;被;依据;经由;在附近;在......之前 adv. 通过;经过;附近;[互联网] 白俄罗斯的国家代码顶级域名,1,2年级下,no-existing-match,,,,new-identity-candidate,yes
cake,cake,n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,2,1年级上|2年级上,exact-single,KV000234,cake,蛋糕,reuse-candidate,yes
call,call,n. 电话;呼叫;要求;访问 vi. 呼叫;拜访;叫牌 vt. 呼叫;称呼;召集,1,2年级下,exact-single,KV000578,call,打电话；呼叫,reuse-candidate,yes
camera,camera,n. 照相机;摄影机,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
can,can,aux. 能; 能够; 可以; 可能 n. 罐头; (用金属或塑料制作的)容器; (马口铁或其他金属制作的)食品罐头 vt. 将...装入密封罐中保存,1,3年级上,exact-multiple,KV000074|KV000885,can|can,能；会；可以|金属罐,identity-review,yes
canada,Canada,n. 加拿大(北美洲国家),1,5年级上,exact-single,KV000507,Canada,加拿大,reuse-candidate,yes
cap,cap,n. 盖;帽子 vt. 覆盖;胜过;给...戴帽;加盖于 vi. 脱帽致意,2,1年级下|5年级下,exact-single,KV000254,cap,帽子；便帽,reuse-candidate,yes
car,car,n. 汽车;车厢,2,1年级上|2年级下,exact-single,KV000072,car,小汽车；汽车,reuse-candidate,yes
card,card,n. 卡片;纸牌;明信片 vt. 记于卡片上,1,3年级上,exact-single,KV000144,card,卡片；贺卡,reuse-candidate,yes
careful,careful,"adj. 仔细的,小心的",1,6年级下,no-existing-match,,,,new-identity-candidate,yes
carrot,carrot,n. 胡萝卜 诱饵,1,5年级下,exact-single,KV000883,carrot,胡萝卜,reuse-candidate,yes
carry,carry,"n. 运载;[计] 进位;射程 vi. 能达到;被携带;被搬运 vt. 拿,扛;携带;支持;搬运",1,5年级下,no-existing-match,,,,new-identity-candidate,yes
cat,cat,"n. 猫,猫科动物",2,1年级上|2年级上,exact-single,KV000022,cat,猫,reuse-candidate,yes
chair,chair,n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,1,2年级下,exact-single,KV000054,chair,椅子,reuse-candidate,yes
change,change,n. 变化;找回的零钱 vt. 改变;交换 vi. 改变;兑换,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
chess,chess,"n. 国际象棋,西洋棋",1,5年级下,no-existing-match,,,,new-identity-candidate,yes
chicken,chicken,"n. 鸡肉;小鸡;胆小鬼,懦夫 adj. 鸡肉的;胆怯的;幼小的",1,4年级上,exact-single,KV000081,chicken,鸡肉,reuse-candidate,yes
child,child,"n. 儿童,小孩,孩子;产物;子孙;幼稚的人;弟子",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
children,children,n. 孩子们(child的复数),1,3年级下,exact-single,KV000333,children,孩子们,reuse-candidate,yes
china,China,"n. 中国 n. china,瓷器 adj. 中国的;中国制造的 adj. china,瓷制的",1,4年级下,exact-single,KV000511,China,中国,reuse-candidate,yes
chinese,Chinese,"n. 中文,汉语;中国人 adj. 中国的,中国人的;中国话的",1,3年级上,exact-single,KV000282,Chinese,汉语；中文,reuse-candidate,yes
chocolate,chocolate,"n. 巧克力,巧克力糖;巧克力色 adj. 巧克力色的;巧克力口味的",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
choose,choose,"vt. 选择,决定 vi. 选择,挑选",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
christmas,Christmas,n. 圣诞节;圣诞节期间,1,3年级上,exact-single,KV000141,Christmas,圣诞节,reuse-candidate,yes
cinema,cinema,"n. 电影;电影院;电影业,电影制作术",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
circle,circle,"n. 循环,周期;圆;圈子;圆形物 vt. 画圆圈;环绕...移动 vi. 盘旋,旋转;环行",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
city,city,"n. 城市,都市 adj. 城市的;都会的",1,5年级上,exact-single,KV000459,city,城市,reuse-candidate,yes
class,class,"n. 阶级;班级;种类;班;等级 adj. 极好的;很好的,优秀的,出色的 vt. 分类;把...分等级;把...归入某等级,把...看作(或分类、归类);把...编入某一班级 vi. 属于...类(或等级),被列为某类(或某级)",1,2年级上,exact-single,KV000211,class,班；班级,reuse-candidate,yes
classroom,classroom,n. 教室,1,6年级下,exact-single,KV000292,classroom,教室,reuse-candidate,yes
clean,clean,"n. 打扫 adj. 清洁的,干净的;清白的 vt. 使干净 vi. 打扫,清扫 adv. 完全地",1,6年级下,exact-single,KV000806,clean,打扫；干净的,reuse-candidate,yes
clear,clear,n. 清除;空隙 adj. 清楚的;清澈的;晴朗的;无罪的 vt. 通过;清除;使干净;跳过 vi. 放晴;变清澈 adv. 清晰地;完全地,1,6年级下,no-existing-match,,,,new-identity-candidate,yes
clever,clever,adj. 聪明的;机灵的;熟练的 [ 比较级cleverer 最高级 cleverest ],1,4年级上,exact-single,KV000519,clever,聪明的,reuse-candidate,yes
climb,climb,n. 爬;攀登 vi. 爬;攀登;上升 vt. 爬;攀登;上升,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
clock,clock,n. 时钟;计时器 vt. 记录;记时 vi. 打卡;记录时间,1,5年级上,exact-single,KV000704,clock,时钟；钟,reuse-candidate,yes
close,close,n. 结束 adj. 紧密的;亲密的;亲近的 vt. 关;结束;使靠近 vi. 关;结束;关闭 adv. 紧密地,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
clothes,clothes,n. 衣服,1,6年级上,exact-single,KV000869,clothes,衣服；服装,reuse-candidate,yes
cloudy,cloudy,adj. 多云的;阴天的;愁容满面的,1,3年级上,exact-single,KV000161,cloudy,多云的,reuse-candidate,yes
club,club,"n. 俱乐部,社团;夜总会;棍棒;(扑克牌中的)梅花 adj. 俱乐部的 vt. 用棍棒打;募集 vi. 集资;组成俱乐部",1,6年级下,no-existing-match,,,,new-identity-candidate,yes
coat,coat,n. 外套 vt. 覆盖...的表面,2,1年级上|2年级下,exact-single,KV000255,coat,外套,reuse-candidate,yes
cold,cold,"n. 寒冷;感冒 adj. 寒冷的;冷淡的,不热情的;失去知觉的 adv. 完全地",2,2年级下|4年级上,exact-single,KV000176,cold,寒冷的,reuse-candidate,yes
collect,collect,vt. 收集;募捐 adj. 由收件人付款的 vi. 收集;聚集;募捐 adv. 由收件人付款地,1,6年级上,no-existing-match,,,,new-identity-candidate,yes
colour,colour,"n. 颜色;风格;气色,面色;外貌 vt. 把...涂颜色,粉饰;歪曲;使脸红 vi. 变色",1,6年级上,exact-single,KV000044,colour,颜色,reuse-candidate,yes
come,come,vi. 来;开始;出现;发生;变成;到达 vt. 做;假装;将满(...岁) int. 嗨!,1,2年级下,exact-single,KV000394,come,来,reuse-candidate,yes
computer,computer,n. 计算机;电脑;电子计算机,1,4年级上,no-existing-match,,,,new-identity-candidate,yes
cook,cook,"n. 厨师,厨子 vt. 烹调,煮 vi. 烹调,做菜",1,4年级上,exact-multiple,KV000424|KV000805,cook|cook,厨师；做饭|烹饪；煮,identity-review,yes
cool,cool,n. 凉爽;凉爽的空气 adj. 凉爽的;冷静的;出色的 vt. 使...冷却;使...平静下来 vi. 变凉;平息 adv. 冷静地,2,2年级下|3年级上,exact-single,KV000175,cool,凉爽的,reuse-candidate,yes
corn,corn,n. (美)玉米;(英)谷物;[皮肤] 鸡眼 vt. 腌;使成颗粒,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
country,country,"n. 国家,国土;国民;乡下,农村;乡村;故乡 adj. 祖国的,故乡的;地方的,乡村的;国家的;粗鲁的;乡村音乐的",1,4年级下,exact-single,KV000518,country,国家,reuse-candidate,yes
cousin,cousin,n. 堂兄弟姊妹;表兄弟姊妹,1,5年级上,exact-single,KV000315,cousin,堂兄弟姐妹；表兄弟姐妹,reuse-candidate,yes
cow,cow,"n. 奶牛,母牛;母兽 vt. 威胁,恐吓",2,1年级下|2年级上,exact-single,KV000546,cow,奶牛；母牛,reuse-candidate,yes
crayon,crayon,"n. 蜡笔,有色粉笔 vt. 以蜡笔作画,用颜色粉笔画",1,6年级下,exact-single,KV000399,crayon,蜡笔,reuse-candidate,yes
crowd,crowd,"n. 群众,一伙;一堆,许多,大众 v. 拥挤,挤满,挤进 vt. 挤满,将...塞进;催促,催逼 vi. 挤,拥挤,聚集",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
cry,cry,n. 叫喊;叫声;口号;呼叫 vi. 哭;叫;喊 vt. 叫喊;哭出;大声说,1,6年级上,exact-single,KV000736,cry,哭；哭泣,reuse-candidate,yes
cup,cup,n. 杯子;奖杯;酒杯 vt. 使成杯状;为...拔火罐,2,1年级上|6年级下,no-existing-match,,,,new-identity-candidate,yes
dad,dad,n. 爸爸;爹爹,1,2年级下,exact-single,KV000409,dad,爸爸,reuse-candidate,yes
dance,dance,n. 舞蹈;舞会;舞曲 adj. 舞蹈的;用于跳舞的 vt. 跳舞;使跳跃 vi. 跳舞;跳跃;飘扬,1,3年级下,exact-single,KV000253,dance,跳舞,reuse-candidate,yes
dangerous,dangerous,adj. 危险的 危险地,1,4年级下,exact-single,KV000413,dangerous,危险的,reuse-candidate,yes
date,date,n. 日期;约会;年代;枣椰子 vt. 确定...年代;和...约会 vi. 过时;注明日期;始于(某一历史时期),1,3年级上,no-existing-match,,,,new-identity-candidate,yes
daughter,daughter,n. 女儿;[遗][农学] 子代 adj. 女儿的;子代的,1,5年级下,no-existing-match,,,,new-identity-candidate,yes
day,day,n. 一天;时期;白昼 adj. 日间的;逐日的 adv. 每天;经常在白天地,1,2年级上,exact-single,KV000373,day,天；一天,reuse-candidate,yes
dear,dear,n. 亲爱的人 adj. 亲爱的;尊敬的;昂贵的 adv. 高价地;疼爱地 int. 哎呀,1,2年级下,exact-single,KV000214,dear,亲爱的,reuse-candidate,yes
december,December,n. 十二月,1,3年级上,exact-single,KV000277,December,十二月,reuse-candidate,yes
decide,decide,"vi. 决定,下决心 vt. 决定;解决;判决",1,6年级上,no-existing-match,,,,new-identity-candidate,yes
deer,deer,n. 鹿,1,1年级上,no-existing-match,,,,new-identity-candidate,yes
desk,desk,n. 办公桌;服务台;编辑部;(美)讲道台;乐谱架 adj. 书桌的;桌上用的;伏案做的,2,1年级下|6年级下,exact-single,KV000055,desk,课桌；书桌,reuse-candidate,yes
different,different,"adj. 不同的;个别的,与众不同的",1,5年级下,exact-single,KV000493,different,不同的,reuse-candidate,yes
difficult,difficult,adj. 困难的;不随和的;执拗的,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
dinner,dinner,"n. 晚餐,晚宴;宴会;正餐",1,5年级上,exact-single,KV000865,dinner,正餐,reuse-candidate,yes
dirty,dirty,"adj. 下流的,卑鄙的;肮脏的;恶劣的;暗淡的 vt. 弄脏 vi. 变脏",1,5年级上,exact-single,KV000367,dirty,脏的,reuse-candidate,yes
dish,dish,n. 盘;餐具;一盘食物;外貌有吸引力的人 vt. 盛于碟盘中;分发;使某人的希望破灭;说(某人)的闲话 vi. 成碟状;闲谈,1,1年级上,no-existing-match,,,,new-identity-candidate,yes
do,do,"vi. 行,足够;生长 n. 要求;规定;C大调音阶中的第一音 v. 做;干;学习;研究;进行;完成;解答;整理;算出;引起;行过 aux. 助动词(构成疑问句和否定句);(代替动词);(用于加强语气) n. (口语)事件;(主英国口语)诈骗;(主英国、新西兰口语)宴会;(口语)必须做到的事情",1,2年级上,exact-single,KV000049,do,助动词（用于疑问句）,reuse-candidate,yes
doctor,doctor,"vt. 修理;篡改,伪造;为...治病;授以博士学位 n. 医生;博士 vi. 就医;行医",1,3年级下,exact-single,KV000425,doctor,医生,reuse-candidate,yes
dog,dog,n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,2,1年级上|2年级上,exact-single,KV000018,dog,狗,reuse-candidate,yes
door,door,"n. 门;家,户;门口;通道",1,4年级上,exact-single,KV000064,door,门,reuse-candidate,yes
down,down,"prep. 沿着,往下 n. 软毛,绒毛;[地质] 开阔的高地 adj. 向下的 vt. 打倒,击败 adv. 向下,下去;在下面 vi. 下降;下去",1,2年级下,no-existing-match,,,,new-identity-candidate,yes
draw,draw,n. 平局;抽签 vi. 拉;拖 vt. 画;拉;吸引,1,5年级上,no-existing-match,,,,new-identity-candidate,yes
dress,dress,n. 连衣裙;女装 vt. 给...穿衣 vi. 穿衣,2,5年级上|6年级上,exact-single,KV000095,dress,连衣裙,reuse-candidate,yes
drink,drink,"n. 酒,饮料;喝酒 vt. 喝,饮;吸收;举杯庆贺 vi. 喝酒;饮水;干杯",2,3年级下|4年级上,exact-single,KV000584,drink,喝；饮料,reuse-candidate,yes
drive,drive,"n. 驱动器;驾车;[心理] 内驱力,推进力;快车道 vi. 开车;猛击;飞跑 vt. 推动,发动(机器等);驾驶(马车,汽车等);驱赶",1,3年级下,no-existing-match,,,,new-identity-candidate,yes
driver,driver,n. 驾驶员;驱动程序;起子;传动器,1,5年级上,exact-single,KV000823,driver,司机,reuse-candidate,yes
drop,drop,n. 滴;落下;空投;微量;滴剂 vt. 滴;使降低;使终止;随口漏出 vi. 下降;终止,1,4年级下,no-existing-match,,,,new-identity-candidate,yes
dropped,dropped,"v. 下降,减少;掉下,滴下(drop的过去式和过去分词形式) adj. 抛踢球得分的",1,4年级下,no-existing-match,,,,new-identity-candidate,yes
duck,duck,n. 鸭子;鸭肉;(英)宝贝儿;零分 vt. 躲避;猛按...入水 vi. 闪避;没入水中,2,1年级下|4年级上,exact-single,KV000244,duck,鸭子,reuse-candidate,yes
ear,ear,n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,2,1年级上|2年级上,exact-single,KV000011,ear,耳朵,reuse-candidate,yes
early,early,adj. 早期的;早熟的 adv. 提早;在初期,1,5年级上,exact-single,KV000581,early,早；早地,reuse-candidate,yes
earth,earth,"n. 地球;地表,陆地;土地,土壤;尘事,俗事;兽穴 vt. 把(电线)[电] 接地;盖(土);追赶入洞穴 vi. 躲进地洞",1,5年级下,exact-single,KV000391,earth,地球,reuse-candidate,yes
east,east,"n. 东方;东风;东方国家 adj. 东方的;向东的;从东方来的 adv. 向东方,在东方",1,5年级上,exact-single,KV000684,east,东；东方,reuse-candidate,yes
easy,easy,"adj. 容易的;舒适的 vt. 发出停划命令 adv. 不费力地,从容地 vi. 停止划桨",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
eat,eat,"vt. 吃,喝;腐蚀;烦扰 vi. 进食;腐蚀,侵蚀",1,4年级上,no-existing-match,,,,new-identity-candidate,yes
egg,egg,n. 蛋;卵子;家伙;鸡蛋 vt. 煽动;怂恿,2,1年级下|2年级下,exact-single,KV000082,egg,鸡蛋；蛋,reuse-candidate,yes
eight,eight,num. 八;八个;第八 n. 八字形 adj. 八的,1,2年级上,exact-single,KV000032,eight,八；八个,reuse-candidate,yes
