MatchKey,DisplayForms,Definitions,OccurrenceCount,Books,CandidateClass,CandidateNoteIDs,CandidateWords,CandidateSenses,AutoDecision,NeedsSenseReview
at,at,prep. 在(表示存在或出现的地点、场所、位置、空间);以(某种价格、速度等);向;达;因为;朝;忙于 n. 阿特(老挝货币基本单位att);[化]砹(极不稳定放射性元素) abbr. 密封的(airtight);气温(air temperature),1,2年级上,exact-single,KV000199,at,在……时刻,reuse-candidate,yes
august,August,n. 八月(简写为Aug) adj. 威严的;令人敬畏的,1,3年级上,exact-single,KV000273,August,八月,reuse-candidate,yes
aunt,aunt,n. 阿姨;姑妈;伯母;舅妈,1,3年级下,exact-single,KV000314,aunt,阿姨；姑姑；姨妈等,reuse-candidate,yes
autumn,autumn,"n. 秋天;成熟期;渐衰期,凋落期 adj. 秋天的,秋季的",1,5年级上,exact-single,KV000171,autumn,秋天,reuse-candidate,yes
bad,bad,"n. 坏事;坏人 adj. 坏的;严重的;劣质的 adv. 很,非常;坏地;邪恶地",1,4年级上,exact-single,KV000226,bad,坏的；糟糕的,reuse-candidate,yes
ball,ball,n. 球;舞会 vt. 捏成球形 vi. 成团块,2,1年级下|3年级上,exact-single,KV000069,ball,球,reuse-candidate,yes
banana,banana,n. 香蕉;喜剧演员;大鹰钩鼻,2,1年级下|3年级下,exact-single,KV000047,banana,香蕉,reuse-candidate,yes
basketball,basketball,n. 篮球;篮球运动,1,5年级上,exact-single,KV000345,basketball,篮球,reuse-candidate,yes
bathroom,bathroom,n. 浴室;厕所;盥洗室,1,2年级下,exact-single,KV000338,bathroom,浴室；卫生间,reuse-candidate,yes
bear,bear,"n. 熊 vt. 结果实,开花(正式) vt. 忍受;承受;具有;支撑",1,5年级上,exact-single,KV000073,bear,熊,reuse-candidate,yes
beautiful,beautiful,adj. 美丽的 出色地 出色的 迷人的 迷人地,1,6年级下,exact-single,KV000316,beautiful,美丽的；漂亮的,reuse-candidate,yes
bed,bed,"n. 床;基础;河底, 海底 vt. 使睡觉;安置,嵌入;栽种 vi. 上床;分层",2,1年级上|2年级下,exact-single,KV000063,bed,床,reuse-candidate,yes
bee,bee,"n. 蜜蜂,蜂;勤劳的人",1,1年级上,exact-single,KV000549,bee,蜜蜂,reuse-candidate,yes
before,before,"prep. 在...之前,先于 conj. 在...以前;在...之前 adv. 以前;在前",1,3年级下,exact-single,KV000456,before,在……之前,reuse-candidate,yes
behind,behind,prep. 落后于;支持;晚于 n. 屁股 adv. 在后地;在原处,1,6年级下,exact-single,KV000067,behind,在……后面,reuse-candidate,yes
best,best,"n. 最好的人,最好的事物;最佳状态 adj. 最好的 vt. 打败,胜过 adv. 最好地",1,3年级下,exact-single,KV000811,best,最好的,reuse-candidate,yes
between,between,prep. 在...之间 adv. 在中间,1,6年级下,exact-single,KV000442,between,在……之间,reuse-candidate,yes
big,big,adj. 大的;重要的;量大的 adv. 大量地;顺利;夸大地,2,2年级上|2年级下,exact-single,KV000119,big,大的,reuse-candidate,yes
bird,bird,n. 鸟;家伙;羽毛球 vt. 向...喝倒彩;起哄 vi. 猎鸟;观察研究野鸟,2,1年级上|3年级下,exact-single,KV000019,bird,鸟,reuse-candidate,yes
birthday,birthday,"n. 生日,诞辰;诞生的日子",1,5年级下,exact-single,KV000278,birthday,生日,reuse-candidate,yes
black,black,n. 黑色;黑人;黑颜料 adj. 黑色的;黑人的;邪恶的 vt. 使变黑;把鞋油等涂在...上;把(眼眶)打成青肿 vi. 变黑,1,3年级下,exact-single,KV000039,black,黑色；黑色的,reuse-candidate,yes
blackboard,blackboard,n. 黑板,1,3年级上,exact-single,KV000056,blackboard,黑板,reuse-candidate,yes
blue,blue,"adj. 蓝色的;沮丧的,忧郁的;下流的 n. 蓝色;[复数](美国海、陆、空三军穿的)蓝色制服;蓝颜料;[the blue(s)][用作单数或复数]布鲁斯(歌曲)(一种伤感的美国黑人民歌 vi. 变成蓝色,呈蓝色 vt. 把...染成蓝色;使成蓝色;给...用上蓝剂;用上蓝剂于",1,2年级下,exact-single,KV000041,blue,蓝色；蓝色的,reuse-candidate,yes
boat,boat,n. 小船;轮船 vi. 划船,2,1年级上|4年级下,exact-single,KV000138,boat,小船,reuse-candidate,yes
body,body,n. 身体;主体;大量;团体;主要部分 vt. 赋以形体,1,2年级上,exact-single,KV000215,body,身体,reuse-candidate,yes
book,book,n. 书籍;卷;帐簿;名册;工作簿 vt. 预订;登记,2,1年级上|4年级上,exact-single,KV000001,book,书；书本,reuse-candidate,yes
box,box,"n. 箱,盒子;包厢;一拳 vt. 拳击;装...入盒中;打耳光 vi. 拳击",2,1年级上|3年级下,exact-single,KV000065,box,盒子；箱子,reuse-candidate,yes
boy,boy,n. 男孩;男人,1,3年级上,exact-single,KV000113,boy,男孩,reuse-candidate,yes
bread,bread,n. 面包;生计 vt. 在...上洒面包屑,1,2年级下,exact-single,KV000233,bread,面包,reuse-candidate,yes
bring,bring,vt. 带来;促使;引起;使某人处于某种情况或境地,1,4年级上,exact-single,KV000757,bring,带来,reuse-candidate,yes
brother,brother,n. 兄弟;同事;战友 int. 我的老兄!,1,5年级上,exact-single,KV000101,brother,兄弟；哥哥；弟弟,reuse-candidate,yes
busy,busy,adj. 忙碌的;热闹的;正被占用的 vt. 使忙于,1,5年级上,exact-single,KV000466,busy,忙的,reuse-candidate,yes
but,but,"conj. 但是;而是;然而 adv. 仅仅,只 prep. 除...以外",1,6年级上,exact-single,KV000529,but,但是,reuse-candidate,yes
buy,buy,"n. 购买,买卖;所购的物品 vi. 买,采购 vt. 购买;获得;贿赂",1,4年级上,exact-single,KV000242,buy,买；购买,reuse-candidate,yes
cake,cake,n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,2,1年级上|2年级上,exact-single,KV000234,cake,蛋糕,reuse-candidate,yes
call,call,n. 电话;呼叫;要求;访问 vi. 呼叫;拜访;叫牌 vt. 呼叫;称呼;召集,1,2年级下,exact-single,KV000578,call,打电话；呼叫,reuse-candidate,yes
canada,Canada,n. 加拿大(北美洲国家),1,5年级上,exact-single,KV000507,Canada,加拿大,reuse-candidate,yes
cap,cap,n. 盖;帽子 vt. 覆盖;胜过;给...戴帽;加盖于 vi. 脱帽致意,2,1年级下|5年级下,exact-single,KV000254,cap,帽子；便帽,reuse-candidate,yes
car,car,n. 汽车;车厢,2,1年级上|2年级下,exact-single,KV000072,car,小汽车；汽车,reuse-candidate,yes
card,card,n. 卡片;纸牌;明信片 vt. 记于卡片上,1,3年级上,exact-single,KV000144,card,卡片；贺卡,reuse-candidate,yes
carrot,carrot,n. 胡萝卜 诱饵,1,5年级下,exact-single,KV000883,carrot,胡萝卜,reuse-candidate,yes
cat,cat,"n. 猫,猫科动物",2,1年级上|2年级上,exact-single,KV000022,cat,猫,reuse-candidate,yes
chair,chair,n. 椅子;讲座;(会议的)主席位;大学教授的职位 vt. 担任(会议的)主席;使...入座;使就任要职,1,2年级下,exact-single,KV000054,chair,椅子,reuse-candidate,yes
chicken,chicken,"n. 鸡肉;小鸡;胆小鬼,懦夫 adj. 鸡肉的;胆怯的;幼小的",1,4年级上,exact-single,KV000081,chicken,鸡肉,reuse-candidate,yes
children,children,n. 孩子们(child的复数),1,3年级下,exact-single,KV000333,children,孩子们,reuse-candidate,yes
china,China,"n. 中国 n. china,瓷器 adj. 中国的;中国制造的 adj. china,瓷制的",1,4年级下,exact-single,KV000511,China,中国,reuse-candidate,yes
chinese,Chinese,"n. 中文,汉语;中国人 adj. 中国的,中国人的;中国话的",1,3年级上,exact-single,KV000282,Chinese,汉语；中文,reuse-candidate,yes
christmas,Christmas,n. 圣诞节;圣诞节期间,1,3年级上,exact-single,KV000141,Christmas,圣诞节,reuse-candidate,yes
city,city,"n. 城市,都市 adj. 城市的;都会的",1,5年级上,exact-single,KV000459,city,城市,reuse-candidate,yes
class,class,"n. 阶级;班级;种类;班;等级 adj. 极好的;很好的,优秀的,出色的 vt. 分类;把...分等级;把...归入某等级,把...看作(或分类、归类);把...编入某一班级 vi. 属于...类(或等级),被列为某类(或某级)",1,2年级上,exact-single,KV000211,class,班；班级,reuse-candidate,yes
classroom,classroom,n. 教室,1,6年级下,exact-single,KV000292,classroom,教室,reuse-candidate,yes
clean,clean,"n. 打扫 adj. 清洁的,干净的;清白的 vt. 使干净 vi. 打扫,清扫 adv. 完全地",1,6年级下,exact-single,KV000806,clean,打扫；干净的,reuse-candidate,yes
clever,clever,adj. 聪明的;机灵的;熟练的 [ 比较级cleverer 最高级 cleverest ],1,4年级上,exact-single,KV000519,clever,聪明的,reuse-candidate,yes
clock,clock,n. 时钟;计时器 vt. 记录;记时 vi. 打卡;记录时间,1,5年级上,exact-single,KV000704,clock,时钟；钟,reuse-candidate,yes
clothes,clothes,n. 衣服,1,6年级上,exact-single,KV000869,clothes,衣服；服装,reuse-candidate,yes
cloudy,cloudy,adj. 多云的;阴天的;愁容满面的,1,3年级上,exact-single,KV000161,cloudy,多云的,reuse-candidate,yes
coat,coat,n. 外套 vt. 覆盖...的表面,2,1年级上|2年级下,exact-single,KV000255,coat,外套,reuse-candidate,yes
cold,cold,"n. 寒冷;感冒 adj. 寒冷的;冷淡的,不热情的;失去知觉的 adv. 完全地",2,2年级下|4年级上,exact-single,KV000176,cold,寒冷的,reuse-candidate,yes
colour,colour,"n. 颜色;风格;气色,面色;外貌 vt. 把...涂颜色,粉饰;歪曲;使脸红 vi. 变色",1,6年级上,exact-single,KV000044,colour,颜色,reuse-candidate,yes
come,come,vi. 来;开始;出现;发生;变成;到达 vt. 做;假装;将满(...岁) int. 嗨!,1,2年级下,exact-single,KV000394,come,来,reuse-candidate,yes
cool,cool,n. 凉爽;凉爽的空气 adj. 凉爽的;冷静的;出色的 vt. 使...冷却;使...平静下来 vi. 变凉;平息 adv. 冷静地,2,2年级下|3年级上,exact-single,KV000175,cool,凉爽的,reuse-candidate,yes
country,country,"n. 国家,国土;国民;乡下,农村;乡村;故乡 adj. 祖国的,故乡的;地方的,乡村的;国家的;粗鲁的;乡村音乐的",1,4年级下,exact-single,KV000518,country,国家,reuse-candidate,yes
cousin,cousin,n. 堂兄弟姊妹;表兄弟姊妹,1,5年级上,exact-single,KV000315,cousin,堂兄弟姐妹；表兄弟姐妹,reuse-candidate,yes
cow,cow,"n. 奶牛,母牛;母兽 vt. 威胁,恐吓",2,1年级下|2年级上,exact-single,KV000546,cow,奶牛；母牛,reuse-candidate,yes
crayon,crayon,"n. 蜡笔,有色粉笔 vt. 以蜡笔作画,用颜色粉笔画",1,6年级下,exact-single,KV000399,crayon,蜡笔,reuse-candidate,yes
cry,cry,n. 叫喊;叫声;口号;呼叫 vi. 哭;叫;喊 vt. 叫喊;哭出;大声说,1,6年级上,exact-single,KV000736,cry,哭；哭泣,reuse-candidate,yes
dad,dad,n. 爸爸;爹爹,1,2年级下,exact-single,KV000409,dad,爸爸,reuse-candidate,yes
dance,dance,n. 舞蹈;舞会;舞曲 adj. 舞蹈的;用于跳舞的 vt. 跳舞;使跳跃 vi. 跳舞;跳跃;飘扬,1,3年级下,exact-single,KV000253,dance,跳舞,reuse-candidate,yes
dangerous,dangerous,adj. 危险的 危险地,1,4年级下,exact-single,KV000413,dangerous,危险的,reuse-candidate,yes
day,day,n. 一天;时期;白昼 adj. 日间的;逐日的 adv. 每天;经常在白天地,1,2年级上,exact-single,KV000373,day,天；一天,reuse-candidate,yes
dear,dear,n. 亲爱的人 adj. 亲爱的;尊敬的;昂贵的 adv. 高价地;疼爱地 int. 哎呀,1,2年级下,exact-single,KV000214,dear,亲爱的,reuse-candidate,yes
december,December,n. 十二月,1,3年级上,exact-single,KV000277,December,十二月,reuse-candidate,yes
desk,desk,n. 办公桌;服务台;编辑部;(美)讲道台;乐谱架 adj. 书桌的;桌上用的;伏案做的,2,1年级下|6年级下,exact-single,KV000055,desk,课桌；书桌,reuse-candidate,yes
different,different,"adj. 不同的;个别的,与众不同的",1,5年级下,exact-single,KV000493,different,不同的,reuse-candidate,yes
dinner,dinner,"n. 晚餐,晚宴;宴会;正餐",1,5年级上,exact-single,KV000865,dinner,正餐,reuse-candidate,yes
dirty,dirty,"adj. 下流的,卑鄙的;肮脏的;恶劣的;暗淡的 vt. 弄脏 vi. 变脏",1,5年级上,exact-single,KV000367,dirty,脏的,reuse-candidate,yes
do,do,"vi. 行,足够;生长 n. 要求;规定;C大调音阶中的第一音 v. 做;干;学习;研究;进行;完成;解答;整理;算出;引起;行过 aux. 助动词(构成疑问句和否定句);(代替动词);(用于加强语气) n. (口语)事件;(主英国口语)诈骗;(主英国、新西兰口语)宴会;(口语)必须做到的事情",1,2年级上,exact-single,KV000049,do,助动词（用于疑问句）,reuse-candidate,yes
doctor,doctor,"vt. 修理;篡改,伪造;为...治病;授以博士学位 n. 医生;博士 vi. 就医;行医",1,3年级下,exact-single,KV000425,doctor,医生,reuse-candidate,yes
dog,dog,n. 狗;丑女人;卑鄙的人;(俚)朋友 vt. 跟踪;尾随,2,1年级上|2年级上,exact-single,KV000018,dog,狗,reuse-candidate,yes
door,door,"n. 门;家,户;门口;通道",1,4年级上,exact-single,KV000064,door,门,reuse-candidate,yes
dress,dress,n. 连衣裙;女装 vt. 给...穿衣 vi. 穿衣,2,5年级上|6年级上,exact-single,KV000095,dress,连衣裙,reuse-candidate,yes
drink,drink,"n. 酒,饮料;喝酒 vt. 喝,饮;吸收;举杯庆贺 vi. 喝酒;饮水;干杯",2,3年级下|4年级上,exact-single,KV000584,drink,喝；饮料,reuse-candidate,yes
driver,driver,n. 驾驶员;驱动程序;起子;传动器,1,5年级上,exact-single,KV000823,driver,司机,reuse-candidate,yes
duck,duck,n. 鸭子;鸭肉;(英)宝贝儿;零分 vt. 躲避;猛按...入水 vi. 闪避;没入水中,2,1年级下|4年级上,exact-single,KV000244,duck,鸭子,reuse-candidate,yes
ear,ear,n. 耳朵;穗;听觉;倾听 vi. (美俚)听见;抽穗,2,1年级上|2年级上,exact-single,KV000011,ear,耳朵,reuse-candidate,yes
early,early,adj. 早期的;早熟的 adv. 提早;在初期,1,5年级上,exact-single,KV000581,early,早；早地,reuse-candidate,yes
earth,earth,"n. 地球;地表,陆地;土地,土壤;尘事,俗事;兽穴 vt. 把(电线)[电] 接地;盖(土);追赶入洞穴 vi. 躲进地洞",1,5年级下,exact-single,KV000391,earth,地球,reuse-candidate,yes
east,east,"n. 东方;东风;东方国家 adj. 东方的;向东的;从东方来的 adv. 向东方,在东方",1,5年级上,exact-single,KV000684,east,东；东方,reuse-candidate,yes
egg,egg,n. 蛋;卵子;家伙;鸡蛋 vt. 煽动;怂恿,2,1年级下|2年级下,exact-single,KV000082,egg,鸡蛋；蛋,reuse-candidate,yes
eight,eight,num. 八;八个;第八 n. 八字形 adj. 八的,1,2年级上,exact-single,KV000032,eight,八；八个,reuse-candidate,yes
elephant,elephant,n. 象;大号图画纸,2,1年级下|2年级上,exact-single,KV000543,elephant,大象,reuse-candidate,yes
eleven,eleven,num. 十一;十一个 n. 十一;十一个 adj. 十一的;十一个的,1,2年级上,exact-single,KV000179,eleven,十一；十一个,reuse-candidate,yes
english,English,n. 英语;英国人;英文;英格兰人 adj. 英国人的;英国的;英文的 vt. 把...译成英语,1,5年级上,exact-single,KV000283,English,英语,reuse-candidate,yes
enjoy,enjoy,"vt. 欣赏,享受;喜爱;使过得快活",1,5年级下,exact-single,KV000395,enjoy,喜欢；享受,reuse-candidate,yes
eraser,eraser,n. 橡皮;擦除器;[计] 清除器,1,3年级上,exact-single,KV000398,eraser,橡皮,reuse-candidate,yes
evening,evening,n. 晚上;傍晚;(联欢性的)晚会;后期 adj. 在晚上的;为晚上的;晚上用的 int. 晚上好(等于good evening),1,2年级下,exact-single,KV000366,evening,晚上,reuse-candidate,yes
excited,excited,v. 激动;唤起(excite的过去分词) adj. 兴奋的;激动的;活跃的,1,5年级下,exact-single,KV000732,excited,兴奋的；激动的,reuse-candidate,yes
exercise,exercise,n. 运动;练习;运用;操练;礼拜;典礼 vt. 锻炼;练习;使用;使忙碌;使惊恐 vi. 运动;练习,1,5年级下,exact-single,KV000582,exercise,锻炼；运动,reuse-candidate,yes
eye,eye,"n. 眼睛;视力;眼光;见解,观点 vt. 注视,看",2,1年级上|2年级上,exact-single,KV000012,eye,眼睛,reuse-candidate,yes
face,face,n. 脸;表面;面子;面容;外观;威信 vi. 向;朝 vt. 面对;面向;承认;抹盖,1,6年级下,exact-single,KV000010,face,脸；面部,reuse-candidate,yes
family,family,n. 家庭;亲属;家族;子女;[生]科;语族;[化]族 adj. 家庭的;家族的;适合于全家的,1,5年级上,exact-single,KV000312,family,家庭；家人,reuse-candidate,yes
famous,famous,"adj. 著名的;极好的,非常令人满意的",1,5年级下,exact-single,KV000686,famous,著名的,reuse-candidate,yes
farm,farm,"n. 农场;农家;畜牧场 vt. 养殖;耕种;佃出(土地) vi. 种田,务农;经营农场",1,6年级上,exact-single,KV000550,farm,农场,reuse-candidate,yes
farmer,farmer,"n. 农夫,农民",1,4年级上,exact-single,KV000429,farmer,农民,reuse-candidate,yes
fast,fast,"n. 斋戒;绝食 adj. 快速的,迅速的;紧的,稳固的 adv. 迅速地;紧紧地;彻底地 vi. 禁食,斋戒",1,5年级上,exact-single,KV000551,fast,快的；快速地,reuse-candidate,yes
father,father,"n. 父亲,爸爸;神父;祖先;前辈 vt. 发明,创立;当...的父亲",1,3年级下,exact-single,KV000099,father,爸爸；父亲,reuse-candidate,yes
favourite,favourite,n. 特别喜爱的人(或物) adj. 特别受喜爱的,1,3年级下,exact-single,KV000177,favourite,最喜欢的,reuse-candidate,yes
february,February,n. 二月,1,3年级上,exact-single,KV000267,February,二月,reuse-candidate,yes
feed,feed,n. 饲料;饲养;(动物或婴儿的)一餐 vt. 喂养;供给;放牧;抚养(家庭等);靠...为生 vi. 吃东西;流入,1,6年级下,exact-single,KV000887,feed,给食物；饲养,reuse-candidate,yes
fifteenth,fifteenth,adj. 第十五的;十五分之一的 num. 第十五,1,3年级上,exact-single,KV000664,fifteenth,第十五,reuse-candidate,yes
fifth,fifth,num. 第五 n. 第五;五分之一 adj. 第五的;五分之一的,1,3年级上,exact-single,KV000602,fifth,第五,reuse-candidate,yes
fifty,fifty,n. 五十;五十个;编号为50的东西 adj. 五十的;五十个的;众多的,1,2年级下,exact-single,KV000184,fifty,五十,reuse-candidate,yes
film,film,n. 电影;薄膜;胶卷;轻烟 vt. 在...上覆以薄膜;把...拍成电影 vi. 摄制电影;生薄膜;变得朦胧,1,2年级上,exact-single,KV000390,film,电影,reuse-candidate,yes
find,find,"n. 发现 vi. 裁决 vt. 查找,找到;发现;认为;感到;获得",1,2年级下,exact-single,KV000405,find,找到；发现,reuse-candidate,yes
first,first,num. 第一 n. 第一;开始;冠军 adj. 第一的;基本的;最早的 adv. 第一;首先;优先;宁愿,1,3年级上,exact-single,KV000279,first,第一；首先,reuse-candidate,yes
fish,fish,"n. 鱼,鱼类 vt. 钓鱼,捕鱼;搜寻 vi. 捕鱼,钓鱼;用钩捞取",2,1年级上|2年级下,exact-single,KV000080,fish,鱼；鱼肉,reuse-candidate,yes
five,five,"num. 五,五个 n. 五,五个;五美元钞票 adj. 五的;五个的",1,2年级下,exact-single,KV000029,five,五；五个,reuse-candidate,yes
floor,floor,"n. 地板,地面;楼层;基底;议员席 vt. 铺地板;打倒,击倒;(被困难)难倒",1,4年级下,exact-single,KV000298,floor,楼层；地板,reuse-candidate,yes
flower,flower,"n. 花;精华;开花植物 vt. 使开花;用花装饰 vi. 成熟,发育;开花;繁荣;旺盛",1,6年级下,exact-single,KV000137,flower,花,reuse-candidate,yes
fly,fly,n. 飞行;苍蝇;两翼昆虫 adj. 敏捷的 vi. 飞;驾驶飞机;飘扬 vt. 飞行;飞越;使飘扬,1,3年级下,exact-single,KV000831,fly,操纵（飞行器等）；飞,reuse-candidate,yes
follow,follow,"n. 跟随;追随 vi. 跟随;接着 vt. 跟随;遵循;追求;密切注意,注视;注意;倾听",1,5年级下,exact-single,KV000861,follow,听从；遵循,reuse-candidate,yes
food,food,n. 食物;养料,1,3年级下,exact-single,KV000893,food,菜肴；食物,reuse-candidate,yes
foot,foot,n. 脚;英尺;步调;末尾 vt. 支付;给......换底 vi. 步行;跳舞;总计,1,1年级上,exact-single,KV000221,foot,脚,reuse-candidate,yes
football,football,"n. 足球,橄榄球 vi. 踢足球;打橄榄球",2,3年级上|6年级上,exact-single,KV000815,football,足球运动,reuse-candidate,yes
for,for,"prep. 为,为了;因为;给;对于;至于;适合于 conj. 因为",1,2年级下,exact-single,KV000150,for,给；为了,reuse-candidate,yes
forest,forest,"n. 森林 vt. 植树于,使成为森林",1,5年级下,exact-single,KV000693,forest,森林,reuse-candidate,yes
forget,forget,vi. 忘记 vt. 忘记;忽略,1,5年级上,exact-single,KV000532,forget,忘记,reuse-candidate,yes
forty,forty,n. 四十 adj. 四十的;四十个的,1,3年级上,exact-single,KV000183,forty,四十,reuse-candidate,yes
four,four,num. 四;四个 adj. 四的;四个的,1,2年级上,exact-single,KV000028,four,四；四个,reuse-candidate,yes
friday,Friday,n. 星期五,1,6年级下,exact-single,KV000205,Friday,星期五,reuse-candidate,yes
friend,friend,n. 朋友;助手;赞助者,1,5年级上,exact-single,KV000109,friend,朋友,reuse-candidate,yes
friendly,friendly,"adj. 友好的;亲切的;支持的;融洽的,和睦的 adv. 友善地;温和地",1,6年级下,exact-single,KV000523,friendly,友好的,reuse-candidate,yes
fruit,fruit,n. 水果;产物 vt. 使......结果实 vi. 结果实,1,5年级上,exact-single,KV000235,fruit,水果,reuse-candidate,yes
fun,fun,n. 乐趣;玩笑;有趣的人或事 adj. 供娱乐用的 vi. 开玩笑,1,3年级下,exact-single,KV000362,fun,乐趣；有趣,reuse-candidate,yes
garden,garden,n. 花园;菜园 vt. 栽培花木 vi. 从事园艺;在园中种植,1,6年级下,exact-single,KV000386,garden,花园,reuse-candidate,yes
gate,gate,n. 大门;出入口;门道 vt. 给...装大门,1,1年级上,exact-single,KV000388,gate,大门,reuse-candidate,yes
get,get,n. 生殖;幼兽 vi. 成为;变得;到达 vt. 使得,1,4年级上,exact-single,KV000453,get,得到；取得,reuse-candidate,yes
girl,girl,"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",2,1年级上|3年级上,exact-single,KV000111,girl,女孩,reuse-candidate,yes
go,go,n. 去;进行;尝试 vi. 走;达到;运转;趋于 vt. 忍受;出产;以...打赌 [复数 goes 第三人称单数 goes 过去式 went 过去分词 gone 现在分词 going],1,2年级上,exact-single,KV000133,go,去,reuse-candidate,yes
grandfather,grandfather,n. 祖父;始祖 vt. 不受新规定限制,1,2年级上,exact-single,KV000104,grandfather,爷爷；外公,reuse-candidate,yes
grandmother,grandmother,n. 祖母;女祖先 vt. 当...的祖母 vi. 当祖母,1,2年级上,exact-single,KV000103,grandmother,奶奶；外婆,reuse-candidate,yes
grass,grass,"n. 草;草地,草坪 vt. 放牧;使......长满草;使......吃草 vi. 长草",1,6年级下,exact-single,KV000135,grass,草,reuse-candidate,yes
great,great,"n. 大师;大人物;伟人们 adj. 伟大的,重大的;极好的,好的;主要的",1,3年级下,exact-single,KV000432,great,很棒的；伟大的,reuse-candidate,yes
green,green,n. 绿色;青春 adj. 绿色的;青春的 vt. 使...变绿色 vi. 变绿色,1,2年级下,exact-single,KV000043,green,绿色；绿色的,reuse-candidate,yes
hair,hair,n. 头发;毛发;些微 adj. 毛发的;护理毛发的;用毛发制成的 vt. 除去...的毛发 vi. 生长毛发;形成毛状纤维,2,1年级下|2年级上,exact-single,KV000217,hair,头发,reuse-candidate,yes
hamburger,hamburger,"n. 汉堡包,火腿汉堡;牛肉饼,肉饼;碎牛肉",1,4年级上,exact-single,KV000410,hamburger,汉堡包,reuse-candidate,yes
hand,hand,"n. 手,手艺;帮助;指针;插手 vt. 传递,交给;支持;搀扶",1,2年级上,exact-single,KV000219,hand,手,reuse-candidate,yes
hard,hard,adj. 努力的;硬的;困难的;辛苦的;确实的;严厉的;猛烈的;冷酷无情的 adv. 努力地;困难地;辛苦地;接近地;猛烈地;牢固地,1,3年级下,exact-single,KV000860,hard,努力地；费力地,reuse-candidate,yes
has,has,"v. 有,吃,得到,从事,允许,雇用,享有(have的第三人称单数);(亲属关系中)接受;拿;买到",1,4年级下,exact-single,KV000541,has,有（have的第三人称单数）,reuse-candidate,yes
have,have,aux. 已经 vt. 有;让;拿;从事;允许,1,5年级下,exact-single,KV000007,have,有,reuse-candidate,yes
he,he,"n. 男孩,男人;它(雄性动物) pron. 他",1,2年级下,exact-single,KV000106,he,他,reuse-candidate,yes
head,head,n. 头;头痛;上端;最前的部分;理解力 adj. 头的;主要的;在顶端的 vt. 前进;用头顶;作为...的首领;站在...的前头;给...加标题 vi. 出发;成头状物;船驶往,2,1年级下|6年级下,exact-single,KV000216,head,头；头部,reuse-candidate,yes
headache,headache,n. 头痛;麻烦;令人头痛之事,1,4年级下,exact-single,KV000586,headache,头痛,reuse-candidate,yes
hear,hear,"vi. 听;听见 vt. 听到,听;听说;审理",1,3年级下,exact-single,KV000759,hear,听见；听到,reuse-candidate,yes
her,her,pron. 她(she的宾格);她的(she的所有格);她(指某个国家;一艘船),1,2年级上,exact-single,KV000117,her,她的,reuse-candidate,yes
hill,hill,n. 小山;丘陵;斜坡;山冈,1,6年级上,exact-single,KV000140,hill,小山,reuse-candidate,yes
his,his,pron. 他的,1,2年级上,exact-single,KV000115,his,他的,reuse-candidate,yes
