NoteID,CanonicalWord,Word,PromptHint,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,Sources,SourceBooks,Tags
KV000109,friend,friend,,[frend],[frend],朋友,My friend and I read books after school.,我和朋友放学后一起读书。,4,rj_start1,rj_start1::2年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000115,his,his,,[hɪz],[hɪz; ɪz],他的,His schoolbag is under the desk.,他的书包在课桌下面。,4,rj_start1,rj_start1::2年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::上 stage::grade4-current
KV000121,pretty,pretty,,[ˈprɪti],[ˈprɪti],漂亮的,She looks pretty in that red dress.,她穿那条红色连衣裙很好看。,4,rj_start1,rj_start1::2年级上|rj_start1::4年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::4 source::rj_start1::grade::4::下 stage::library
KV000127,bookshop,bookshop,,[ˈbʊkʃɒp],[ˈbʊkʃɑːp],书店,There is a small bookshop near our school.,我们学校附近有一家小书店。,4,rj_start1,rj_start1::2年级上|rj_start1::4年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::4 source::rj_start1::grade::4::下 stage::library
KV000129,school,school,,[skuːl],[skuːl],学校,I walk to school with my friend every day.,我每天和朋友一起走路上学。,4,rj_start1,rj_start1::2年级上|rj_start1::4年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::4 source::rj_start1::grade::4::下 stage::library
KV000130,supermarket,supermarket,,[ˈsuːpəmɑːkɪt],[ˈsuːpərmɑːrkɪt],超市,There is a supermarket near my home.,我家附近有一家超市。,4,rj_start1,rj_start1::2年级上|rj_start1::4年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::4 source::rj_start1::grade::4::下 stage::grade4-current
KV000131,park,park,,[pɑːk],[pɑːrk],公园,We play football in the park after school.,我们放学后在公园踢足球。,4,rj_start1,rj_start1::2年级上|rj_start1::4年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-current
KV000132,hospital,hospital,,[ˈhɒspɪt(ə)l],[ˈhɑːspɪtl],医院,The hospital is near the supermarket.,医院在超市附近。,4,rj_start1,rj_start1::2年级上|rj_start1::4年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::4 source::rj_start1::grade::4::下 stage::grade4-current
KV000153,play football,play football,,,,踢足球,I play football after school.,我放学后踢足球。,4,rj_start1,rj_start1::2年级下|rj_start1::3年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000157,swim,swim,,[swɪm],[swɪm],游泳,We swim at the sports centre on Saturdays.,我们星期六在体育中心游泳。,4,rj_start1,rj_start1::2年级下|rj_start1::3年级下|rj_start1::4年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-current
KV000160,rainy,rainy,,[ˈreɪni],[ˈreɪni],下雨的；多雨的,We stay inside and read on rainy days.,下雨天我们待在室内读书。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000161,cloudy,cloudy,,[ˈklaʊdi],[ˈklaʊdi],多云的,"The sky is cloudy, but it is not cold.",天空多云，但并不冷。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000162,snowy,snowy,,[ˈsnəʊi],[ˈsnoʊi],下雪的；多雪的,We made a snowman on a snowy morning.,一个下雪的早晨我们堆了雪人。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000163,windy,windy,,[ˈwɪndi],[ˈwɪndi],有风的；多风的,"It is windy, so hold your hat.",风很大，所以扶好你的帽子。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000164,sunny,sunny,,[ˈsʌni],[ˈsʌni],晴朗的；阳光充足的,We went for a picnic on a sunny day.,一个晴天我们去野餐了。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000166,weather,weather,,[ˈweðə(r)],[ˈweðər],天气,How is the weather?,天气怎么样？,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000169,spring,spring,,[sprɪŋ],[sprɪŋ],春天,We often fly kites in spring.,春天我们经常放风筝。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000170,summer,summer,,[ˈsʌmə(r)],[ˈsʌmər],夏天,I like swimming with my friends in summer.,夏天我喜欢和朋友们一起游泳。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000171,autumn,autumn,,[ˈɔːtəm],[ˈɔːtəm; ˈɑːtəm],秋天,The leaves turn yellow in autumn.,秋天树叶变黄。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000172,winter,winter,,[ˈwɪntə(r)],[ˈwɪntər],冬天,We make snowmen in winter with our friends.,冬天我们和朋友们一起堆雪人。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000173,hot,hot,,[hɒt],[hɑːt],热的,It is too hot to play outside at noon.,中午太热，不适合在外面玩。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000174,warm,warm,,[wɔːm],[wɔːrm],温暖的,It is warm today.,今天很暖和。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000175,cool,cool,,[kuːl],[kuːl],凉爽的,It is cool enough to walk outside this evening.,今晚天气很凉爽，适合出去走走。,4,rj_start1,rj_start1::2年级下|rj_start1::5年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::5 source::rj_start1::grade::5::上 stage::grade4-current
KV000176,cold,cold,,[kəʊld],[kəʊld],寒冷的,Put on your coat because it is cold outside.,外面很冷，把外套穿上。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000177,favourite,favourite,,[ˈfeɪvərɪt],[ˈfeɪvərɪt],最喜欢的,Spring is my favourite season.,春天是我最喜欢的季节。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000178,season,season,,[ˈsiːzn],[ˈsiːzn],季节,What is your favourite season?,你最喜欢哪个季节？,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000190,get up,get up,,[ɡet ʌp],[ɡet ʌp],起床,I usually get up at seven on school days.,上学日我通常七点起床。,4,rj_start1,rj_start1::2年级下|rj_start1::4年级上|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-current
KV000192,go to school,go to school,,[ˌɡəʊ tə ˈskuːl],[ˌɡoʊ tə ˈskuːl],上学,I usually go to school by bus.,我通常坐公交车上学。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000194,go home,go home,,[ˌɡəʊ ˈhəʊm],[ˌɡoʊ ˈhoʊm],回家,I usually go home after school at five.,我通常放学后五点回家。,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000196,go to bed,go to bed,,[ˌɡəʊ tə ˈbed],[ˌɡoʊ tə ˈbed],上床睡觉,I usually go to bed before nine.,我通常九点前上床睡觉。,4,rj_start1,rj_start1::2年级下|rj_start1::5年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::5 source::rj_start1::grade::5::下 stage::grade4-current
KV000197,when,when,,[wen],[wen],什么时候,When do you get up?,你什么时候起床？,4,rj_start1,rj_start1::2年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::2 source::rj_start1::grade::2::下 stage::grade4-current
KV000201,Monday,Monday,,[ˈmʌndeɪ],[ˈmʌndeɪ],星期一,We have English and music on Monday.,我们星期一有英语课和音乐课。,4,rj_start1,rj_start1::2年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000202,Tuesday,Tuesday,,[ˈtjuːzdeɪ],[ˈtuːzdeɪ],星期二,I go to the drawing club on Tuesday.,我星期二去绘画社团。,4,rj_start1,rj_start1::2年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000203,Wednesday,Wednesday,,[ˈwenzdeɪ],[ˈwenzdeɪ],星期三,We play basketball after school on Wednesday.,我们星期三放学后打篮球。,4,rj_start1,rj_start1::2年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000204,Thursday,Thursday,,[ˈθɜːzdeɪ],[ˈθɜːrzdeɪ],星期四,I read in the library on Thursday afternoon.,我星期四下午在图书馆读书。,4,rj_start1,rj_start1::2年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
