NoteID,CanonicalWord,Word,PromptHint,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,LearningOrder,Sources,SourceBooks,Tags
KV000056,blackboard,blackboard,,[ˈblækbɔːd],[ˈblækbɔːrd],黑板,There are some English words on the blackboard.,黑板上有一些英文单词。,4,000120,rj_start1,rj_start1::1年级下|rj_start1::3年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::grade4-current
KV000062,light,light,,[laɪt],[laɪt],灯,Please turn off the light before you leave.,离开前请关灯。,4,000119,rj_start1,rj_start1::1年级下|rj_start1::3年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::grade4-current
KV000063,bed,bed,,[bed],[bed],床,I read a book on my bed after school.,放学后我在床上读书。,4,,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000064,door,door,,[dɔː(r)],[dɔːr],门,Please close the door before class.,上课前请把门关上。,4,000125,rj_start1,rj_start1::1年级下|rj_start1::3年级下|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::grade4-current
KV000065,box,box,,[bɒks],[bɑːks],盒子；箱子,I keep my pencils in this box.,我把铅笔放在这个盒子里。,4,,rj_start1,rj_start1::1年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000077,rice,rice,,[raɪs],[raɪs],米饭,We usually eat rice with vegetables.,我们通常把米饭和蔬菜一起吃。,4,,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000078,noodles,noodles,,[ˈnuːd(ə)lz],[ˈnuːd(ə)lz],面条,I had noodles for dinner yesterday.,我昨天晚饭吃了面条。,4,,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000080,fish,fish,,[fɪʃ],[fɪʃ],鱼；鱼肉,We had fish and rice for lunch.,我们午饭吃了鱼和米饭。,4,,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::6年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 source::rj_start1::grade::6 source::rj_start1::grade::6::上 stage::library
KV000081,chicken,chicken,,[ˈtʃɪkɪn],[ˈtʃɪkɪn],鸡肉,My mother cooked chicken for dinner.,妈妈晚饭做了鸡肉。,4,000195,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000082,egg,egg,,[eɡ],[eɡ],鸡蛋；蛋,I had an egg and some milk for breakfast.,我早饭吃了一个鸡蛋，还喝了些牛奶。,4,,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000092,shirt,shirt,,[ʃɜːt],[ʃɜːrt],衬衫,I wore a blue shirt to school today.,我今天穿了一件蓝色衬衫去学校。,4,000095,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000093,T-shirt,T-shirt,,[ˈtiː ʃɜːt],[ˈtiː ʃɜːrt],T恤衫,This T-shirt is too small for me now.,这件T恤现在对我来说太小了。,4,000106,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000094,skirt,skirt,,[skɜːt],[skɜːrt],短裙；裙子,She wore a red skirt to the party.,她穿着一条红裙子去参加聚会。,4,000176,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000095,dress,dress,,[dres],[dres],连衣裙,My sister wore a yellow dress to the party.,我妹妹穿着一条黄色连衣裙去参加聚会。,4,000097,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000096,socks,sock,,[sɒk],[sɑːk],短袜,This sock is blue.,这只短袜是蓝色的。,4,000092,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000097,shorts,shorts,,[ʃɔːts],[ʃɔːrts],短裤,I wear shorts when it is hot.,天气热的时候我穿短裤。,4,000174,rj_start1,rj_start1::1年级下|rj_start1::3年级上|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000098,your,your,,[jɔː(r); jə(r)],[jʊr; jər],你的；你们的,Is this your ruler or mine?,这是你的尺子还是我的？,4,,rj_start1,rj_start1::1年级下|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000099,father,father,,[ˈfɑːðə(r)],[ˈfɑːðər],爸爸；父亲,My father usually drives me to school.,我爸爸通常开车送我上学。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000100,mother,mother,,[ˈmʌðə(r)],[ˈmʌðər],妈妈；母亲,My mother likes reading after dinner.,我妈妈喜欢晚饭后读书。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000101,brother,brother,,[ˈbrʌðə(r)],[ˈbrʌðər],兄弟；哥哥；弟弟,My brother and I play basketball after school.,我和哥哥（弟弟）放学后打篮球。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000102,sister,sister,,[ˈsɪstə(r)],[ˈsɪstər],姐妹；姐姐；妹妹,My sister is drawing a picture in her room.,我姐姐（妹妹）正在房间里画画。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000103,grandmother,grandmother,,[ˈɡrænmʌðə(r)],[ˈɡrænmʌðər],奶奶；外婆,My grandmother reads with me before bed.,我奶奶（外婆）睡前和我一起读书。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000104,grandfather,grandfather,,[ˈɡrænfɑːðə(r)],[ˈɡrænfɑːðər],爷爷；外公,My grandfather walks in the park every morning.,我爷爷（外公）每天早上在公园散步。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000116,name,name,,[neɪm],[neɪm],名字,Her name is on the first page of the book.,她的名字在书的第一页上。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000119,big,big,,[bɪɡ],[bɪɡ],大的,Our school is big and has many classrooms.,我们学校很大，有很多教室。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000123,short,short,,[ʃɔːt],[ʃɔːrt],矮的；短的,This ruler is too short for the desk.,这把尺子对这张课桌来说太短了。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000124,handsome,handsome,,[ˈhænsəm],[ˈhænsəm],英俊的,My uncle looks handsome in his new shirt.,我叔叔穿新衬衫看起来很帅。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000125,new,new,,[njuː],[nuː],新的,I got a new schoolbag for the new term.,新学期我有了一个新书包。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000150,for,for,,[fə(r)],[fər; fɔːr],给；为了,I made this card for my mother.,我为妈妈做了这张卡片。,4,,rj_start1,rj_start1::2年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000153,play football,play football,,,,踢足球,I play football after school.,我放学后踢足球。,4,,rj_start1,rj_start1::2年级下|rj_start1::3年级下|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000154,fly a kite,fly a kite,,,,放风筝,We often fly a kite in the park on windy days.,有风的日子我们经常在公园放风筝。,4,,rj_start1,rj_start1::2年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000155,ride a bike,ride a bike,,,,骑自行车,I often ride a bike in the park after school.,我放学后经常在公园骑自行车。,4,,rj_start1,rj_start1::2年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000156,make a model plane,make a model plane,,,,做飞机模型,I make a model plane with my friend after school.,放学后我和朋友一起做飞机模型。,4,,rj_start1,rj_start1::2年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000157,swim,swim,,[swɪm],[swɪm],游泳,We swim at the sports centre on Saturdays.,我们星期六在体育中心游泳。,4,000088,rj_start1,rj_start1::2年级下|rj_start1::3年级下|rj_start1::4年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::grade4-current
KV000158,make a snowman,make a snowman,,,,堆雪人,Let's make a snowman.,我们来堆雪人吧。,4,,rj_start1,rj_start1::2年级下|rj_start1::3年级下,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::2 source::rj_start1::grade::2::下 source::rj_start1::grade::3 source::rj_start1::grade::3::下 stage::library
KV000208,year,year,,[jɪə(r)],[jɪr],年；岁,There are twelve months in a year.,一年有十二个月。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000209,old,old,,[əʊld],[oʊld],……岁的；年老的,How old are you?,你几岁？,4,000062,rj_start1,rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000210,how old,how old,,,,几岁；多大,How old is your sister?,你妹妹几岁？,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000211,class,class,,[klɑːs],[klæs],班；班级,There are twenty students in our class.,我们班有二十名学生。,4,000114,rj_start1,rj_start1::3年级上|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000212,grade,grade,,[ɡreɪd],[ɡreɪd],年级,I am in Grade Four this year.,我今年上四年级。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000213,age,age,,[eɪdʒ],[eɪdʒ],年龄,What is your name and age?,你叫什么名字，多大了？,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000214,dear,dear,,[dɪə(r)],[dɪr],亲爱的,Dear Amy thank you for your birthday card.,亲爱的艾米，谢谢你的生日贺卡。,4,000177,rj_start1,rj_start1::3年级上|rj_start1::klose-current::4年级下,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::下 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000215,body,body,,[ˈbɒdi],[ˈbɑːdi],身体,Playing sports helps keep my body strong.,运动有助于让我的身体保持强壮。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000216,head,head,,[hed],[hed],头；头部,My head hurts.,我的头疼。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000217,hair,hair,,[heə(r)],[her],头发,Her hair is long.,她的头发很长。,4,000022,rj_start1,rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000218,arm,arm,,[ɑːm],[ɑːrm],手臂,My arm hurts.,我的手臂疼。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000219,hand,hand,,[hænd],[hænd],手,Raise your hand if you know the answer.,如果你知道答案，就举手。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000220,leg,leg,,[leɡ],[leɡ],腿,My leg hurts after running.,跑步后我的腿疼。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000221,foot,foot,,[fʊt],[fʊt],脚,My right foot hurts after football.,踢足球后我的右脚疼。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000222,feet,feet,,[fiːt],[fiːt],脚（foot的复数）,My feet are cold after walking in the snow.,在雪地里走过以后我的脚很冷。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000223,the matter,the matter,,,,问题；怎么了,What's the matter?,怎么了？,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000224,hurt,hurt,,[hɜːt],[hɜːrt],疼；受伤,My leg hurts.,我的腿疼。,4,,rj_start1,rj_start1::3年级上|rj_start1::6年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 source::rj_start1::grade::6 source::rj_start1::grade::6::上 stage::library
KV000225,help,help,,[help],[help],帮助；帮忙,Can I help you?,我能帮你吗？,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000226,bad,bad,,[bæd],[bæd],坏的；糟糕的,Too much ice-cream is bad for your teeth.,吃太多冰淇淋对牙齿不好。,4,000070,rj_start1,rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
KV000227,bite,bite,,[baɪt],[baɪt],咬,Be careful because this dog may bite.,小心，因为这只狗可能会咬人。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000228,tongue,tongue,,[tʌŋ],[tʌŋ],舌头,My tongue hurts.,我的舌头疼。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000229,kick,kick,,[kɪk],[kɪk],踢,Don't kick the ball here.,不要在这里踢球。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000230,morning,morning,,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],早晨；上午,I usually read English for ten minutes every morning.,我通常每天早晨读十分钟英语。,4,,rj_start1,rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000231,afternoon,afternoon,,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],下午,We have PE class on Friday afternoon.,我们星期五下午有体育课。,4,000034,rj_start1,rj_start1::3年级上|rj_start1::klose-current::4年级上,learner::klose::level::4 learner::klose::released learning::klose::grade4 source::rj_start1 source::rj_start1::edition::klose-current source::rj_start1::edition::klose-current::grade::4 source::rj_start1::edition::klose-current::grade::4::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::grade4-current
