ProvisionalIdentityKey,OccurrenceKeys,OccurrenceCount,GradeSemesters,Units,Pages,Entry,Meaning,MatchKey,SourceMeaningVariants,SourceSurfaceMultiplicity,CandidateClass,ExistingNoteCount,ExistingCandidates,VariantCandidates,MorphologyLemma,MorphologyFormType,ReviewStatus,Decision,DecisionNoteID,Rationale
G56V0045,grade6-lower-u01-o015|both,1,6下,6下-U1,6下-p4,both,两个都,both,2,yes,no-exact-match,0,,,,,pending,,,
G56V0046,grade5-upper-u02-o008|both,1,5上,5上-U2,5上-p16,both,两者,both,2,yes,no-exact-match,0,,,,,pending,,,
G56V0047,grade6-upper-u06-o023|bottle,1,6上,6上-U6,6上-p67,bottle,瓶子,bottle,1,no,no-exact-match,0,,,,,pending,,,
G56V0048,grade6-lower-u03-o011|bought,1,6下,6下-U3,6下-p27,bought,（buy 的过去式）买,bought,1,no,morphology-only,0,,,buy,verb_past,pending,,,
G56V0049,grade5-upper-u06-o023|bring,1,5上,5上-U6,5上-p69,bring,带……到某处；带来；取来,bring,1,no,exact-single,1,KV000757::bring::带来,,,,pending,,,
G56V0050,grade6-lower-u02-o020|broken,1,6下,6下-U2,6下-p18,broken,破损的,broken,1,no,exact-single,1,KV000761::broken::坏的；破损的,,,,pending,,,
G56V0051,grade5-upper-u04-o017|brush,1,5上,5上-U4,5上-p44,brush,（用刷子）刷净；刷亮；刷平顺,brush,1,no,no-exact-match,0,,,,,pending,,,
G56V0052,grade5-lower-u01-o027|busy,1,5下,5下-U1,5下-p7,busy,忙的,busy,1,no,exact-single,1,KV000466::busy::忙的,,,,pending,,,
G56V0053,grade5-lower-u03-o035|by,1,5下,5下-U3,5下-p29,by,在……之前,by,1,no,no-exact-match,0,,,,,pending,,,
G56V0054,grade6-upper-u03-o013|call,1,6上,6上-U3,6上-p32,call,给……打电话,call,1,no,exact-single,1,KV000578::call::打电话；呼叫,,,,pending,,,
G56V0055,grade6-lower-u03-o002|camp,1,6下,6下-U3,6下-p25,camp,野营,camp,1,no,no-exact-match,0,,,,,pending,,,
G56V0056,grade5-lower-u06-o023|canadian,1,5下,5下-U6,5下-p63,Canadian,加拿大的,canadian,1,no,no-exact-match,0,,,,,pending,,,
G56V0057,grade5-lower-u01-o034|cave,1,5下,5下-U1,5下-p9,cave,山洞；洞穴,cave,1,no,no-exact-match,0,,,,,pending,,,
G56V0058,grade5-upper-u02-o004|centre,1,5上,5上-U2,5上-p16,centre,中心,centre,1,no,no-exact-match,0,,,,,pending,,,
G56V0059,grade6-upper-u06-o012|change,1,6上,6上-U6,6上-p66,change,（使）不同；改变,change,1,no,no-exact-match,0,,,,,pending,,,
G56V0060,grade5-upper-u04-o015|check,1,5上,5上-U4,5上-p44,check,查看；查明,check,1,no,no-exact-match,0,,,,,pending,,,
G56V0061,grade6-upper-u02-o009|cheer,1,6上,6上-U2,6上-p18,cheer,欢呼；加油,cheer,1,no,no-exact-match,0,,,,,pending,,,
G56V0062,grade6-lower-u04-o019|cheetah,1,6下,6下-U4,6下-p38,cheetah,猎豹,cheetah,1,no,no-exact-match,0,,,,,pending,,,
G56V0063,grade5-upper-u01-o013|chess,1,5上,5上-U1,5上-p8,chess,国际象棋,chess,1,no,no-exact-match,0,,,,,pending,,,
G56V0064,grade5-lower-u03-o029|christmas,1,5下,5下-U3,5下-p28,Christmas,圣诞节,christmas,1,no,exact-single,1,KV000141::Christmas::圣诞节,,,,pending,,,
G56V0065,grade6-upper-u01-o008|clay,1,6上,6上-U1,6上-p6,clay,黏土；陶土,clay,1,no,no-exact-match,0,,,,,pending,,,
G56V0066,grade5-lower-u01-o007|clean my room,1,5下,5下-U1,5下-p8,clean my room,打扫我的房间,clean my room,1,no,no-exact-match,0,,,,,pending,,,
G56V0067,grade6-lower-u02-o001|cleaned,1,6下,6下-U2,6下-p15,cleaned,（clean 的过去式）打扫,cleaned,1,no,morphology-only,0,,,clean,verb_past,pending,,,
G56V0068,grade5-upper-u01-o005|clever,1,5上,5上-U1,5上-p5,clever,聪明的；聪颖的,clever,1,no,exact-single,1,KV000519::clever::聪明的,,,,pending,,,
G56V0069,grade6-upper-u01-o002|climb,1,6上,6上-U1,6上-p4,climb,攀登；爬,climb,1,no,no-exact-match,0,,,,,pending,,,
G56V0070,grade5-lower-u05-o007|climbing,1,5下,5下-U5,5下-p52,climbing,（climb 的-ing形式）（正在）攀登；攀爬,climbing,1,no,morphology-only,0,,,climb,present_participle,pending,,,
G56V0071,grade5-upper-u06-o012|close,1,5上,5上-U6,5上-p67,close,关；关闭；闭上,close,1,no,no-exact-match,0,,,,,pending,,,
G56V0072,grade6-upper-u05-o024|cloth,1,6上,6上-U5,6上-p56,cloth,（一块）布；织物,cloth,1,no,no-exact-match,0,,,,,pending,,,
G56V0073,grade6-upper-u05-o005|cloud,1,6上,6上-U5,6上-p52,cloud,云,cloud,1,no,no-exact-match,0,,,,,pending,,,
G56V0074,grade5-upper-u05-o009|coconut,1,5上,5上-U5,5上-p55,coconut,椰子,coconut,1,no,no-exact-match,0,,,,,pending,,,
G56V0075,grade6-upper-u03-o001|cold,1,6上,6上-U3,6上-p28,cold,感冒,cold,1,no,exact-single,1,KV000176::cold::寒冷的,,,,pending,,,
G56V0076,grade5-lower-u03-o021|contest,1,5下,5下-U3,5下-p25,contest,比赛；竞赛,contest,1,no,no-exact-match,0,,,,,pending,,,
G56V0077,grade6-upper-u06-o008|cool,1,6上,6上-U6,6上-p65,cool,（使）变凉；冷却,cool,1,no,exact-single,1,KV000175::cool::凉爽的,,,,pending,,,
G56V0078,grade6-upper-u03-o007|cough,1,6上,6上-U3,6上-p29,cough,咳嗽,cough,1,no,no-exact-match,0,,,,,pending,,,
G56V0079,grade6-lower-u03-o017|could,1,6下,6下-U3,6下-p24,could,（can 的过去式）能,could,1,no,morphology-only,0,,,can,verb_past,pending,,,
G56V0080,grade6-upper-u02-o004|count down,1,6上,6上-U2,6上-p17,count down,倒计时,count down,1,no,no-exact-match,0,,,,,pending,,,
G56V0081,grade6-lower-u01-o017|countryside,1,6下,6下-U1,6下-p8,countryside,乡村,countryside,1,no,exact-single,1,KV000791::countryside::乡村；农村,,,,pending,,,
G56V0082,grade6-upper-u03-o011|cry,1,6上,6上-U3,6上-p32,cry,哭；哭泣,cry,1,no,exact-single,1,KV000736::cry::哭；哭泣,,,,pending,,,
G56V0083,grade6-lower-u04-o005|cycling,1,6下,6下-U4,6下-p37,cycling,骑自行车运动（或活动）,cycling,1,no,no-exact-match,0,,,,,pending,,,
G56V0084,grade5-lower-u01-o011|dancing,1,5下,5下-U1,5下-p8,dancing,跳舞；舞蹈,dancing,1,no,exact-single,1,KV000489::dancing::跳舞,,,,pending,,,
G56V0085,grade5-upper-u06-o009|dangerous,1,5上,5上-U6,5上-p67,dangerous,有危险的；不安全的,dangerous,1,no,exact-single,1,KV000413::dangerous::危险的,,,,pending,,,
G56V0086,grade6-upper-u05-o004|daytime,1,6上,6上-U5,6上-p52,daytime,白天,daytime,1,no,no-exact-match,0,,,,,pending,,,
G56V0087,grade5-lower-u03-o012|december,1,5下,5下-U3,5下-p28,December,十二月,december,1,no,exact-single,1,KV000277::December::十二月,,,,pending,,,
G56V0088,grade5-lower-u04-o016|diary,1,5下,5下-U4,5下-p43,diary,日记,diary,1,no,no-exact-match,0,,,,,pending,,,
G56V0089,grade6-upper-u03-o009|diet,1,6上,6上-U3,6上-p31,diet,日常饮食,diet,1,no,no-exact-match,0,,,,,pending,,,
G56V0090,grade6-upper-u06-o016|difference,1,6上,6上-U6,6上-p66,difference,差别；不同（之处）,difference,1,no,no-exact-match,0,,,,,pending,,,
G56V0091,grade6-lower-u04-o013|different,1,6下,6下-U4,6下-p36,different,不同的,different,2,yes,exact-single,1,KV000493::different::不同的,,,,pending,,,
G56V0092,grade5-upper-u05-o019|different,1,5上,5上-U5,5上-p57,different,不同的；有区别的；有差异的,different,2,yes,exact-single,1,KV000493::different::不同的,,,,pending,,,
G56V0093,grade6-lower-u04-o001|dining hall,1,6下,6下-U4,6下-p35,dining hall,饭厅,dining hall,1,no,no-exact-match,0,,,,,pending,,,
G56V0094,grade6-lower-u01-o011|dinosaur,1,6下,6下-U1,6下-p4,dinosaur,恐龙,dinosaur,1,no,no-exact-match,0,,,,,pending,,,
G56V0095,grade6-upper-u06-o026|dirty,1,6上,6上-U6,6上-p68,dirty,脏的,dirty,1,no,exact-single,1,KV000367::dirty::脏的,,,,pending,,,
G56V0096,grade6-upper-u03-o008|discuss,1,6上,6上-U3,6上-p30,discuss,讨论；商量,discuss,1,no,no-exact-match,0,,,,,pending,,,
G56V0097,grade5-lower-u01-o005|do morning exercises,1,5下,5下-U1,5下-p5,do morning exercises,做早操,do morning exercises,1,no,no-exact-match,0,,,,,pending,,,
G56V0098,grade5-lower-u06-o001|doing morning exercises,1,5下,5下-U6,5下-p59,doing morning exercises,（正在）做早操,doing morning exercises,1,no,no-exact-match,0,,,,,pending,,,
G56V0099,grade6-lower-u02-o013|drank,1,6下,6下-U2,6下-p14,drank,（drink 的过去式）喝,drank,1,no,morphology-only,0,,,drink,verb_past,pending,,,
G56V0100,grade6-lower-u04-o022|dream,1,6下,6下-U4,6下-p38,dream,梦,dream,1,no,exact-single,1,KV000476::dream::梦想,,,,pending,,,
G56V0101,grade6-upper-u02-o002|dress,1,6上,6上-U2,6上-p17,dress,穿衣服,dress,1,no,exact-single,1,KV000095::dress::连衣裙,,,,pending,,,
G56V0102,grade6-upper-u04-o005|drink,1,6上,6上-U4,6上-p41,drink,饮料,drink,1,no,exact-single,1,KV000584::drink::喝；饮料,,,,pending,,,
G56V0103,grade5-lower-u05-o011|drinking,1,5下,5下-U5,5下-p52,drinking,（drink的-ing形式）（正在）喝（水）,drinking,1,no,morphology-only,0,,,drink,present_participle,pending,,,
G56V0104,grade6-upper-u06-o019|drive,1,6上,6上-U6,6上-p67,drive,驾驶；开车,drive,1,no,no-exact-match,0,,,,,pending,,,
G56V0105,grade6-upper-u01-o012|dry,1,6上,6上-U1,6上-p7,dry,干的,dry,1,no,no-exact-match,0,,,,,pending,,,
G56V0106,grade5-upper-u05-o005|dumpling,1,5上,5上-U5,5上-p53,dumpling,饺子；汤圆,dumpling,1,no,exact-single,1,KV000755::dumpling::饺子,,,,pending,,,
G56V0107,grade5-lower-u05-o013|each,1,5下,5下-U5,5下-p52,each,每一；各个,each,1,no,no-exact-match,0,,,,,pending,,,
G56V0108,grade5-lower-u05-o014|each other,1,5下,5下-U5,5下-p52,each other,相互,each other,1,no,no-exact-match,0,,,,,pending,,,
G56V0109,grade6-upper-u05-o002|earth,1,6上,6上-U5,6上-p52,earth,地球,earth,1,no,exact-single,1,KV000391::earth::地球,,,,pending,,,
G56V0110,grade6-lower-u04-o010|easy,1,6下,6下-U4,6下-p34,easy,容易的,easy,2,yes,no-exact-match,0,,,,,pending,,,
G56V0111,grade5-upper-u01-o015|easy,1,5上,5上-U1,5上-p9,easy,容易的；轻易的,easy,2,yes,no-exact-match,0,,,,,pending,,,
G56V0112,grade6-upper-u01-o011|eat,1,6上,6上-U1,6上-p7,eat,（过去式 ate）吃,eat,1,no,no-exact-match,0,,,,,pending,,,
G56V0113,grade5-lower-u01-o001|eat breakfast,1,5下,5下-U1,5下-p5,eat breakfast,吃早饭,eat breakfast,1,no,exact-single,1,KV000191::eat breakfast::吃早饭,,,,pending,,,
G56V0114,grade5-lower-u01-o006|eat dinner,1,5下,5下-U1,5下-p5,eat dinner,吃晚饭,eat dinner,1,no,exact-single,1,KV000195::eat dinner::吃晚饭,,,,pending,,,
G56V0115,grade5-lower-u05-o008|eating,1,5下,5下-U5,5下-p52,eating,（eat的-ing形式）（正在）吃,eating,1,no,morphology-only,0,,,eat,present_participle,pending,,,
G56V0116,grade5-lower-u06-o003|eating lunch,1,5下,5下-U6,5下-p59,eating lunch,（正在）吃午饭,eating lunch,1,no,no-exact-match,0,,,,,pending,,,
G56V0117,grade6-upper-u01-o023|eiffel tower,1,6上,6上-U1,6上-p5,Eiffel Tower,埃菲尔铁塔,eiffel tower,1,no,no-exact-match,0,,,,,pending,,,
G56V0118,grade6-upper-u06-o002|electricity,1,6上,6上-U6,6上-p64,electricity,电,electricity,1,no,no-exact-match,0,,,,,pending,,,
G56V0119,grade5-upper-u04-o004|else,1,5上,5上-U4,5上-p40,else,其他的；别的,else,2,yes,no-exact-match,0,,,,,pending,,,
G56V0120,grade5-lower-u06-o016|else,1,5下,5下-U6,5下-p61,else,另外；其他,else,2,yes,no-exact-match,0,,,,,pending,,,
G56V0121,grade6-upper-u03-o014|email,1,6上,6上-U3,6上-p32,email,电子邮件,email,1,no,no-exact-match,0,,,,,pending,,,
G56V0122,grade6-upper-u06-o005|energy,1,6上,6上-U6,6上-p65,energy,能源,energy,1,no,no-exact-match,0,,,,,pending,,,
G56V0123,grade6-lower-u02-o023|enjoy,1,6下,6下-U2,6下-p18,enjoy,喜爱……；享受……乐趣,enjoy,1,no,exact-single,1,KV000395::enjoy::喜欢；享受,,,,pending,,,
G56V0124,grade5-upper-u04-o006|enough,1,5上,5上-U4,5上-p40,enough,足够的；充足的；充分的,enough,1,no,no-exact-match,0,,,,,pending,,,
G56V0125,grade5-upper-u03-o015|evening,1,5上,5上-U3,5上-p32,evening,晚上；傍晚,evening,1,no,exact-single,1,KV000366::evening::晚上,,,,pending,,,
G56V0126,grade6-upper-u02-o024|ever,1,6上,6上-U2,6上-p20,ever,（进行比较时用于加强语气）以往任何时候,ever,1,no,no-exact-match,0,,,,,pending,,,
G56V0127,grade5-lower-u05-o015|excited,1,5下,5下-U5,5下-p53,excited,兴奋的；激动的,excited,2,yes,exact-single,1,KV000732::excited::兴奋的；激动的,,,,pending,,,
G56V0128,grade5-upper-u02-o009|excited,1,5上,5上-U2,5上-p17,excited,激动的；兴奋的,excited,2,yes,exact-single,1,KV000732::excited::兴奋的；激动的,,,,pending,,,
G56V0129,grade6-upper-u02-o025|exciting,1,6上,6上-U2,6上-p20,exciting,令人激动的,exciting,1,no,no-exact-match,0,,,,,pending,,,
G56V0130,grade5-lower-u01-o004|exercise,1,5下,5下-U1,5下-p5,exercise,活动；运动,exercise,2,yes,exact-single,1,KV000582::exercise::锻炼；运动,,,,pending,,,
G56V0131,grade5-upper-u04-o005|exercise,1,5上,5上-U4,5上-p40,exercise,锻炼；训练；操练,exercise,2,yes,exact-single,1,KV000582::exercise::锻炼；运动,,,,pending,,,
G56V0132,grade5-lower-u06-o017|exhibition,1,5下,5下-U6,5下-p63,exhibition,展览,exhibition,1,no,no-exact-match,0,,,,,pending,,,
G56V0133,grade5-lower-u02-o023|fall,1,5下,5下-U2,5下-p19,fall,落下；【美】秋天,fall,1,no,exact-single,1,KV000754::fall::落下；跌倒,,,,pending,,,
G56V0134,grade5-upper-u06-o005|famous,1,5上,5上-U6,5上-p64,famous,著名的；出名的,famous,1,no,exact-single,1,KV000686::famous::著名的,,,,pending,,,
G56V0135,grade6-lower-u02-o017|faster,1,6下,6下-U2,6下-p16,faster,（fast 的比较级）更快的,faster,1,no,morphology-only,0,,,fast,comparative,pending,,,
G56V0136,grade5-lower-u03-o002|february,1,5下,5下-U3,5下-p25,February,二月,february,1,no,exact-single,1,KV000267::February::二月,,,,pending,,,
G56V0137,grade6-lower-u03-o013|fell,1,6下,6下-U3,6下-p24,fell,（fall 的过去式）摔倒,fell,1,no,morphology-only,0,,,fall,verb_past,pending,,,
G56V0138,grade6-lower-u04-o018|felt,1,6下,6下-U4,6下-p38,felt,（feel 的过去式）感觉,felt,1,no,morphology-only,0,,,feel,verb_past,pending,,,
G56V0139,grade5-lower-u04-o014|festival,1,5下,5下-U4,5下-p38,festival,节日,festival,1,no,no-exact-match,0,,,,,pending,,,
G56V0140,grade6-upper-u03-o006|fever,1,6上,6上-U3,6上-p29,fever,发烧；发热,fever,1,no,no-exact-match,0,,,,,pending,,,
G56V0141,grade5-lower-u03-o013|few,1,5下,5下-U3,5下-p24,few,不多；很少,few,1,no,no-exact-match,0,,,,,pending,,,
G56V0142,grade5-lower-u04-o005|fifth (5th),1,5下,5下-U4,5下-p39,fifth (5th),第五（的）,fifth (5th),1,no,no-exact-match,0,,,,,pending,,,
G56V0143,grade5-upper-u06-o016|fine,1,5上,5上-U6,5上-p67,fine,晴朗的,fine,1,no,no-exact-match,0,,,,,pending,,,
G56V0144,grade5-upper-u02-o006|finish,1,5上,5上-U2,5上-p16,finish,完成；做好,finish,1,no,no-exact-match,0,,,,,pending,,,
G56V0145,grade5-upper-u06-o019|fire,1,5上,5上-U6,5上-p68,fire,火；火灾,fire,1,no,no-exact-match,0,,,,,pending,,,
G56V0146,grade5-lower-u04-o001|first (1st),1,5下,5下-U4,5下-p39,first (1st),第一（的）,first (1st),1,no,no-exact-match,0,,,,,pending,,,
G56V0147,grade6-lower-u03-o004|fish,1,6下,6下-U3,6下-p25,fish,钓鱼；捕鱼,fish,1,no,exact-single,1,KV000080::fish::鱼；鱼肉,,,,pending,,,
G56V0148,grade6-lower-u02-o019|fixed,1,6下,6下-U2,6下-p18,fixed,（fix 的过去式）修理,fixed,1,no,morphology-only,0,,,fix,verb_past,pending,,,
G56V0149,grade5-upper-u06-o018|flood,1,5上,5上-U6,5上-p68,flood,洪水；水灾,flood,1,no,no-exact-match,0,,,,,pending,,,
G56V0150,grade5-upper-u04-o003|flu,1,5上,5上-U4,5上-p40,flu,流行性感冒；流感,flu,1,no,no-exact-match,0,,,,,pending,,,
G56V0151,grade5-upper-u06-o017|fog,1,5上,5上-U6,5上-p68,fog,雾,fog,1,no,no-exact-match,0,,,,,pending,,,
G56V0152,grade6-upper-u04-o017|for example,1,6上,6上-U4,6上-p44,for example,例如,for example,1,no,no-exact-match,0,,,,,pending,,,
G56V0153,grade5-upper-u06-o004|forest,1,5上,5上-U6,5上-p64,forest,森林；林区,forest,1,no,exact-single,1,KV000693::forest::森林,,,,pending,,,
G56V0154,grade5-lower-u04-o004|fourth (4th),1,5下,5下-U4,5下-p39,fourth (4th),第四（的）,fourth (4th),1,no,no-exact-match,0,,,,,pending,,,
G56V0155,grade5-upper-u04-o021|free,1,5上,5上-U4,5上-p45,free,没有安排活动的；空闲的,free,1,no,exact-multiple,2,KV000502::free::空闲的 || KV000876::free::免费的,,,,pending,,,
G56V0156,grade5-upper-u03-o004|friday,1,5上,5上-U3,5上-p28,Friday,星期五,friday,1,no,exact-single,1,KV000205::Friday::星期五,,,,pending,,,
G56V0157,grade5-upper-u01-o014|front,1,5上,5上-U1,5上-p9,front,前部,front,1,no,no-exact-match,0,,,,,pending,,,
G56V0158,grade5-lower-u04-o019|fur,1,5下,5下-U4,5下-p43,fur,（某些动物的）浓密的软毛,fur,1,no,no-exact-match,0,,,,,pending,,,
G56V0159,grade6-upper-u02-o003|gala,1,6上,6上-U2,6上-p17,gala,演出；庆典,gala,1,no,no-exact-match,0,,,,,pending,,,
G56V0160,grade5-lower-u03-o030|game,1,5下,5下-U3,5下-p29,game,游戏,game,1,no,exact-single,1,KV000814::game::游戏,,,,pending,,,
G56V0161,grade6-lower-u03-o012|gift,1,6下,6下-U3,6下-p27,gift,礼物,gift,1,no,no-exact-match,0,,,,,pending,,,
G56V0162,grade6-upper-u01-o004|gingerbread house,1,6上,6上-U1,6上-p4,gingerbread house,姜饼屋,gingerbread house,1,no,no-exact-match,0,,,,,pending,,,
G56V0163,grade6-upper-u03-o016|glass,1,6上,6上-U3,6上-p32,glass,一杯（的量）；玻璃,glass,1,no,no-exact-match,0,,,,,pending,,,
G56V0164,grade6-upper-u01-o006|go,1,6上,6上-U1,6上-p6,go,（过去式 went）去；走,go,1,no,exact-single,1,KV000133::go::去,,,,pending,,,
G56V0165,grade6-lower-u04-o006|go cycling,1,6下,6下-U4,6下-p37,go cycling,去骑自行车,go cycling,1,no,no-exact-match,0,,,,,pending,,,
G56V0166,grade5-lower-u01-o008|go for a walk,1,5下,5下-U1,5下-p8,go for a walk,散步,go for a walk,1,no,no-exact-match,0,,,,,pending,,,
G56V0167,grade5-upper-u06-o022|go hiking,1,5上,5上-U6,5上-p69,go hiking,徒步旅行,go hiking,1,no,no-exact-match,0,,,,,pending,,,
G56V0168,grade5-lower-u02-o007|go on a picnic,1,5下,5下-U2,5下-p18,go on a picnic,去野餐,go on a picnic,1,no,no-exact-match,0,,,,,pending,,,
G56V0169,grade5-lower-u01-o009|go shopping,1,5下,5下-U1,5下-p8,go shopping,去买东西；购物,go shopping,1,no,no-exact-match,0,,,,,pending,,,
