SourceOccurrenceKey,CandidateFingerprint,Grade,Semester,Unit,Order,RawExpression,Translation,Page,StablePatternMatches
grade5-upper-u03-o001,8e03fe7e97132ce2f0e2bb22de580253609c3979673665939a2453fab10f4cdd,5,上,3,1,"What’s your favourite day at school, John?",你在学校最喜欢哪一天，约翰？,,KE000045
grade5-upper-u03-o002,d7f31db7399f816e92d9e786d960860dd888f3430061a0a151edcebedff2c9ab,5,上,3,2,What do you have on Wednesdays?,星期三你有什么课？,,
grade5-upper-u03-o003,f2c5d04584344067545c18f6fee432294c51f6deb697e397f472d7cff9d4fe4c,5,上,3,3,"I have Chinese, maths, music and PE.",我有语文课、数学课、音乐课和体育课。,,KE000058
grade5-upper-u03-o004,2caf7ead5deeed79cf62c95afe52f4529af1e20f98d7d3f737998e9da67147aa,5,上,3,4,"What do you usually do at the weekend, children?",孩子们，周末你们通常做什么？,,
grade5-upper-u03-o005,c40c643d20df18106b5ffab0dce9b62a2256cde9cd9117904c3a031be32b08d7,5,上,3,5,I often play football. Sometimes I play Chinese chess with my father.,我经常踢足球。有时我和爸爸下象棋。,,KE000058
grade5-upper-u03-o006,002c42d32231ce6aa05454c2c445425c28af5371e7641f402fdcce061551011a,5,上,3,6,Does your mother work on both Saturdays and Sundays?,你妈妈周六周日都工作吗？,,
grade5-upper-u03-o007,a83867d28fb7171c01ac3dcd27571ab888500278ea1b9262f164af8d596acc4c,5,上,3,7,"Yes, she does.",是的，她（周末两天）都工作。,,
grade5-upper-u04-o001,eaef9c0d10df0762a5b770bb6a61d9fdba76ff70e8101cb0eaf691cfd1e15bb4,5,上,4,1,How can we all stay healthy?,我们怎样才能保持健康？,,
grade5-upper-u04-o002,7218bb9db2f752e2918b0c2d34d92013686f6d1c249aa963ebe6bc0fd765a6d8,5,上,4,2,We should eat healthy food.,我们应该吃健康的食物。,,KE000058
grade5-upper-u04-o003,fe0490ce4991cf5e3dcd2e3db28a5902f3c16667ab6ec125e4e11e5f0669aaec,5,上,4,3,Can I play on Mum's phone?,我可以玩妈妈的手机吗？,,KE000006
grade5-upper-u04-o004,2aa8b4e33180747346c8cd6ef52e7d93c9dbfa9ad64bf8d3102e843d39a82de7,5,上,4,4,No. You shouldn't play on a phone so often.,不行。你不应该总玩手机。,,KE000058
grade5-upper-u05-o001,35e6577327d5071d407735a9030b93b12cd5432146de67b9db9958469c23bffa,5,上,5,1,What would you like to eat?,你想吃些什么？,,
grade5-upper-u05-o002,ab1c48146749724951b139987a1d101d769e4c7eb25e972d674ba3660380fb6e,5,上,5,2,I'd like beef and rice.,我想吃牛肉和米饭。,,KE000058
grade5-upper-u05-o003,2ec1bd709ad84f164ad04bbc8bea94ceec8f80ed9e6de5d720cb03c86b0cd23c,5,上,5,3,Would you like some chicken soup too?,你还想喝鸡汤吗？,,KE000009
grade5-upper-u05-o004,79ecbd1e06045daf4f0174622b0b6fca57bcef80cabfbe6f0e4bd2929b6fc7a9,5,上,5,4,"Yes, please.",是的，请（给我鸡汤）。,,
grade5-upper-u05-o005,c26801f809669ee6a9cd12457a13bade06d8abc1dc3938f761be4e530cd8da2d,5,上,5,5,Where does your coconut come from?,你的椰子是哪里的？,,
grade5-upper-u05-o006,51434c536db9954ed758ec005de67cab49e34ce035af54eabbb30e2225e7efc6,5,上,5,6,Hainan!,海南！,,
grade5-upper-u06-o001,202b64fbb3a846284255c01050cf2f79156a6cd71fa34843ec2ef1fd1f274258,5,上,6,1,There are also many rivers in the nature park.,这个自然公园还有许多河流。,,KE000014 | KE000058
grade5-upper-u06-o002,6ca811ecb4f366be7148ce6348ce4cacbd142cb12c370bf0d9c869b573bc0c4e,5,上,6,2,Is there a waterfall in the forest?,森林里有瀑布吗？,,
grade5-upper-u06-o003,0e8300ff6db583d4eff69645b6b0d6aef024fc383a5ea416c027df75a52e3d5a,5,上,6,3,"Yes, there is.",是的，这里有。,,
grade5-upper-u06-o004,913502098ac2075fc31187b5f5c72248b803c67a1e1046cb7e089c77211da594,5,上,6,4,Are there any famous mountains in the nature park?,自然公园有名山吗？,,
grade5-upper-u06-o005,8b949cb6737f5fb35783b7451b7c76ae3163491b3e125e36173e85141facbf75,5,上,6,5,"Yes, there are.",是的，这里有。,,
grade5-upper-u06-o006,616151472228ca1d0aa95d7f361a7a552b3e8ee01a34eb9377738105a315bc85,5,上,6,6,There will be heavy rain in the afternoon too.,今天下午还将有大雨。,,KE000058
grade5-lower-u01-o001,7466890a192ddbda7668f1a8682c0b4329412cc687f6b15e273c48806b1440a1,5,下,1,1,When do you finish class in the morning?,你们上午的课到几点结束？,4,
grade5-lower-u01-o002,5e027758163fe3067d85f0e1225be734157e653a99df1a6f2e968c950ecba258,5,下,1,2,We finish class at 1 o'clock.,我们一点钟结束上午的课。,4,KE000058
grade5-lower-u01-o003,75967889d75f00af17be61c1709db936a94acfc709e33714ac9a056e41f847e0,5,下,1,3,What do you do on the weekend?,你周末做什么？,7,
grade5-lower-u01-o004,62a6be2f74a659fd22022afe50449d804492a9c31e448ca61ed4412f592238a4,5,下,1,4,I often watch TV and play ping-pong with my father.,我经常看电视，也常和爸爸一起打乒乓球。,7,KE000058
grade5-lower-u02-o001,9cc1300f4fec65374b6e569566d114a7e2690934302c58fbfd138b75e4221ace,5,下,2,1,"Which season do you like best, Miss White?",怀特小姐，你最喜欢哪个季节？,17,
grade5-lower-u02-o002,bfadbfea231419a5028888606da2f34ac6214643dffeaf0d05ecfe80ed73920b,5,下,2,2,Summer.,夏天。,17,
grade5-lower-u02-o003,af06c171729ea5b0468a57fef33d16ebc58ba5a65fdf7a479ae7afdd4f4319f2,5,下,2,3,Why?,为什么？,17,
grade5-lower-u02-o004,65a9672260951a341c203ee868f4919528e47f18cc0a8613ce557d56d66435bf,5,下,2,4,Because I like summer vacation!,因为我喜欢暑假！,17,
grade5-lower-u03-o001,d33744d1d7213bb4039491d4c3cff906ed0ac6226ef2b17f5f6a288d4277a011,5,下,3,1,When is the party?,聚会什么时候举行？,24,
grade5-lower-u03-o002,099be76c84663cf2f7360968fe4325cda55d73760bc6913a987bbf5ba78dff33,5,下,3,2,It's in April.,在4月。,24,KE000017 | KE000057 | KE000059
grade5-lower-u03-o003,b12c195773450dce591ae3049b137ae8f416c8b6a6d2d594368ac83f570583dc,5,下,3,3,When is the trip this year?,今年的（秋）游在什么时候？,27,
grade5-lower-u03-o004,dd6f1700398c792debe4894667ec8847e718650b1beda5fc1dcfcd72fa611b5c,5,下,3,4,It's in October. We'll go to the Great Wall.,在10月。我们将去长城。,27,KE000017 | KE000057 | KE000058 | KE000059
grade5-lower-u04-o001,5af02954e6440bf234975d245207798807a951c2d1522ce5f746a99d2ed74418,5,下,4,1,When is the art show?,艺术节是哪天？,38,
grade5-lower-u04-o002,7a374db71d3ef7d542e76373a02c2c5ffecd946ed044f3a92ad706b70edd4aac,5,下,4,2,It's on May 1st.,它在5月1日。,38,KE000017 | KE000057 | KE000058 | KE000059
grade5-lower-u04-o003,67e8a8053aaebaf282527dcb329c6ba5e32d077369d15e4f8bfa1f37b5ab85fb,5,下,4,3,When is your birthday?,你的生日是哪天？,41,
grade5-lower-u04-o004,5e9805e9c390fe4250888eb20b3bad7b7f8eab4a66678b6f20da65d409999699,5,下,4,4,My birthday is on April 4th.,我的生日是4月4日。,41,KE000016 | KE000058
grade5-lower-u05-o001,bfd7f6a988f0bb770dc052ccbfe0662bf7e7b59a0ca6dcfd7447fca18fef27ce,5,下,5,1,The yellow picture is mine.,那幅黄色的画是我的。,48,KE000016 | KE000058
grade5-lower-u05-o002,601cc1e4b8bc5877418dd68ce736e68fa6ab023297ac59825cf3ffbfe3e7e950,5,下,5,2,Are these all ours?,这些都是我们的画吗？,48,
grade5-lower-u05-o003,f88087e5e6cdcf82b07ecbcd8fabd54ba12d7a59596140302c132c8a61205006,5,下,5,3,Whose is it?,这是谁的？,48,
grade5-lower-u05-o004,32efe22d304b60334ba71432e24a87776061f8c2fc15b93c13e86aa30561b713,5,下,5,4,It's Zhang Peng's.,是张鹏的。,48,KE000017 | KE000018 | KE000057 | KE000059
grade5-lower-u05-o005,3ee963c010ac4b4df567b09455ee6d08d90ae6ce87de9ed8d3c731030e753329,5,下,5,5,Is he drinking water?,他在喝水吗？,51,
grade5-lower-u05-o006,2a8f8e472182e8f385b4e75aaed488dd57984e0d2cd8ff35d9eec98dd00b83d4,5,下,5,6,"No, he isn't. He's eating.",不是。他在吃东西。,51,KE000058
grade5-lower-u06-o001,c3f323d93d433e3756617cabd2b32f504fa1e98cf44f4a7577e292e2226c1b3e,5,下,6,1,What are they doing?,它们在干什么？,58,
grade5-lower-u06-o002,d4fa0c7f1b272bfe92287e4f5367fba06b0507bb5c7d22d0ae777ad4138ce172,5,下,6,2,They're eating lunch.,它们在吃午饭！,58,KE000025
grade5-lower-u06-o003,1c6963e9829e6cca3179fcdad101a5262dd2ac2b859d9153cb55777e8582e4b5,5,下,6,3,What's the little monkey doing?,那只小猴子在干什么？,58,KE000045
grade5-lower-u06-o004,f6a75a5ac06cade3628e766d71cab8c2347e5443ae8dd3f76765a4fac791dd50,5,下,6,4,It's playing with its mother!,它在和妈妈玩耍！,58,
grade5-lower-u06-o005,deb20d1c649a1d593ec45b63da8aa13b9f516b7fa92d86f4087ddb3c7b5f42b8,5,下,6,5,Shh. Talk quietly.,嘘，小声讲话。,61,
grade5-lower-u06-o006,42dba415b23c0806e05d81db973c9dbd2f0b8f816a1c7383d3bf77a77f920099,5,下,6,6,Keep your desk clean.,保持桌面整洁。,61,KE000058
grade6-upper-u01-o001,6626ca6d857ebbcce420306cdfe370d3d1b7c8db052eb17d69c8bead984528ca,6,上,1,1,How was your weekend?,你周末过得怎么样？,,
grade6-upper-u01-o002,7616796dfeee040868ec21c18260f67d0604b9c148fbc251b93b2efd6bc0e7be,6,上,1,2,It was great! I climbed the Great Wall.,非常棒！我去爬长城了。,,KE000058
grade6-upper-u01-o003,26472c1757518b59adc9e4625ac6d0204955f235608a39e73f7212cd8b044de5,6,上,1,3,"What did you do, Leo?",你做什么了，利奥？,,
grade6-upper-u01-o004,36ae6efa5c94b449f142e9646522faeeaa1fcfcfd3f7a6a9051ea0b3976484ee,6,上,1,4,"I visited the ""Gingerbread House"" last Saturday.",我上个星期六参观“姜饼屋”了。,,KE000058
grade6-upper-u01-o005,ffb3f999e339364c8089e1de10e7f07e2b4594360ae9dd272cf1b24e91765f52,6,上,1,5,"Where did you go over the summer holidays, Binbin?",你暑假去哪儿了，斌斌？,,
grade6-upper-u01-o006,a0f55066ee6bc7e0c60d09f46bee5936a0c1f41fe1ba72896257d4b6acd16a65,6,上,1,6,I went to Xi'an with my family.,我和家人去西安了。,,KE000058
grade6-upper-u01-o007,dc3b2897c39ebd7b039785826c8d3f30af69d672ebd6d43f1e6c4680beb68d72,6,上,1,7,What did you do there?,你们在那里做了些什么？,,
grade6-upper-u01-o008,a211af992897e30815a5c0829793187d0597c4e6bfeca7502780cd3248fb32de,6,上,1,8,We went to see the Terracotta Warriors.,我们去看兵马俑了。,,KE000058
grade6-upper-u01-o009,304cf158852dc38ea665b1ec2fecbe5a4cdbe629d7e33bbae035080e12cf4da7,6,上,1,9,What else did you do?,你们还做什么了？,,
grade6-upper-u02-o001,6ad64fd6efad47bc44829adc9369087e691077c5a44d055e30e3317a4a911cca,6,上,2,1,"How was your Mid-Autumn Festival holiday, Binbin?",你中秋假期过得怎么样，斌斌？,,
grade6-upper-u02-o002,4757a0826317e7c3e16dc04a80a280e98156326cbd18cf6405b3062a3bd0bd22,6,上,2,2,It was great!,非常棒！,,
grade6-upper-u02-o003,752fa291befeaba8a07d601c5c144cbd70d30a209cc734deddc54657452ab5b9,6,上,2,3,Did you take a trip?,你们去旅行了吗？,,
grade6-upper-u02-o004,f0bf67934a8e1bacd67bed557473c86bf5362f37ef8a72c2319d616f70591831,6,上,2,4,"No, we didn't.",不，我们没有。,,
grade6-upper-u02-o005,e663e7e026c1a095b4f1ef193b7135f9e8a987f21bac9324f1f47bee6d25745b,6,上,2,5,Did you eat mooncakes?,你们吃月饼了吗？,,
grade6-upper-u02-o006,4a10c85cfd28287f81598168f48369a034754e59dd05afde18c00461af94ac54,6,上,2,6,"Yes, we did.",是的，我们吃了。,,
grade6-upper-u02-o007,4b2a50ea43bdcf0b948cc1150ad1513a5f24f73a0cd35c7897b3597ba72f722a,6,上,2,7,My mother and I went to a marathon on Sunday.,我和妈妈上周日去看了一场马拉松比赛。,,KE000058
grade6-upper-u02-o008,6f177f0ddf559150a0f700904b5200b16e64b75e5d6572f7791a743aec9e4669,6,上,2,8,What did you like about it?,你喜欢它哪一点？,,
grade6-upper-u02-o009,1bc875b4794e479cf0d50dafd7df55ab63f172b236fe312646101fcd11f7ea53,6,上,2,9,I liked watching the runners.,我喜欢看参赛者（跑步）。,,KE000058
grade6-upper-u02-o010,c7091111ce83721650dc215a2d31a7ee71482c53a53574adfdbf448ac01b64c8,6,上,2,10,What did you do last weekend?,你上周末做什么了？,,
grade6-upper-u03-o001,a791c5be155c1237dffcf451c898c2f7ad3434295a8e0c331a41948e4a37e14f,6,上,3,1,How do you feel?,你感觉怎么样？,,
grade6-upper-u03-o002,0184fb2462e4f66a14565208caa5fc897df1c4d40f9d42d256ff88de74f9ce93,6,上,3,2,I feel ill. My head hurts and I have a runny nose.,我感觉不舒服。我头疼还流鼻涕。,,KE000058
grade6-upper-u03-o003,d16c1f64e482b6193dab4fc58b3aa70f00b7ddcd0f55cbb8e44124ebe0756887,6,上,3,3,I'm sorry to hear that. Maybe you should see a doctor.,对此我感到难过。也许你应该去看医生。,,KE000058
grade6-upper-u03-o004,af3b702f9e845b47754b0e38cc9c198d05b568e8ec684b5b18f1176f68a93fa1,6,上,3,4,How can we live a healthy life?,我们怎样能过健康的生活？,,
grade6-upper-u03-o005,0ea49682c51d3bb28c18274fb3d3544b7a4aa8cdb7d361f4048f6f95df375043,6,上,3,5,We need to eat healthy food. We should exercise too.,我们需要吃健康的食物。我们还需要运动。,,KE000058
grade6-upper-u03-o006,052b9f7c1750318886259ac9f210991070fed74ac44082238b49f2f910c5f0ac,6,上,3,6,Have a healthy diet.,（保持）健康的饮食。,,KE000058
grade6-upper-u03-o007,2763eff0231c063454de73c69511ccd784d9c7da1ddbf1354dec5f42de85804d,6,上,3,7,Don't stay up late.,不要熬夜。,,KE000058
grade6-upper-u03-o008,e4aea12d52b5f30ddb0f4d3a804e104cf0154e47918608217b21727f5ecef139,6,上,3,8,Think about happy things.,想开心的事情。,,KE000058
grade6-upper-u03-o009,3c37b682ac38ef5a84d1a72dd946cba72d001f32fcbd5692dc864578165d3833,6,上,3,9,Join clubs and teams.,加入俱乐部和团队。,,KE000058
grade6-upper-u04-o001,add41490e24cfb822d42f366251a6910e9d833b0a858a234fa3dca0d6bd79ae4,6,上,4,1,How are you going to spend it?,你打算怎么花（这奖励钱）？,,
grade6-upper-u04-o002,ba60e60db8f1af68b53e7cbad44eb1866d1654c9126cb1fef0d145292799e318,6,上,4,2,I'm going to buy a schoolbag.,我打算买一个书包。,,KE000058
grade6-upper-u04-o003,400633820bd0c7a6300a54383a45262a9682061f4d5852390a46268d9de4a0d4,6,上,4,3,I also want to buy some animal books.,我还想买一些动物类书籍。,,KE000058
grade6-upper-u04-o004,8fa7ee2c09492ded8daa0c730a977845c05f379503d346eba4327b9cd924c250,6,上,4,4,What else are you going to buy?,你还打算买什么？,,
grade6-upper-u04-o005,2ebe5930d855289bf977c7e61e02d1edb118e7139a9feff8b2293280bfa2c58e,6,上,4,5,I'm going to buy a pair of sunglasses for Grandpa.,我打算给爷爷买一副太阳镜。,,KE000058
grade6-upper-u04-o006,9b13076551d254f5bd5f89b200c042cf5027421b157191b9e158d9d27b60c7c4,6,上,4,6,I also want to buy a microscope.,我还想买一个显微镜。,,KE000058
grade6-upper-u05-o001,ccc9029d5a443440345cffc614d0eef0be1583e787474041836006506c56b459,6,上,5,1,What can you see in the sky?,你能在天空中看到什么？,,
grade6-upper-u05-o002,dfd04d37cebb3f782bcb4b06a74c8281c98f751c2f467222929dbfcca302011b,6,上,5,2,We can see the Sun and clouds.,我们能看到太阳和云。,,KE000029 | KE000058
grade6-upper-u05-o003,044b67463e5b92cdaa07b23cbc4612aa7c13c09ac7e0cc578f27da73135f8bb6,6,上,5,3,"At night, we can see the Moon and the stars.",在晚上，我们能看到月亮和星星。,,KE000058
grade6-upper-u05-o004,ecc4bb11c58305bc85bde134ade27a8709182c4766591c21ca6c87db3e74b501,6,上,5,4,Is there any water on Mars?,火星上有水吗？,,
grade6-upper-u05-o005,b43e99626ad00484e8d711c1b7bbb619c1270e457ae87afd7ec671d834c47024,6,上,5,5,"Yes, there is. There is soil too.",是，有的。那里还有土壤。,,KE000016 | KE000058
grade6-upper-u05-o006,a60f844e5c6e1985c9aeac2b7004dd77abdb3718e977aa3566b65893f147a7a0,6,上,5,6,Are there any aliens?,那儿有外星生物吗？,,
grade6-upper-u05-o007,cd7ac4a493e09efe8797f56623b5fe092804fe3abc51a45680fcdf6d471138bb,6,上,5,7,I don't think so. They say there aren't any living things.,我不这样认为。据说那里没有生物。,,KE000058
grade6-upper-u05-o008,af3c8c521c4befefdcb8811725aa6d6d90dc30ae57d863311db60cc6f2dd2ad9,6,上,5,8,China put a rover on Mars.,中国在火星上放置了探测器。,,KE000058
grade6-upper-u05-o009,06de7dccd0f0d0090e05b501ddc797b6ca7ade6a89ea5f5b65d159385710bbf7,6,上,5,9,The taikonauts get up early in the morning.,中国航天员很早就起床。,,KE000058
grade6-upper-u06-o001,06cff1536fdd0410c4a294500d18e11ddf1d6e39a2c81d1bb4f915d5401dcd19,6,上,6,1,What do you know about it?,关于它你知道些什么？,,
grade6-upper-u06-o002,2285b82a045d092c4f1239ce6dbf1f3838f19dea82021badf5164c38e2f31863,6,上,6,2,Running water can make electricity.,流水可以发电。,,KE000058
grade6-upper-u06-o003,023de88894a62405990daca81e4b355eef53f82b9c17850cb7a39003b4fe8fdd,6,上,6,3,What else do you want to know about water?,关于水你还想了解些什么？,,
grade6-upper-u06-o004,99fbc0a4d5dc42bf989ccfcb1362a26c6c52ea1408cd3ea7f0d87f6b41f9bbab,6,上,6,4,Where does water come from?,水从哪儿来？,,
grade6-upper-u06-o005,7972f7c6051f9b563474867101513529afc95d56450c7ac2264a1bdc45df3b1d,6,上,6,5,"Wind power, solar power and water power are types of green energy.",风能、太阳能和水能是不同类型的绿色能源。,,KE000058
grade6-upper-u06-o006,5517707c472c4403e3b5f2fa0a9e7468e7f1415ab788cb0ddcda00622b0417a0,6,上,6,6,But many resources are running out.,但是很多资源快要耗尽了。,,KE000058
grade6-upper-u06-o007,201a578560edf91b631497ae26a143bf3e3f53445cd32f00ec47d97df1500347,6,上,6,7,What should we do?,我们该怎么办？,,
grade6-upper-u06-o008,b5642ec88bf2e0961bcbfb93fbb9d510e637d4e86a26a3fdd4eff4cd879bd75f,6,上,6,8,How can we save energy?,我们怎样才能节约能源？,,
grade6-upper-u06-o009,c4f93e172b0253543502428b410f5692a2db7c9931d677b26c88e96da53a7584,6,上,6,9,We can take quick showers.,我们可以快速淋浴。,,KE000029 | KE000058
grade6-upper-u06-o010,5b88e00940c3e0e961a9bcd576c336e88039c3676faecba49ec331833a6bf1b2,6,上,6,10,We can also use LED lighting.,我们还可以使用LED照明。,,KE000029 | KE000058
grade6-upper-u06-o011,d3ddfa7c259b6c1684dea925a2f29a1f40f98756b38fc976f78df57608d20af1,6,上,6,11,We should use air conditioners less.,我们应该少用空调。,,KE000058
grade6-lower-u01-o001,bd3d2791962bce3c47b8ac8d8653f33e762c5fb19accbefa0ff724aa2f405bae,6,下,1,1,That's the tallest dinosaur in this hall.,那是这个大厅里最高的恐龙。,4,KE000058
grade6-lower-u01-o002,4679aedd87b57fced9d9b474d689bc561132ddcad8235f1b665f4e81fd42970a,6,下,1,2,It's taller than both of us together.,它比我俩加起来还高。,4,KE000017 | KE000057 | KE000058 | KE000059
grade6-lower-u01-o003,adca68b155df7f3f908ace1da45065c1abc9cf6900782a2728309957a42ef291,6,下,1,3,How tall are you?,你有多高？,4,
grade6-lower-u01-o004,4328323a398971758a211f9e34afda4510eaf82904431c83550c69a408aea3f1,6,下,1,4,I'm 1.65 metres.,我身高1.65米。,4,
grade6-lower-u01-o005,1769cc2f0b415aefe4eb68097fe2b3bc393db638b335744550ae8e9eb9da9991,6,下,1,5,"What size are your shoes, Mike?",迈克，你穿多大号的鞋？,6,
grade6-lower-u01-o006,52b384e8dba43ff1b15ccec50b9fa6e1df395c1f3cd85dae5feb8ab1c2dc0ec5,6,下,1,6,Your feet are bigger than mine. My shoes are size 37.,你的脚比我的大。我穿37号的鞋。,6,KE000058
grade6-lower-u01-o007,48d89b8ba6c3f4e180b9e08f1deb236957b5dbb9fd843033a543585453a6889c,6,下,1,7,How heavy are you?,你体重多少？,6,
grade6-lower-u01-o008,523513f7203fcb0dcf9c6d26a6100b660ea04a7c0dd84b3903f4b34c17609db3,6,下,1,8,I'm 48 kilograms.,我体重48公斤。,6,
grade6-lower-u02-o001,d750d176d662d188550e43fce9eecf5345ee2a42b70ceaf883152fd5c8046999,6,下,2,1,How was your weekend?,你周末过得怎么样？,14,
grade6-lower-u02-o002,fea4a2b36cd55cbd1f5ddc2c78df27e014b9fd1c54bd60179e94ab2fe806bb85,6,下,2,2,"It was good, thank you.",很好，谢谢。,14,KE000058
grade6-lower-u02-o003,9dedf0be5bc4b789b047cb06e45aa7990f1dd0c23ef2be492f1e6f43087d2891,6,下,2,3,What did you do?,你（周末）干什么了？,14,
grade6-lower-u02-o004,cc6a53310c2d99b03ae00496bb70e6cf28f1236ab826752e4b35ff339b661d22,6,下,2,4,I stayed at home with your grandma. We drank tea in the afternoon and watched TV.,我和你外婆待在家里。我们喝了下午茶，还看了电视。,14,KE000058
grade6-lower-u02-o005,85ee397c5f80bb87d123ff3fcdf7f823d642c145f7de9c819a09ccc02e6620f0,6,下,2,5,Did you do anything else?,你还做了其他什么事吗？,14,
grade6-lower-u02-o006,7a5dccc021e8f43567cbfcacd4a814e355e8c21a80959847ae7a0957e03ee6f6,6,下,2,6,"Yes, I cleaned my room and washed my clothes.",是的，我打扫了房间，还洗了衣服。,14,KE000058
grade6-lower-u02-o007,25acc45e166ec60ed1f9e2c8733a01c83e636479944d3698c7138ff96fa86991,6,下,2,7,I want to buy the new film magazine.,我想买新出的电影杂志。,16,KE000058
grade6-lower-u02-o008,a4dfa6d7bc1abb0b261c77de9267ccc8ea0a0ac9b7ba16e6c110ff582aad51b5,6,下,2,8,What did you do last weekend? Did you see a film?,你上周末干什么了？你看电影了吗？,16,
grade6-lower-u02-o009,1d4f849f365d2b174baa64e6997f0941193ffce1a7dc8b17d31cb05b352ef463,6,下,2,9,"No, I had a cold. I stayed at home all weekend and slept.",没有，我感冒了。整个周末都待在家里睡觉。,16,KE000058
grade6-lower-u03-o001,d53e1091002aeca8e8437eeb419e6610148565d7d5b6a8382f798e234edc9449,6,下,3,1,What happened?,怎么了？,24,
grade6-lower-u03-o002,32d70e0f9f890d2360d946a289eefea24a70902f92b617bcf6b4efd85a289425,6,下,3,2,Are you all right?,你还好吗？,24,
grade6-lower-u03-o003,a4c2b51813ce6007be6e10ef1adc87285938662f92d2a722be251345c8422883,6,下,3,3,I'm OK now.,我现在没事了。,24,
grade6-lower-u03-o004,e8829fd71529e9af448e8047a1002ad057188335e82ccb889ef0c98fb6bea4a7,6,下,3,4,Where did you go?,你去哪儿了？,24,
grade6-lower-u03-o005,250125ebd7c06767b4636ea378350686cb0429e8107c59143354fc44540acad4,6,下,3,5,It looks like a mule!,它看起来像头骡子！,24,
grade6-lower-u03-o006,92ab7e1b6da7b15443b1c72fc48436c8b0850ce5bcc43c9b669a2f6d2cfc1406,6,下,3,6,Did you go to Turpan?,你们去吐鲁番了吗？,24,
grade6-lower-u03-o007,1c35e12554381e9b481039bc68ccede4d1053320c009bfe060a1ebadb0e876c9,6,下,3,7,"Yes, we did.",是的，去了。,24,
grade6-lower-u03-o008,162928b55d18ab7bbc61d3b8372761f963d9c69f8a156840e41f1655ec4bb070,6,下,3,8,How did you go there?,你们怎么去的？,26,
grade6-lower-u03-o009,c87c7f60ab997486eae760d422d891a52b8144a7466a2f8650f647e3896a7f00,6,下,3,9,We went there by plane.,我们坐飞机去的。,26,KE000058
grade6-lower-u03-o010,420230b9972a4801fe1c25d6cc5d997997fd60aa4683df58696a1027fc1e6d2a,6,下,3,10,Sounds great!,听上去不错！,26,
grade6-lower-u04-o001,086f4a500c0a3d4dee0320417328a746431ad73dad83863e49c3e4451dfc3c0c,6,下,4,1,There was no library in my old school.,我以前的学校里没有图书馆。,34,KE000058
