SourceEdition,Semester,Unit,Order,Entry,Meaning,MatchKey,CandidateNoteID,CandidateWord,CandidateSense,MatchType,Decision,ReviewReason
klose-current,上,4,7,police officer,警察；警员,police officer,KV000427,police officer,警察；警官,exact-surface,reuse,
klose-current,上,4,8,a lot of,大量；许多,a lot of,KV000588,a lot of,许多；大量,exact-surface,reuse,
klose-current,上,4,9,now,现在,now,,,,new-surface,new,
klose-current,上,4,10,make the bed,铺床,make the bed,KV000573,make the bed,整理床铺；铺床,exact-surface,reuse,
klose-current,上,4,11,old,过去的；年纪大的；老的,old,KV000209,old,……岁的；年老的,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,上,4,12,tell,讲述；告诉,tell,,,,new-surface,new,
klose-current,上,4,13,everyone,每人,everyone,KV000332,everyone,每个人；大家,exact-surface,reuse,
klose-current,上,4,14,Ms,（用于女子的姓氏或姓名前，不指明婚否）女士,ms,,,,new-surface,new,
klose-current,上,5,1,speak,说话；发言,speak,KV000705,speak,说；讲（某种语言）,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,上,5,2,weather,天气,weather,KV000166,weather,天气,exact-surface,reuse,
klose-current,上,5,3,sunny,阳光充足的,sunny,KV000164,sunny,晴朗的；阳光充足的,exact-surface,reuse,
klose-current,上,5,4,hot,热的,hot,KV000173,hot,热的,exact-surface,reuse,
klose-current,上,5,5,bad,令人不快的；坏的,bad,KV000226,bad,坏的；糟糕的,exact-surface,reuse,
klose-current,上,5,6,cold,冷的,cold,KV000176,cold,寒冷的,exact-surface,reuse,
klose-current,上,5,7,windy,多风的,windy,KV000163,windy,有风的；多风的,exact-surface,reuse,
klose-current,上,5,8,cloudy,多云的,cloudy,KV000161,cloudy,多云的,exact-surface,reuse,
klose-current,上,5,9,rainy,阴雨的,rainy,KV000160,rainy,下雨的；多雨的,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,上,5,10,snowy,多雪的,snowy,KV000162,snowy,下雪的；多雪的,exact-surface,reuse,
klose-current,上,5,11,cool,凉爽的,cool,KV000175,cool,凉爽的,exact-surface,reuse,
klose-current,上,5,12,warm,温暖的,warm,KV000174,warm,暖和的,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,上,5,13,tomorrow,在明天,tomorrow,KV000309,tomorrow,明天,exact-surface,reuse,
klose-current,上,5,14,rain,下雨；雨,rain,,,,new-surface,new,
klose-current,上,5,15,closed,关闭的,closed,,,,new-surface,new,
klose-current,上,5,16,film,电影,film,KV000390,film,电影,exact-surface,reuse,
klose-current,上,5,17,idea,想法；主意,idea,KV000783,idea,想法；主意,exact-surface,reuse,
klose-current,上,5,18,fly,操纵（飞行器等）；飞,fly,,,,new-surface,new,
klose-current,上,5,19,kite,风筝,kite,,,,new-surface,new,
klose-current,上,5,20,snowman,雪人,snowman,,,,new-surface,new,
klose-current,上,5,21,fun,享乐；乐趣,fun,KV000362,fun,乐趣；有趣,exact-surface,reuse,
klose-current,上,5,22,their,他们的；她们的；它们的,their,KV000368,their,他们的；她们的；它们的,exact-surface,reuse,
klose-current,上,5,23,swim,游泳,swim,KV000157,swim,游泳,exact-surface,reuse,
klose-current,上,5,24,Sydney,悉尼,sydney,KV000697,Sydney,悉尼,exact-surface,reuse,
klose-current,上,6,1,whose,谁的,whose,,,,new-surface,new,
klose-current,上,6,2,sweater,毛衣,sweater,KV000257,sweater,毛衣,exact-surface,reuse,
klose-current,上,6,3,sock,短袜,sock,KV000096,socks,袜子,morphology-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,上,6,4,mine,我的,mine,,,,new-surface,new,
klose-current,上,6,5,wear,穿；戴,wear,KV000262,wear,穿；戴,exact-surface,reuse,
klose-current,上,6,6,shirt,衬衫,shirt,KV000092,shirt,衬衫,exact-surface,reuse,
klose-current,上,6,7,coat,大衣；外套,coat,KV000255,coat,外套,exact-surface,reuse,
klose-current,上,6,8,dress,连衣裙,dress,KV000095,dress,连衣裙,exact-surface,reuse,
klose-current,上,6,9,which,哪一个；哪一些,which,,,,new-surface,new,
klose-current,上,6,10,season,季节,season,KV000178,season,季节,exact-surface,reuse,
klose-current,上,6,11,winter,冬天,winter,KV000172,winter,冬天,exact-surface,reuse,
klose-current,上,6,12,snow,下雪；雪,snow,KV000392,snow,雪,exact-surface,reuse,
klose-current,上,6,13,get together,聚会,get together,KV000453,get,得到；取得,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,上,6,14,spring,春天,spring,KV000169,spring,春天,exact-surface,reuse,
klose-current,上,6,15,summer,夏天,summer,KV000170,summer,夏天,exact-surface,reuse,
klose-current,上,6,16,autumn,秋天,autumn,KV000171,autumn,秋天,exact-surface,reuse,
klose-current,上,6,17,T-shirt,T恤衫,t-shirt,KV000093,T-shirt,T恤衫,exact-surface,reuse,
klose-current,上,6,18,fall,落下,fall,KV000754,fall,落下；跌倒,exact-surface,reuse,
klose-current,上,6,19,leaf,叶（复数 leaves）,leaf,,,,new-surface,new,
klose-current,上,6,20,glove,手套,glove,KV000259,gloves,手套,morphology-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,上,6,21,then,然后；那时,then,,,,new-surface,new,
klose-current,下,1,1,sorry,对不起,sorry,KV000076,sorry,对不起；抱歉,exact-surface,reuse,
klose-current,下,1,2,hurry up,快点；赶快,hurry up,,,,new-surface,new,
klose-current,下,1,3,late,迟到；迟发生,late,KV000353,late,迟到的；晚的,exact-surface,reuse,
klose-current,下,1,4,class,课；课程；班；班级,class,KV000211,class,班；班级,exact-surface,reuse,
klose-current,下,1,5,ready,准备好,ready,,,,new-surface,new,
klose-current,下,1,6,rule,规则；规章,rule,,,,new-surface,new,
klose-current,下,1,7,classroom,教室,classroom,KV000292,classroom,教室,exact-surface,reuse,
klose-current,下,1,8,turn off,关掉,turn off,,,,new-surface,new,
klose-current,下,1,9,light,灯；光,light,KV000062,light,灯,exact-surface,reuse,
klose-current,下,1,10,blackboard,黑板,blackboard,KV000056,blackboard,黑板,exact-surface,reuse,
klose-current,下,1,11,desk,书桌；办公桌,desk,KV000055,desk,课桌；书桌,exact-surface,reuse,
klose-current,下,1,12,chair,椅子,chair,KV000054,chair,椅子,exact-surface,reuse,
klose-current,下,1,13,tidy,整洁的；整齐的；使整洁；整理,tidy,,,,new-surface,new,
klose-current,下,1,14,music,音乐,music,KV000286,music,音乐；音乐课,exact-surface,reuse,
klose-current,下,1,15,door,门,door,KV000064,door,门,exact-surface,reuse,
klose-current,下,1,16,window,窗,window,,,,new-surface,new,
klose-current,下,1,17,fan,风扇,fan,KV000723,fan,扇子,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,下,1,18,when,当……时；什么时候,when,KV000197,when,什么时候,exact-surface,reuse,
klose-current,下,1,19,understand,懂；理解,understand,,,,new-surface,new,
klose-current,下,1,20,wall,墙；壁,wall,,,,new-surface,new,
klose-current,下,1,21,newspaper,报纸,newspaper,,,,new-surface,new,
klose-current,下,1,22,hand out,分发,hand out,KV000219,hand,手,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,下,1,23,workbook,练习册；作业本,workbook,,,,new-surface,new,
klose-current,下,2,1,watch,看,watch,,,,new-surface,new,
klose-current,下,2,2,TV,电视,tv,,,,new-surface,new,
klose-current,下,2,3,homework,家庭作业,homework,,,,new-surface,new,
klose-current,下,2,4,first,首先；首次；第一,first,KV000279,first,第一；首先,exact-surface,reuse,
klose-current,下,2,5,wet,湿的；未干的,wet,KV000673,wet,湿的,exact-surface,reuse,
klose-current,下,2,6,run,跑；奔跑,run,KV000334,run,跑；奔跑,exact-surface,reuse,
klose-current,下,2,7,living room,客厅；起居室,living room,KV000337,living room,客厅,exact-surface,reuse,
klose-current,下,2,8,safe,安全的,safe,KV000419,safe,安全的,exact-surface,reuse,
klose-current,下,2,9,word,言语；单词；字,word,,,,new-surface,new,
klose-current,下,2,10,wash,洗,wash,,,,new-surface,new,
klose-current,下,2,11,helpful,有帮助的；有用的,helpful,KV000524,helpful,乐于助人的；有帮助的,exact-surface,reuse,
klose-current,下,2,12,loud,说话太大声的；吵闹的,loud,,,,new-surface,new,
klose-current,下,2,13,sleep,睡觉,sleep,,,,new-surface,new,
klose-current,下,2,14,bedroom,卧室,bedroom,KV000336,bedroom,卧室,exact-surface,reuse,
klose-current,下,2,15,kitchen,厨房,kitchen,KV000341,kitchen,厨房,exact-surface,reuse,
klose-current,下,2,16,study,书房,study,KV000340,study,书房；学习,exact-surface,reuse,
klose-current,下,2,17,bathroom,浴室；洗手间,bathroom,KV000338,bathroom,浴室；卫生间,exact-surface,reuse,
klose-current,下,2,18,think,想；思考,think,,,,new-surface,new,
klose-current,下,2,19,work,（花费时间和精力）做（某事）；工作,work,,,,new-surface,new,
klose-current,下,2,20,hard,努力地；费力地,hard,,,,new-surface,new,
klose-current,下,2,21,follow,听从；遵循，听从（忠告、指示等）,follow,,,,new-surface,new,
klose-current,下,2,22,feel,觉得；感到,feel,,,,new-surface,new,
klose-current,下,3,1,over,结束（的）,over,,,,new-surface-homograph,review,same textbook surface has multiple target meanings; create separate identities
klose-current,下,3,2,kid,小孩,kid,,,,new-surface,new,
klose-current,下,3,3,dinner,（中午或晚上吃的）正餐,dinner,,,,new-surface,new,
klose-current,下,3,4,art,美术；艺术,art,KV000288,art,美术；美术课,exact-surface,reuse,
klose-current,下,3,5,lunch,午餐,lunch,,,,new-surface,new,
klose-current,下,3,6,maths,数学,maths,KV000287,maths,数学；数学课,exact-surface,reuse,
klose-current,下,3,7,get up,起床,get up,KV000190,get up,起床,exact-surface,reuse,
klose-current,下,3,8,go to school,上学,go to school,KV000192,go to school,去上学,exact-surface,reuse,
klose-current,下,3,9,go home,回家,go home,KV000194,go home,回家,exact-surface,reuse,
klose-current,下,3,10,go to bed,上床睡觉,go to bed,KV000196,go to bed,上床睡觉,exact-surface,reuse,
klose-current,下,3,11,want,想要,want,KV000084,want,想要,exact-surface,reuse,
klose-current,下,3,12,clock,时钟,clock,KV000704,clock,时钟；钟,exact-surface,reuse,
klose-current,下,3,13,just,只是；仅仅；正要,just,KV000437,just,只是；仅仅,exact-surface,reuse,
klose-current,下,3,14,minute,分钟,minute,,,,new-surface,new,
klose-current,下,4,1,trousers,裤子,trousers,KV000260,trousers,裤子；长裤,exact-surface,reuse,
klose-current,下,4,2,pair,（由连在一起的相似两部分构成的）一条，一副,pair,,,,new-surface,new,
klose-current,下,4,3,clothes,衣服；服装,clothes,,,,new-surface,new,
klose-current,下,4,4,those,那些,those,,,,new-surface,new,
klose-current,下,4,5,shorts,短裤,shorts,KV000097,shorts,短裤,exact-surface,reuse,
klose-current,下,4,6,jacket,夹克衫；短上衣,jacket,KV000258,jacket,夹克衫,exact-surface,reuse,
klose-current,下,4,7,skirt,裙子,skirt,KV000094,skirt,短裙；裙子,exact-surface,reuse,
klose-current,下,4,8,dear,亲爱的,dear,KV000214,dear,亲爱的,exact-surface,reuse,
klose-current,下,4,9,expensive,昂贵的；价格高的,expensive,,,,new-surface,new,
klose-current,下,4,10,take,买下,take,,,,new-surface,new,
klose-current,下,4,11,cheap,便宜的,cheap,,,,new-surface,new,
klose-current,下,4,12,shoe,鞋,shoe,KV000256,shoes,鞋,morphology-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,下,4,13,beautiful,美丽的,beautiful,KV000316,beautiful,美丽的；漂亮的,exact-surface,reuse,
klose-current,下,4,14,hat,帽子,hat,,,,new-surface,new,
klose-current,下,4,15,sunglasses,太阳镜；墨镜,sunglasses,,,,new-surface,new,
klose-current,下,4,16,free,免费的,free,KV000502,free,空闲的,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,下,4,17,large,（服装、食物、日用品等）大型号的,large,,,,new-surface,new,
klose-current,下,4,18,size,尺码；号,size,,,,new-surface,new,
klose-current,下,4,19,list,清单；目录,list,,,,new-surface,new,
klose-current,下,4,20,try on,试穿,try on,,,,new-surface,new,
klose-current,下,4,21,any,任何的；任一的,any,,,,new-surface,new,
klose-current,下,5,1,cow,奶牛,cow,KV000546,cow,奶牛；母牛,exact-surface,reuse,
klose-current,下,5,2,horse,马,horse,KV000545,horse,马,exact-surface,reuse,
klose-current,下,5,3,sheep,羊；绵羊,sheep,KV000548,sheep,绵羊；羊,exact-surface,reuse,
klose-current,下,5,4,pig,猪,pig,KV000547,pig,猪,exact-surface,reuse,
klose-current,下,5,5,chicken,鸡；鸡肉,chicken,KV000081,chicken,鸡肉,exact-surface,reuse,
klose-current,下,5,6,tomato,西红柿,tomato,KV000238,tomato,西红柿；番茄,exact-surface,reuse,
klose-current,下,5,7,bee,蜜蜂,bee,KV000549,bee,蜜蜂,exact-surface,reuse,
klose-current,下,5,8,mouse,老鼠,mouse,,,,new-surface,new,
klose-current,下,5,9,carrot,胡萝卜,carrot,,,,new-surface,new,
klose-current,下,5,10,potato,土豆,potato,KV000237,potato,土豆；马铃薯,exact-surface,reuse,
klose-current,下,5,11,green bean,青刀豆；四季豆,green bean,KV000043,green,绿色；绿色的,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,下,5,12,can,（盛食品或饮料的）金属罐,can,KV000074,can,能；会；可以,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,下,5,13,a box of,一盒，一箱（东西）,a box of,KV000065,box,盒子；箱子,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,下,6,1,feed,给（人或动物）食物；饲养,feed,,,,new-surface,new,
klose-current,下,6,2,pass,给；递,pass,,,,new-surface,new,
klose-current,下,6,3,pick,采；摘,pick,,,,new-surface,new,
klose-current,下,6,4,milk,挤奶,milk,KV000088,milk,牛奶,exact-surface,review,exact word but target sense/gloss overlap is insufficient
klose-current,下,6,5,knife,刀,knife,KV000397,knife,刀,exact-surface,reuse,
klose-current,下,6,6,fork,餐叉,fork,,,,new-surface,new,
klose-current,下,6,7,chopstick,（常用复数）筷子,chopstick,KV000672,chopsticks,筷子,morphology-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,下,6,8,waste,浪费；废品,waste,,,,new-surface,new,
klose-current,下,6,9,food,菜肴；食物,food,,,,new-surface,new,
klose-current,下,6,10,delicious,美味的；可口的,delicious,KV000281,delicious,美味的；好吃的,exact-surface,reuse,
klose-current,下,6,11,clear the table,收拾餐桌,clear the table,KV000061,the,这；那（定冠词）,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,下,6,12,set the table,摆放餐具,set the table,KV000061,the,这；那（定冠词）,phrase-component-candidate,review,surface is not exact; candidate must not be merged automatically
klose-current,下,6,13,bowl,碗,bowl,,,,new-surface,new,
klose-current,下,6,14,spoon,勺；匙；调羹,spoon,,,,new-surface,new,
klose-current,下,6,15,supermarket,超市,supermarket,KV000130,supermarket,超市,exact-surface,reuse,
klose-current,下,6,16,herself,（用作女性的反身代词）她自己，自己,herself,,,,new-surface,new,
klose-current,下,6,17,week,周；星期,week,KV000263,week,星期；周,exact-surface,reuse,
klose-current,下,6,18,salad,蔬菜沙拉,salad,,,,new-surface,new,
