Semester,Unit,Order,Expression,Translation,SourceStatus
lower,5,1,Do you have old things?,你有旧东西吗？,observed-from-klose-textbook
lower,5,2,"Yes, I do. I have some old books.",是的。我有些旧书。,observed-from-klose-textbook
lower,5,3,This boat is cool.,这只船很酷。,observed-from-klose-textbook
lower,5,4,You can keep it.,你可以留着它。,observed-from-klose-textbook
lower,5,5,"Mum, where is my animal book?",妈妈，我的动物书在哪儿？,observed-from-klose-textbook
lower,5,6,Is it on the shelf?,在架子上吗？,observed-from-klose-textbook
lower,5,7,"No, it isn't.",不，不在。,observed-from-klose-textbook
lower,5,8,It's in the box.,它在盒子里。,observed-from-klose-textbook
lower,6,1,How many books do we have?,我们有多少本书？,observed-from-klose-textbook
lower,6,2,We have fifteen books.,我们有十五本书。,observed-from-klose-textbook
lower,6,3,How many boxes do we need?,我们需要多少个箱子？,observed-from-klose-textbook
lower,6,4,We need three boxes.,我们需要三个箱子。,observed-from-klose-textbook
lower,6,5,How much is this bag?,这个包多少钱？,observed-from-klose-textbook
lower,6,6,It's twenty yuan.,二十元。,observed-from-klose-textbook
lower,6,7,"Six yuan, or three for seventeen yuan.",六元，或者十七元三个。,observed-from-klose-textbook
lower,6,8,How about three for sixteen yuan?,十六元三个行吗？,observed-from-klose-textbook
