Unit,Order,Starred,Entry,Meaning,Page,SourceStatus
3,13,no,just,只是；仅仅；正要,33,observed-from-klose-textbook
3,14,yes,minute,分钟,33,observed-from-klose-textbook
4,1,yes,trousers,裤子,40,observed-from-klose-textbook
4,2,yes,pair,（由连在一起的相似两部分构成的）一条，一副,40,observed-from-klose-textbook
4,3,yes,clothes,衣服；服装,40,observed-from-klose-textbook
4,4,yes,those,那些,40,observed-from-klose-textbook
4,5,yes,shorts,短裤,40,observed-from-klose-textbook
4,6,no,jacket,夹克衫；短上衣,41,observed-from-klose-textbook
4,7,yes,skirt,裙子,41,observed-from-klose-textbook
4,8,yes,dear,亲爱的,43,observed-from-klose-textbook
4,9,no,expensive,昂贵的；价格高的,43,observed-from-klose-textbook
4,10,yes,take,买下,43,observed-from-klose-textbook
4,11,no,cheap,便宜的,44,observed-from-klose-textbook
4,12,yes,shoe,鞋,44,observed-from-klose-textbook
4,13,yes,beautiful,美丽的,44,observed-from-klose-textbook
4,14,no,hat,帽子,44,observed-from-klose-textbook
4,15,no,sunglasses,太阳镜；墨镜,44,observed-from-klose-textbook
4,16,yes,free,免费的,45,observed-from-klose-textbook
4,17,no,large,（服装、食物、日用品等）大型号的,45,observed-from-klose-textbook
4,18,no,size,尺码；号,45,observed-from-klose-textbook
4,19,no,list,清单；目录,45,observed-from-klose-textbook
4,20,no,try on,试穿,45,observed-from-klose-textbook
4,21,yes,any,任何的；任一的,45,observed-from-klose-textbook
5,1,yes,cow,奶牛,52,observed-from-klose-textbook
5,2,yes,horse,马,52,observed-from-klose-textbook
5,3,yes,sheep,羊；绵羊,52,observed-from-klose-textbook
5,4,yes,pig,猪,52,observed-from-klose-textbook
5,5,yes,chicken,鸡；鸡肉,52,observed-from-klose-textbook
5,6,yes,tomato,西红柿,55,observed-from-klose-textbook
5,7,yes,bee,蜜蜂,55,observed-from-klose-textbook
5,8,yes,mouse,老鼠,56,observed-from-klose-textbook
5,9,no,carrot,胡萝卜,56,observed-from-klose-textbook
5,10,yes,potato,土豆,56,observed-from-klose-textbook
5,11,no,green bean,青刀豆；四季豆,57,observed-from-klose-textbook
5,12,yes,can,（盛食品或饮料的）金属罐,57,observed-from-klose-textbook
5,13,no,a box of,一盒，一箱（东西）,57,observed-from-klose-textbook
6,1,no,feed,给（人或动物）食物；饲养,64,observed-from-klose-textbook
6,2,no,pass,给；递,64,observed-from-klose-textbook
6,3,no,pick,采；摘,65,observed-from-klose-textbook
6,4,yes,milk,挤奶,65,observed-from-klose-textbook
6,5,no,knife,刀,67,observed-from-klose-textbook
6,6,no,fork,餐叉,67,observed-from-klose-textbook
6,7,no,chopstick,（常用复数）筷子,67,observed-from-klose-textbook
6,8,no,waste,浪费；废品,67,observed-from-klose-textbook
6,9,yes,food,菜肴；食物,67,observed-from-klose-textbook
6,10,no,delicious,美味的；可口的,67,observed-from-klose-textbook
6,11,no,clear the table,收拾餐桌,67,observed-from-klose-textbook
6,12,no,set the table,摆放餐具,68,observed-from-klose-textbook
6,13,no,bowl,碗,68,observed-from-klose-textbook
6,14,no,spoon,勺；匙；调羹,68,observed-from-klose-textbook
6,15,yes,supermarket,超市,69,observed-from-klose-textbook
6,16,no,herself,（用作女性的反身代词）她自己，自己,69,observed-from-klose-textbook
6,17,yes,week,周；星期,69,observed-from-klose-textbook
6,18,no,salad,蔬菜沙拉,69,observed-from-klose-textbook
