SourceID,SourceEdition,EvidenceFileID,Lemma,FormType,InflectedForm,IPA,Grade,Semester,Unit,Page,SourceEntry,SourceStatus
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,begin,verb_past,began,/bɪˈɡæn/,6,上,2,20,begin（过去式 began）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000022481fdb6484399c1bf9da3,win,verb_past,won,/wʌn/,6,上,2,20,win（过去式 won）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,young,comparative,younger,/ˈjʌŋɡə(r)/,6,下,1,5,younger（young 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,old,comparative,older,/ˈəʊldə(r)/,6,下,1,5,older（old 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,tall,comparative,taller,/ˈtɔːlə(r)/,6,下,1,5,taller（tall 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,short,comparative,shorter,/ˈʃɔːtə(r)/,6,下,1,5,shorter（short 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,long,comparative,longer,/ˈlɒŋɡə(r)/,6,下,1,5,longer（long 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,thin,comparative,thinner,/ˈθɪnə(r)/,6,下,1,7,thinner（thin 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,heavy,comparative,heavier,/ˈheviə(r)/,6,下,1,7,heavier（heavy 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,big,comparative,bigger,/ˈbɪɡə(r)/,6,下,1,7,bigger（big 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,small,comparative,smaller,/ˈsmɔːlə(r)/,6,下,1,7,smaller（small 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,strong,comparative,stronger,/ˈstrɒŋɡə(r)/,6,下,1,7,stronger（strong 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,low,comparative,lower,/ˈləʊə(r)/,6,下,1,8,lower（low 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,smart,comparative,smarter,/ˈsmɑːtə(r)/,6,下,1,8,smarter（smart 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,well,comparative,better,/ˈbetə(r)/,6,下,2,16,better（well 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,fast,comparative,faster,/ˈfɑːstə(r)/,6,下,2,16,faster（fast 的比较级）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,clean,verb_past,cleaned,/kliːnd/,6,下,2,15,cleaned（clean 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,stay,verb_past,stayed,/steɪd/,6,下,2,15,stayed（stay 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,wash,verb_past,washed,/wɒʃt/,6,下,2,15,washed（wash 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,watch,verb_past,watched,/wɒtʃt/,6,下,2,15,watched（watch 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,have,verb_past,had,/hæd/,6,下,2,17,had（have 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_00000000eb1081fdb892f5448727b477,sleep,verb_past,slept,/slept/,6,下,2,17,slept（sleep 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,read,verb_past,read,/red/,6,下,2,17,read（read /riːd/ 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,see,verb_past,saw,/sɔː/,6,下,2,17,saw（see 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,drink,verb_past,drank,/dræŋk/,6,下,2,14,drank（drink 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,fix,verb_past,fixed,/fɪkst/,6,下,2,18,fixed（fix 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,go,verb_past,went,/went/,6,下,3,25,went（go 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,ride,verb_past,rode,/rəʊd/,6,下,3,25,rode（ride 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,hurt,verb_past,hurt,/hɜːt/,6,下,3,25,hurt（hurt 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,eat,verb_past,ate,/eɪt/,6,下,3,27,ate（eat 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,take,verb_past,took,/tʊk/,6,下,3,27,took（take 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,buy,verb_past,bought,/bɔːt/,6,下,3,27,bought（buy 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,fall,verb_past,fell,/fel/,6,下,3,24,fell（fall 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,can,verb_past,could,/kəd; kʊd/,6,下,3,24,could（can 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,lick,verb_past,licked,/lɪkt/,6,下,3,28,licked（lick 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000004dd881fd84578ea606204052,laugh,verb_past,laughed,/lɑːft/,6,下,3,28,laughed（laugh 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009a4c81fdae35a6b997c2a762,think,verb_past,thought,/θɔːt/,6,下,4,38,thought（think 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009a4c81fdae35a6b997c2a762,feel,verb_past,felt,/felt/,6,下,4,38,felt（feel 的过去式）,materialized-from-user-image
pending-confirmation,pending-confirmation,file_000000009a4c81fdae35a6b997c2a762,wake,verb_past,woke,/wəʊk/,6,下,4,38,woke（wake 的过去式）,materialized-from-user-image
