SourceID,SourceEdition,SourceBook,Grade,Semester,Unit,Order,Expression,Translation,Page,SourceStatus,EvidenceFileID
pending-identification,pending-identification,grade5-upper,5,上,3,6,Does your mother work on both Saturdays and Sundays?,你妈妈周六周日都工作吗？,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,3,7,"Yes, she does.",是的，她（周末两天）都工作。,,observed-from-klose-textbook,file_00000000360c82309c57612888e03893
pending-identification,pending-identification,grade5-upper,5,上,4,1,How can we all stay healthy?,我们怎样才能保持健康？,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,4,2,We should eat healthy food.,我们应该吃健康的食物。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,4,3,Can I play on Mum's phone?,我可以玩妈妈的手机吗？,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,4,4,No. You shouldn't play on a phone so often.,不行。你不应该总玩手机。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,5,1,What would you like to eat?,你想吃些什么？,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,5,2,I'd like beef and rice.,我想吃牛肉和米饭。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,5,3,Would you like some chicken soup too?,你还想喝鸡汤吗？,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,5,4,"Yes, please.",是的，请（给我鸡汤）。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,5,5,Where does your coconut come from?,你的椰子是哪里的？,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,5,6,Hainan!,海南！,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,6,1,There are also many rivers in the nature park.,这个自然公园还有许多河流。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,6,2,Is there a waterfall in the forest?,森林里有瀑布吗？,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,6,3,"Yes, there is.",是的，这里有。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,6,4,Are there any famous mountains in the nature park?,自然公园有名山吗？,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,6,5,"Yes, there are.",是的，这里有。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
pending-identification,pending-identification,grade5-upper,5,上,6,6,There will be heavy rain in the afternoon too.,今天下午还有大雨。,,observed-from-klose-textbook,file_00000000b2b082309e3cf1ee9521b5d9
