NoteID,CanonicalWord,British,American,ReviewStatus,ReviewerType,ReviewNote
KV000940,take care of,[ˌteɪk ˈkeə(r) əv],[ˌteɪk ˈker əv],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001005,act out,[ˌækt ˈaʊt],[ˌækt ˈaʊt],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001011,twenty-third (23rd),[ˌtwenti ˈθɜːd],[ˌtwenti ˈθɜːrd],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001027,each other,[ˌiːtʃ ˈʌðə(r)],[ˌiːtʃ ˈʌðər],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001032,keep to the right,[ˌkiːp tə ðə ˈraɪt],[ˌkiːp tə ðə ˈraɪt],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001033,keep your desk clean,[ˌkiːp jə(r) desk ˈkliːn],[ˌkiːp jʊr desk ˈkliːn],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001034,talk quietly,[ˌtɔːk ˈkwaɪətli],[ˌtɔːk ˈkwaɪətli],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001036,take turns,[ˌteɪk ˈtɜːnz],[ˌteɪk ˈtɜːrnz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001042,have a look,[ˌhæv ə ˈlʊk],[ˌhæv ə ˈlʊk],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001048,gingerbread house,[ˈdʒɪndʒəbred haʊs],[ˈdʒɪndʒərbred haʊs],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001056,view,[vjuː],[vjuː],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001057,inspiring,[ɪnˈspaɪərɪŋ],[ɪnˈspaɪrɪŋ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001058,pumpkin,[ˈpʌmpkɪn],[ˈpʌmpkɪn],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001059,New Zealand,[ˌnjuː ˈziːlənd],[ˌnuː ˈziːlənd],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001060,Hong Kong-Zhuhai-Macao Bridge,[ˌhɒŋ ˈkɒŋ dʒuːˈhaɪ məˈkaʊ brɪdʒ],[ˌhɑːŋ ˈkɑːŋ dʒuːˈhaɪ məˈkaʊ brɪdʒ],model-reviewed,model,model-curated pronunciation for proper name; exact repo source unavailable
KV001062,Eiffel Tower,[ˈaɪfəl ˌtaʊə(r)],[ˈaɪfəl ˌtaʊər],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001063,Terracotta Warriors,[ˌterəˈkɒtə ˈwɒriəz],[ˌterəˈkɑːtə ˈwɔːriərz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001064,Jinggangshan Revolution Museum,[ˌdʒɪŋɡɑːŋˈʃɑːn ˌrevəˈluːʃən mjuˈziːəm],[ˌdʒɪŋɡɑːŋˈʃɑːn ˌrevəˈluːʃən mjuˈziːəm],model-reviewed,model,model-curated pronunciation for proper name; exact repo source unavailable
KV001065,the Red Army,[ðə ˌred ˈɑːmi],[ðə ˌred ˈɑːrmi],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001066,paste,[peɪst],[peɪst],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001068,gala,[ˈɡɑːlə],[ˈɡeɪlə],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001069,count down,[ˌkaʊnt ˈdaʊn],[ˌkaʊnt ˈdaʊn],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001070,marathon,[ˈmærəθən],[ˈmærəθɑːn],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001073,book fair,[ˈbʊk feə(r)],[ˈbʊk fer],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001080,judge,[dʒʌdʒ],[dʒʌdʒ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001086,runny nose,[ˌrʌni ˈnəʊz],[ˌrʌni ˈnoʊz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001091,stay up,[ˌsteɪ ˈʌp],[ˌsteɪ ˈʌp],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001098,pocket money,[ˈpɒkɪt ˌmʌni],[ˈpɑːkɪt ˌmʌni],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001099,goods,[ɡʊdz],[ɡʊdz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001100,service,[ˈsɜːvɪs],[ˈsɜːrvɪs],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001101,haircut,[ˈheəkʌt],[ˈherkʌt],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001102,microscope,[ˈmaɪkrəskəʊp],[ˈmaɪkrəskoʊp],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001105,save up,[ˌseɪv ˈʌp],[ˌseɪv ˈʌp],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001108,manage,[ˈmænɪdʒ],[ˈmænɪdʒ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001110,jar,[dʒɑː(r)],[dʒɑːr],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001113,daytime,[ˈdeɪtaɪm],[ˈdeɪtaɪm],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001117,outer space,[ˌaʊtə ˈspeɪs],[ˌaʊtər ˈspeɪs],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001118,space station,[ˈspeɪs steɪʃən],[ˈspeɪs steɪʃən],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001120,marble,[ˈmɑːbəl],[ˈmɑːrbəl],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001121,satellite,[ˈsætəlaɪt],[ˈsætəlaɪt],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001122,soil,[sɔɪl],[sɔɪl],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001123,alien,[ˈeɪliən],[ˈeɪliən],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001124,rover,[ˈrəʊvə(r)],[ˈroʊvər],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001125,telescope,[ˈtelɪskəʊp],[ˈtelɪskoʊp],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001131,toothpaste,[ˈtuːθpeɪst],[ˈtuːθpeɪst],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001133,sunset,[ˈsʌnset],[ˈsʌnset],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001135,Mars,[mɑːz],[mɑːrz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001136,power,[ˈpaʊə(r)],[ˈpaʊər],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001137,electricity,[ɪˌlekˈtrɪsəti],[ɪˌlekˈtrɪsəti],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001138,solar,[ˈsəʊlə(r)],[ˈsoʊlər],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001144,resource,[rɪˈzɔːs],[ˈriːsɔːrs],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001145,run out,[ˌrʌn ˈaʊt],[ˌrʌn ˈaʊt],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001149,unplug,[ˌʌnˈplʌɡ],[ˌʌnˈplʌɡ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001150,difference,[ˈdɪfrəns],[ˈdɪfrəns],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001151,reduce,[rɪˈdjuːs],[rɪˈduːs],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001152,air conditioner,[ˈeə kəndɪʃənə(r)],[ˈer kəndɪʃənər],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001167,had a cold,[ˌhæd ə ˈkəʊld],[ˌhæd ə ˈkoʊld],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001174,took pictures,[ˌtʊk ˈpɪktʃəz],[ˌtʊk ˈpɪktʃərz],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001178,Turpan,[tʊəˈpæn],[tʊrˈpæn],model-reviewed,model,model-curated pronunciation for proper name; exact repo source unavailable
KV001187,go cycling,[ɡəʊ ˈsaɪklɪŋ],[ɡoʊ ˈsaɪklɪŋ],model-reviewed,model,model-curated IPA; exact repo source unavailable
KV001189,look up,[ˌlʊk ˈʌp],[ˌlʊk ˈʌp],model-reviewed,model,model-curated IPA; exact repo source unavailable
