NoteID,OriginType,CanonicalWord,SenseLabel,MeaningPrimary,ExampleSentence,ExampleTranslation,PromptHint,British,American,AdmissionStage,LearningOrder,ContentFingerprint,PresentationStatus,PresentationSource
KV002169,new-third-party-stable,must,必须；一定要,必须；一定要,You must wear a seat belt.,你必须系安全带。,,[məst],[məst; mʌst],stage::third-party-primary,000960,b5f6d1ee25bf776b28be866da86cb9f5b042c570e6461a1bbfa0bc017eac6858,model-curated-pending-review,third-party-learner-content-v1
KV002170,new-third-party-stable,nail,指甲,指甲,I broke a nail while opening the box.,我打开箱子时弄断了一根指甲。,,[neɪl],[neɪl],stage::third-party-primary,002222,92baa3e7998743ed893a88d13cf6519778497376d97da469fabd617accf35614,model-curated-pending-review,third-party-learner-content-v1
KV002171,new-third-party-stable,name tag,名牌；姓名牌,名牌；姓名牌,Please wear your name tag today.,今天请戴好姓名牌。,,[ˈneɪm tæɡ],[ˈneɪm tæɡ],stage::third-party-primary,002638,277242b5b94e8d7a61dd32b8523963e702d394a19346934ca6240ecc48bbf0f4,model-curated-pending-review,third-party-learner-content-v1
KV002172,new-third-party-stable,national flag,国旗,国旗,The national flag flies above the school.,国旗在学校上方飘扬。,,,,stage::third-party-primary,002639,691341ad4e77207a77e5d6e6dc44d64f51454307083b015ee02951358c61c706,model-curated-pending-review,third-party-learner-content-v1
KV002173,new-third-party-stable,Native American,美洲原住民,美洲原住民,We learned about Native American history.,我们学习了美洲原住民的历史。,,,,stage::third-party-primary,002640,47a15adc3c3afe29a08aba5af4a96e38a114463029202d9b001907ba7aa0e787,model-curated-pending-review,third-party-learner-content-v1
KV002174,new-third-party-stable,natural,自然的；天然的,自然的；天然的,This juice has a natural orange taste.,这杯果汁有天然的橙子味。,,[ˈnætʃrəl],[ˈnætʃrəl],stage::third-party-primary,002223,50efe3d629b2ad9fd1eae28a8f479ee13650f7d61a12048aea31ecb9f76ed1b9,model-curated-pending-review,third-party-learner-content-v1
KV002175,new-third-party-stable,naughty,淘气的；顽皮的,淘气的；顽皮的,The naughty puppy stole my sock.,那只淘气的小狗叼走了我的袜子。,,[ˈnɔːti],[ˈnɔːti],stage::third-party-primary,001267,b57d93d0b7fc3fc1d7f0a99de7e07b6719a0863c15081a17dcd8448e21d51b68,model-curated-pending-review,third-party-learner-content-v1
KV002176,new-third-party-stable,nearby,在附近；附近的,在附近；附近的,There is a small shop nearby.,附近有一家小商店。,,[ˌnɪəˈbaɪ],[ˌnɪrˈbaɪ],stage::third-party-primary,001179,0912b8e3ed20f186415db668b764e527542825148c4a89de9b70488f614593aa,model-curated-pending-review,third-party-learner-content-v1
KV002177,new-third-party-stable,nearly,"差不多,几乎","差不多,几乎",We are nearly at the station.,我们快到车站了。,,[ˈnɪəli],[ˈnɪrli],stage::third-party-primary,002224,bedac403ba892171bb3921c908cc3747b5a5deb441676e508e9da5c33039b681,model-curated-pending-review,third-party-learner-content-v1
KV002178,new-third-party-stable,neck,脖子；颈部,脖子；颈部,The giraffe has a long neck.,长颈鹿有很长的脖子。,,[nek],[nek],stage::third-party-primary,001180,e603e69afca91fe595899bdfa817dc1c822cb117c8ba4e59ea3eb80bd816dbc3,model-curated-pending-review,third-party-learner-content-v1
KV002179,new-third-party-stable,necklace,项链,项链,She wore a silver necklace.,她戴着一条银项链。,,[ˈnekləs],[ˈnekləs],stage::third-party-primary,002225,1903f8d7b19931cb1d3effe64ca7131eda67eed2e7586deb783b328855993d58,model-curated-pending-review,third-party-learner-content-v1
KV002180,new-third-party-stable,neighbour,邻居,邻居,Our neighbour has a friendly dog.,我们的邻居有一只友善的狗。,,,[ˈneɪbər],stage::third-party-primary,001099,54120b17c9d2ab2d0b76572e94abb52507cc5e8ed393337bd568ec583f858796,model-curated-pending-review,third-party-learner-content-v1
KV002181,new-third-party-stable,neither,两者都不,两者都不,Neither answer is correct.,两个答案都不正确。,,[ˈnaɪðə(r)],[ˈniːðər; ˈnaɪðər],stage::third-party-primary,002226,af7d45b39b7bcae4374f05063f6d34256f260f6840d3f8755f754533b1d2adf6,model-curated-pending-review,third-party-learner-content-v1
KV002182,new-third-party-stable,nephew,侄子；外甥,侄子；外甥,My nephew is six years old.,我的侄子六岁了。,,[ˈnefjuː],[ˈnefjuː; ˈnevjuː],stage::third-party-primary,002227,33f2149e66d60cb5397486d22c7e28636cd49d287b40cb1112e4f84547fc1f2a,model-curated-pending-review,third-party-learner-content-v1
KV002183,new-third-party-stable,nervous,紧张的；焦虑的,紧张的；焦虑的,I feel nervous before a test.,考试前我会感到紧张。,,[ˈnɜːvəs],[ˈnɜːrvəs],stage::third-party-primary,001396,48fad18bcbd44d5a83a4bc3c972a4eb9baa4ffe0c61d77bbbfb4f1688a06a132,model-curated-pending-review,third-party-learner-content-v1
KV002184,new-third-party-stable,Nessie,尼斯湖水怪（Nessie）,尼斯湖水怪（Nessie）,People tell stories about Nessie in Loch Ness.,人们讲述尼斯湖水怪Nessie的故事。,,[ˈnesi],[ˈnesi],stage::third-party-primary,002228,718cf356fe0b1ebaeb1d82aee5a75c0dfe07d6a6beec24332745bbacfb2fa21d,model-curated-pending-review,third-party-learner-content-v1
KV002185,new-third-party-stable,nest,鸟巢；窝,鸟巢；窝,A bird built a nest in the tree.,一只鸟在树上筑了巢。,,[nest],[nest],stage::third-party-primary,001224,f840888945eba9f6360d1eb4aea8a92866a6ea03921aee34e99843560ffe1ba6,model-curated-pending-review,third-party-learner-content-v1
KV002186,new-third-party-stable,net,网；网子,网；网子,The fisherman pulled the net from the water.,渔夫把网从水里拉了上来。,,[net],[net],stage::third-party-primary,001397,b109eeee24919c673fa5705e5d044269885f67476be32c5110947f72157f9967,model-curated-pending-review,third-party-learner-content-v1
KV002187,new-third-party-stable,New South Wales,新南威尔士州,新南威尔士州,Sydney is in New South Wales.,悉尼在新南威尔士州。,,,,stage::third-party-primary,002817,c65f08b2b92ab2f7998d4aa60212bb0c63cea6eab679bbb5f9e09f259754d8da,model-curated-pending-review,third-party-learner-content-v1
KV002188,new-third-party-stable,New York,纽约,纽约,New York is a large city in the United States.,纽约是美国的一座大城市。,,,,stage::third-party-primary,001481,c913f37976a43ae35710c64be7ba783d68b314693d3a17d764008c75ab04b0ec,model-curated-pending-review,third-party-learner-content-v1
KV002189,new-third-party-stable,news,新闻；消息,新闻；消息,I heard the good news this morning.,我今天早上听到了这个好消息。,,[njuːz],[nuːz],stage::third-party-primary,001398,4e24bc2ff3ddb069b966dac874e4a5c41afd78c96966395ccaeb6bcdca904457,model-curated-pending-review,third-party-learner-content-v1
KV002190,new-third-party-stable,next,下一个；接下来,下一个；接下来,Who is next in line?,队伍里下一个是谁？,,[nekst],[nekst],stage::third-party-primary,000844,cf70a293bb714647c3a7fd446d399eb718c08ba9592fe065497e12fd07229a3b,model-curated-pending-review,third-party-learner-content-v1
KV002191,new-third-party-stable,next time,下一次；下次,下一次；下次,I will do better next time.,我下次会做得更好。,,,,stage::third-party-primary,001215,e42922ba18dce85d6fad413803bd8a20f9a214ad98fe4d7bd88c449e62942dae,model-curated-pending-review,third-party-learner-content-v1
KV002192,new-third-party-stable,next week,下周；下星期,下周；下星期,We will visit Grandma next week.,我们下周去看奶奶。,,[nekst wi:k],[nekst wiːk],stage::third-party-primary,001803,4482e3b8f9073c43f03498c505f252e4ad673d82e10748c470dbf0b45657220e,model-curated-pending-review,third-party-learner-content-v1
KV002193,new-third-party-stable,niece,侄女；外甥女,侄女；外甥女,My niece likes drawing animals.,我的侄女喜欢画动物。,,[niːs],[niːs],stage::third-party-primary,002229,caa10c96c4d9264df3f1a92ff7af7ca552fef97e6a5a1887b283919175f26a6a,model-curated-pending-review,third-party-learner-content-v1
KV002194,new-third-party-stable,nineteen,十九,十九,There are nineteen chairs in the room.,房间里有十九把椅子。,,[ˌnaɪnˈtiːn],[ˌnaɪnˈtiːn],stage::third-party-primary,000838,ff63073d6804b85b49ad2d7a9947c313e0e58844806b06abd0b4374e95baa297,model-curated-pending-review,third-party-learner-content-v1
KV002195,new-third-party-stable,nineteenth,第十九,第十九,Today is his nineteenth birthday.,今天是他十九岁生日。,,[ˌnaɪnˈtiːnθ],[ˌnaɪnˈtiːnθ],stage::third-party-primary,001642,a3ea3633e6eed331af5276295d26f1f85c3e04778214b280d2995ea64a6e2542,model-curated-pending-review,third-party-learner-content-v1
KV002196,new-third-party-stable,ninety,九十,九十,The hall has ninety seats.,大厅里有九十个座位。,,[ˈnaɪnti],[ˈnaɪnti],stage::third-party-primary,000912,b99ec435737f87ee202d9231dfc80899fd3cd38ded92670b0142d874af21b94b,model-curated-pending-review,third-party-learner-content-v1
KV002197,new-third-party-stable,Nintendo,任天堂,任天堂,Nintendo makes video games.,任天堂制作电子游戏。,,,,stage::third-party-primary,002230,f85d64638675128c22020e60380c4bf64cbf77f76a47296b303a69c58994d3c6,model-curated-pending-review,third-party-learner-content-v1
KV002198,new-third-party-stable,ninth,第九,第九,Our classroom is on the ninth floor.,我们的教室在九楼。,,[naɪnθ],[naɪnθ],stage::third-party-primary,001100,632fff6a90b9dec71f33aed6e2919a38446c277853751ae2dfd72e3521abdc10,model-curated-pending-review,third-party-learner-content-v1
KV002199,new-third-party-stable,no entry,禁止进入,禁止进入,The sign says no entry.,牌子上写着禁止进入。,,,,stage::third-party-primary,002643,f901fee1cc1630b0a04269b0cff1a68f0d46e5bd8334650430a4024667484d2d,model-curated-pending-review,third-party-learner-content-v1
KV002200,new-third-party-stable,no smoking,禁止吸烟,禁止吸烟,There is a no smoking sign on the wall.,墙上有一个禁止吸烟的标志。,,,,stage::third-party-primary,002644,5f2bb00efe92beea79fabae1a3f982a2cd6e7839898c5afcc71a1006a896b6b5,model-curated-pending-review,third-party-learner-content-v1
KV002201,new-third-party-stable,no swimming,禁止游泳,禁止游泳,The red sign means no swimming.,这个红色标志表示禁止游泳。,,,,stage::third-party-primary,002645,b8a2f8bc2a5e910b0cb48c07ed41f63b2f41bdef17c91e8e1db101e5e5c04619,model-curated-pending-review,third-party-learner-content-v1
KV002202,new-third-party-stable,nobody,没有人；无人,没有人；无人,Nobody was in the classroom.,教室里一个人也没有。,,[ˈnəʊbədi],[ˈnoʊbədi],stage::third-party-primary,002231,b8a7b28cd7162e270e6902137c8d77673dd645b46d499224f87c4c8ff715b7a7,model-curated-pending-review,third-party-learner-content-v1
KV002203,new-third-party-stable,nod,点头,点头,She gave a nod and smiled.,她点了点头并笑了。,,[nɒd],[nɑːd],stage::third-party-primary,002232,cef4cc5431a58e8795016be257367cb3083aa04cb25b7a6a963f472566f277ac,model-curated-pending-review,third-party-learner-content-v1
KV002204,new-third-party-stable,noisy,吵闹的；嘈杂的,吵闹的；嘈杂的,The street is noisy during the day.,这条街白天很吵。,,[ˈnɔɪzi],[ˈnɔɪzi],stage::third-party-primary,001181,2b6d2434b466f5fe85285af901efc3ac5415d68c895c466344322c24aed7fff4,model-curated-pending-review,third-party-learner-content-v1
KV002205,new-third-party-stable,none,没有一个；没有任何人或东西,没有一个；没有任何人或东西,None of the boxes is empty.,这些箱子没有一个是空的。,,[nʌn],[nʌn],stage::third-party-primary,001643,c8947ae9759b102ebb60c7afd9b72406c7a4dfd100ac59d269794628265c2e72,model-curated-pending-review,third-party-learner-content-v1
KV002206,new-third-party-stable,nonsense,胡说；废话,胡说；废话,That story is complete nonsense.,那个故事完全是胡说。,,[ˈnɒns(ə)ns],[ˈnɑːnsens; ˈnɑːnsns],stage::third-party-primary,002233,714cc99253d67d8999e6b2ddd762f8badfbbd34bac7f3c66a501e3ff081586f6,model-curated-pending-review,third-party-learner-content-v1
KV002207,new-third-party-stable,noodle,面条,面条,I ate a bowl of noodles.,我吃了一碗面条。,,,,stage::third-party-primary,000642,e6dc43bbe93451dcc4383e2f22f57a6fd78c26772b6cd2577cb90cb8de9dd190,model-curated-pending-review,third-party-learner-content-v1
KV002208,new-third-party-stable,noon,中午；正午,中午；正午,Noon is the middle of the day.,中午是一天的中间时段。,,[nuːn],[nuːn],stage::third-party-primary,001644,d5641fe86e726d30082c1b72f9c825e013217caf4bfd3cd10c9308d45e617c7c,model-curated-pending-review,third-party-learner-content-v1
KV002209,new-third-party-stable,North Pole,北极,北极,The North Pole is covered with ice.,北极被冰雪覆盖。,,,,stage::third-party-primary,002646,585d4c714c32e2bfa1fe4eb5f56c9419c862f94dafa2f811a443c0fc88a827fd,model-curated-pending-review,third-party-learner-content-v1
KV002210,new-third-party-stable,north-east,东北；东北方,东北；东北方,The village is north-east of the city.,这个村庄在城市东北方向。,,[ˌnɔːθ ˈiːst],[ˌnɔːrθ ˈiːst],stage::third-party-primary,002647,8420c9b497d2c0bd9f2945ab1e157e33d3c1b20261cef0104c66ba45e8dd61e1,model-curated-pending-review,third-party-learner-content-v1
KV002211,new-third-party-stable,north-west,西北；西北方,西北；西北方,The lake is north-west of our town.,这个湖在我们镇的西北方向。,,[ˌnɔːθ ˈwest],[ˌnɔːrθ ˈwest],stage::third-party-primary,002648,cd9c40b5db43074f8866e7618af059dbf7eeca246cc9485b89f40bd70ec66ba8,model-curated-pending-review,third-party-learner-content-v1
KV002212,new-third-party-stable,northeast,东北；东北方向,东北；东北方向,We drove northeast for two hours.,我们向东北方向开了两个小时。,,,,stage::third-party-primary,002234,354f0b4c6fedbe6ad2e495750aead181ce7fbd38e1b2b85723296fe00d4b6525,model-curated-pending-review,third-party-learner-content-v1
KV002213,new-third-party-stable,northwest,西北；西北方向,西北；西北方向,The mountains are northwest of here.,群山在这里的西北方向。,,,,stage::third-party-primary,002235,795ae3e97076b76c683f557a7a3d7f2cb6184e518633ecbd72dd213b231ae36a,model-curated-pending-review,third-party-learner-content-v1
KV002214,new-third-party-stable,not,不；没有（否定词）,不；没有（否定词）,I am not tired today.,我今天不累。,,[nɒt],[nɑːt],stage::third-party-primary,000860,59ee7559c98d7a8a43f5c5ad9e705bbe52706e37eba7e80ceda066f4000e88a1,model-curated-pending-review,third-party-learner-content-v1
KV002215,new-third-party-stable,note,笔记；便条,笔记；便条,I left a note on the table.,我在桌上留了一张便条。,,[nəʊt],[noʊt],stage::third-party-primary,001645,9b3b42bda358b0d9cb52300d498bfc31acbc47690d69c0cc6ed6f1830f487fd5,model-curated-pending-review,third-party-learner-content-v1
KV002216,new-third-party-stable,note pad,记事本,记事本,I keep a note pad beside my phone.,我把记事本放在电话旁边。,,,,stage::third-party-primary,002649,3e6263a0281210bb737f192fba50ba12a71b45767b4e466565d1eee7482a721b,model-curated-pending-review,third-party-learner-content-v1
KV002217,new-third-party-stable,notebook,笔记本,笔记本,I write new words in my notebook.,我把新单词写在笔记本里。,,[ˈnəʊtbʊk],[ˈnoʊtbʊk],stage::third-party-primary,001182,c34e849fcc156de901b5a7bf1f93f2773911a87c54788cc55cda6aeccf118ff9,model-curated-pending-review,third-party-learner-content-v1
KV002218,new-third-party-stable,noticeboard,布告栏；公告栏,布告栏；公告栏,The school notice is on the noticeboard.,学校通知贴在公告栏上。,,[ˈnəʊtɪsbɔːd],[ˈnoʊtɪsbɔːrd],stage::third-party-primary,002236,89f4c31cb8c065d1bf5f31d57fa435ed98cb2b0c1e262794725e86130ed4b8c3,model-curated-pending-review,third-party-learner-content-v1
KV002219,new-third-party-stable,Nottingham,诺丁汉,诺丁汉,Nottingham is a city in England.,诺丁汉是英格兰的一座城市。,,[ˈnɒtɪŋəm],[ˈnɑːtɪŋhæm; ˈnɑːtɪŋəm],stage::third-party-primary,002237,7723775c2e30138f550035d28718df46f4f473998209a8166e70e78be6f191a1,model-curated-pending-review,third-party-learner-content-v1
KV002220,new-third-party-stable,nowadays,现今；如今,现今；如今,Nowadays many people shop online.,如今很多人在网上购物。,,[ˈnaʊədeɪz],[ˈnaʊədeɪz],stage::third-party-primary,002238,987d3d51c4524be7b0f0d3b007e5f705d9facb06ab6d79bec8e4b3e4e3679056,model-curated-pending-review,third-party-learner-content-v1
KV002221,new-third-party-stable,number,数字；号码,数字；号码,Please write your phone number here.,请在这里写下你的电话号码。,,[ˈnʌmbə(r)],[ˈnʌmbər],stage::third-party-primary,000919,e2d2d8d0944ebe34b12a5813bca9a0ca50657128c15d295dbde073df62ab4b56,model-curated-pending-review,third-party-learner-content-v1
KV002222,new-third-party-stable,nut,坚果,坚果,I ate a nut from the bowl.,我从碗里吃了一颗坚果。,,[nʌt],[nʌt],stage::third-party-primary,001129,3c78e846529afa40607dfd41f93055eaa4279fb8f51e15552e8be9b6cf1c5b4d,model-curated-pending-review,third-party-learner-content-v1
KV002223,new-third-party-stable,o'clock,……点钟,……点钟,School starts at eight o'clock.,学校八点钟上课。,,,,stage::third-party-primary,000841,39c8989b66e795d2bc2eb3778e25a8d4f9457149d659ecc53efd370bfed69328,model-curated-pending-review,third-party-learner-content-v1
KV002224,new-third-party-stable,object,物体；物品,物体；物品,What is that strange object on the table?,桌上那个奇怪的物体是什么？,,[ˈɒbdʒɪkt],[ˈɑːbdʒɪkt],stage::third-party-primary,002239,c7d82b747d8543bf09593be7e1e9427e1049a1995fd55c3944b9da7e0518a903,model-curated-pending-review,third-party-learner-content-v1
