Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,MeaningStatus,FirstBook,Grade,Semester,Books,SourceFiles,Tags
ear,[ɪə(r)],[ɪr],耳朵,This is my ear.,这是我的耳朵。,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗",curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
eye,[aɪ],[aɪ],眼睛,This is my eye.,这是我的眼睛。,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看",curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
nose,[nəʊz],[noʊz],鼻子,This is my nose.,这是我的鼻子。,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问",curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
mouth,[maʊθ],[maʊθ],嘴；口,This is my mouth.,这是我的嘴。,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话",curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
this,[ðɪs],[ðɪs],这；这个,This is a cat.,这是一只猫。,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
is,[ɪz],[ɪz],是,It is a dog.,它是一只狗。,"v. 是（be的三单形式）
n. 存在",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
my,[maɪ],[maɪ],我的,This is my book.,这是我的书。,"pron. 我的
int. 哎呀（表示惊奇等）；喔唷",curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
dog,[dɒɡ],[dɔːɡ],狗,I like dogs.,我喜欢狗。,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随",curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
bird,[bɜːd],[bɜːrd],鸟,I like birds.,我喜欢鸟。,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟",curated,1年级上,1,上,1年级上|3年级上|6年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx|人教版一年级起点六年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上 appears::6年级上
tiger,[ˈtaɪɡə(r)],[ˈtaɪɡər],老虎,It is a tiger.,它是一只老虎。,n. 老虎；凶暴的人,curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
monkey,[ˈmʌŋki],[ˈmʌŋki],猴子,It is a monkey.,它是一只猴子。,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄",curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
cat,[kæt],[kæt],猫,I like cats.,我喜欢猫。,n. 猫，猫科动物,curated,1年级上,1,上,1年级上|3年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
what,[wɒt],[wʌt],什么,What is this?,这是什么？,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
it,[ɪt],[ɪt],它,It is a cat.,它是一只猫。,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
one,[wʌn],[wʌn],一；一个,I have one book.,我有一本书。,"pron. 一个人；任何人
adj. 一的；唯一的
n. 一
num. 一；一个",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
two,[tuː],[tuː],二；两个,I have two books.,我有两本书。,"num. 二
n. 两个
adj. 两个的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
three,[θriː],[θriː],三；三个,I have three pencils.,我有三支铅笔。,"num. 三
n. 三，三个
adj. 三的，三个的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
four,[fɔː(r)],[fɔːr],四；四个,I have four books.,我有四本书。,"num. 四；四个
adj. 四的；四个的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
five,[faɪv],[faɪv],五；五个,I have five apples.,我有五个苹果。,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
six,[sɪks],[sɪks],六；六个,I have six pencils.,我有六支铅笔。,"num. 六，六个
n. 六，六个",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
seven,[ˈsev(ə)n],[ˈsev(ə)n],七；七个,I have seven books.,我有七本书。,"num. 七个，七
n. 七个，七
adj. 七的；七个的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
eight,[eɪt],[eɪt],八；八个,I have eight apples.,我有八个苹果。,"num. 八；八个；第八
n. 八字形
adj. 八的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
nine,[naɪn],[naɪn],九；九个,I have nine pencils.,我有九支铅笔。,"n. 九，九个
num. 九；九个
adj. 九的，九个的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
ten,[ten],[ten],十；十个,I have ten books.,我有十本书。,num. 十个，十,curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
how,[haʊ],[haʊ],怎样；多少,How many books?,有多少本书？,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
many,[ˈmeni],[ˈmeni],许多；多少（how many）,How many apples?,有多少个苹果？,"pron. 许多；许多人
adj. 许多的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
are,[ɑ:(r)],[ər; ɑːr; er],是,There are two books.,有两本书。,"v. 是（be的第二人称单复数现在式）
n. 公亩",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
there,[ðeə(r)],[ðer],那里；有（there be）,There are three cats.,有三只猫。,"n. 那个地方
adv. 在那里；在那边；在那点上
int. 你瞧",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
black,[blæk],[blæk],黑色；黑色的,The cat is black.,这只猫是黑色的。,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
yellow,[ˈjeləʊ],[ˈjeloʊ],黄色；黄色的,The banana is yellow.,香蕉是黄色的。,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
blue,[bluː],[bluː],蓝色；蓝色的,The schoolbag is blue.,书包是蓝色的。,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；[复数]（美国海、陆、空三军穿的）蓝色制服；蓝颜料；[the blue(s)][用作单数或复数]布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
red,[red],[red],红色；红色的,The apple is red.,苹果是红色的。,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的",curated,1年级上,1,上,1年级上|4年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
green,[ɡriːn],[ɡriːn],绿色；绿色的,The book is green.,这本书是绿色的。,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色",curated,1年级上,1,上,1年级上|4年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
colour,[ˈkʌlə(r)],[ˈkʌlər],颜色,What colour is it?,它是什么颜色？,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
apple,[ˈæp(ə)l],[ˈæpl],苹果,I like apples.,我喜欢苹果。,n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。,curated,1年级上,1,上,1年级上|4年级上,人教版一年级起点一年级上.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
pear,[peə(r)],[per],梨,I like pears.,我喜欢梨。,n. [园艺] 梨树；梨子,curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
banana,[bəˈnɑːnə],[bəˈnænə],香蕉,I like bananas.,我喜欢香蕉。,n. 香蕉；喜剧演员；大鹰钩鼻,curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
orange,[ˈɒrɪndʒ],[ˈɔrɪndʒ],橙子；橙色,I like oranges.,我喜欢橙子。,"adj. 橙色的；橘色的
n. 橙；橙色；桔子",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
do,[duː; də; du; dəʊ],[duː; də; du; doʊ],助动词（用于疑问句）,Do you like apples?,你喜欢苹果吗？,"vi. 行，足够；生长
n. 要求；规定；C大调音阶中的第一音
v. 做；干；学习；研究；进行；完成；解答；整理；算出；引起；行过
aux. 助动词（构成疑问句和否定句）；（代替动词）；（用于加强语气）
n. （口语）事件；（主英国口语）诈骗；（主英国、新西兰口语）宴会；（口语）必须做到的事情",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
you,[ju],[juː; jə],你；你们,Do you like cats?,你喜欢猫吗？,pron. 你；你们,curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
like,[laɪk],[laɪk],喜欢,I like bananas.,我喜欢香蕉。,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
yes,[jes],[jes],是的；对,Yes I do.,是的，我喜欢。,"n. 是（表示肯定）
adv. 是, 是的",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
no,[nəʊ],[noʊ],不；不是,No I don't.,不，我不喜欢。,"adv. 不
adj. 没有；不是
n. 不；否决票
abbr. 数字（number）；元素锘（nobelium）的符号",curated,1年级上,1,上,1年级上,人教版一年级起点一年级上.xlsx,rj_start1 grade::1 semester::上 appears::1年级上
chair,[tʃeə(r)],[tʃer],椅子,The book is on the chair.,书在椅子上。,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职",curated,1年级下,1,下,1年级下|3年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级下
desk,[desk],[desk],课桌；书桌,The pencil is on the desk.,铅笔在桌子上。,"n. 办公桌；服务台；编辑部；（美）讲道台；乐谱架
adj. 书桌的；桌上用的；伏案做的",curated,1年级下,1,下,1年级下|3年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级下
blackboard,[ˈblækbɔːd],[ˈblækbɔːrd],黑板,The blackboard is black.,黑板是黑色的。,n. 黑板,curated,1年级下,1,下,1年级下|3年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级下
on,[ɒn],[ɑːn],在……上面,The book is on the desk.,书在桌子上。,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
under,[ˈʌndə(r)],[ˈʌndər],在……下面,The cat is under the desk.,猫在桌子下面。,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
in,[ɪn],[ɪn],在……里面,The pencil is in the box.,铅笔在盒子里。,"prep. 按照（表示方式）；从事于；在…之内
n. 执政者；门路；知情者
adj. 在里面的；时髦的
adv. 进入；当选；（服装等）时髦；在屋里",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
where,[weə(r)],[wer],哪里,Where is my book?,我的书在哪里？,"conj. 在…的地方
n. 地点
adv. 在哪里
pron. 哪里",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
the,[ðə],[ðə; ði; ðiː],这；那（定冠词）,The book is on the desk.,这本书在桌子上。,"art. 这；那
adv. 更加（用于比较级，最高级前）",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
light,[laɪt],[laɪt],灯,The light is on.,灯亮着。,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地",curated,1年级下,1,下,1年级下|3年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级下
bed,[bed],[bed],床,The cat is on the bed.,猫在床上。,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层",curated,1年级下,1,下,1年级下|3年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级下
door,[dɔː(r)],[dɔːr],门,The door is near the bed.,门在床附近。,n. 门；家，户；门口；通道,curated,1年级下,1,下,1年级下|3年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级下
box,[bɒks],[bɑːks],盒子；箱子,The pencil is in the box.,铅笔在盒子里。,"n. 箱，盒子；包厢；一拳
vt. 拳击；装…入盒中；打耳光
vi. 拳击",curated,1年级下,1,下,1年级下|3年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级下
near,[nɪə(r)],[nɪr],在……附近,The chair is near the desk.,椅子在桌子附近。,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于",curated,1年级下,1,下,1年级下|4年级上,人教版一年级起点一年级下.xlsx|人教版一年级起点四年级上.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::4年级上
behind,[bɪˈhaɪnd],[bɪˈhaɪnd],在……后面,The ball is behind the box.,球在盒子后面。,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
plane,[pleɪn],[pleɪn],飞机,This is a plane.,这是一架飞机。,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
ball,[bɔːl],[bɔːl],球,I have a ball.,我有一个球。,"n. 球；舞会
vt. 捏成球形
vi. 成团块",curated,1年级下,1,下,1年级下|4年级下,人教版一年级起点一年级下.xlsx|人教版一年级起点四年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::4年级下
doll,[dɒl],[dɑːl],玩具娃娃,I have a doll.,我有一个玩具娃娃。,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
train,[treɪn],[treɪn],火车,This is a train.,这是一列火车。,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
car,[kɑː(r)],[kɑːr],小汽车；汽车,This is a car.,这是一辆小汽车。,n. 汽车；车厢,curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
bear,[beə(r)],[ber],熊,This is a bear.,这是一只熊。,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
can,[kən; kæn],[kən; kæn],能；会；可以,I can do it.,我能做到。,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
sure,[ʃʊə(r)],[ʃʊr],当然；可以,Sure you can.,当然可以。,"adj. 确信的；可靠的；必定的
adv. 当然；的确",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
sorry,[ˈsɒri],[ˈsɑːri],对不起；抱歉,I am sorry.,我很抱歉。,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
rice,[raɪs],[raɪs],米饭,I like rice.,我喜欢米饭。,"n. 稻；米饭
vt. 把…捣成米糊状",curated,1年级下,1,下,1年级下|3年级上,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级上
noodles,[ˈnuːd(ə)lz],[ˈnuːd(ə)lz],面条,I like noodles.,我喜欢面条。,n. 面条，挂面（noodle的复数形式),curated,1年级下,1,下,1年级下|3年级上,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级上
vegetable,[ˈvedʒtəb(ə)l],[ˈvedʒtəbl],蔬菜,I like vegetables.,我喜欢蔬菜。,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
fish,[fɪʃ],[fɪʃ],鱼；鱼肉,I like fish.,我喜欢鱼。,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取",curated,1年级下,1,下,1年级下|3年级上|6年级上,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级上.xlsx|人教版一年级起点六年级上.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级上 appears::6年级上
chicken,[ˈtʃɪkɪn],[ˈtʃɪkɪn],鸡肉,I like chicken.,我喜欢鸡肉。,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的",curated,1年级下,1,下,1年级下|3年级上,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级上
egg,[eɡ],[eɡ],鸡蛋；蛋,I like eggs.,我喜欢鸡蛋。,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿",curated,1年级下,1,下,1年级下|3年级上,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级上
hungry,[ˈhʌŋɡri],[ˈhʌŋɡri],饿的；饥饿的,I am hungry.,我饿了。,adj. 饥饿的；渴望的；荒年的；不毛的,curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
want,[wɒnt],[wɑːnt],想要,I want some rice.,我想要一些米饭。,"n. 需要；缺乏；贫困；必需品
vt. 需要；希望；应该；缺少
vi. 需要；缺少",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
and,[ənd],[ənd; ən; n; ænd],和；并且,I like rice and eggs.,我喜欢米饭和鸡蛋。,conj. 和，与；就；而且；但是；然后,curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
juice,[dʒuːs],[dʒuːs],果汁,I want some juice.,我想喝一些果汁。,n. （水果）汁，液；果汁,curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
tea,[tiː],[tiː],茶,I want some tea.,我想喝一些茶。,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
milk,[mɪlk],[mɪlk],牛奶,I like milk.,我喜欢牛奶。,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
water,[ˈwɔːtə(r)],[ˈwɔːtər],水,I want some water.,我想喝一些水。,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
thirsty,[ˈθɜːsti],[ˈθɜːrsti],口渴的,I am thirsty.,我渴了。,adj. 口渴的，口干的；渴望的，热望的,curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
thanks,[θæŋks],[θæŋks],谢谢,Thanks for the water.,谢谢你的水。,"n. 谢谢（只用复数）
int. 谢谢",curated,1年级下,1,下,1年级下,人教版一年级起点一年级下.xlsx,rj_start1 grade::1 semester::下 appears::1年级下
shirt,[ʃɜːt],[ʃɜːrt],衬衫,This is my shirt.,这是我的衬衫。,n. 衬衫；汗衫，内衣,curated,1年级下,1,下,1年级下|3年级上,人教版一年级起点一年级下.xlsx|人教版一年级起点三年级上.xlsx,rj_start1 grade::1 semester::下 appears::1年级下 appears::3年级上
